time,transformerL.inductor[3].i,transformerL.inductor[2].i,transformerL.inductor[1].iˍt
0.579,0.9245191959,-0.2784563782,21.81948147
0.58,0.9307299817,-0.3068016385,22.44625621
0.581,0.9360217089,-0.3348439738,23.051066
0.582,0.9403897335,-0.3625558654,23.63290588
0.583,0.9438292505,-0.3899097367,24.19145287
0.584,0.9463374249,-0.4168788303,24.72610751
0.585,0.9479120778,-0.4434366848,25.23632618
0.586,0.9485516854,-0.4695571343,25.72162115
0.587,0.9482553799,-0.4952143089,26.18156056
0.588,0.9470229486,-0.5203826347,26.61576842
0.589,0.9448555513,-0.5450372426,27.02374291
0.59,0.9417554246,-0.5691537636,27.40493398
0.591,0.9377256273,-0.5927083884,27.75908081
0.592,0.9327706519,-0.6156782116,28.08582105
0.593,0.9268956255,-0.6380407502,28.38483222
0.594,0.9201063103,-0.6597739437,28.65583168
0.595,0.9124091033,-0.6808561541,28.89857666
0.596,0.9038110364,-0.7012661656,29.11286425
0.597,0.894320667,-0.7209838985,29.29843695
0.598,0.8839473992,-0.7399897944,29.45500931
0.599,0.8727014254,-0.7582650453,29.58249937
0.6,0.8605944242,-0.7757921371,29.6807985
0.601,0.8476386404,-0.7925540746,29.74981996
0.602,0.8338468845,-0.808534382,29.78949897
0.603,0.8192325329,-0.8237171023,29.79979264
0.604,0.803809528,-0.8380867978,29.78068
0.605,0.7875923781,-0.8516285499,29.73216201
0.606,0.7705982687,-0.8643302537,29.65433682
0.607,0.7528428687,-0.8761779179,29.54716921
0.608,0.7343442569,-0.8871605066,29.41081784
0.609,0.7151212503,-0.8972678925,29.24546445
0.61,0.6951931088,-0.9064905186,29.05129574
0.611,0.6745795353,-0.9148193983,28.82850329
0.612,0.6533006757,-0.922246115,28.57728363
0.613,0.631377119,-0.9287628222,28.29783822
0.614,0.6088298968,-0.9343622438,27.99037341
0.615,0.5856806699,-0.9390379709,27.65514687
0.616,0.5619539468,-0.9427877371,27.29288295
0.617,0.5376720915,-0.945605944,26.90356391
0.618,0.5128596168,-0.9474907974,26.48767749
0.619,0.4875413376,-0.9484411038,26.04569817
0.62,0.4617423708,-0.9484562705,25.57808726
0.621,0.4354881352,-0.9475363051,25.08529284
0.622,0.4088043519,-0.9456818161,24.56774979
0.623,0.3817170438,-0.9428940128,24.02587978
0.624,0.354252536,-0.9391747049,23.46009126
0.625,0.3264378561,-0.9345273908,22.8710675
0.626,0.2983012066,-0.9289580686,22.25979645
0.627,0.2698700219,-0.9224711372,21.62643716
0.628,0.241172602,-0.9150738857,20.97173536
0.629,0.2122373778,-0.9067741767,20.29640659
0.63,0.1830929113,-0.8975804455,19.60113621
0.631,0.1537678954,-0.8875017011,18.88657939
0.632,0.1242911538,-0.8765475254,18.15336113
0.633,0.09469164123,-0.8647280735,17.40207624
0.634,0.06499844335,-0.8520540738,16.63328935
0.635,0.03524094814,-0.8385384281,15.84820461
0.636,0.005448810301,-0.8241953088,15.04775342
0.637,-0.02434861946,-0.8090385861,14.23237893
0.638,-0.05412197435,-0.7930837237,13.40299837
0.639,-0.08384193136,-0.7763467096,12.56047562
0.64,-0.1134792112,-0.7588440553,11.70562121
0.641,-0.1430045785,-0.7405927963,10.83919228
0.642,-0.1723888415,-0.7216104919,9.961892658
0.643,-0.2016028521,-0.7019152255,9.074372772
0.644,-0.2306179072,-0.6815272812,8.17834111
0.645,-0.2594052199,-0.660466551,7.274200959
0.646,-0.2879365099,-0.6387540965,6.362893575
0.647,-0.3161837412,-0.6164115381,5.445383736
0.648,-0.3441190887,-0.5934609353,4.522562464
0.649,-0.3717149385,-0.5699247858,3.595247027
0.65,-0.3989438876,-0.5458260265,2.664180936
0.651,-0.4257789405,-0.5211882973,1.730371186
0.652,-0.4521937326,-0.496036205,0.7950612151
0.653,-0.4781622082,-0.4703945755,-0.1410483532
0.654,-0.5036588998,-0.4442888464,-1.07695428
0.655,-0.5286586996,-0.4177447883,-2.011742577
0.656,-0.5531368589,-0.3907885049,-2.944588507
0.657,-0.5770689881,-0.3634464329,-3.874756581
0.658,-0.6004315825,-0.3357456555,-4.800950403
0.659,-0.6232014377,-0.3077134762,-5.722429315
0.66,-0.6453563132,-0.2793776661,-6.63822199
0.661,-0.6668744863,-0.2507662247,-7.547392966
0.662,-0.6877347059,-0.2219073536,-8.449096671
0.663,-0.7079161923,-0.1928294563,-9.342577422
0.664,-0.7273988716,-0.1635611889,-10.22695435
0.665,-0.7461635412,-0.1341314977,-11.10111669
0.666,-0.7641917143,-0.1045694436,-11.96433572
0.667,-0.7814658854,-0.0749042261,-12.81568846
0.668,-0.7979691081,-0.04516510479,-13.6543364
0.669,-0.8136849948,-0.0153813993,-14.4795255
0.67,-0.8285977169,0.01441751067,-15.2905862
0.671,-0.8426925286,0.04420220714,-16.08656255
0.672,-0.8559554673,0.07394323572,-16.86658862
0.673,-0.8683736337,0.103611262,-17.62996167
0.674,-0.8799350572,0.1331770573,-18.37588215
0.675,-0.8906283945,0.1626114786,-19.10362778
0.676,-0.9004429285,0.191885468,-19.81255357
0.677,-0.9093685694,0.220970053,-20.50209181
0.678,-0.9173966477,0.2498365522,-21.17133418
0.679,-0.9245190402,0.2784563674,-21.81964572
0.68,-0.9307290311,0.3068013513,-22.4464119
0.681,-0.9360207974,0.3348436489,-23.05098394
0.682,-0.9403891776,0.3625556328,-23.6327785
0.683,-0.9438296714,0.3899099028,-24.19127773
0.684,-0.9463384402,0.4168792864,-24.72602925
0.685,-0.9479130824,0.4434371934,-25.23636472
0.686,-0.948551917,0.4695572867,-25.72172658
0.687,-0.9482545525,0.4952139068,-26.18170085
0.688,-0.9470216656,0.5203819501,-26.61581255
0.689,-0.9448545947,0.5450366721,-27.02363737
0.69,-0.9417553404,0.5691536879,-27.40480171
0.691,-0.9377265651,0.5927089717,-27.75898261
0.692,-0.9327718872,0.6156790551,-28.08585236
0.693,-0.9268966041,0.6380414714,-28.3848881
0.694,-0.9201061667,0.6597738797,-28.65590906
0.695,-0.912407838,0.6808552444,-28.89864417
0.696,-0.9038095019,0.7012650012,-29.11285575
0.697,-0.8943196636,0.7209830564,-29.29833947
0.698,-0.8839474493,0.7399897876,-29.45492439
0.699,-0.8727026065,0.7582660431,-29.58247293
0.7,-0.8605960364,0.7757936302,-29.68085845
0.701,-0.8476400356,0.7925554498,-29.74988614
0.702,-0.83384701,0.8085345609,-29.78952601
0.703,-0.8192312016,0.8237158184,-29.79977088
0.704,-0.8038073842,0.8380846262,-29.78062875
0.705,-0.7875908624,0.8516269365,-29.73212285
0.706,-0.7705974725,0.8643292504,-29.65429162
0.707,-0.7528435817,0.8761786176,-29.54718875
0.708,-0.7343460888,0.8871626365,-29.4108831
0.709,-0.7151235082,0.8972707835,-29.24557221
0.71,-0.6951949691,0.9064930431,-29.05138196
0.711,-0.6745800326,0.9148201694,-28.82847899
0.712,-0.6532995583,0.9222446691,-28.57714482
0.713,-0.6313748174,0.9287596479,-28.29765867
0.714,-0.6088274927,0.9343588097,-27.99029749
0.715,-0.5856796784,0.9390364576,-27.65533594
0.716,-0.5619538802,0.9427874929,-27.29304638
0.717,-0.5376730156,0.9456074161,-26.9036989
0.718,-0.5128608614,0.9474931345,-26.48772678
0.719,-0.4875427181,0.9484439328,-26.04579881
0.72,-0.4617431432,0.9484579905,-25.57807698
0.721,-0.435487981,0.9475361107,-25.08512242
0.722,-0.4088033412,0.9456797079,-24.56747579
0.723,-0.381715598,0.9428908085,-24.02565728
0.724,-0.3542513909,0.9391720501,-23.46016663
0.725,-0.326437624,0.9345266821,-22.87148311
0.726,-0.2983014668,0.9289585655,-22.26006553
0.727,-0.269870379,0.9224722628,-21.62638149
0.728,-0.2411731489,0.9150762107,-20.97183953
0.729,-0.2122377754,0.9067761672,-20.29645226
0.73,-0.1830930048,0.8975811755,-19.60102199
0.731,-0.1537676788,0.8875008513,-18.88631409
0.732,-0.1242907347,0.8765453827,-18.15305701
0.733,-0.09469120496,0.8647255303,-17.40194228
0.734,-0.06499821751,0.8520526272,-16.63362448
0.735,-0.03524099566,0.838538579,-15.84872129
0.736,-0.005448858089,0.8241958638,-15.04781345
0.737,0.02434868825,0.8090396477,-14.23242258
0.738,0.05412208882,0.7930847401,-13.4030238
0.739,0.08384200811,0.7763471161,-12.56037375
0.74,0.1134791858,0.7588436725,-11.70539381
0.741,0.1430044382,0.7405918172,-10.83894722
0.742,0.1723886576,0.7216094698,-9.961839158
0.743,0.2016028133,0.7019150617,-9.074816681
0.744,0.2306179506,0.6815275356,-8.178568768
0.745,0.2594053832,0.6604669408,-7.274211873
0.746,0.2879367371,0.6387545424,-6.362917036
0.747,0.3161838571,0.6164117262,-5.44531181
0.748,0.3441190115,0.5934607781,-4.522395481
0.749,0.3717147082,0.5699244069,-3.595089642
0.75,0.3989436945,0.5458257441,-2.664238192
0.751,0.4257789573,0.5211883442,-1.730607336
0.752,0.4521938539,0.4960363266,-0.7950694742
0.753,0.4781624227,0.4703947532,0.1410178514
0.754,0.5036589335,0.4442888609,1.077016312
0.755,0.5286584725,0.4177446137,2.011896284
0.756,0.5531364998,0.3907882695,2.944709855
0.757,0.5770688491,0.3634463797,3.874590828
0.758,0.6004317276,0.3357457896,4.800754717
0.759,0.6232017351,0.3077136466,5.722481042
0.76,0.6453567598,0.2793778502,6.638236851
0.761,0.6668745889,0.2507662644,7.547517949
0.762,0.6877343477,0.2219072543,8.449313555
0.763,0.7079156501,0.1928293355,9.342694936
0.764,0.7273985989,0.1635611747,10.22681541
0.765,0.7461637861,0.1341315893,11.10091034
0.766,0.7641922924,0.1045695479,11.96429713
0.767,0.7814665575,0.07490428013,12.81572649
0.768,0.7979692814,0.04516511011,13.65448769
0.769,0.8136844908,0.01538139881,14.47975824
0.77,0.8285969657,-0.01441747706,15.29067533
0.771,0.8426920633,-0.04420214134,16.08645346
0.772,0.8559557179,-0.07394321844,16.86638444
0.773,0.8683744407,-0.1036113333,17.62983738
0.774,0.8799358807,-0.1331771907,18.37594321
0.775,0.8906286949,-0.1626115437,19.10377397
0.776,0.9004423965,-0.1918853516,19.81276237
0.777,0.9093677037,-0.2209698253,20.50215494
0.778,0.9173959704,-0.249836328,21.17126702
0.779,0.9245191855,-0.2784563756,21.81948273
0.78,0.9307299737,-0.3068016364,22.44625501
0.781,0.9360216999,-0.3348439703,23.05106597
0.782,0.9403897357,-0.3625558665,23.63290523
0.783,0.9438292566,-0.3899097396,24.19145233
0.784,0.9463374298,-0.4168788329,24.72610743
0.785,0.9479120784,-0.4434366854,25.23632658
0.786,0.9485516812,-0.4695571326,25.72162175
0.787,0.9482553731,-0.4952143059,26.18156079
0.788,0.9470229445,-0.5203826329,26.61576747
0.789,0.9448555476,-0.5450372406,27.02374244
0.79,0.9417554248,-0.569153764,27.4049336
0.791,0.9377256297,-0.5927083902,27.75908056
0.792,0.9327706547,-0.6156782138,28.08582094
0.793,0.9268956273,-0.6380407518,28.38483221
0.794,0.92010631,-0.6597739439,28.65583174
0.795,0.9124091005,-0.6808561525,28.89857674
0.796,0.9038110314,-0.7012661623,29.11286432
0.797,0.8943206636,-0.7209838962,29.29843659
0.798,0.8839473947,-0.7399897907,29.45500896
0.799,0.872701423,-0.7582650434,29.58249913
0.8,0.8605944254,-0.7757921384,29.6807984
0.801,0.8476386448,-0.792554079,29.74981999
0.802,0.8338468903,-0.8085343879,29.78949907
0.803,0.819232537,-0.8237171068,29.79979274
0.804,0.8038095263,-0.8380867966,29.78068001
0.805,0.7875923654,-0.8516285377,29.73216185
0.806,0.7705982618,-0.8643302466,29.65433662
0.807,0.7528428573,-0.8761779044,29.54716853
0.808,0.7343442485,-0.8871604963,29.41081733
0.809,0.715121249,-0.897267891,29.24546449
0.81,0.6951931155,-0.9064905277,29.05129637
0.811,0.6745795481,-0.9148194158,28.82850431
0.812,0.6533006899,-0.9222461348,28.57728455
0.813,0.6313771274,-0.9287628348,28.29783826
0.814,0.6088298903,-0.9343622359,27.99037158
0.815,0.5856806719,-0.9390379799,27.6551503
0.816,0.5619539348,-0.9427877184,27.29288315
0.817,0.5376720769,-0.9456059184,26.9035631
0.818,0.5128596069,-0.9474907792,26.48767714
0.819,0.4875413358,-0.948441101,26.04569904
0.82,0.4617423775,-0.9484562847,25.57808938
0.821,0.4354881477,-0.9475363321,25.08529552
0.822,0.4088043651,-0.9456818458,24.56775163
0.823,0.3817170504,-0.9428940292,24.02587869
0.824,0.3542525269,-0.9391746864,23.46008445
0.825,0.3264378531,-0.9345273927,22.87107274
0.826,0.2983011969,-0.9289580401,22.25979691
0.827,0.2698700123,-0.9224711038,21.62643639
0.828,0.2411725962,-0.9150738644,20.97173565
0.829,0.2122373773,-0.9067741761,20.29640898
0.83,0.1830929154,-0.8975804665,19.60114047
0.831,0.1537679019,-0.8875017367,18.88658405
0.832,0.1242911596,-0.8765475613,18.15336345
0.833,0.09469164278,-0.8647280885,17.40207223
0.834,0.06499843701,-0.8520540398,16.63327376
0.835,0.03524094471,-0.838538415,15.84821032
0.836,0.005448809169,-0.8241952806,15.04775441
0.837,-0.02434861925,-0.8090385607,14.23237953
0.838,-0.05412197417,-0.7930837118,13.40300091
0.839,-0.08384193244,-0.7763467144,12.56048047
0.84,-0.1134792141,-0.7588440733,11.70562679
0.841,-0.1430045823,-0.7405928174,10.83919515
0.842,-0.1723888435,-0.7216104998,9.961887531
0.843,-0.2016028474,-0.7019151979,9.074352578
0.844,-0.2306179046,-0.6815272712,8.178342254
0.845,-0.2594052148,-0.660466538,7.27420067
0.846,-0.2879365065,-0.6387540887,6.362894852
0.847,-0.3161837417,-0.6164115388,5.445387306
0.848,-0.3441190932,-0.5934609429,4.522566843
0.849,-0.3717149441,-0.5699247945,3.595248579
0.85,-0.3989438879,-0.5458260262,2.664173936
0.851,-0.4257789399,-0.5211882959,1.730372564
0.852,-0.452193728,-0.4960362002,0.7950605399
0.853,-0.4781622051,-0.4703945727,-0.1410478386
0.854,-0.503658901,-0.4442888474,-1.076951721
0.855,-0.5286587044,-0.4177447919,-2.01173953
0.856,-0.5531368628,-0.3907885074,-2.944588963
0.857,-0.5770689825,-0.3634464286,-3.874766991
0.858,-0.6004315779,-0.335745653,-4.80095086
0.859,-0.6232014316,-0.3077134735,-5.722429864
0.86,-0.6453563118,-0.2793776656,-6.638220473
0.861,-0.6668744911,-0.2507662264,-7.547389739
0.862,-0.6877347133,-0.2219073557,-8.449094636
0.863,-0.7079161932,-0.1928294562,-9.342582068
0.864,-0.7273988723,-0.1635611885,-10.22695308
0.865,-0.746163532,-0.1341314964,-11.10111772
0.866,-0.7641917073,-0.104569443,-11.9643356
0.867,-0.7814658866,-0.07490422633,-12.81568607
0.868,-0.7979691172,-0.04516510529,-13.65433298
0.869,-0.8136850046,-0.01538139939,-14.47952471
0.87,-0.8285977131,0.014417511,-15.29059412
0.871,-0.8426925247,0.04420220716,-16.08656215
0.872,-0.8559554553,0.07394323433,-16.86658941
0.873,-0.8683736268,0.1036112609,-17.62996106
0.874,-0.8799350611,0.1331770578,-18.37587957
0.875,-0.8906284069,0.1626114809,-19.10362476
0.876,-0.9004429393,0.1918854704,-19.81255374
0.877,-0.9093685601,0.2209700513,-20.50210102
0.878,-0.9173966404,0.2498365503,-21.17133403
0.879,-0.9245190248,0.2784563623,-21.81964622
0.88,-0.9307290229,0.3068013483,-22.44641117
0.881,-0.9360208027,0.3348436507,-23.05098162
0.882,-0.9403891935,0.3625556389,-23.63277585
0.883,-0.9438296859,0.3899099088,-24.1912777
0.884,-0.9463384318,0.4168792832,-24.72603654
0.885,-0.9479130763,0.4434371908,-25.23636423
0.886,-0.9485518977,0.4695572766,-25.72172672
0.887,-0.9482545396,0.4952138996,-26.18170033
0.888,-0.9470216683,0.5203819514,-26.61581098
0.889,-0.9448546122,0.5450366822,-27.02363532
0.89,-0.9417553616,0.5691537006,-27.40480083
0.891,-0.9377265689,0.5927089744,-27.75898569
0.892,-0.9327718978,0.615679064,-28.08585184
0.893,-0.9268965831,0.6380414566,-28.38488763
0.894,-0.9201061433,0.6597738621,-28.65590848
0.895,-0.9124078293,0.6808552375,-28.89864339
0.896,-0.9038095137,0.7012650101,-29.11285483
0.897,-0.8943196904,0.7209830778,-29.29833873
0.898,-0.8839474749,0.7399898087,-29.45492451
0.899,-0.8727026042,0.7582660418,-29.58247503
0.9,-0.8605960472,0.7757936429,-29.68085931
0.901,-0.8476400062,0.7925554215,-29.74988482
0.902,-0.833846976,0.8085345266,-29.78952445
0.903,-0.8192311853,0.8237158012,-29.79977015
0.904,-0.8038073946,0.8380846367,-29.7806292
0.905,-0.7875908965,0.8516269728,-29.73212417
0.906,-0.7705975153,0.8643292974,-29.65429297
0.907,-0.7528436075,0.8761786471,-29.5471888
0.908,-0.7343460613,0.8871626066,-29.41088019
0.909,-0.7151235042,0.8972707831,-29.24557432
0.91,-0.6951949314,0.9064929934,-29.05137981
0.911,-0.6745799921,0.9148201131,-28.8284765
0.912,-0.6532995347,0.9222446349,-28.57714422
0.913,-0.6313748196,0.9287596504,-28.29766064
0.914,-0.6088275193,0.9343588489,-27.99030127
0.915,-0.5856797185,0.9390365185,-27.65533942
0.916,-0.5619539137,0.9427875451,-27.29304626
0.917,-0.5376730138,0.9456074133,-26.90369079
0.918,-0.5128608684,0.9474931546,-26.48773237
0.919,-0.4875427002,0.9484438972,-26.04579767
0.92,-0.46174312,0.9484579403,-25.57807445
0.921,-0.4354879654,0.9475360745,-25.08512175
0.922,-0.4088033391,0.9456797016,-24.56747823
0.923,-0.3817156098,0.9428908351,-24.02566222
0.924,-0.3542514115,0.9391721,-23.4601717
0.925,-0.326437644,0.9345267325,-22.87148431
0.926,-0.2983014726,0.9289585806,-22.26005734
0.927,-0.2698703842,0.9224722965,-21.62639017
0.928,-0.2411731435,0.9150761906,-20.97183974
0.929,-0.2122377674,0.9067761283,-20.29644997
0.93,-0.1830929991,0.8975811427,-19.60102099
0.931,-0.1537676774,0.8875008394,-18.88631613
0.932,-0.1242907375,0.8765453967,-18.15306189
0.933,-0.09469121029,0.8647255651,-17.40194793
0.934,-0.06499822288,0.8520526681,-16.63362713
0.935,-0.03524099831,0.8385386014,-15.84871552
0.936,-0.00544885562,0.8241958334,-15.04779231
0.937,0.0243486883,0.8090396389,-14.23242388
0.938,0.05412208677,0.7930847202,-13.40302256
0.939,0.08384200572,0.7763471,-12.56037357
0.94,0.1134791848,0.7588436682,-11.70539621
0.941,0.1430044395,0.7405918263,-10.83895174
0.942,0.1723886611,0.7216094877,-9.961843417
0.943,0.2016028169,0.7019150775,-9.074816479
0.944,0.2306179499,0.6815275328,-8.17855815
0.945,0.2594053831,0.6604669391,-7.274213578
0.946,0.2879367331,0.6387545342,-6.362916238
0.947,0.3161838533,0.6164117195,-5.445311788
0.948,0.3441190105,0.5934607769,-4.52239749
0.949,0.3717147108,0.5699244113,-3.595092984
0.95,0.3989436991,0.5458257508,-2.664240287
0.951,0.4257789591,0.5211883466,-1.73060379
0.952,0.4521938566,0.4960363285,-0.7950710453
0.953,0.4781624187,0.4703947497,0.1410188358
0.954,0.5036589286,0.4442888572,1.077016969
0.955,0.5286584706,0.4177446126,2.011895318
0.956,0.5531365023,0.3907882715,2.944707506
0.957,0.5770688545,0.3634463835,3.874588811
0.958,0.6004317314,0.335745792,4.800756172
0.959,0.6232017406,0.3077136485,5.722479291
0.96,0.6453567568,0.2793778491,6.638237465
0.961,0.6668745839,0.2507662629,7.54751866
0.962,0.6877343448,0.2219072537,8.449313215
0.963,0.7079156514,0.1928293361,9.342693476
0.964,0.7273986037,0.163561176,10.22681379
0.965,0.7461637908,0.1341315904,11.10091052
0.966,0.7641922901,0.1045695475,11.96430202
0.967,0.7814665564,0.0749042801,12.8157268
0.968,0.7979692771,0.04516511015,13.65448828
0.969,0.8136844875,0.01538139901,14.47975828
0.97,0.8285969657,-0.01441747686,15.29067462
0.971,0.8426920667,-0.04420214133,16.08645242
0.972,0.8559557225,-0.07394321862,16.86638406
0.973,0.8683744418,-0.1036113333,17.62983923
0.974,0.8799358818,-0.1331771909,18.37594327
0.975,0.8906286923,-0.162611543,19.10377436
0.976,0.9004423936,-0.1918853508,19.81276256
0.977,0.9093677026,-0.2209698248,20.50215473
0.978,0.9173959719,-0.2498363282,21.17126652
0.979,0.9245191888,-0.2784563764,21.81948233
0.98,0.9307299763,-0.306801637,22.44625537
0.981,0.9360217027,-0.3348439714,23.05106599
0.982,0.9403897351,-0.3625558662,23.63290544
0.983,0.9438292547,-0.3899097387,24.19145251
0.984,0.9463374283,-0.4168788321,24.72610746
0.985,0.9479120781,-0.4434366852,25.23632646
0.986,0.9485516825,-0.4695571331,25.72162157
0.987,0.9482553752,-0.4952143068,26.18156072
0.988,0.9470229459,-0.5203826335,26.61576775
0.989,0.9448555488,-0.5450372412,27.0237426
0.99,0.9417554248,-0.5691537639,27.40493372
0.991,0.937725629,-0.5927083897,27.75908064
0.992,0.9327706539,-0.6156782131,28.08582098
0.993,0.9268956267,-0.6380407512,28.38483222
0.994,0.92010631,-0.6597739438,28.65583172
0.995,0.9124091013,-0.6808561529,28.89857671
0.996,0.9038110331,-0.7012661634,29.11286428
0.997,0.8943203622,-0.7209836216,29.29842145
0.998,0.8839472956,-0.73998968,29.45499315
0.999,0.872701961,-0.7582655182,29.58250097
1,0.8605954154,-0.7757930703,29.68082079
