time,eddyCurrentTorque.TheatPort,inertia.w,eddyCurrentTorque.phi,heatCapacitor.T,inertia.phi,eddyCurrentTorque.lossPower
0,293.15,20,0,293.15,0,0
0.0007069180519,293.15,20,0.01413836104,293.15,0.01413836104,0
0.01096285218,293.15,20,0.2192570435,293.15,0.2192570435,0
0.08515101423,293.15,20,1.703020285,293.15,1.703020285,0
0.1242862383,293.9199665,19.96147527,2.485499318,293.9199665,2.485499318,94.46859345
0.1439137617,297.6853299,19.77194502,2.875785084,297.6853299,2.875785084,310.3144556
0.1815792663,322.5185277,18.47354703,3.601125896,322.5185277,3.601125896,1087.877174
0.1991669839,345.985995,17.15625423,3.915317188,345.985995,3.915317188,1588.021224
0.2079583786,360.0107946,16.31825389,4.062476193,360.0107946,4.062476193,1579.408542
0.213217865,368.2419736,15.80579172,4.146957064,368.2419736,4.146957064,1549.554923
0.2434914285,411.3103174,12.79400968,4.579948499,411.3103174,4.579948499,1267.961628
0.2612851335,431.9402219,11.0646672,4.792098849,431.9402219,4.792098849,1047.749913
0.2897329881,456.6866831,8.540091176,5.070086991,456.6866831,5.070086991,699.4342921
0.3181808427,472.4624212,6.432808406,5.281991704,472.4624212,5.281991704,425.3134209
0.3512693086,482.8486004,4.539593546,5.461935082,482.8486004,5.461935082,221.3751219
0.3878552294,488.5067164,3.048164038,5.59903773,488.5067164,5.59903773,102.1911549
0.4312486442,491.3754513,1.885120237,5.704109604,491.3754513,5.704109604,39.55032064
0.4773078645,492.5166994,1.127468979,5.772013523,492.5166994,5.772013523,14.21389602
0.5283458676,492.9495531,0.6367922279,5.81585353,492.9495531,5.81585353,4.542223564
0.5819335323,493.0913015,0.3493161644,5.841509613,493.0913015,5.841509613,1.367609194
0.6387651966,493.1352513,0.1847390396,5.856192171,493.1352513,5.856192171,0.3825780173
0.6977675843,493.1477713,0.09534592729,5.864166407,493.1477713,5.864166407,0.1019129003
0.7589685137,493.1511646,0.04801018825,5.868388822,493.1511646,5.868388822,0.02584030925
0.8220866516,493.1520372,0.02366072572,5.870560811,493.1520372,5.870560811,0.006276081288
0.8873221026,493.1522524,0.01138710962,5.871655624,493.1522524,5.871655624,0.001453649899
0.9551313849,493.152303,0.005324361173,5.872196424,493.152303,5.872196424,0.0003178102682
1,493.152312,0.003219686453,5.872384162,493.152312,5.872384162,0.0001162144378
