time,voltageSource.pin_p.reference.gamma,inductor.i.im,inductor.i.re
0,0,1e-06,1e-13
0.001,6.289468492e-06,0.002001007932,4.004031353e-07
0.002,2.51453076e-05,0.004001063408,1.600851236e-06
0.003,5.656751732e-05,0.00600121394,3.601494867e-06
0.004,0.0001005560977,0.008001507177,6.402466148e-06
0.005,0.0001571110486,0.01000199065,1.000397451e-05
0.006,0.0002262323702,0.01200271181,1.440641247e-05
0.007,0.0003079200623,0.01400371817,1.961023892e-05
0.008,0.0004021741251,0.01600505731,2.561597907e-05
0.009,0.0005089945585,0.01800677683,3.24242245e-05
0.01,0.0006283813626,0.02000892441,4.003563312e-05
0.011,0.0007603345372,0.02201154777,4.845092921e-05
0.012,0.0009048540825,0.02401469468,5.767090338e-05
0.013,0.001061939998,0.02601841298,6.769641261e-05
0.014,0.001231592285,0.02802275055,7.852838021e-05
0.015,0.001413810942,0.03002775531,9.016779583e-05
0.016,0.00160859597,0.03203347527,0.0001026157155
0.017,0.001815947368,0.03403995844,0.0001158732616
0.018,0.002035865137,0.03604725193,0.0001299434011
0.019,0.002268349276,0.03805540601,0.0001448252488
0.02,0.002513399787,0.04006446841,0.0001605202134
0.021,0.002771016667,0.04207448681,0.0001770300085
0.022,0.003041199919,0.04408550906,0.0001943564078
0.023,0.003323949541,0.04609758316,0.0002125012461
0.024,0.003619265533,0.04811075726,0.0002314664182
0.025,0.003927147897,0.0501250797,0.0002512538797
0.026,0.00424759663,0.05214059895,0.0002718656467
0.027,0.004580611735,0.05415736366,0.0002933037957
0.028,0.00492619321,0.05617542264,0.0003155704639
0.029,0.005284341056,0.05819482484,0.0003386678488
0.03,0.005655055272,0.06021561939,0.0003625982085
0.031,0.006038335859,0.06223785557,0.0003873638617
0.032,0.006434182816,0.06426158283,0.0004129671877
0.033,0.006842596145,0.06628685078,0.0004394106259
0.034,0.007263575843,0.06831370918,0.0004666966768
0.035,0.007697121913,0.07034220795,0.0004948279009
0.036,0.008143234353,0.07237239718,0.0005238069196
0.037,0.008601913163,0.07440432712,0.0005536364146
0.038,0.009073158345,0.07643804817,0.0005843191282
0.039,0.009556969896,0.0784736109,0.0006158578631
0.04,0.01005334782,0.08051106604,0.0006482554828
0.041,0.01056229211,0.08255046447,0.0006815149111
