time,filter_fac5.uu[3],filter_fac3.x[2],filter_fac3.x[1],filter_fac4.x[2],filter_fac4.x[1],filter_fac5.x[1],filter_fac5.x[2]
0,0,0,0,0,0,0,0
0.0001,0,0,0,0,0,0,0
1.0001,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
