time,pump.flowPort_a.h,pipe.flowPort_a.h,ambient2.flowPort.h,pump.h,heatCapacitor.port.T,pipe.T_q,pipe.T,heatCapacitor.T
0.7000000001,295.3294046,295.3294045,293.1499974,295.3294046,295.8324014,295.3294019,295.3294019,295.8324014
0.7000000002,295.3293992,295.3293994,293.1500026,295.3293992,295.8324014,295.3294019,295.3294019,295.8324014
0.7000000002,295.3294046,295.3294045,293.1499974,295.3294046,295.8324014,295.3294019,295.3294019,295.8324014
0.7000000003,295.3293992,295.3293994,293.1500026,295.3293992,295.8324014,295.3294019,295.3294019,295.8324014
0.7000000005,295.3294046,295.3294045,293.1499974,295.3294046,295.8324014,295.3294019,295.3294019,295.8324014
0.7000000008,295.3293992,295.3293994,293.1500026,295.3293992,295.8324014,295.3294019,295.3294019,295.8324014
0.7000000011,295.3294046,295.3294045,293.1499974,295.3294046,295.8324014,295.3294019,295.3294019,295.8324014
0.7000000017,295.3293992,295.3293994,293.1500026,295.3293992,295.8324014,295.3294019,295.3294019,295.8324014
0.7000000025,295.3294046,295.3294045,293.1499974,295.3294046,295.8324014,295.3294019,295.3294019,295.8324014
0.7000000038,295.3293992,295.3293994,293.1500026,295.3293992,295.8324014,295.3294019,295.3294019,295.8324014
0.7000000056,295.3294047,295.3294045,293.1499974,295.3294047,295.8324014,295.329402,295.329402,295.8324014
0.7000000084,295.3293993,295.3293994,293.1500026,295.3293993,295.8324014,295.329402,295.329402,295.8324014
0.7000000125,295.3294047,295.3294045,293.1499974,295.3294047,295.8324014,295.329402,295.329402,295.8324014
0.7000000187,295.3293993,295.3293995,293.1500026,295.3293993,295.8324013,295.329402,295.329402,295.8324013
0.7000000278,295.3294048,295.3294046,293.1499974,295.3294048,295.8324013,295.3294021,295.3294021,295.8324013
0.7000000415,295.3293994,295.3293996,293.1500026,295.3293994,295.8324012,295.3294021,295.3294021,295.8324012
0.7000000619,295.3294049,295.3294048,293.1499974,295.3294049,295.8324011,295.3294022,295.3294022,295.8324011
0.7000000923,295.3293997,295.3293998,293.1500026,295.3293997,295.832401,295.3294024,295.3294024,295.832401
0.7000001377,295.3294053,295.3294052,293.1499974,295.3294053,295.8324007,295.3294026,295.3294026,295.8324007
0.7000002053,295.3294003,295.3294004,293.1500026,295.3294003,295.8324004,295.329403,295.329403,295.8324004
0.7000003062,295.3294062,295.329406,293.1499974,295.3294062,295.8323999,295.3294035,295.3294035,295.8323999
0.7000004566,295.3294015,295.3294017,293.1500026,295.3294015,295.8323991,295.3294042,295.3294042,295.8323991
0.7000006809,295.3294081,295.3294079,293.1499974,295.3294081,295.832398,295.3294054,295.3294054,295.832398
0.7000010154,295.3294043,295.3294045,293.1500026,295.3294043,295.8323963,295.329407,295.329407,295.8323963
0.7000015143,295.3294123,295.3294121,293.1499974,295.3294123,295.8323938,295.3294095,295.3294095,295.8323938
0.7000022583,295.3294106,295.3294107,293.1500026,295.3294106,295.8323901,295.3294133,295.3294133,295.8323901
0.7000033679,295.3294216,295.3294214,293.1499974,295.3294216,295.8323845,295.3294189,295.3294189,295.8323845
0.7000050225,295.3294245,295.3294246,293.1500026,295.3294245,295.8323762,295.3294272,295.3294272,295.8323762
0.7000074901,295.3294423,295.3294421,293.1499974,295.3294423,295.8323638,295.3294396,295.3294396,295.8323638
0.7000111701,295.3294554,295.3294555,293.1500026,295.3294554,295.8323453,295.3294581,295.3294581,295.8323453
0.7000166581,295.3294884,295.3294882,293.1499974,295.3294884,295.8323177,295.3294857,295.3294857,295.8323177
0.7000248425,295.3295241,295.3295242,293.1500026,295.3295241,295.8322765,295.3295268,295.3295268,295.8322765
0.7000370478,295.3295908,295.3295906,293.1499974,295.3295908,295.8322151,295.3295881,295.3295881,295.8322151
0.7000552498,295.3296766,295.3296768,293.1500026,295.3296766,295.8321237,295.3296793,295.3296793,295.8321237
0.7000823947,295.329818,295.3298178,293.1499974,295.329818,295.8319873,295.3298153,295.3298153,295.8319873
0.7001228761,295.3300149,295.330015,293.1500026,295.3300149,295.8317841,295.3300176,295.3300176,295.8317841
0.7001832465,295.330321,295.3303209,293.1499974,295.330321,295.8314814,295.3303183,295.3303183,295.8314814
0.7002732776,295.3307619,295.3307621,293.1500026,295.3307619,295.8310306,295.3307646,295.3307646,295.8310306
0.7004075419,295.3314282,295.331428,293.1499974,295.3314282,295.8303598,295.3314254,295.3314254,295.8303598
0.7006077717,295.3323976,295.3323978,293.1500026,295.3323976,295.8293628,295.3324003,295.3324003,295.8293628
0.7009063768,295.3338333,295.3338331,293.1499974,295.3338333,295.8278832,295.3338306,295.3338306,295.8278832
0.7013516901,295.3359085,295.3359087,293.1500026,295.3359085,295.8256926,295.3359112,295.3359112,295.8256926
0.7020157911,295.3389012,295.3389011,293.1499974,295.3389012,295.8224607,295.3388985,295.3388985,295.8224607
0.7030061732,295.3430954,295.3430956,293.1500026,295.3430954,295.8177162,295.3430981,295.3430981,295.8177162
0.7044831428,295.3488019,295.3488018,293.1499974,295.3488019,295.8108005,295.3487992,295.3487992,295.8108005
0.7066857687,295.3560697,295.3560699,293.1500026,295.3560697,295.8008177,295.3560724,295.3560724,295.8008177
0.7099705657,295.3642577,295.3642576,293.1499974,295.3642577,295.7865875,295.364255,295.364255,295.7865875
0.7148693366,295.3707628,295.370763,293.1500026,295.3707628,295.7665804,295.3707655,295.3707655,295.7665804
0.7221738968,295.3686019,295.3686017,293.1499974,295.3686019,295.7387017,295.3685992,295.3685992,295.7387017
0.7330768597,295.3415612,295.3415614,293.1500026,295.3415612,295.69928,295.3415639,295.3415639,295.69928
0.7492576246,295.2576055,295.2576053,293.1499975,295.2576055,295.6399786,295.2576028,295.2576028,295.6399786
0.7738653066,295.0583659,295.0583661,293.1500027,295.0583659,295.5351789,295.0583688,295.0583688,295.5351789
0.8087452306,294.7122447,294.7122446,293.149999,294.7122447,295.3409149,294.7122437,294.7122437,295.3409149
0.83501897,294.5025346,294.5025346,293.15,294.5025346,295.169129,294.5025346,294.5025346,295.169129
0.9033619932,294.1461102,294.1461102,293.15,294.1461102,294.7334503,294.1461102,294.1461102,294.7334503
0.9721766214,293.9082283,293.9082283,293.15,293.9082283,294.3721705,293.9082283,293.9082283,294.3721705
1,293.8309115,293.8309115,293.15,293.8309115,294.2494845,293.8309115,293.8309115,294.2494845
