time,coupling.w_ref,coupling.w_sim,coupling.w_relerr,coupling.tau_ref,coupling.tau_sim,coupling.tau_relerr,multiSensor.i_ref,multiSensor.i_sim,multiSensor.i_relerr
0.0040000002,3.7067873e-06,0.423998492,0.00489872,-0.00015996146,-35.01333815,0.550049,0.000249832,55.02522852,1.48476
0.0041,3.8122691e-06,0.4475609073,0.00517095,-0.00016001896,-35.95574028,0.564854,0.00024986232,56.5078782,1.52477
0.0041999999,3.9177244e-06,0.4717428512,0.00545034,-0.00016007596,-36.89506512,0.57961,0.00024988712,57.98494203,1.56462
0.0043000001,4.0231516e-06,0.4965419146,0.00573686,-0.00016013278,-37.83131408,0.594319,0.00024990737,59.45648086,1.60433
0.0044,4.1285484e-06,0.5219554781,0.00603048,-0.00016018969,-38.76448303,0.608978,0.00024992402,60.92254452,1.64389
0.0044999998,4.2339138e-06,0.5479811096,0.00633117,-0.00016024688,-39.69457713,0.62359,0.00024993761,62.38317447,1.6833
0.0046000001,4.3392461e-06,0.5746164831,0.00663891,-0.00016030455,-40.62160627,0.638153,0.00024994879,63.83840778,1.72257
0.0046999999,4.4445437e-06,0.6018588398,0.00695366,-0.00016036282,-41.54556676,0.652669,0.00024995793,65.28826302,1.76169
0.0048000002,4.5498059e-06,0.6297059544,0.00727539,-0.0001604218,-42.46647414,0.667136,0.00024996544,66.7327829,1.80067
0.0049000001,4.6550317e-06,0.658155075,0.00760408,-0.00016048159,-43.384327,0.681555,0.00024997164,68.17198177,1.8395
0.0049999999,4.7602193e-06,0.6872037753,0.0079397,-0.00016054226,-44.29913568,0.695926,0.0002499767,69.6058905,1.8782
0.0051000002,4.8653683e-06,0.7168497219,0.00828222,-0.00016060386,-45.21091372,0.71025,0.00024998089,71.03452836,1.91674
0.0052,4.9704772e-06,0.747090104,0.00863161,-0.00016066643,-46.11966028,0.724526,0.0002499843,72.45789787,1.95515
0.0052999998,5.0755457e-06,0.77792255,0.00898784,-0.00016073002,-47.02538863,0.738755,0.00024998709,73.87602039,1.99342
0.0054000001,5.1805728e-06,0.8093446973,0.00935088,-0.00016079465,-47.92811215,0.752937,0.00024998939,75.28891573,2.03154
0.0055,5.2855567e-06,0.8413537399,0.0097207,-0.00016086036,-48.82783173,0.767071,0.00024999125,76.6965833,2.06953
0.0055999998,5.3904973e-06,0.8739472427,0.0100973,-0.00016092716,-49.72455928,0.781159,0.00024999279,78.09903893,2.10737
0.0057000001,5.4953939e-06,0.9071228753,0.0104806,-0.00016099506,-50.6183095,0.795199,0.00024999405,79.49630095,2.14507
0.0057999999,5.600245e-06,0.940877774,0.0108706,-0.00016106409,-51.50908286,0.809193,0.00024999509,80.88835951,2.18263
0.0059000002,5.7050506e-06,0.9752097422,0.0112672,-0.00016113423,-52.39689772,0.82314,0.00024999594,82.2752375,2.22006
0.0060000001,5.809809e-06,1.010115935,0.0116705,-0.00016120552,-53.2817556,0.837041,0.00024999664,83.65692906,2.25734
0.0060999999,5.9145195e-06,1.045593915,0.0120804,-0.00016127795,-54.16366872,0.850896,0.00024999722,85.03344478,2.29448
0.0062000002,6.0191819e-06,1.081641358,0.0124969,-0.00016135151,-55.0426519,0.864705,0.00024999771,86.4047991,2.33149
0.0063,6.1237952e-06,1.11825536,0.0129199,-0.0001614262,-55.91870594,0.878467,0.00024999809,87.77098427,2.36835
0.0063999998,6.2283584e-06,1.155433557,0.0133495,-0.00016150204,-56.79184479,0.892184,0.00024999841,89.13201297,2.40508
0.0065000001,6.3328707e-06,1.193173592,0.0137855,-0.00016157901,-57.66208241,0.905855,0.00024999867,90.48789611,2.44166
0.0066,6.4373312e-06,1.23147258,0.014228,-0.00016165712,-58.52942049,0.919481,0.00024999888,91.83862612,2.47811
0.0066999998,6.5417398e-06,1.27032808,0.0146769,-0.00016173637,-59.39387123,0.933061,0.00024999905,93.18421206,2.51442
0.0068000001,6.6460948e-06,1.30973778,0.0151323,-0.00016181677,-60.25544934,0.946596,0.0002499992,94.52466651,2.55059
0.0068999999,6.7503961e-06,1.349698731,0.015594,-0.00016189828,-61.11415571,0.960086,0.00024999931,95.85998062,2.58662
0.0070000002,6.8546428e-06,1.39020878,0.016062,-0.00016198092,-61.97000842,0.973532,0.0002499994,97.19017224,2.62251
0.0071,6.9588336e-06,1.431264967,0.0165364,-0.00016206469,-62.82300839,0.986932,0.00024999946,98.51523257,2.65827
0.0071999999,7.062969e-06,1.472864977,0.017017,-0.00016214958,-63.6731702,1.00029,0.00024999949,99.83517407,2.69388
0.0073000002,7.167047e-06,1.515006383,0.0175039,-0.00016223558,-64.52050581,1.0136,0.00024999952,101.1500049,2.72936
0.0074,7.2710673e-06,1.557686243,0.017997,-0.0001623227,-65.365017,1.02687,0.00024999952,102.4597172,2.7647
0.0074999998,7.3750289e-06,1.600902209,0.0184963,-0.00016241093,-66.20671737,1.04009,0.00024999955,103.7643221,2.79991
0.0076000001,7.4789318e-06,1.644651937,0.0190018,-0.00016250028,-67.04562045,1.05327,0.0002499996,105.0638303,2.83497
0.0077,7.5827747e-06,1.688932473,0.0195134,-0.00016259072,-67.88172801,1.0664,0.00024999963,106.3582344,2.8699
