time,dcpm1.inertiaRotor.wˍt,dcdcInverter1.idealDcDc.powerMot.currentSensor.p.v,dcdcInverter1.gain.y,dcdcInverter1.iDCSensor.i,dcdcInverter2.iDCFilter.u,dcdcInverter2.iDCFilter.y,dcdcInverter2.vMotFilter.y,dcdcInverter2.idealDcDc.deadTime.y,dcdcInverter2.iMotFilter.y,dcdcInverter2.vDCFilter.y,dcdcInverter1.iDCFilter.y,dcdcInverter1.vMotFilter.y,dcdcInverter1.iMotFilter.y,coupling.flange_a.phi,dcpm1.inertiaRotor.w,switch.s,dcpm2.pin_an.i,dcdcInverter1.iMotFilter.u,coupling.w,multiSensor.i,multiSensor.v,coupling.tau
0.0001620693811,1.669399359,0,-99.99998857,0,0.1088793946,0.002286959404,0.5750514532,13.84250553,0.02137943251,99.99998857,0,0,-2.612533285e-08,3.812662508e-09,9.261254392e-05,-0.7866875309,0.7866875309,-1.616378784e-06,9.261254392e-05,0.1088793946,99.9994556,-0.2504109329
0.0001903625382,2.261800286,0,-99.99997906,0,0.1687199722,0.004187287449,0.775555073,15.83171314,0.03405142345,99.99997906,0,0,-5.772532891e-08,7.177537635e-09,0.0001480391747,-1.065851317,1.065851317,-3.042331483e-06,0.0001480391747,0.1687199722,99.9991564,-0.3392719797
0.000222664673,3.031796515,0,-99.99996249,0,0.2567016754,0.007501292379,1.034129129,17.96933711,0.05343584186,99.99996249,0,0,-1.247169315e-07,1.3269218e-08,0.0002332757234,-1.428706072,1.428706072,-5.623160234e-06,0.0002332757234,0.2567016754,99.99871649,-0.454773057
0.0002599460728,4.036587629,0,-99.99993374,0,0.3855608421,0.01325130125,1.368470694,20.27076634,0.08313317477,99.99993374,0,0,-2.663434651e-07,2.429880114e-08,0.0003646621835,-1.902207401,1.902207401,-1.029458468e-05,0.0003646621835,0.3855608421,99.9980722,-0.6054946981
0.00030380689,5.366098866,0,-99.99988339,0,0.5756990849,0.0233212119,1.806067909,22.7675514,0.1292817146,99.99988339,0,0,-5.704954063e-07,4.458990088e-08,0.0005703079132,-2.528733402,2.528733402,-1.888552843e-05,0.0005703079132,0.5756990849,99.9971215,-0.8049268528
0.0003572452286,7.182302996,0,-99.99979217,0,0.8639999105,0.04156626811,2.395924437,25.52792802,0.2036645785,99.99979217,0,0,-1.255212437e-06,8.356795689e-08,0.0009046762095,-3.38461593,3.38461593,-3.538111793e-05,0.0009046762095,0.8639999105,99.99568,-1.077367974
0.0004257619538,9.792634742,0,-99.99961621,0,1.32268082,0.07675709695,3.229245973,28.66179565,0.3312320579,99.99961621,0,0,-2.93640868e-06,1.643961079e-07,0.001484510345,-4.614739974,4.614739974,-6.956899574e-05,0.001484510345,1.32268082,99.9933866,-1.4689395
0.000502261546,13.03323569,0,-99.99932531,0,1.946409268,0.134937996,4.242278508,31.6890377,0.5203490531,99.99932531,0,0,-6.50881644e-06,3.096972534e-07,0.002355560934,-6.14189861,6.14189861,-0.0001309869833,0.002355560934,1.946409268,99.99026795,-1.955068742
0.0005870015412,16.96538825,0,-99.99886651,0,2.762038832,0.2266977228,5.442206788,34.54364999,0.7917288307,99.99886651,0,0,-1.373083048e-05,5.607089357e-07,0.00362426692,-7.994987874,7.994987874,-0.000237010581,0.00362426692,2.762038832,99.98618981,-2.544959123
0.0006796119577,21.60745731,0,-99.99817875,0,3.78417979,0.3642497431,6.820438436,37.15699776,1.166968429,99.99817875,0,0,-2.756427869e-05,9.756250071e-07,0.005407862584,-10.18268649,10.18268649,-0.0004121223802,0.005407862584,3.78417979,99.9810791,-3.241380961
0.0007793444011,26.93751034,0,-99.99719873,0,5.012916969,0.5602537578,8.354939715,39.4794109,1.666535586,99.99719873,0,0,-5.263777013e-05,1.63113114e-06,0.00782604612,-12.69469122,12.69469122,-0.0006885264131,0.00782604612,5.012916969,99.97493542,-4.041064881
0.0008860912293,32.94938856,0,-99.99585604,0,6.44641615,0.828792047,10.02749961,41.50191752,2.313423132,99.99585604,0,0,-9.611366284e-05,2.631293604e-06,0.01101989528,-15.52814341,15.52814341,-0.001109851482,0.01101989528,6.44641615,99.96776792,-4.943114838
0.00100030743,39.66008569,0,-99.99406957,0,8.084670565,1.186085255,11.82503934,43.23739517,3.135012941,99.99406957,0,0,-0.0001690104697,4.119313609e-06,0.01516406904,-18.69111111,18.69111111,-0.001736032325,0.01516406904,8.084670565,99.95957665,-5.950118047
0.001122762841,47.10197313,0,-99.99174624,0,9.929120441,1.650751966,13.73649593,44.70640645,4.16361346,99.99174624,0,0,-0.000288127048,6.29205238e-06,0.02047403849,-22.19893123,22.19893123,-0.00264931374,0.02047403849,9.929120441,99.9503544,-7.066982576
0.001254502951,55.3228594,0,-99.98877816,0,11.98358791,2.244368493,15.75197405,45.93254659,5.437717537,99.98877816,0,0,-0.0004790117793,9.421682852e-06,0.02721867596,-26.07424649,26.07424649,-0.003963187188,0.02721867596,11.98358791,99.94008206,-8.300951954
0.001396839643,64.3863184,0,-99.98503943,0,14.25502866,2.992114296,17.86188622,46.94021785,7.003419323,99.98503943,0,0,-0.0007805230923,1.388678171e-05,0.03573631277,-30.34717292,30.34717292,-0.005835189448,0.03573631277,14.25502866,99.92872486,-9.661662556
0.001551377451,74.37336913,0,-99.98038202,0,16.75447587,3.92359654,20.056315,47.75373664,8.916206553,99.98038202,0,0,-0.001251920506,2.021785534e-05,0.04645653604,-35.0561101,35.0561101,-0.008485591479,0.04645653604,16.75447587,99.91622762,-11.16140746
0.001720071448,85.38567769,0,-99.97463027,0,19.49828739,5.073945107,22.32453736,48.3969948,11.24330497,99.97463027,0,0,-0.001984042988,2.916516558e-05,0.0599305064,-40.24927782,40.24927782,-0.01222516041,0.0599305064,19.49828739,99.90250856,-12.81563443
0.001905290368,97.54865821,0,-99.96757463,0,22.50932066,6.485074177,24.65429707,48.89323396,14.0663539,99.96757463,0,0,-0.003117013018,4.17995235e-05,0.07687120068,-45.98621847,45.98621847,-0.01749626735,0.07687120068,22.50932066,99.8874534,-14.6434372
0.002109936749,111.0177797,0,-99.95896244,0,25.81886736,8.207511143,27.03144579,49.26497478,17.48520993,99.95896244,0,0,-0.004868931196,5.96676113e-05,0.09821225519,-52.34083217,52.34083217,-0.0249360173,0.09821225519,25.81886736,99.87090566,-16.66854171
0.002337583834,125.9852521,0,-99.94848699,0,29.46862947,10.30260207,29.43925824,49.53380189,21.6224618,99.94848699,0,0,-0.007582753963,8.503134996e-05,0.1251895081,-59.40462449,59.40462449,-0.03547312059,0.1251895081,29.46862947,99.85265685,-18.92037071
0.002592663574,142.6889324,0,-99.93577323,0,33.5131752,12.84535432,31.85774619,49.72009473,26.62915443,99.93577323,0,0,-0.01180419454,0.0001212446974,0.1594581102,-67.29105492,67.29105492,-0.05047966732,0.1594581102,33.5131752,99.83243412,-21.43547621
0.002880704622,161.4227454,0,-99.92036056,0,38.02267972,15.92788794,34.2628245,49.84266627,32.69162623,99.92036056,0,0,-0.01841288797,0.0001733540362,0.2032601049,-76.14068832,76.14068832,-0.07201163467,0.2032601049,38.02267972,99.8098866,-24.25925585
0.003208661608,182.5503032,0,-99.90168106,0,43.0863445,19.66378818,36.62561474,49.91834888,40.03998892,99.90168106,0,0,-0.02884721919,0.0002490753392,0.2596705586,-86.12800161,86.12800161,-0.1031979098,0.2596705586,43.0863445,99.78456828,-27.44824331
0.003585453718,206.5275243,0,-99.87902722,0,48.81789627,24.19455537,38.91244289,49.96156872,48.96055434,99.87902722,0,0,-0.04550107508,0.0003604449871,0.3329815899,-97.47269621,97.47269621,-0.1488932276,0.3329815899,48.81789627,99.75591052,-31.07391702
0.004022664189,233.9278925,0,-99.85151349,0,55.36174626,29.6973013,41.08465608,49.98397016,59.81051132,99.85151349,0,0,-0.07243555998,0.0005266438187,0.4292842671,-110.4527083,110.4527083,-0.2167860576,0.4292842671,55.36174626,99.72319127,-35.22719416
0.004534967801,265.4391885,0,-99.81806632,0,62.89264924,36.38673568,43.09708783,49.99424628,73.02108184,99.81806632,0,0,-0.1166297868,0.0007786509465,0.5572257526,-125.4044725,125.4044725,-0.3192018301,0.5572257526,62.89264924,99.68553675,-40.01908847
0.005135549411,301.5478139,0,-99.7777791,0,71.54112668,44.44417916,44.88684037,49.99826902,88.95588361,99.7777791,0,0,-0.1894683578,0.001163366514,0.7275319763,-142.5756612,142.5756612,-0.4746016951,0.7275319763,71.54112668,99.64229437,-45.53431291
0.005822754899,341.7504516,0,-99.73092535,0,81.20439774,53.81492999,46.37342969,49.99956208,107.5074678,99.73092535,0,0,-0.3063574559,0.00173772144,0.9486393794,-161.7510746,161.7510746,-0.7049684194,0.9486393794,81.20439774,99.59397801,-51.71136458
0.006593320145,385.4054436,0,-99.67812843,0,91.74855936,64.37431309,47.53292719,49.99990622,128.424272,99.67812843,0,0,-0.4882373414,0.002574528229,1.228896886,-182.6559513,182.6559513,-1.037914732,1.228896886,91.74855936,99.5412572,-58.47157359
