time,damper.phi_rel_ref,damper.phi_rel_sim,damper.phi_rel_relerr,damper.w_rel_ref,damper.w_rel_sim,damper.w_rel_relerr,inertia3.phi_ref,inertia3.phi_sim,inertia3.phi_relerr,inertia3.w_ref,inertia3.w_sim,inertia3.w_relerr
0,0,0,0,0,-0,0,0,0,0,0,0,0
0.0005,-5.561930375e-09,5.454709659e-09,6.68167e-08,-3.271941688e-05,3.272936437e-05,0.000152281,4.224833691e-13,-4.061104656e-13,4.99799e-12,3.718040575e-09,-3.408940226e-09,1.38856e-08
0.001,-4.371032252e-08,4.364199128e-08,5.29798e-07,-0.0001308433416,0.0001309343867,0.000609083,1.20979233e-11,-1.080608024e-11,1.38155e-10,5.617070282e-08,-5.454183611e-08,2.15702e-07
0.0015,-1.472551512e-07,1.473056482e-07,1.78653e-06,-0.0002942984656,0.0002946385804,0.00137029,9.366619543e-11,-8.260203649e-11,1.06323e-09,2.847158869e-07,-2.760820688e-07,1.09261e-06
0.002,-3.488288605e-07,3.492007551e-07,4.2336e-06,-0.0005229815552,0.00052386295,0.00243571,3.901691993e-10,-3.446773766e-10,4.43252e-09,8.978986731e-07,-8.724360655e-07,3.44916e-06
0.0025,-6.81039482e-07,6.820913312e-07,8.26748e-06,-0.0008167655692,0.0008186258659,0.0038051,1.149379302e-09,-1.076909424e-09,1.34287e-08,2.169427014e-06,-2.128990598e-06,8.37465e-06
0.003,-1.176386458e-06,1.17875212e-06,1.42841e-05,-0.001175489956,0.001178943265,0.0054781,2.789712908e-09,-2.655249068e-09,3.28434e-08,4.464674684e-06,-4.413193688e-06,1.72968e-05
0.0035,-1.867289837e-06,1.871963342e-06,2.26788e-05,-0.001598964577,0.001604828328,0.00745432,5.931952134e-09,-5.713318227e-09,7.0243e-08,8.229557299e-06,-8.172381939e-06,3.19561e-05
0.004,-2.786070476e-06,2.794510697e-06,3.38466e-05,-0.002086970277,0.002096291477,0.00973327,1.143816574e-08,-1.114240985e-08,1.36204e-07,1.398864573e-05,-1.393378054e-05,5.44016e-05
0.0045,-3.964931803e-06,3.979185365e-06,4.81816e-05,-0.002639259866,0.002653340381,0.0123144,2.045620709e-08,-2.009148793e-08,2.44579e-07,2.234196288e-05,-2.230450325e-05,8.69852e-05
0.005,-5.43595387e-06,5.458785482e-06,6.60774e-05,-0.003255558345,0.003275980266,0.0151971,3.44350924e-08,-3.394263984e-08,4.12447e-07,3.396418894e-05,-3.397314756e-05,0.000132363
0.0055,-7.231056545e-06,7.266096964e-06,8.79263e-05,-0.003935558773,0.003964211635,0.0183805,5.521994365e-08,-5.475284167e-08,6.63344e-07,4.961500221e-05,-4.969558629e-05,0.000193488
0.006,-9.382024695e-06,9.433922959e-06,0.00011412,-0.004678926335,0.00471803392,0.0218641,8.498757261e-08,-8.460026459e-08,1.02294e-06,7.0128484e-05,-7.031788887e-05,0.000273633
0.0065,-1.192043559e-05,1.199506054e-05,0.000145049,-0.005485299851,0.00553744284,0.0256468,1.264362433e-07,-1.261012152e-07,1.52328e-06,9.640625537e-05,-9.675862328e-05,0.000376345
0.007,-1.487771584e-05,1.498230009e-05,0.000181103,-0.006354288571,0.006422430327,0.0297278,1.826363044e-07,-1.824230932e-07,2.202e-06,0.0001294283719,-0.000130008402,0.000505463
0.0075,-1.828505205e-05,1.842842537e-05,0.00022267,-0.007285476795,0.007372984527,0.0341061,2.572649255e-07,-2.572843914e-07,3.10371e-06,0.0001702365876,-0.000171129882,0.000665088
0.008,-2.217344994e-05,2.236621342e-05,0.000270136,-0.008278420533,0.008389089805,0.0387806,3.544490624e-07,-3.549546957e-07,4.27905e-06,0.0002199460606,-0.0002212577647,0.000859602
0.0085,-2.657365883e-05,2.682843464e-05,0.000323887,-0.009332650436,0.009470726735,0.0437502,4.789629219e-07,-4.80254685e-07,5.7859e-06,0.0002797334319,-0.000281598796,0.00109365
0.009,-3.151620353e-05,3.184785277e-05,0.000384307,-0.01044767044,0.01061787211,0.0490136,6.361411108e-07,-6.385561314e-07,7.68884e-06,0.0003508417845,-0.0003534317663,0.00137214
0.0095,-3.703135094e-05,3.745722341e-05,0.000451778,-0.0116229588,0.01183049919,0.0545696,8.319659457e-07,-8.358164362e-07,1.00599e-05,0.0004345761285,-0.000438107161,0.00170026
0.01,-4.314909849e-05,4.368925907e-05,0.000526681,-0.01285796896,0.01310857316,0.0604168,1.073087766e-06,-1.079044289e-06,1.29814e-05,0.0005322991237,-0.0005370188322,0.00208336
0.0105,-4.98991644e-05,5.057668747e-05,0.000609393,-0.01415212956,0.01445205837,0.0665539,1.366852259e-06,-1.375589239e-06,1.65421e-05,0.0006454309411,-0.0006516506109,0.00252712
0.011,-5.73109824e-05,5.815220875e-05,0.000700292,-0.01550484467,0.01586091336,0.0729793,1.721312039e-06,-1.733638407e-06,2.08399e-05,0.0007754479482,-0.0007835424233,0.0030374
0.0115,-6.541367864e-05,6.644849489e-05,0.000799753,-0.01691549462,0.01733509077,0.0796915,2.14528122e-06,-2.162224472e-06,2.59824e-05,0.00092387868,-0.0009342897428,0.00362029
0.012,-7.423605347e-05,7.549818959e-05,0.000908149,-0.01838343651,0.01887453729,0.0866888,2.648378483e-06,-2.671225672e-06,3.20873e-05,0.001092300597,-0.00110554359,0.00428208
0.0125,-8.380658505e-05,8.533390837e-05,0.00102585,-0.01990800427,0.02047919373,0.0939696,3.241018996e-06,-3.271365809e-06,3.9282e-05,0.001282340807,-0.001299010531,0.00502927
0.013,-9.415340505e-05,9.598823853e-05,0.00115322,-0.02148850934,0.02214899499,0.101532,3.934471676e-06,-3.974214239e-06,4.77044e-05,0.001495671758,-0.00151645268,0.00586855
0.0135,-0.0001053043256,0.0001074937391,0.00129064,-0.02312424471,0.02388387004,0.109375,4.740720062e-06,-4.792185881e-06,5.75015e-05,0.001733994871,-0.001759687698,0.00680678
0.014,-0.000117286774,0.0001198829532,0.00143845,-0.02481448022,0.02568374363,0.117495,5.672723802e-06,-5.738499548e-06,6.88313e-05,0.001999058906,-0.002030597544,0.00785102
0.0145,-0.0001301278049,0.0001331883089,0.00159703,-0.02655846548,0.02754852593,0.125892,6.744337966e-06,-6.827678052e-06,8.1865e-05,0.002292647755,-0.002331059965,0.00900842
0.015,-0.0001438541057,0.0001474422549,0.00176673,-0.02835543133,0.02947812611,0.134562,7.970256315e-06,-8.074931251e-06,9.67829e-05,0.002616573107,-0.002663040473,0.0102863
0.0155,-0.0001584919778,0.0001626771948,0.00194791,-0.03020458993,0.03147244639,0.143505,9.366068344e-06,-9.496441988e-06,0.000113777,0.002972673794,-0.003028548648,0.0116922
0.016,-0.0001740673054,0.0001789254673,0.00214093,-0.03210513444,0.03353137983,0.152718,1.094838419e-05,-1.110945623e-05,0.000133051,0.003362818076,-0.003429624247,0.0132338
0.0165,-0.000190605572,0.0001962193459,0.00234612,-0.03405624081,0.0356548104,0.162198,1.273471601e-05,-1.293228309e-05,0.000154821,0.003788894104,-0.003868337211,0.0149187
0.017,-0.0002081318701,0.0002145910389,0.00256384,-0.03605706884,0.03784261295,0.171944,1.474340124e-05,-1.49842948e-05,0.000179314,0.004252804078,-0.004346787661,0.0167547
0.0175,-0.0002266708322,0.0002340726897,0.00279444,-0.03810676111,0.0400946532,0.181953,1.699391075e-05,-1.728592672e-05,0.000206772,0.004756471095,-0.004867105896,0.0187497
0.018,-0.0002462466637,0.0002546963765,0.00303825,-0.04020444489,0.04241078777,0.192222,1.950665184e-05,-1.985867735e-05,0.000237448,0.005301828689,-0.005431452399,0.0209118
0.0185,-0.0002668831629,0.0002764941123,0.00329562,-0.04234923377,0.04479086416,0.20275,2.230283663e-05,-2.272510831e-05,0.000271604,0.005890813359,-0.006042017831,0.0232489
0.019,-0.0002886036473,0.0002994978493,0.00356688,-0.04454022622,0.04723472109,0.213534,2.540481579e-05,-2.590884361e-05,0.000309519,0.00652537111,-0.006701025257,0.0257691
0.0195,-0.0003114309806,0.0003237394693,0.00385235,-0.04677650744,0.04974218924,0.224572,2.883591195e-05,-2.943462409e-05,0.000351482,0.007207448716,-0.007410725917,0.0284807
0.02,-0.0003353875848,0.0003492506174,0.00415238,-0.04905715074,0.05231307563,0.23586,3.262032832e-05,-3.332838175e-05,0.000397796,0.007938987623,-0.008173305848,0.0313918
0.0205,-0.0003604954163,0.0003760630142,0.00446728,-0.05138121775,0.05494718978,0.247396,3.678323266e-05,-3.761713324e-05,0.000448775,0.008721922681,-0.008991055017,0.0345104
0.021,-0.0003867759342,0.0004042082532,0.00479737,-0.05374775824,0.057644328,0.259178,4.135088131e-05,-4.232903385e-05,0.000504748,0.009558181938,-0.009866259514,0.0378448
0.0215,-0.0004142501321,0.0004337178011,0.00514299,-0.0561558121,0.0604042733,0.271203,4.635043331e-05,-4.749337751e-05,0.000566056,0.01044967843,-0.01080120155,0.0414033
0.022,-0.0004429385496,0.0004646229974,0.00550442,-0.05860441049,0.06322679547,0.283467,5.180986163e-05,-5.31405968e-05,0.00063305,0.0113983056,-0.01179815947,0.0451939
0.0225,-0.0004728611958,0.0004969550545,0.005882,-0.0610925748,0.06611165104,0.295968,5.775829136e-05,-5.930226293e-05,0.000706097,0.01240593934,-0.01285940773,0.0492247
0.023,-0.0005040375958,0.000530745058,0.00627603,-0.06361931873,0.06905858325,0.308704,6.422574561e-05,-6.601108577e-05,0.000785575,0.01347443026,-0.01398721692,0.0535038
0.0235,-0.0005364868223,0.0005660239662,0.00668681,-0.06618364917,0.07206732212,0.321671,7.124296237e-05,-7.330091384e-05,0.000871873,0.01460560052,-0.01518385374,0.0580391
0.024,-0.0005702274026,0.0006028226105,0.00711463,-0.06878456613,0.07513758441,0.334866,7.884180715e-05,-8.120673429e-05,0.000965396,0.01580124125,-0.01645158103,0.0628385
0.0245,-0.0006052773685,0.0006411716952,0.0075598,-0.07142106404,0.07826907361,0.348287,8.705500484e-05,-8.976467292e-05,0.00106656,0.01706310835,-0.01779265774,0.0679099
0.025,-0.0006416542695,0.000681101855,0.00802261,-0.07409213232,0.08146148367,0.361929,9.591604536e-05,-9.901213639e-05,0.00117579,0.01839292032,-0.01920936142,0.0732609
0.0255,-0.0006793751453,0.0007226433764,0.00850334,-0.07679675621,0.0847144848,0.375791,0.0001054592847,-0.000108987274,0.00129352,0.01979235372,-0.02070387859,0.0788992
0.026,-0.0007184565035,0.0007658263538,0.00900228,-0.0795339175,0.0880277283,0.389869,0.0001157200168,-0.0001197292794,0.00142021,0.02126303873,-0.02227836115,0.0848322
0.0265,-0.0007589143555,0.0008106809209,0.00951971,-0.08230259519,0.09140086249,0.404159,0.0001267342756,-0.0001312789318,0.00155631,0.02280655801,-0.02393501921,0.0910671
0.027,-0.000800764227,0.0008572369872,0.0100559,-0.08510176608,0.094833518,0.418659,0.0001385387552,-0.0001436779975,0.0017023,0.02442444475,-0.02567601928,0.0976113
0.0275,-0.0008440210906,0.0009055242384,0.0106111,-0.08793040599,0.09832530774,0.433365,0.0001511710942,-0.0001569692299,0.00185867,0.02611817355,-0.02750348423,0.104472
0.028,-0.0008886994133,0.000955572136,0.0111856,-0.09078749011,0.1018758269,0.448273,0.0001646696224,-0.00017119637,0.00202591,0.02788916142,-0.02941949334,0.111655
0.0285,-0.0009348131928,0.001007409918,0.0117797,-0.09367199318,0.1054846528,0.463381,0.0001790731668,-0.0001864041459,0.00220452,0.02973876984,-0.03142608228,0.119168
0.029,-0.0009823758642,0.001061066597,0.0123936,-0.09658289146,0.1091513453,0.478686,0.0001944214463,-0.0002026382727,0.00239502,0.03166828971,-0.03352524311,0.127017
