time,inertia3.w,inertia3.phi,damper.phi_rel,damper.phi_relˍt,damper.phi_relˍtt,damper.w_rel
0.6102836618,-0.1495592387,0.1099287459,-0.110159192,0.05314960036,-2.497919173,0.05314960036
0.6242211055,-0.08627554051,0.1081769829,-0.1097299633,0.003903102398,-4.455720051,0.003903102398
0.6384353944,0.05568410042,0.1078978928,-0.1101758082,-0.06989881666,-5.832860493,-0.06989881666
0.6501069389,0.1863333848,0.1093214099,-0.1114065258,-0.1422550362,-6.477143823,-0.1422550362
0.6636364356,0.3010287992,0.1126833036,-0.1139288359,-0.230338862,-6.350366209,-0.230338862
0.6775816459,0.355879558,0.117333948,-0.117721208,-0.309989143,-4.814754791,-0.309989143
0.6915569636,0.3671071821,0.1224153478,-0.1224372433,-0.3580243803,-1.867954138,-0.3580243803
0.7055322813,0.3664121918,0.1275448514,-0.1275074927,-0.3591953786,1.709264397,-0.3591953786
0.7195075991,0.3554150804,0.1326147551,-0.13225291,-0.3127963137,4.752463967,-0.3127963137
0.734663578,0.2961119855,0.1376407235,-0.1363633428,-0.2251862164,6.507826493,-0.2251862164
0.749819557,0.1616294902,0.1411982286,-0.1390111513,-0.1239812601,6.61395276,-0.1239812601
0.7649755359,-0.01138900544,0.1423360096,-0.1401601146,-0.03011346657,5.639808486,-0.03011346657
0.7801315149,-0.1392539788,0.1410860926,-0.140026699,0.04346231449,3.951267261,0.04346231449
0.7952874938,-0.1643470918,0.1386485336,-0.1390012876,0.08554147453,1.451906416,0.08554147453
0.8104723407,-0.1030099286,0.1365457244,-0.1376557788,0.0833180949,-1.836846421,0.0833180949
0.8256571875,-0.01623030257,0.1356435512,-0.1367344726,0.02963585761,-5.128546012,0.02963585761
0.8408420343,0.06047040309,0.1359911556,-0.1369702466,-0.06576997588,-7.120093581,-0.06576997588
0.8560268812,0.1440647402,0.1375133521,-0.1388052223,-0.1755007838,-6.961596334,-0.1755007838
0.871211728,0.2588607023,0.1405342787,-0.1422086191,-0.267576719,-4.932241879,-0.267576719
0.8875655698,0.3866623042,0.1458593357,-0.1471106475,-0.3234975782,-1.860821229,-0.3234975782
0.9039194117,0.4335863381,0.1527325466,-0.1525136525,-0.3291492037,1.115387991,-0.3291492037
0.9202732535,0.3508303624,0.159312694,-0.1576252378,-0.2886844767,3.790261307,-0.2886844767
0.9366270953,0.1894192164,0.1637690573,-0.1617306744,-0.2071045455,6.082593991,-0.2071045455
0.9529809372,0.04589080618,0.1656178748,-0.1642345615,-0.09594312925,7.224009376,-0.09594312925
0.9662604784,-0.02596233454,0.1657090983,-0.1648787611,-0.002499668661,6.579594658,-0.002499668661
0.9795400197,-0.07313769626,0.165038319,-0.1643859013,0.07186310305,4.391552232,0.07186310305
0.992819561,-0.1166288682,0.1637784884,-0.1631331546,0.1097854262,1.23466607,0.1097854262
1,-0.1381906652,0.162861236,-0.1623284038,0.1122416162,-0.537561521,0.1122416162
