time,dcse.ie,dcse.airGapDC.psi_eˍt,dcse.phiMechanical,dcse.inertiaRotor.w,dcse.inertiaRotor.a,loadInertia.w,dcse.la.i,loadInertia.phi
0.04595332061,90.28278582,-0.04498107726,0.1711343607,7.794882078,172.3778145,7.794882078,90.28278582,0.1711343607
0.0500269662,89.91939108,-0.0442283781,0.2043140531,8.494025055,170.8773469,8.494025055,89.91939108,0.2043140531
0.05425329502,89.54877332,-0.04346751442,0.2417341025,9.212956881,169.341971,9.212956881,89.54877332,0.2417341025
0.05861725501,89.17274564,-0.04270247837,0.2835465849,9.948539345,167.7786665,9.948539345,89.17274564,0.2835465849
0.06310577736,88.79285664,-0.04193659524,0.3298855883,10.69805139,166.1933797,10.69805139,88.79285664,0.3298855883
0.06770774322,88.41040695,-0.04117258049,0.3808718089,11.459172,164.5910857,11.459172,88.41040695,0.3808718089
0.07241349486,88.02650333,-0.04041267005,0.4366122048,12.22988759,162.9760074,12.22988759,88.02650333,0.4366122048
0.07721492574,87.64206304,-0.03965864789,0.4972055041,13.00849659,161.3516269,13.00849659,87.64206304,0.4972055041
0.08210519579,87.25784851,-0.03891193198,0.562743383,13.79355253,159.7208234,13.79355253,87.25784851,0.562743383
0.08707860219,86.87448765,-0.03817362866,0.6333128906,14.58383393,158.0859522,14.58383393,86.87448765,0.6333128906
0.09213041255,86.4924958,-0.03744458789,0.7089979051,15.37830937,156.4489309,15.37830937,86.4924958,0.7089979051
0.0972567356,86.11229331,-0.03672544749,0.7898805642,16.17610968,154.8113085,16.17610968,86.11229331,0.7898805642
0.09895347891,85.98806291,-0.03649187941,0.8175498582,16.43832885,154.2743702,16.43832885,85.98806291,0.8175498582
0.09954818671,85.94470731,-0.03641052195,0.8273531311,16.53002122,154.0867636,16.53002122,85.94470731,0.8273531311
0.09992273339,85.91745158,-0.0363594179,0.833555201,16.58771181,153.9687654,16.58771181,85.91745158,0.833555201
0.1000495908,85.90829506,-0.03517802337,0.8356607145,16.60724136,153.9290686,16.60724136,85.90829506,0.8356607145
0.100109839,85.9041399,-0.03379734693,0.8366615492,16.61651475,153.9109203,16.61651475,85.9041399,0.8366615492
0.1005889583,85.87647483,-0.02438063262,0.844640503,16.69022525,153.7861776,16.69022525,85.87647483,0.844640503
0.1010680776,85.85668584,-0.01725256832,0.8526547598,16.76388317,153.6900769,16.76388317,85.85668584,0.8526547598
0.1016953909,85.8395531,-0.01046984194,0.8632011991,16.86026391,153.5961115,16.86026391,85.8395531,0.8632011991
0.1023886807,85.82881873,-0.005355729052,0.8749271553,16.96672335,153.5219563,16.96672335,85.82881873,0.8749271553
0.1032073324,85.82349749,-0.001452335587,0.8888684301,17.09237782,153.4609189,17.09237782,85.82349749,0.8888684301
0.104129865,85.82349022,0.001208248532,0.9047020009,17.23392735,153.4136006,17.23392735,85.82349022,0.9047020009
0.1051887573,85.8280623,0.002934184318,0.9230368742,17.39635454,153.3755072,17.39635454,85.8280623,0.9230368742
0.1063940867,85.83651358,0.003959404427,0.9441166167,17.58120235,153.3433644,17.58120235,85.83651358,0.9441166167
0.1077807606,85.8483772,0.00452222694,0.9686434303,17.79381825,153.3133815,17.79381825,85.8483772,0.9686434303
0.1093869559,85.8634221,0.004802832253,0.9974215272,18.04004426,153.2823255,18.04004426,85.8634221,0.9974215272
0.1112762273,85.88185065,0.00493042833,1.031777605,18.32960277,153.2469889,18.32960277,85.88185065,1.031777605
0.1135410885,85.9043303,0.004985852522,1.073684621,18.67663744,153.2039401,18.67663744,85.9043303,1.073684621
0.11633233,85.93225211,0.005014350437,1.126412364,19.10418999,153.1485354,19.10418999,85.93225211,1.126412364
0.1199042457,85.96816213,0.005038405055,1.195627741,19.65109066,153.0732342,19.65109066,85.96816213,1.195627741
0.1247068077,86.01670441,0.005069398155,1.291768198,20.38597576,152.964023,20.38597576,86.01670441,1.291768198
0.1313309018,86.08416445,0.005115335762,1.430161568,21.39868518,152.7985314,21.39868518,86.08416445,1.430161568
0.1394944895,86.16818408,0.005177721101,1.609940721,22.6451592,152.5713082,22.6451592,86.16818408,1.609940721
0.1489107976,86.26643246,0.005257519224,1.829934316,24.08046285,152.2780635,24.08046285,86.26643246,1.829934316
0.1595551277,86.37940544,0.005357660633,2.094874595,25.69942506,151.9075526,25.69942506,86.37940544,2.094874595
0.171295549,86.50662094,0.005480089977,2.40705577,27.48025925,151.4525123,27.48025925,86.50662094,2.40705577
0.1840065829,86.6477667,0.005626462632,2.768579074,29.4019683,150.9072127,29.4019683,86.6477667,2.768579074
0.1975431849,86.80237595,0.005797708183,3.180388858,31.44048539,150.26911,31.44048539,86.80237595,3.180388858
0.2117610819,86.96999136,0.005994111914,3.64257068,33.5718736,149.5385242,33.5718736,86.96999136,3.64257068
0.2265197044,87.15014284,0.006215298146,4.154302086,35.77288055,148.7186317,35.77288055,87.15014284,4.154302086
0.2416882971,87.34236969,0.006460322804,4.714001316,38.02195489,147.8150196,38.02195489,87.34236969,4.714001316
0.2571478411,87.54620633,0.006727763625,5.319428651,40.29960756,146.8352325,40.29960756,87.54620633,5.319428651
0.2727940246,87.76119688,0.007015864589,5.967894388,42.58889641,145.7881211,42.58889641,87.76119688,5.967894388
