time,source.port_p.reference.gamma
0,0
0.001,0.3141592654
0.002,0.6283185307
0.003,0.9424777961
0.004,1.256637061
0.005,1.570796327
0.006,1.884955592
0.007,2.199114858
0.008,2.513274123
0.009,2.827433388
0.01,3.141592654
0.011,3.455751919
0.012,3.769911184
0.013,4.08407045
0.014,4.398229715
0.015,4.71238898
0.016,5.026548246
0.017,5.340707511
0.018,5.654866776
0.019,5.969026042
0.02,6.283185307
0.021,6.597344573
0.022,6.911503838
0.023,7.225663103
0.024,7.539822369
0.025,7.853981634
0.026,8.168140899
0.027,8.482300165
0.028,8.79645943
0.029,9.110618695
0.03,9.424777961
0.031,9.738937226
0.032,10.05309649
0.033,10.36725576
0.034,10.68141502
0.035,10.99557429
0.036,11.30973355
0.037,11.62389282
0.038,11.93805208
0.039,12.25221135
0.04,12.56637061
0.041,12.88052988
0.042,13.19468915
0.043,13.50884841
0.044,13.82300768
0.045,14.13716694
0.046,14.45132621
0.047,14.76548547
0.048,15.07964474
0.049,15.393804
0.05,15.70796327
0.051,16.02212253
0.052,16.3362818
0.053,16.65044106
0.054,16.96460033
0.055,17.27875959
0.056,17.59291886
0.057,17.90707813
0.058,18.22123739
0.059,18.53539666
0.06,18.84955592
0.061,19.16371519
0.062,19.47787445
0.063,19.79203372
0.064,20.10619298
0.065,20.42035225
0.066,20.73451151
0.067,21.04867078
0.068,21.36283004
0.069,21.67698931
0.07,21.99114858
0.071,22.30530784
0.072,22.61946711
0.073,22.93362637
0.074,23.24778564
0.075,23.5619449
0.076,23.87610417
0.077,24.19026343
0.078,24.5044227
0.079,24.81858196
0.08,25.13274123
0.081,25.44690049
0.082,25.76105976
0.083,26.07521902
0.084,26.38937829
0.085,26.70353756
0.086,27.01769682
0.087,27.33185609
0.088,27.64601535
0.089,27.96017462
0.09,28.27433388
0.091,28.58849315
0.092,28.90265241
0.093,29.21681168
0.094,29.53097094
0.095,29.84513021
0.096,30.15928947
0.097,30.47344874
0.098,30.78760801
0.099,31.10176727
0.1,31.41592654
0.101,31.7300858
0.102,32.04424507
0.103,32.35840433
0.104,32.6725636
0.105,32.98672286
0.106,33.30088213
0.107,33.61504139
0.108,33.92920066
0.109,34.24335992
0.11,34.55751919
0.111,34.87167845
0.112,35.18583772
0.113,35.49999699
0.114,35.81415625
0.115,36.12831552
0.116,36.44247478
0.117,36.75663405
0.118,37.07079331
0.119,37.38495258
0.12,37.69911184
0.121,38.01327111
0.122,38.32743037
0.123,38.64158964
0.124,38.9557489
0.125,39.26990817
0.126,39.58406744
0.127,39.8982267
0.128,40.21238597
0.129,40.52654523
0.13,40.8407045
0.131,41.15486376
0.132,41.46902303
0.133,41.78318229
0.134,42.09734156
0.135,42.41150082
0.136,42.72566009
0.137,43.03981935
0.138,43.35397862
0.139,43.66813788
0.14,43.98229715
0.141,44.29645642
0.142,44.61061568
0.143,44.92477495
0.144,45.23893421
0.145,45.55309348
0.146,45.86725274
0.147,46.18141201
0.148,46.49557127
0.149,46.80973054
0.15,47.1238898
0.151,47.43804907
0.152,47.75220833
0.153,48.0663676
0.154,48.38052687
0.155,48.69468613
0.156,49.0088454
0.157,49.32300466
0.158,49.63716393
0.159,49.95132319
0.16,50.26548246
0.161,50.57964172
0.162,50.89380099
0.163,51.20796025
0.164,51.52211952
0.165,51.83627878
0.166,52.15043805
0.167,52.46459731
0.168,52.77875658
0.169,53.09291585
0.17,53.40707511
0.171,53.72123438
0.172,54.03539364
0.173,54.34955291
0.174,54.66371217
0.175,54.97787144
0.176,55.2920307
0.177,55.60618997
0.178,55.92034923
0.179,56.2345085
0.18,56.54866776
0.181,56.86282703
0.182,57.1769863
0.183,57.49114556
0.184,57.80530483
0.185,58.11946409
0.186,58.43362336
0.187,58.74778262
0.188,59.06194189
0.189,59.37610115
0.19,59.69026042
0.191,60.00441968
0.192,60.31857895
0.193,60.63273821
0.194,60.94689748
0.195,61.26105675
0.196,61.57521601
0.197,61.88937528
0.198,62.20353454
0.199,62.51769381
0.2,62.83185307
0.201,63.14601234
0.202,63.4601716
0.203,63.77433087
0.204,64.08849013
0.205,64.4026494
0.206,64.71680866
0.207,65.03096793
0.208,65.34512719
0.209,65.65928646
0.21,65.97344573
0.211,66.28760499
0.212,66.60176426
0.213,66.91592352
0.214,67.23008279
0.215,67.54424205
0.216,67.85840132
0.217,68.17256058
0.218,68.48671985
0.219,68.80087911
0.22,69.11503838
0.221,69.42919764
0.222,69.74335691
0.223,70.05751618
0.224,70.37167544
0.225,70.68583471
0.226,70.99999397
0.227,71.31415324
0.228,71.6283125
0.229,71.94247177
0.23,72.25663103
0.231,72.5707903
0.232,72.88494956
0.233,73.19910883
0.234,73.51326809
0.235,73.82742736
0.236,74.14158662
0.237,74.45574589
0.238,74.76990516
0.239,75.08406442
0.24,75.39822369
0.241,75.71238295
0.242,76.02654222
0.243,76.34070148
0.244,76.65486075
0.245,76.96902001
0.246,77.28317928
0.247,77.59733854
0.248,77.91149781
0.249,78.22565707
0.25,78.53981634
0.251,78.85397561
0.252,79.16813487
0.253,79.48229414
0.254,79.7964534
0.255,80.11061267
0.256,80.42477193
0.257,80.7389312
0.258,81.05309046
0.259,81.36724973
0.26,81.68140899
0.261,81.99556826
0.262,82.30972752
0.263,82.62388679
0.264,82.93804605
0.265,83.25220532
0.266,83.56636459
0.267,83.88052385
0.268,84.19468312
0.269,84.50884238
0.27,84.82300165
0.271,85.13716091
0.272,85.45132018
0.273,85.76547944
0.274,86.07963871
0.275,86.39379797
0.276,86.70795724
0.277,87.0221165
0.278,87.33627577
0.279,87.65043504
0.28,87.9645943
0.281,88.27875357
0.282,88.59291283
0.283,88.9070721
0.284,89.22123136
0.285,89.53539063
0.286,89.84954989
0.287,90.16370916
0.288,90.47786842
0.289,90.79202769
0.29,91.10618695
0.291,91.42034622
0.292,91.73450548
0.293,92.04866475
0.294,92.36282402
0.295,92.67698328
0.296,92.99114255
0.297,93.30530181
0.298,93.61946108
0.299,93.93362034
0.3,94.24777961
0.301,94.56193887
0.302,94.87609814
0.303,95.1902574
0.304,95.50441667
0.305,95.81857593
0.306,96.1327352
0.307,96.44689447
0.308,96.76105373
0.309,97.075213
0.31,97.38937226
0.311,97.70353153
0.312,98.01769079
0.313,98.33185006
0.314,98.64600932
0.315,98.96016859
0.316,99.27432785
0.317,99.58848712
0.318,99.90264638
0.319,100.2168056
0.32,100.5309649
0.321,100.8451242
0.322,101.1592834
0.323,101.4734427
0.324,101.787602
0.325,102.1017612
0.326,102.4159205
0.327,102.7300798
0.328,103.044239
0.329,103.3583983
0.33,103.6725576
0.331,103.9867168
0.332,104.3008761
0.333,104.6150354
0.334,104.9291946
0.335,105.2433539
0.336,105.5575132
0.337,105.8716724
0.338,106.1858317
0.339,106.499991
0.34,106.8141502
0.341,107.1283095
0.342,107.4424688
0.343,107.756628
0.344,108.0707873
0.345,108.3849465
0.346,108.6991058
0.347,109.0132651
0.348,109.3274243
0.349,109.6415836
0.35,109.9557429
0.351,110.2699021
0.352,110.5840614
0.353,110.8982207
0.354,111.2123799
0.355,111.5265392
0.356,111.8406985
0.357,112.1548577
0.358,112.469017
0.359,112.7831763
0.36,113.0973355
0.361,113.4114948
0.362,113.7256541
0.363,114.0398133
0.364,114.3539726
0.365,114.6681319
0.366,114.9822911
0.367,115.2964504
0.368,115.6106097
0.369,115.9247689
0.37,116.2389282
0.371,116.5530874
0.372,116.8672467
0.373,117.181406
0.374,117.4955652
0.375,117.8097245
0.376,118.1238838
0.377,118.438043
0.378,118.7522023
0.379,119.0663616
0.38,119.3805208
0.381,119.6946801
0.382,120.0088394
0.383,120.3229986
0.384,120.6371579
0.385,120.9513172
0.386,121.2654764
0.387,121.5796357
0.388,121.893795
0.389,122.2079542
0.39,122.5221135
0.391,122.8362728
0.392,123.150432
0.393,123.4645913
0.394,123.7787506
0.395,124.0929098
0.396,124.4070691
0.397,124.7212283
0.398,125.0353876
0.399,125.3495469
0.4,125.6637061
0.401,125.9778654
0.402,126.2920247
0.403,126.6061839
0.404,126.9203432
0.405,127.2345025
0.406,127.5486617
0.407,127.862821
0.408,128.1769803
0.409,128.4911395
0.41,128.8052988
0.411,129.1194581
0.412,129.4336173
0.413,129.7477766
0.414,130.0619359
0.415,130.3760951
0.416,130.6902544
0.417,131.0044137
0.418,131.3185729
0.419,131.6327322
0.42,131.9468915
0.421,132.2610507
0.422,132.57521
0.423,132.8893692
0.424,133.2035285
0.425,133.5176878
0.426,133.831847
0.427,134.1460063
0.428,134.4601656
0.429,134.7743248
0.43,135.0884841
0.431,135.4026434
0.432,135.7168026
0.433,136.0309619
0.434,136.3451212
0.435,136.6592804
0.436,136.9734397
0.437,137.287599
0.438,137.6017582
0.439,137.9159175
0.44,138.2300768
0.441,138.544236
0.442,138.8583953
0.443,139.1725546
0.444,139.4867138
0.445,139.8008731
0.446,140.1150324
0.447,140.4291916
0.448,140.7433509
0.449,141.0575101
0.45,141.3716694
0.451,141.6858287
0.452,141.9999879
0.453,142.3141472
0.454,142.6283065
0.455,142.9424657
0.456,143.256625
0.457,143.5707843
0.458,143.8849435
0.459,144.1991028
0.46,144.5132621
0.461,144.8274213
0.462,145.1415806
0.463,145.4557399
0.464,145.7698991
0.465,146.0840584
0.466,146.3982177
0.467,146.7123769
0.468,147.0265362
0.469,147.3406955
0.47,147.6548547
0.471,147.969014
0.472,148.2831732
0.473,148.5973325
0.474,148.9114918
0.475,149.225651
0.476,149.5398103
0.477,149.8539696
0.478,150.1681288
