time,magFluxSensor.Phi_ref,magFluxSensor.Phi_sim,magFluxSensor.Phi_relerr,voltageSensor.v_ref,voltageSensor.v_sim,voltageSensor.v_relerr
0,0,0,0,0,0,0
5e-05,0,5.146495719e-11,7.17064e-07,0,-5.146495719e-05,0.010756
0.0001,0,1.072357619e-10,1.49412e-06,0,-0.0001072357619,0.0224118
0.00015,0,1.660312263e-10,2.31332e-06,0,-0.0001660312263,0.0346998
0.0002,0,2.275900831e-10,3.17102e-06,0,-0.0002275900831,0.0475654
0.00025,0,2.916553563e-10,4.06365e-06,0,-0.0002916553563,0.0609547
0.0003,0,3.57974361e-10,4.98768e-06,0,-0.000357974361,0.0748151
0.00035,0,4.262987036e-10,5.93964e-06,0,-0.0004262987036,0.0890946
0.0004,0,4.963842817e-10,6.91615e-06,0,-0.0004963842817,0.103742
0.00045,0,5.679912843e-10,7.91385e-06,0,-0.0005679912843,0.118708
0.0005,0,6.408841913e-10,8.92947e-06,0,-0.0006408841913,0.133942
0.00055,0,7.148317741e-10,9.95979e-06,0,-0.0007148317741,0.149397
0.0006,0,7.896070952e-10,1.10016e-05,0,-0.0007896070952,0.165025
0.00065,0,8.649875084e-10,1.20519e-05,0,-0.0008649875084,0.180779
0.0007,0,9.407546588e-10,1.31076e-05,0,-0.0009407546588,0.196614
0.00075,0,1.016694483e-09,1.41657e-05,0,-0.001016694483,0.212485
0.0008,0,1.092597207e-09,1.52232e-05,0,-0.001092597207,0.228348
0.00085,0,1.168257351e-09,1.62774e-05,0,-0.001168257351,0.244161
0.0009,0,1.243473725e-09,1.73254e-05,0,-0.001243473725,0.259881
0.00095,0,1.318049429e-09,1.83645e-05,0,-0.001318049429,0.275467
0.001,0,1.391791856e-09,1.93919e-05,0,-0.001391791856,0.290879
0.00105,0,1.46451269e-09,2.04051e-05,0,-0.00146451269,0.306077
0.0011,0,1.536027905e-09,2.14016e-05,0,-0.001536027905,0.321023
0.00115,0,1.606157768e-09,2.23787e-05,0,-0.001606157768,0.33568
0.0012,0,1.674726835e-09,2.33341e-05,0,-0.001674726835,0.350011
0.00125,0,1.741563956e-09,2.42653e-05,0,-0.001741563956,0.36398
0.0013,0,1.806502271e-09,2.51701e-05,0,-0.001806502271,0.377551
0.00135,0,1.869379209e-09,2.60462e-05,0,-0.001869379209,0.390692
0.0014,0,1.930036494e-09,2.68913e-05,0,-0.001930036494,0.403369
0.00145,0,1.988320138e-09,2.77034e-05,0,-0.001988320138,0.415551
0.0015,0,2.044080447e-09,2.84803e-05,0,-0.002044080447,0.427204
0.00155,0,2.097172017e-09,2.922e-05,0,-0.002097172017,0.4383
0.0016,0,2.147453734e-09,2.99206e-05,0,-0.002147453734,0.448809
0.00165,0,2.194788778e-09,3.05801e-05,0,-0.002194788778,0.458702
0.0017,0,2.239044616e-09,3.11967e-05,0,-0.002239044616,0.467951
0.00175,0,2.280093012e-09,3.17687e-05,0,-0.002280093012,0.47653
0.0018,0,2.317810015e-09,3.22942e-05,0,-0.002317810015,0.484413
0.00185,0,2.352075971e-09,3.27716e-05,0,-0.002352075971,0.491574
0.0019,0,2.382775513e-09,3.31993e-05,0,-0.002382775513,0.49799
0.00195,0,2.409797567e-09,3.35758e-05,0,-0.002409797567,0.503638
0.002,0,2.433035351e-09,3.38996e-05,0,-0.002433035351,0.508494
0.00205,0,2.452386371e-09,3.41692e-05,0,-0.002452386371,0.512538
0.0021,0,2.467752428e-09,3.43833e-05,0,-0.002467752428,0.51575
0.00215,0,2.479039613e-09,3.45406e-05,0,-0.002479039613,0.518109
0.0022,0,2.486158308e-09,3.46398e-05,0,-0.002486158308,0.519597
0.00225,0,2.489023184e-09,3.46797e-05,0,-0.002489023184,0.520195
0.0023,0,2.487553208e-09,3.46592e-05,0,-0.002487553208,0.519888
0.00235,0,2.481671634e-09,3.45773e-05,0,-0.002481671634,0.518659
0.0024,0,2.47130601e-09,3.44328e-05,0,-0.00247130601,0.516493
0.00245,0,2.456388173e-09,3.4225e-05,0,-0.002456388173,0.513375
0.0025,0,2.436854252e-09,3.39528e-05,0,-0.002436854252,0.509292
0.00255,0,2.412644669e-09,3.36155e-05,0,-0.002412644669,0.504233
0.0026,0,2.383704135e-09,3.32123e-05,0,-0.002383704135,0.498184
0.00265,0,2.349981653e-09,3.27424e-05,0,-0.002349981653,0.491136
0.0027,0,2.311430517e-09,3.22053e-05,0,-0.002311430517,0.483079
0.00275,0,2.268008313e-09,3.16003e-05,0,-0.002268008313,0.474004
0.0028,0,2.219676917e-09,3.09269e-05,0,-0.002219676917,0.463903
0.00285,0,2.166402497e-09,3.01846e-05,0,-0.002166402497,0.452769
0.0029,0,2.108155513e-09,2.9373e-05,0,-0.002108155513,0.440596
0.00295,0,2.044910714e-09,2.84918e-05,0,-0.002044910714,0.427378
0.003,0,1.976647143e-09,2.75407e-05,0,-0.001976647143,0.413111
0.00305,0,1.903348131e-09,2.65194e-05,0,-0.001903348132,0.397792
0.0031,0,1.825001305e-09,2.54278e-05,0,-0.001825001305,0.381418
0.00315,0,1.741598577e-09,2.42658e-05,0,-0.001741598577,0.363987
0.0032,0,1.653136156e-09,2.30332e-05,0,-0.001653136156,0.345498
0.00325,0,1.559614538e-09,2.17302e-05,0,-0.001559614538,0.325953
0.0033,0,1.461038513e-09,2.03567e-05,0,-0.001461038513,0.305351
0.00335,0,1.357417161e-09,1.8913e-05,0,-0.001357417161,0.283694
0.0034,0,1.248763853e-09,1.73991e-05,0,-0.001248763853,0.260986
0.00345,0,1.135096253e-09,1.58154e-05,0,-0.001135096253,0.23723
0.0035,0,1.016436313e-09,1.41621e-05,0,-0.001016436313,0.212431
0.00355,0,8.928102796e-10,1.24396e-05,0,-0.0008928102796,0.186594
0.0036,0,7.642486886e-10,1.06483e-05,0,-0.0007642486886,0.159725
0.00365,0,6.307863676e-10,8.78878e-06,0,-0.0006307863676,0.131832
0.0037,0,4.924624355e-10,6.8615e-06,0,-0.0004924624355,0.102923
0.00375,0,3.493203022e-10,4.8671e-06,0,-0.0003493203022,0.0730065
0.0038,0,2.014076692e-10,2.80622e-06,0,-0.0002014076692,0.0420934
0.00385,0,4.877652893e-11,6.79606e-07,0,-4.877652893e-05,0.0101941
0.0039,0,-1.085168349e-10,1.51197e-06,0,0.0001085168349,0.0226796
0.00395,0,-2.704118474e-10,3.76766e-06,0,0.0002704118474,0.0565149
0.004,0,-4.368436422e-10,6.08657e-06,0,0.0004368436422,0.0912985
0.00405,0,-6.077430619e-10,8.46772e-06,0,0.0006077430619,0.127016
0.0041,0,-7.830366579e-10,1.09101e-05,0,0.0007830366579,0.163651
0.00415,0,-9.626466904e-10,1.34126e-05,0,0.0009626466904,0.201189
0.0042,0,-1.146491128e-09,1.59741e-05,0,0.001146491128,0.239612
0.00425,0,-1.334483649e-09,1.85934e-05,0,0.001334483649,0.278901
0.0043,0,-1.526533639e-09,2.12693e-05,0,0.001526533639,0.319039
0.00435,0,-1.722546193e-09,2.40003e-05,0,0.001722546193,0.360005
0.0044,0,-1.922422116e-09,2.67852e-05,0,0.001922422116,0.401778
0.00445,0,-2.12605792e-09,2.96225e-05,0,0.00212605792,0.444337
0.0045,0,-2.333345827e-09,3.25106e-05,0,0.002333345827,0.487659
0.00455,0,-2.544173766e-09,3.54481e-05,0,0.002544173766,0.531722
0.0046,0,-2.758425378e-09,3.84333e-05,0,0.002758425378,0.576499
0.00465,0,-2.97598001e-09,4.14645e-05,0,0.00297598001,0.621967
0.0047,0,-3.196712718e-09,4.454e-05,0,0.003196712718,0.668099
0.00475,0,-3.420494267e-09,4.76579e-05,0,0.003420494267,0.714869
0.0048,0,-3.647191133e-09,5.08165e-05,0,0.003647191133,0.762248
0.00485,0,-3.876665497e-09,5.40138e-05,0,0.003876665497,0.810207
0.0049,0,-4.108775251e-09,5.72478e-05,0,0.004108775251,0.858717
0.00495,0,-4.343373996e-09,6.05165e-05,0,0.004343373997,0.907747
0.005,0,-4.580311042e-09,6.38177e-05,0,0.004580311042,0.957266
0.00505,0,-4.819431405e-09,6.71494e-05,0,0.004819431405,1.00724
0.0051,0,-5.060575813e-09,7.05093e-05,0,0.005060575813,1.05764
0.00515,0,-5.303580701e-09,7.38951e-05,0,0.005303580701,1.10843
0.0052,0,-5.548278213e-09,7.73045e-05,0,0.005548278213,1.15957
0.00525,0,-5.794496203e-09,8.0735e-05,0,0.005794496203,1.21103
0.0053,0,-6.042058233e-09,8.41843e-05,0,0.006042058233,1.26276
0.00535,0,-6.290783572e-09,8.76498e-05,0,0.006290783572,1.31475
0.0054,0,-6.5404872e-09,9.1129e-05,0,0.0065404872,1.36693
0.00545,0,-6.790979806e-09,9.46191e-05,0,0.006790979806,1.41929
0.0055,0,-7.042067786e-09,9.81175e-05,0,0.007042067786,1.47176
0.00555,0,-7.293553246e-09,0.000101621,0,0.007293553246,1.52432
0.0056,0,-7.545234001e-09,0.000105128,0,0.007545234001,1.57692
0.00565,0,-7.796903572e-09,0.000108635,0,0.007796903572,1.62952
0.0057,0,-8.048351194e-09,0.000112138,0,0.008048351194,1.68207
0.00575,0,-8.299361805e-09,0.000115635,0,0.008299361805,1.73453
0.0058,0,-8.549716057e-09,0.000119124,0,0.008549716057,1.78685
0.00585,0,-8.799190306e-09,0.0001226,0,0.008799190306,1.83899
0.0059,0,-9.047556621e-09,0.00012606,0,0.009047556621,1.8909
0.00595,0,-9.294582776e-09,0.000129502,0,0.009294582776,1.94253
0.006,0,-9.540032257e-09,0.000132922,0,0.009540032257,1.99383
0.00605,0,-9.783664257e-09,0.000136316,0,0.009783664257,2.04474
0.0061,0,-1.002523368e-08,0.000139682,0,0.01002523368,2.09523
0.00615,0,-1.026449113e-08,0.000143016,0,0.01026449113,2.14524
0.0062,0,-1.050118293e-08,0.000146314,0,0.01050118293,2.1947
0.00625,0,-1.073505112e-08,0.000149572,0,0.01073505112,2.24358
0.0063,0,-1.096583342e-08,0.000152788,0,0.01096583342,2.29181
0.00635,0,-1.119326328e-08,0.000155956,0,0.01119326328,2.33934
0.0064,0,-1.141706987e-08,0.000159075,0,0.01141706987,2.38612
0.00645,0,-1.163697803e-08,0.000162139,0,0.01163697803,2.43208
0.0065,0,-1.185270835e-08,0.000165144,0,0.01185270835,2.47717
0.00655,0,-1.20639771e-08,0.000168088,0,0.0120639771,2.52132
0.0066,0,-1.227049628e-08,0.000170965,0,0.01227049628,2.56448
0.00665,0,-1.247197358e-08,0.000173773,0,0.01247197358,2.60659
0.0067,0,-1.266811241e-08,0.000176505,0,0.01266811241,2.64758
0.00675,0,-1.285861189e-08,0.00017916,0,0.01285861189,2.6874
0.0068,0,-1.304316683e-08,0.000181731,0,0.01304316683,2.72597
0.00685,0,-1.322146779e-08,0.000184215,0,0.01322146779,2.76323
0.0069,0,-1.339320099e-08,0.000186608,0,0.01339320099,2.79912
0.00695,0,-1.355804839e-08,0.000188905,0,0.01355804839,2.83358
0.007,0,-1.371568765e-08,0.000191101,0,0.01371568765,2.86652
0.00705,0,-1.386579214e-08,0.000193193,0,0.01386579214,2.89789
0.0071,0,-1.400803093e-08,0.000195175,0,0.01400803093,2.92762
0.00715,0,-1.414206882e-08,0.000197042,0,0.01414206882,2.95563
0.0072,0,-1.426756629e-08,0.000198791,0,0.01426756629,2.98186
0.00725,0,-1.438417955e-08,0.000200416,0,0.01438417955,3.00623
0.0073,0,-1.449156051e-08,0.000201912,0,0.01449156051,3.02868
0.00735,0,-1.45893568e-08,0.000203274,0,0.0145893568,3.04911
0.0074,0,-1.467721174e-08,0.000204498,0,0.01467721174,3.06748
0.00745,0,-1.475476438e-08,0.000205579,0,0.01475476438,3.08368
0.0075,0,-1.482164946e-08,0.000206511,0,0.01482164946,3.09766
0.00755,0,-1.487749743e-08,0.000207289,0,0.01487749743,3.10933
0.0076,0,-1.492193447e-08,0.000207908,0,0.01492193447,3.11862
0.00765,0,-1.495458244e-08,0.000208363,0,0.01495458244,3.12544
0.0077,0,-1.497505894e-08,0.000208648,0,0.01497505894,3.12972
0.00775,0,-1.498297724e-08,0.000208759,0,0.01498297724,3.13138
0.0078,0,-1.497794636e-08,0.000208689,0,0.01497794636,3.13033
0.00785,0,-1.4959571e-08,0.000208432,0,0.014959571,3.12649
0.0079,0,-1.492745157e-08,0.000207985,0,0.01492745157,3.11977
0.00795,0,-1.488118421e-08,0.00020734,0,0.01488118421,3.1101
0.008,0,-1.482036075e-08,0.000206493,0,0.01482036075,3.09739
0.00805,0,-1.474456874e-08,0.000205437,0,0.01474456874,3.08155
0.0081,0,-1.465339142e-08,0.000204166,0,0.01465339142,3.0625
0.00815,0,-1.454640776e-08,0.000202676,0,0.01454640776,3.04014
0.0082,0,-1.442319243e-08,0.000200959,0,0.01442319243,3.01439
0.00825,0,-1.428331581e-08,0.00019901,0,0.01428331581,2.98515
0.0083,0,-1.412634398e-08,0.000196823,0,0.01412634398,2.95235
0.00835,0,-1.395183875e-08,0.000194392,0,0.01395183875,2.91588
0.0084,0,-1.375935762e-08,0.00019171,0,0.01375935762,2.87565
0.00845,0,-1.35484538e-08,0.000188771,0,0.0135484538,2.83157
0.0085,0,-1.331867622e-08,0.00018557,0,0.01331867622,2.78355
0.00855,0,-1.306956951e-08,0.000182099,0,0.01306956951,2.73148
0.0086,0,-1.2800674e-08,0.000178352,0,0.012800674,2.67529
0.00865,0,-1.251152575e-08,0.000174324,0,0.01251152576,2.61486
0.0087,0,-1.220165652e-08,0.000170006,0,0.01220165652,2.55009
0.00875,0,-1.187059378e-08,0.000165394,0,0.01187059378,2.4809
0.0088,0,-1.151786069e-08,0.000160479,0,0.01151786069,2.40718
0.00885,0,-1.114297614e-08,0.000155256,0,0.01114297614,2.32884
0.0089,0,-1.074545474e-08,0.000149717,0,0.01074545474,2.24575
0.00895,0,-1.032480677e-08,0.000143856,0,0.01032480677,2.15784
0.009,0,-9.880538247e-09,0.000137666,0,0.009880538248,2.06499
0.00905,0,-9.412150897e-09,0.00013114,0,0.009412150897,1.9671
0.0091,0,-8.919142143e-09,0.000124271,0,0.008919142143,1.86406
0.00915,0,-8.401005124e-09,0.000117052,0,0.008401005124,1.75577
0.0092,0,-7.857228686e-09,0.000109475,0,0.007857228686,1.64213
0.00925,0,-7.287297382e-09,0.000101534,0,0.007287297382,1.52301
0.0093,0,-6.690691476e-09,9.32218e-05,0,0.006690691476,1.39833
0.00935,0,-6.066886941e-09,8.45303e-05,0,0.006066886941,1.26795
0.0094,0,-5.415355457e-09,7.54524e-05,0,0.005415355458,1.13179
0.00945,0,-4.735564415e-09,6.59809e-05,0,0.004735564415,0.989713
0.0095,0,-4.026976912e-09,5.61081e-05,0,0.004026976912,0.841621
0.00955,0,-3.289051756e-09,4.58265e-05,0,0.003289051756,0.687398
0.0096,0,-2.521243462e-09,3.51286e-05,0,0.002521243462,0.526929
0.00965,0,-1.723002257e-09,2.40067e-05,0,0.001723002257,0.3601
0.0097,0,-8.937740719e-10,1.2453e-05,0,0.0008937740719,0.186795
0.00975,0,-3.300055073e-11,4.59798e-07,0,3.300055073e-05,0.00689698
0.0098,0,8.598809559e-10,1.19808e-05,0,-0.0008598809559,0.179711
0.00985,0,1.785437388e-09,2.48766e-05,0,-0.001785437388,0.373149
0.0099,0,2.744239977e-09,3.82356e-05,0,-0.002744239977,0.573535
0.00995,0,3.736864246e-09,5.20659e-05,0,-0.003736864246,0.780989
0.01,0,4.763890008e-09,6.63755e-05,0,-0.004763890008,0.995633
0.01,0,4.763890008e-09,6.63755e-05,-0.004784785423,-0.004763890008,0.00436705
0.01005,2.392392711e-07,2.761651749e-07,0.000514491,-0.004784785423,-0.004779186072,0.00117024
0.0101,4.784785423e-07,5.526496614e-07,0.00103343,-0.004784785423,-0.004773394421,0.00238067
0.01015,7.177178134e-07,8.286956776e-07,0.00154626,-0.004784785423,-0.0047675243,0.0036075
0.0102,9.569570845e-07,1.104303418e-06,0.00205298,-0.004784785423,-0.004761576061,0.00485066
0.01025,1.196196356e-06,1.379473075e-06,0.0025536,-0.004784785423,-0.004755550054,0.00611007
0.0103,1.435435627e-06,1.65420484e-06,0.00304812,-0.004784785423,-0.004749446627,0.00738566
0.01035,1.674674898e-06,1.928498902e-06,0.00353654,-0.004784785423,-0.004743266131,0.00867736
0.0104,1.913914169e-06,2.202355451e-06,0.00401887,-0.004784785423,-0.004737008914,0.00998509
0.01045,2.15315344e-06,2.475774672e-06,0.0044951,-0.004784785423,-0.004730675325,0.0113088
0.0105,2.392392711e-06,2.748756751e-06,0.00496524,-0.004784785423,-0.004724265713,0.0126484
0.01055,2.631631983e-06,3.02130187e-06,0.00542929,-0.004784785423,-0.004717780425,0.0140038
0.0106,2.870871254e-06,3.293410213e-06,0.00588726,-0.004784785423,-0.00471121981,0.0153749
0.01065,3.110110525e-06,3.565081958e-06,0.00633914,-0.004784785423,-0.004704584216,0.0167617
0.0107,3.349349796e-06,3.836317287e-06,0.00678494,-0.004784785423,-0.004697873989,0.0181641
0.01075,3.588589067e-06,4.107116374e-06,0.00722467,-0.004784785423,-0.004691089477,0.0195821
0.0108,3.827828338e-06,4.377479397e-06,0.00765832,-0.004784785423,-0.004684231026,0.0210154
0.01085,4.067067609e-06,4.647406529e-06,0.00808589,-0.004784785423,-0.004677298983,0.0224642
0.0109,4.30630688e-06,4.916897944e-06,0.0085074,-0.004784785423,-0.004670293695,0.0239283
0.01095,4.545546152e-06,5.185953811e-06,0.00892283,-0.004784785423,-0.004663215506,0.0254076
0.011,4.784785423e-06,5.454574302e-06,0.0093322,-0.004784785423,-0.004656064764,0.0269021
0.01105,5.024024694e-06,5.722759583e-06,0.00973551,-0.004784785423,-0.004648841812,0.0284116
0.0111,5.263263965e-06,5.990509822e-06,0.0101328,-0.004784785423,-0.004641546997,0.0299362
0.01115,5.502503236e-06,6.257825183e-06,0.0105239,-0.004784785423,-0.004634180662,0.0314758
0.0112,5.741742507e-06,6.52470583e-06,0.0109091,-0.004784785423,-0.004626743153,0.0330302
0.01125,5.980981778e-06,6.791151924e-06,0.0112881,-0.004784785423,-0.004619234813,0.0345994
0.0113,6.22022105e-06,7.057163626e-06,0.0116612,-0.004784785423,-0.004611655987,0.0361833
0.01135,6.459460321e-06,7.322741094e-06,0.0120281,-0.004784785423,-0.004604007019,0.0377819
0.0114,6.698699592e-06,7.587884486e-06,0.0123891,-0.004784785423,-0.004596288251,0.0393951
0.01145,6.937938863e-06,7.852593957e-06,0.0127439,-0.004784785423,-0.004588500026,0.0410228
0.0115,7.177178134e-06,8.116869661e-06,0.0130928,-0.004784785423,-0.004580642688,0.042665
0.01155,7.416417405e-06,8.380711752e-06,0.0134356,-0.004784785423,-0.004572716579,0.0443215
0.0116,7.655656676e-06,8.644120379e-06,0.0137723,-0.004784785423,-0.004564722041,0.0459923
0.01165,7.894895948e-06,8.907095693e-06,0.014103,-0.004784785423,-0.004556659416,0.0476774
0.0117,8.134135219e-06,9.169637841e-06,0.0144277,-0.004784785423,-0.004548529046,0.0493766
0.01175,8.37337449e-06,9.431746969e-06,0.0147464,-0.004784785423,-0.004540331272,0.0510899
0.0118,8.612613761e-06,9.693423223e-06,0.015059,-0.004784785423,-0.004532066435,0.0528172
0.01185,8.851853032e-06,9.954666746e-06,0.0153656,-0.004784785423,-0.004523734876,0.0545585
0.0119,9.091092303e-06,1.021547768e-05,0.0156661,-0.004784785423,-0.004515336936,0.0563136
0.01195,9.330331574e-06,1.047585616e-05,0.0159607,-0.004784785423,-0.004506872954,0.0580825
0.012,9.569570845e-06,1.073580233e-05,0.0162492,-0.004784785423,-0.004498343272,0.0598652
0.01205,9.808810117e-06,1.099531633e-05,0.0165317,-0.004784785423,-0.004489748227,0.0616615
0.0121,1.004804939e-05,1.125439829e-05,0.0168081,-0.004784785423,-0.00448108816,0.0634714
0.01215,1.028728866e-05,1.151304835e-05,0.0170786,-0.004784785423,-0.00447236341,0.0652949
0.0122,1.052652793e-05,1.177126663e-05,0.017343,-0.004784785423,-0.004463574316,0.0671318
0.01225,1.07657672e-05,1.202905328e-05,0.0176014,-0.004784785423,-0.004454721216,0.068982
0.0123,1.100500647e-05,1.228640841e-05,0.0178538,-0.004784785423,-0.004445804448,0.0708456
0.01235,1.124424574e-05,1.254333215e-05,0.0181002,-0.004784785423,-0.00443682435,0.0727224
0.0124,1.148348501e-05,1.279982464e-05,0.0183406,-0.004784785423,-0.004427781261,0.0746124
0.01245,1.172272429e-05,1.3055886e-05,0.018575,-0.004784785423,-0.004418675517,0.0765154
0.0125,1.196196356e-05,1.331151635e-05,0.0188034,-0.004784785423,-0.004409507455,0.0784315
0.01255,1.220120283e-05,1.35667158e-05,0.0190258,-0.004784785423,-0.004400277413,0.0803606
0.0126,1.24404421e-05,1.382148449e-05,0.0192421,-0.004784785423,-0.004390985727,0.0823025
0.01265,1.267968137e-05,1.407582253e-05,0.0194525,-0.004784785423,-0.004381632732,0.0842572
0.0127,1.291892064e-05,1.432973004e-05,0.0196569,-0.004784785423,-0.004372218766,0.0862247
0.01275,1.315815991e-05,1.458320713e-05,0.0198553,-0.004784785423,-0.004362744163,0.0882048
0.0128,1.339739918e-05,1.483625391e-05,0.0200476,-0.004784785423,-0.00435320926,0.0901976
0.01285,1.363663845e-05,1.508887051e-05,0.020234,-0.004784785423,-0.004343614391,0.0922029
0.0129,1.387587773e-05,1.534105702e-05,0.0204144,-0.004784785423,-0.004333959891,0.0942206
0.01295,1.4115117e-05,1.559281356e-05,0.0205888,-0.004784785423,-0.004324246094,0.0962508
0.013,1.435435627e-05,1.584414024e-05,0.0207572,-0.004784785423,-0.004314473335,0.0982932
0.01305,1.459359554e-05,1.609503716e-05,0.0209197,-0.004784785423,-0.004304641948,0.100348
0.0131,1.483283481e-05,1.634550443e-05,0.0210761,-0.004784785423,-0.004294752267,0.102415
0.01315,1.507207408e-05,1.659554215e-05,0.0212266,-0.004784785423,-0.004284804625,0.104494
0.0132,1.531131335e-05,1.684515042e-05,0.021371,-0.004784785423,-0.004274799354,0.106585
0.01325,1.555055262e-05,1.709432933e-05,0.0215095,-0.004784785423,-0.004264736789,0.108688
0.0133,1.57897919e-05,1.7343079e-05,0.021642,-0.004784785423,-0.004254617261,0.110803
0.01335,1.602903117e-05,1.759139952e-05,0.0217686,-0.004784785423,-0.004244441102,0.11293
0.0134,1.626827044e-05,1.783929098e-05,0.0218891,-0.004784785423,-0.004234208645,0.115068
0.01345,1.650750971e-05,1.808675347e-05,0.0220037,-0.004784785423,-0.004223920222,0.117218
0.0135,1.674674898e-05,1.833378709e-05,0.0221123,-0.004784785423,-0.004213576163,0.11938
0.01355,1.698598825e-05,1.858039193e-05,0.0222149,-0.004784785423,-0.0042031768,0.121554
0.0136,1.722522752e-05,1.882656807e-05,0.0223116,-0.004784785423,-0.004192722464,0.123739
0.01365,1.746446679e-05,1.907231561e-05,0.0224022,-0.004784785423,-0.004182213485,0.125935
0.0137,1.770370606e-05,1.931763463e-05,0.022487,-0.004784785423,-0.004171650194,0.128143
0.01375,1.794294534e-05,1.956252522e-05,0.0225657,-0.004784785423,-0.004161032921,0.130362
0.0138,1.818218461e-05,1.980698745e-05,0.0226385,-0.004784785423,-0.004150361994,0.132592
0.01385,1.842142388e-05,2.005102142e-05,0.0227053,-0.004784785423,-0.004139637744,0.134833
0.0139,1.866066315e-05,2.029462719e-05,0.0227661,-0.004784785423,-0.004128860501,0.137086
0.01395,1.889990242e-05,2.053780485e-05,0.022821,-0.004784785423,-0.004118030591,0.139349
0.014,1.913914169e-05,2.078055447e-05,0.0228699,-0.004784785423,-0.004107148345,0.141623
