time,capacitor2.n.i,capacitor1.n.i,sineVoltage.phi,cosineVoltage.phi,capacitor2.v,capacitor1.v,inductor2.i,inductor1.i
0.04760758136,0.05673389319,-0.001690334856,1.424072516,1.424072516,0.1398641653,0.9969316705,-0.05673389319,0.001690334856
0.04908230646,0.03546111218,-0.0007973554326,1.513665087,1.513665087,-0.3128869701,1.008610042,-0.03546111218,0.0007973554326
0.05055703156,-0.004884736914,0.0002486165637,1.605990609,1.605990609,-0.4568053133,1.011230238,0.004884736914,-0.0002486165637
0.05203175666,-0.03170696641,0.00133933504,1.701049084,1.701049084,-0.265525566,1.003868491,0.03170696641,-0.00133933504
0.05350648176,-0.02451395555,0.002398419566,1.79884051,1.79884051,0.02257818161,0.9865173931,0.02451395555,-0.002398419566
0.05477756091,0.004236173801,0.003289590281,1.885320758,1.885320758,0.1120530339,0.9638041697,-0.004236173801,-0.003289590281
0.05604864005,0.03551971806,0.004208874147,1.973831281,1.973831281,-0.05190815652,0.9338988652,-0.03551971806,-0.004208874147
0.05737024192,0.05072858218,0.005248640796,2.068012839,2.068012839,-0.4273500473,0.8947042543,-0.05072858218,-0.005248640796
0.05869184378,0.03940088106,0.006392488905,2.16438928,2.16438928,-0.8192199926,0.8464371918,-0.03940088106,-0.006392488905
0.06007680486,0.008035599367,0.007661320477,2.267741367,2.267741367,-1.032985076,0.7853131291,-0.008035599367,-0.007661320477
0.06146176593,-0.02118592163,0.008913571648,2.373503831,2.373503831,-0.9655664558,0.7131486695,0.02118592163,-0.008913571648
0.06284672701,-0.02850289537,0.01006268362,2.481676673,2.481676673,-0.7295209171,0.6304863212,0.02850289537,-0.01006268362
0.06432373567,-0.008507204354,0.01113189795,2.59969492,2.59969492,-0.539859083,0.5320161421,0.008507204354,-0.01113189795
0.06580074433,0.02241991274,0.01206262604,2.72045459,2.72045459,-0.6063301216,0.424302817,-0.02241991274,-0.01206262604
0.06727775299,0.03858769236,0.01290390288,2.843955682,2.843955682,-0.9088841043,0.3083985882,-0.03858769236,-0.01290390288
0.06878457983,0.02639114115,0.01368103184,2.972775039,2.972775039,-1.238773711,0.1824709455,-0.02639114115,-0.01368103184
0.07033007911,-0.005647692042,0.01432545271,3.107864532,3.107864532,-1.34562922,0.04631932786,0.005647692042,-0.01432545271
0.0718755784,-0.0309787379,0.01469408602,3.245955588,3.245955588,-1.151668679,-0.09485297145,0.0309787379,-0.01469408602
0.07342107768,-0.03005427792,0.01468614837,3.387048208,3.387048208,-0.83179011,-0.2378310722,0.03005427792,-0.01468614837
0.07501964371,-0.005711758385,0.01425732376,3.536143354,3.536143354,-0.6409191155,-0.3835311683,0.005711758385,-0.01425732376
0.07661820974,0.01737865196,0.01345074024,3.688449727,3.688449727,-0.7125469828,-0.5229696796,-0.01737865196,-0.01345074024
0.07821677577,0.01642180235,0.01232211957,3.843967327,3.843967327,-0.9066224781,-0.6526618782,-0.01642180235,-0.01232211957
0.07971024972,-0.006465650128,0.01097430941,3.992162472,3.992162472,-0.9645110223,-0.7622039085,0.006465650128,-0.01097430941
0.08120372367,-0.03270501503,0.009292461229,4.143160501,4.143160501,-0.7745702152,-0.8575781124,0.03270501503,-0.009292461229
0.08269719762,-0.04253006973,0.007228669198,4.296961414,4.296961414,-0.4036680123,-0.9354001115,0.04253006973,-0.007228669198
0.08421163048,-0.02970506906,0.004753241741,4.455782881,4.455782881,-0.04445147912,-0.9926901437,0.02970506906,-0.004753241741
0.08572606334,-0.006459232331,0.00197404338,4.617486453,4.617486453,0.1277015979,-1.024890962,0.006459232331,-0.00197404338
0.0870534558,0.006433908656,-0.0006142130324,4.76158894,4.76158894,0.1184356808,-1.030628338,-0.006433908656,0.0006142130324
0.08838084827,0.00350914157,-0.003263583793,4.907905585,4.907905585,0.06543764918,-1.014478528,-0.00350914157,0.003263583793
0.08970824073,-0.01267293244,-0.005922545085,5.056436388,5.056436388,0.09762885763,-0.976165832,0.01267293244,0.005922545085
0.0910356332,-0.03087975565,-0.008560673229,5.207181348,5.207181348,0.2825661065,-0.9157455197,0.03087975565,0.008560673229
0.09246158152,-0.03872646483,-0.01133495994,5.371585633,5.371585633,0.6073396279,-0.8265520827,0.03872646483,0.01133495994
0.09388752984,-0.02850064633,-0.01397601883,5.538545074,5.538545074,0.9210885703,-0.7130276037,0.02850064633,0.01397601883
0.09538814924,-0.00595046211,-0.01648139362,5.71700686,5.71700686,1.086939726,-0.5691579852,0.00595046211,0.01648139362
0.09688876864,0.01215121003,-0.01854103187,5.898298416,5.898298416,1.047838139,-0.4036354884,-0.01215121003,0.01854103187
0.09838938803,0.01380111558,-0.02000519463,6.082419741,6.082419741,0.9111548123,-0.2214013387,-0.01380111558,0.02000519463
0.1000095853,-0.0001284341442,-0.02080918709,6.284389883,6.284389883,0.8336042923,-0.01294413861,0.0001284341442,0.02080918709
0.1012987377,-0.01154575056,-0.02084006541,6.447449302,6.447449302,0.8847777184,0.1561036282,0.01154575056,0.02084006541
0.1026630091,-0.01317688742,-0.02027321034,6.622284696,6.622284696,1.000672357,0.3327589769,0.01317688742,0.02027321034
0.1040746754,-0.0005994535382,-0.01902133198,6.805656074,6.805656074,1.071107736,0.5075346671,0.0005994535382,0.01902133198
0.1055043935,0.01959182186,-0.01703788203,6.993924805,6.993924805,0.9867693339,0.6700463764,-0.01959182186,0.01703788203
0.1069341116,0.03458531914,-0.01431980962,7.18476222,7.18476222,0.7351349544,0.8114394515,-0.03458531914,0.01431980962
0.1084345301,0.03544164502,-0.01071088602,7.387799011,7.387799011,0.3920818351,0.9300039815,-0.03544164502,0.01071088602
0.1099349485,0.02326799817,-0.006439440866,7.593664813,7.593664813,0.1089754884,1.011301622,-0.02326799817,0.006439440866
0.111435367,0.009970205542,-0.001692016842,7.802359626,7.802359626,-0.04314450228,1.049919045,-0.009970205542,0.001692016842
0.1129357855,0.007118390622,0.003305706281,8.01388345,8.01388345,-0.112973734,1.042418216,-0.007118390622,-0.003305706281
0.114436204,0.01655458679,0.0083251338,8.228236286,8.228236286,-0.2172339866,0.9875242627,-0.01655458679,-0.0083251338
0.1159366224,0.02930247975,0.01314811448,8.445418132,8.445418132,-0.4358715277,0.88606694,-0.02930247975,-0.01314811448
0.1174465826,0.03326213801,0.01758054979,8.666837168,8.666837168,-0.7433723539,0.7398732323,-0.03326213801,-0.01758054979
0.1189971861,0.02256784646,0.02143481778,8.897197928,8.897197928,-1.026584326,0.5491281637,-0.02256784646,-0.02143481778
0.1206232575,0.002309734164,0.02440593138,9.142015932,9.142015932,-1.155652968,0.3138825125,-0.002309734164,-0.02440593138
0.1222493289,-0.01289361741,0.02597246912,9.390156621,9.390156621,-1.091778974,0.05521535881,0.01289361741,-0.02597246912
0.1238754004,-0.01458166138,0.02590630331,9.641619994,9.641619994,-0.9399264803,-0.2112580635,0.01458166138,-0.02590630331
0.1255014718,-0.007579708741,0.02411278794,9.896406051,9.896406051,-0.8244076417,-0.4682508494,0.007579708741,-0.02411278794
0.1271275432,-0.004472856716,0.02063438154,10.15451479,10.15451479,-0.7711609267,-0.698224198,0.004472856716,-0.02063438154
0.1287536146,-0.01309509392,0.01562434004,10.41594622,10.41594622,-0.691493158,-0.8846645262,0.01309509392,-0.01562434004
0.1305287431,-0.03048203806,0.008695790868,10.70513579,10.70513579,-0.4496353931,-1.021533355,0.03048203806,-0.008695790868
0.1323038716,-0.04078304809,0.0006857264635,10.99828513,10.99828513,-0.03880485073,-1.074599488,0.04078304809,-0.0006857264635
0.1340790001,-0.03469873769,-0.00778663214,11.29539424,11.29539424,0.3969095267,-1.035091469,0.03469873769,0.00778663214
0.1358541286,-0.01881099496,-0.01594723329,11.59646311,11.59646311,0.6976682469,-0.9020542563,0.01881099496,0.01594723329
0.1376292571,-0.007469024643,-0.02295412266,11.90149175,11.90149175,0.834610362,-0.6836552724,0.007469024643,0.02295412266
0.1394043856,-0.006894658814,-0.02802552001,12.21048015,12.21048015,0.9063363628,-0.3972357868,0.006894658814,0.02802552001
0.1409853927,-0.009269609528,-0.0304086092,12.48901263,12.48901263,0.9886095298,-0.1051808509,0.009269609528,0.0304086092
0.1425663997,-0.00518276222,-0.03047620451,12.77068619,12.77068619,1.068383079,0.1992240738,0.00518276222,0.03047620451
