time,opAmp.outp.v,resistor.i,resistor1.i,opAmp.x,opAmp.v_source,opAmp.v_in,opAmp.q_fr3,opAmp.q_fr1,opAmp.q_fr2,opAmp.q_fp1
5.097642458e-06,-0.7066522101,3.642613513e-05,3.633391658e-05,-0.7146771454,-0.7146771454,-0.02102612142,-0.0205509472,-0.02036644828,-0.02056417458,-0.867110802
5.541519048e-06,-0.7630897219,3.94222385e-05,3.933018063e-05,-0.7717626584,-0.7717626584,-0.02451389072,-0.02409331713,-0.02392834532,-0.02410486833,-0.9293157045
6.010615607e-06,-0.8260919543,4.269843808e-05,4.260947969e-05,-0.8354833549,-0.8354833549,-0.02709763947,-0.02684508101,-0.02674458019,-0.02685188371,-1.004536859
6.491211416e-06,-0.8956202021,4.622003494e-05,4.613549923e-05,-0.905797516,-0.905797516,-0.02808978249,-0.02804008814,-0.02801857438,-0.02804126426,-1.087620347
6.977637964e-06,-0.9705704852,4.993717672e-05,4.985658527e-05,-0.9815890078,-0.9815890078,-0.02756122014,-0.02767309447,-0.02771519743,-0.02766985553,-1.172882727
7.478202922e-06,-1.050505245,5.385688819e-05,5.377860648e-05,-1.06241743,-1.06241743,-0.02606688478,-0.02625714189,-0.02633077195,-0.02625182309,-1.257641549
8.0025491e-06,-1.13467203,5.797855101e-05,5.790051465e-05,-1.147524609,-1.147524609,-0.0243382628,-0.02451532864,-0.02458471482,-0.02451045905,-1.341015211
8.561369104e-06,-1.222566585,6.23119345e-05,6.223239966e-05,-1.236403264,-1.236403264,-0.02308140842,-0.02317709408,-0.02321525266,-0.02317452446,-1.424280878
9.134869727e-06,-1.309872426,6.666270106e-05,6.65810134e-05,-1.324690045,-1.324690045,-0.02274784176,-0.0227467735,-0.02274718148,-0.02274688008,-1.506507281
9.714980374e-06,-1.395782607,7.098288868e-05,7.089955948e-05,-1.411568443,-1.411568443,-0.0232085828,-0.02314351521,-0.0231185851,-0.0231453577,-1.589720966
1.03200945e-05,-1.484389393,7.54546209e-05,7.537074054e-05,-1.501175119,-1.501175119,-0.02402541785,-0.0239478935,-0.02391763806,-0.0239500371,-1.678963085
1.096673559e-05,-1.57965471,8.025132491e-05,8.016798314e-05,-1.59751472,-1.59751472,-0.02470495224,-0.02465973036,-0.02464176844,-0.02466095153,-1.777567213
1.16461225e-05,-1.681297758,8.534191113e-05,8.525960854e-05,-1.700301961,-1.700301961,-0.02489441324,-0.02489620694,-0.02489656904,-0.02489612578,-1.883245784
1.232745032e-05,-1.784528865,9.048995943e-05,9.040840172e-05,-1.804693461,-1.804693461,-0.02463916977,-0.02466929111,-0.02468089043,-0.02466844365,-1.989161481
1.304937096e-05,-1.894263421,9.595631881e-05,9.587487984e-05,-1.915661013,-1.915661013,-0.02423417525,-0.02426376565,-0.02427536972,-0.02426295267,-2.099822681
1.383192633e-05,-2.012577203,0.0001018601449,0.0001017783034,-2.035304904,-2.035304904,-0.02398886485,-0.02399778846,-0.02400141753,-0.02399755539,-2.218017371
1.462960416e-05,-2.132256222,0.0001078465051,0.0001077642326,-2.156330461,-2.156330461,-0.02402842964,-0.02401935961,-0.02401590799,-0.02401961863,-2.33789954
1.545836603e-05,-2.25615187,0.0001140500401,0.0001139676552,-2.281620584,-2.281620584,-0.02420123391,-0.0241896259,-0.02418507996,-0.02418994541,-2.463043498
1.637212593e-05,-2.392950291,0.0001208949114,0.0001208127205,-2.419958373,-2.419958373,-0.0243041186,-0.02430211114,-0.02430126563,-0.02430216085,-2.60191854
1.730960868e-05,-2.533688909,0.0001279290336,0.0001278470446,-2.562280104,-2.562280104,-0.02425198204,-0.02425778025,-0.02426001428,-0.02425761724,-2.74457917
1.829679452e-05,-2.681931121,0.0001353359882,0.0001352540152,-2.712189656,-2.712189656,-0.02414918341,-0.02415412993,-0.02415607615,-0.02415399463,-2.894265496
1.940886757e-05,-2.848569604,0.0001436660226,0.0001435839512,-2.880702672,-2.880702672,-0.02410941975,-0.02410945238,-0.02410948278,-0.02410945313,-3.062320086
2.052094061e-05,-3.014894122,0.000151983166,0.0001519010709,-3.048898408,-3.048898408,-0.02412729503,-0.0241263904,-0.02412603217,-0.02412641493,-3.230319924
2.180538687e-05,-3.206901067,0.0001615830149,0.0001615009826,-3.243065398,-3.243065398,-0.02411858637,-0.02412004712,-0.0241206066,-0.02412000574,-3.424443475
2.309924445e-05,-3.40020904,0.0001712460975,0.0001711640987,-3.438547915,-3.438547915,-0.02407293397,-0.02407498606,-0.02407578674,-0.02407492931,-3.619743415
2.461694815e-05,-3.626624073,0.0001825648815,0.0001824828789,-3.66750997,-3.66750997,-0.02403350496,-0.02403458131,-0.02403500183,-0.02403455159,-3.84838359
2.615356976e-05,-3.855486595,0.0001940065344,0.0001939245524,-3.898947086,-3.898947086,-0.02400445304,-0.02400572091,-0.02400621183,-0.0240056855,-4.079556272
2.800304139e-05,-4.130503424,0.0002077548288,0.000207672881,-4.177057665,-4.177057665,-0.02395419548,-0.02395586474,-0.023956514,-0.02395581838,-4.35733012
2.998977898e-05,-4.425303511,0.0002224920243,0.0002224101021,-4.475174045,-4.475174045,-0.02389853092,-0.02390010495,-0.02390071691,-0.02390006121,-4.655026852
3.221982339e-05,-4.755378055,0.0002389924542,0.0002389105697,-4.808961683,-4.808961683,-0.02383333778,-0.02383511421,-0.02383580463,-0.02383506483,-4.988329697
3.478618365e-05,-5.134077282,0.0002579232506,0.0002578414099,-5.191920967,-5.191920967,-0.02375091558,-0.02375280021,-0.02375353288,-0.02375274783,-5.370679139
