time,heatCapacitor.T,idealSwitch.s
0,293.15,0.999999
1e-06,293.15001,0.9999989608
3.191189599e-05,293.1503191,0.9999977486
0.0003410308558,293.1534102,0.9999856268
0.003432220454,293.1843139,0.9998644539
0.03434411644,293.492621,0.998657194
0.2118914184,295.2380096,0.9918772463
0.4115343101,297.15,0.9845550152
0.4115343101,297.15,0.9845550152
0.7971865664,300.6976846,0.9712511944
1.389036212,305.790793,0.9527686482
2.124552927,311.5766155,0.9326076792
3.082066854,318.3028643,0.9102165233
4.27573737,325.5776002,0.8871791404
5.769238137,333.2170486,0.8642096009
7.627012192,340.8759365,0.8423453389
9.952048934,348.2228993,0.8223865654
10,348.3527674,0.8220422808
