time,heatCapacitor.T_ref,heatCapacitor.T_sim,heatCapacitor.T_relerr,onOffController.y_ref,onOffController.y_sim,onOffController.y_relerr
0,293.15,293.15,0,1,NaN,NaN
0.0005,293.1549998,293.1549998,6.66374e-15,1,NaN,NaN
0.001,293.1599993,293.1599993,1.24507e-14,1,NaN,NaN
0.0015,293.1649984,293.1649984,9.85531e-14,1,NaN,NaN
0.002,293.1699972,293.1699972,1.75011e-13,1,NaN,NaN
0.0025,293.1749956,293.1749956,4.81016e-13,1,NaN,NaN
0.003,293.1799937,293.1799937,8.7067e-13,1,NaN,NaN
0.0035,293.1849914,293.1849914,1.23402e-12,1,NaN,NaN
0.004,293.1899888,293.1899888,1.48461e-12,1,NaN,NaN
0.0045,293.1949858,293.1949858,2.51416e-12,1,NaN,NaN
0.005,293.1999825,293.1999825,3.93459e-12,1,NaN,NaN
0.0055,293.2049788,293.2049788,5.47584e-12,1,NaN,NaN
0.006,293.2099748,293.2099748,7.05128e-12,1,NaN,NaN
0.0065,293.2149705,293.2149705,8.5743e-12,1,NaN,NaN
0.007,293.2199658,293.2199658,9.9586e-12,1,NaN,NaN
0.0075,293.2249607,293.2249607,1.11179e-11,1,NaN,NaN
0.008,293.2299553,293.2299553,1.19653e-11,1,NaN,NaN
0.0085,293.2349496,293.2349496,1.50907e-11,1,NaN,NaN
0.009,293.2399435,293.2399435,2.0189e-11,1,NaN,NaN
0.0095,293.244937,293.244937,2.5701e-11,1,NaN,NaN
0.01,293.2499302,293.2499302,3.15403e-11,1,NaN,NaN
0.0105,293.2549231,293.2549231,3.76206e-11,1,NaN,NaN
0.011,293.2599156,293.2599156,4.38554e-11,1,NaN,NaN
0.0115,293.2649078,293.2649078,5.01581e-11,1,NaN,NaN
0.012,293.2698996,293.2698996,5.64425e-11,1,NaN,NaN
0.0125,293.2748911,293.2748911,6.26223e-11,1,NaN,NaN
0.013,293.2798822,293.2798822,6.8611e-11,1,NaN,NaN
0.0135,293.284873,293.284873,7.43222e-11,1,NaN,NaN
0.014,293.2898634,293.2898634,7.96697e-11,1,NaN,NaN
0.0145,293.2948535,293.2948535,8.45668e-11,1,NaN,NaN
0.015,293.2998432,293.2998432,8.89277e-11,1,NaN,NaN
0.0155,293.3048326,293.3048326,9.26659e-11,1,NaN,NaN
0.016,293.3098217,293.3098216,9.56948e-11,1,NaN,NaN
0.0165,293.3148104,293.3148103,1.01733e-10,1,NaN,NaN
0.017,293.3197987,293.3197987,1.20624e-10,1,NaN,NaN
0.0175,293.3247867,293.3247867,1.40513e-10,1,NaN,NaN
0.018,293.3297744,293.3297743,1.61313e-10,1,NaN,NaN
0.0185,293.3347617,293.3347616,1.82937e-10,1,NaN,NaN
0.019,293.3397487,293.3397486,2.053e-10,1,NaN,NaN
0.0195,293.3447353,293.3447352,2.28314e-10,1,NaN,NaN
0.02,293.3497216,293.3497215,2.51895e-10,1,NaN,NaN
0.0205,293.3547075,293.3547074,2.75955e-10,1,NaN,NaN
0.021,293.3596931,293.359693,3.00409e-10,1,NaN,NaN
0.0215,293.3646783,293.3646782,3.2517e-10,1,NaN,NaN
0.022,293.3696632,293.3696631,3.50152e-10,1,NaN,NaN
0.0225,293.3746477,293.3746476,3.75269e-10,1,NaN,NaN
0.023,293.3796319,293.3796318,4.00434e-10,1,NaN,NaN
0.0235,293.3846157,293.3846156,4.25562e-10,1,NaN,NaN
0.024,293.3895992,293.3895991,4.50567e-10,1,NaN,NaN
0.0245,293.3945824,293.3945822,4.75361e-10,1,NaN,NaN
0.025,293.3995652,293.399565,4.99859e-10,1,NaN,NaN
0.0255,293.4045477,293.4045475,5.23975e-10,1,NaN,NaN
0.026,293.4095298,293.4095296,5.47623e-10,1,NaN,NaN
0.0265,293.4145115,293.4145113,5.70716e-10,1,NaN,NaN
0.027,293.4194929,293.4194928,5.93169e-10,1,NaN,NaN
0.0275,293.424474,293.4244738,6.14895e-10,1,NaN,NaN
0.028,293.4294547,293.4294545,6.35808e-10,1,NaN,NaN
0.0285,293.4344351,293.4344349,6.55822e-10,1,NaN,NaN
0.029,293.4394152,293.4394149,6.74852e-10,1,NaN,NaN
0.0295,293.4443948,293.4443946,6.9281e-10,1,NaN,NaN
0.03,293.4493742,293.4493739,7.09611e-10,1,NaN,NaN
0.0305,293.4543532,293.4543529,7.25169e-10,1,NaN,NaN
0.031,293.4593318,293.4593316,7.39398e-10,1,NaN,NaN
0.0315,293.4643101,293.4643099,7.52212e-10,1,NaN,NaN
0.032,293.469288,293.4692878,7.63525e-10,1,NaN,NaN
0.0325,293.4742657,293.4742654,7.7325e-10,1,NaN,NaN
0.033,293.4792429,293.4792427,8.11537e-10,1,NaN,NaN
0.0335,293.4842199,293.4842196,8.85717e-10,1,NaN,NaN
0.034,293.4891964,293.4891961,9.61965e-10,1,NaN,NaN
0.0345,293.4941727,293.4941723,1.04018e-09,1,NaN,NaN
0.035,293.4991486,293.4991482,1.12025e-09,1,NaN,NaN
0.0355,293.5041241,293.5041237,1.20213e-09,1,NaN,NaN
0.036,293.5090993,293.5090989,1.28574e-09,1,NaN,NaN
0.0365,293.5140742,293.5140737,1.37099e-09,1,NaN,NaN
0.037,293.5190487,293.5190482,1.45779e-09,1,NaN,NaN
0.0375,293.5240229,293.5240224,1.54606e-09,1,NaN,NaN
0.038,293.5289967,293.5289962,1.63572e-09,1,NaN,NaN
0.0385,293.5339702,293.5339696,1.72666e-09,1,NaN,NaN
0.039,293.5389433,293.5389427,1.81882e-09,1,NaN,NaN
0.0395,293.5439161,293.5439155,1.9121e-09,1,NaN,NaN
0.04,293.5488885,293.5488879,2.00642e-09,1,NaN,NaN
0.0405,293.5538606,293.5538599,2.1017e-09,1,NaN,NaN
0.041,293.5588324,293.5588316,2.19783e-09,1,NaN,NaN
0.0415,293.5638038,293.563803,2.29475e-09,1,NaN,NaN
0.042,293.5687748,293.568774,2.39237e-09,1,NaN,NaN
0.0425,293.5737455,293.5737447,2.49059e-09,1,NaN,NaN
0.043,293.5787159,293.5787151,2.58934e-09,1,NaN,NaN
0.0435,293.5836859,293.5836851,2.68852e-09,1,NaN,NaN
0.044,293.5886556,293.5886547,2.78805e-09,1,NaN,NaN
0.0445,293.5936249,293.593624,2.88785e-09,1,NaN,NaN
0.045,293.5985939,293.5985929,2.98783e-09,1,NaN,NaN
0.0455,293.6035626,293.6035616,3.08791e-09,1,NaN,NaN
0.046,293.6085309,293.6085298,3.18799e-09,1,NaN,NaN
0.0465,293.6134988,293.6134977,3.28799e-09,1,NaN,NaN
0.047,293.6184664,293.6184653,3.38783e-09,1,NaN,NaN
0.0475,293.6234337,293.6234325,3.48743e-09,1,NaN,NaN
0.048,293.6284006,293.6283994,3.58668e-09,1,NaN,NaN
0.0485,293.6333671,293.6333659,3.68552e-09,1,NaN,NaN
0.049,293.6383334,293.6383321,3.78385e-09,1,NaN,NaN
0.0495,293.6432992,293.643298,3.88159e-09,1,NaN,NaN
0.05,293.6482648,293.6482635,3.97865e-09,1,NaN,NaN
0.0505,293.65323,293.6532286,4.07494e-09,1,NaN,NaN
0.051,293.6581948,293.6581934,4.17039e-09,1,NaN,NaN
0.0515,293.6631593,293.6631579,4.2649e-09,1,NaN,NaN
0.052,293.6681234,293.668122,4.3584e-09,1,NaN,NaN
0.0525,293.6730872,293.6730858,4.45078e-09,1,NaN,NaN
0.053,293.6780507,293.6780492,4.54198e-09,1,NaN,NaN
0.0535,293.6830138,293.6830123,4.63189e-09,1,NaN,NaN
0.054,293.6879766,293.687975,4.72045e-09,1,NaN,NaN
0.0545,293.692939,293.6929374,4.80755e-09,1,NaN,NaN
0.055,293.6979011,293.6978995,4.89312e-09,1,NaN,NaN
0.0555,293.7028628,293.7028612,4.97707e-09,1,NaN,NaN
0.056,293.7078242,293.7078225,5.05932e-09,1,NaN,NaN
0.0565,293.7127852,293.7127836,5.13977e-09,1,NaN,NaN
0.057,293.7177459,293.7177442,5.21835e-09,1,NaN,NaN
0.0575,293.7227063,293.7227045,5.29496e-09,1,NaN,NaN
0.058,293.7276663,293.7276645,5.36953e-09,1,NaN,NaN
0.0585,293.7326259,293.7326242,5.44196e-09,1,NaN,NaN
0.059,293.7375852,293.7375834,5.51217e-09,1,NaN,NaN
0.0595,293.7425442,293.7425424,5.58008e-09,1,NaN,NaN
0.06,293.7475028,293.747501,5.6456e-09,1,NaN,NaN
0.0605,293.7524611,293.7524592,5.70865e-09,1,NaN,NaN
0.061,293.757419,293.7574171,5.76913e-09,1,NaN,NaN
0.0615,293.7623766,293.7623747,5.82696e-09,1,NaN,NaN
0.062,293.7673338,293.7673319,5.88207e-09,1,NaN,NaN
0.0625,293.7722907,293.7722888,5.93435e-09,1,NaN,NaN
0.063,293.7772473,293.7772453,5.98374e-09,1,NaN,NaN
0.0635,293.7822035,293.7822015,6.03013e-09,1,NaN,NaN
0.064,293.7871593,293.7871574,6.07345e-09,1,NaN,NaN
0.0645,293.7921148,293.7921129,6.11361e-09,1,NaN,NaN
0.065,293.79707,293.797068,6.15053e-09,1,NaN,NaN
0.0655,293.8020248,293.8020228,6.18411e-09,1,NaN,NaN
0.066,293.8069794,293.8069773,6.45377e-09,1,NaN,NaN
0.0665,293.8119336,293.8119314,6.74571e-09,1,NaN,NaN
0.067,293.8168875,293.8168852,7.04182e-09,1,NaN,NaN
0.0675,293.821841,293.8218386,7.34202e-09,1,NaN,NaN
0.068,293.8267942,293.8267917,7.64622e-09,1,NaN,NaN
0.0685,293.831747,293.8317445,7.95433e-09,1,NaN,NaN
0.069,293.8366995,293.8366969,8.26627e-09,1,NaN,NaN
0.0695,293.8416517,293.8416489,8.58195e-09,1,NaN,NaN
0.07,293.8466035,293.8466006,8.9013e-09,1,NaN,NaN
0.0705,293.851555,293.851552,9.22421e-09,1,NaN,NaN
0.071,293.8565061,293.856503,9.55061e-09,1,NaN,NaN
0.0715,293.8614569,293.8614537,9.88042e-09,1,NaN,NaN
0.072,293.8664073,293.866404,1.02135e-08,1,NaN,NaN
0.0725,293.8713574,293.871354,1.05499e-08,1,NaN,NaN
0.073,293.8763072,293.8763037,1.08894e-08,1,NaN,NaN
0.0735,293.8812566,293.881253,1.1232e-08,1,NaN,NaN
0.074,293.8862057,293.8862019,1.15775e-08,1,NaN,NaN
0.0745,293.8911544,293.8911505,1.19259e-08,1,NaN,NaN
0.075,293.8961028,293.8960988,1.22772e-08,1,NaN,NaN
0.0755,293.9010508,293.9010467,1.26311e-08,1,NaN,NaN
0.076,293.9059985,293.9059943,1.29877e-08,1,NaN,NaN
0.0765,293.9109459,293.9109415,1.33468e-08,1,NaN,NaN
0.077,293.9158929,293.9158884,1.37084e-08,1,NaN,NaN
0.0775,293.9208396,293.920835,1.40724e-08,1,NaN,NaN
0.078,293.9257859,293.9257812,1.44387e-08,1,NaN,NaN
0.0785,293.9307319,293.9307271,1.48072e-08,1,NaN,NaN
0.079,293.9356775,293.9356726,1.51778e-08,1,NaN,NaN
0.0795,293.9406228,293.9406178,1.55504e-08,1,NaN,NaN
0.08,293.9455678,293.9455626,1.5925e-08,1,NaN,NaN
0.0805,293.9505124,293.9505071,1.63015e-08,1,NaN,NaN
0.081,293.9554566,293.9554512,1.66797e-08,1,NaN,NaN
0.0815,293.9604006,293.960395,1.70597e-08,1,NaN,NaN
0.082,293.9653441,293.9653385,1.74412e-08,1,NaN,NaN
0.0825,293.9702874,293.9702816,1.78243e-08,1,NaN,NaN
0.083,293.9752303,293.9752244,1.82089e-08,1,NaN,NaN
0.0835,293.9801728,293.9801668,1.85948e-08,1,NaN,NaN
0.084,293.985115,293.9851089,1.89819e-08,1,NaN,NaN
0.0845,293.9900569,293.9900506,1.93703e-08,1,NaN,NaN
0.085,293.9949984,293.994992,1.97597e-08,1,NaN,NaN
0.0855,293.9999396,293.9999331,2.01502e-08,1,NaN,NaN
0.086,294.0048805,294.0048738,2.05416e-08,1,NaN,NaN
0.0865,294.009821,294.0098142,2.09338e-08,1,NaN,NaN
0.087,294.0147611,294.0147542,2.13268e-08,1,NaN,NaN
0.0875,294.0197009,294.0196939,2.17205e-08,1,NaN,NaN
0.088,294.0246404,294.0246332,2.21148e-08,1,NaN,NaN
0.0885,294.0295795,294.0295722,2.25095e-08,1,NaN,NaN
0.089,294.0345183,294.0345109,2.29048e-08,1,NaN,NaN
0.0895,294.0394567,294.0394492,2.33003e-08,1,NaN,NaN
0.09,294.0443948,294.0443871,2.36961e-08,1,NaN,NaN
0.0905,294.0493326,294.0493248,2.4092e-08,1,NaN,NaN
0.091,294.05427,294.054262,2.44881e-08,1,NaN,NaN
0.0915,294.059207,294.059199,2.48841e-08,1,NaN,NaN
0.092,294.0641438,294.0641356,2.52801e-08,1,NaN,NaN
0.0925,294.0690801,294.0690718,2.56758e-08,1,NaN,NaN
0.093,294.0740162,294.0740077,2.60713e-08,1,NaN,NaN
0.0935,294.0789519,294.0789433,2.64665e-08,1,NaN,NaN
0.094,294.0838872,294.0838785,2.68613e-08,1,NaN,NaN
0.0945,294.0888222,294.0888134,2.72555e-08,1,NaN,NaN
0.095,294.0937569,294.0937479,2.76491e-08,1,NaN,NaN
0.0955,294.0986912,294.0986821,2.80421e-08,1,NaN,NaN
0.096,294.1036252,294.103616,2.84343e-08,1,NaN,NaN
0.0965,294.1085588,294.1085495,2.88256e-08,1,NaN,NaN
0.097,294.1134921,294.1134827,2.9216e-08,1,NaN,NaN
0.0975,294.1184251,294.1184155,2.96054e-08,1,NaN,NaN
0.098,294.1233577,294.123348,2.99936e-08,1,NaN,NaN
0.0985,294.12829,294.1282801,3.03807e-08,1,NaN,NaN
0.099,294.1332219,294.1332119,3.07665e-08,1,NaN,NaN
0.0995,294.1381535,294.1381434,3.11509e-08,1,NaN,NaN
0.1,294.1430847,294.1430745,3.15339e-08,1,NaN,NaN
0.1005,294.1480156,294.1480052,3.19154e-08,1,NaN,NaN
0.101,294.1529461,294.1529357,3.22952e-08,1,NaN,NaN
0.1015,294.1578763,294.1578657,3.26734e-08,1,NaN,NaN
0.102,294.1628062,294.1627955,3.30497e-08,1,NaN,NaN
0.1025,294.1677357,294.1677249,3.34242e-08,1,NaN,NaN
0.103,294.1726649,294.1726539,3.37967e-08,1,NaN,NaN
0.1035,294.1775937,294.1775827,3.41672e-08,1,NaN,NaN
0.104,294.1825222,294.182511,3.45356e-08,1,NaN,NaN
0.1045,294.1874504,294.1874391,3.49017e-08,1,NaN,NaN
0.105,294.1923782,294.1923667,3.52656e-08,1,NaN,NaN
0.1055,294.1973056,294.1972941,3.56271e-08,1,NaN,NaN
0.106,294.2022328,294.2022211,3.59861e-08,1,NaN,NaN
0.1065,294.2071595,294.2071478,3.63426e-08,1,NaN,NaN
0.107,294.212086,294.2120741,3.66964e-08,1,NaN,NaN
0.1075,294.2170121,294.2170001,3.70475e-08,1,NaN,NaN
0.108,294.2219378,294.2219257,3.73959e-08,1,NaN,NaN
0.1085,294.2268632,294.226851,3.77413e-08,1,NaN,NaN
0.109,294.2317883,294.2317759,3.80838e-08,1,NaN,NaN
0.1095,294.236713,294.2367005,3.84232e-08,1,NaN,NaN
0.11,294.2416374,294.2416248,3.87594e-08,1,NaN,NaN
0.1105,294.2465614,294.2465487,3.90925e-08,1,NaN,NaN
0.111,294.2514851,294.2514723,3.94222e-08,1,NaN,NaN
0.1115,294.2564084,294.2563956,3.97485e-08,1,NaN,NaN
0.112,294.2613314,294.2613185,4.00714e-08,1,NaN,NaN
0.1125,294.2662541,294.266241,4.03907e-08,1,NaN,NaN
0.113,294.2711764,294.2711632,4.07063e-08,1,NaN,NaN
0.1135,294.2760984,294.2760851,4.10182e-08,1,NaN,NaN
0.114,294.28102,294.2810066,4.13263e-08,1,NaN,NaN
0.1145,294.2859413,294.2859278,4.16305e-08,1,NaN,NaN
0.115,294.2908623,294.2908487,4.19307e-08,1,NaN,NaN
0.1155,294.2957829,294.2957692,4.22269e-08,1,NaN,NaN
0.116,294.3007031,294.3006893,4.25188e-08,1,NaN,NaN
0.1165,294.305623,294.3056092,4.28066e-08,1,NaN,NaN
0.117,294.3105426,294.3105286,4.309e-08,1,NaN,NaN
0.1175,294.3154618,294.3154478,4.3369e-08,1,NaN,NaN
