time,dcpm.airGapDC.ia,armatureInverter.idealDcDc.powerMot.product.u1,armatureInverter.iMot,armatureInverter.iDCFilter.u,armatureInverter.gain.u,speedController.integrator.y,slewRateLimiter.y,preFilter.y,dcpm.inertiaRotor.w,dcpm.friction.phi,currentController.integrator.y,armatureInverter.vMotFilter.y,armatureInverter.iDCFilter.y,dcpm.inertiaRotor.a,dcpm.la.i,armatureInverter.iMotFilter.y,armatureInverter.vDCFilter.y,armatureInverter.idealDcDc.deadTime.y,loadInertia.w,loadInertia.phi,armatureInverter.idealDcDc.powerController.y
0.2000450982,0.03290299236,3.236739786,0.0003708918209,0.0008866474102,119.9999996,0.001515228658,0.01435518798,0.6714648961,7.942087318e-07,7.205884661e-12,0.04767378598,0.04881669995,6.717889805e-06,0.06982231835,0.03290299236,0.0003708918209,119.9999996,3.236739786,7.942087318e-07,7.205884661e-12,0.0008866474102
0.2000575326,0.06749363548,5.184668119,0.0009704557808,0.002913980394,119.9999983,0.002464949576,0.01831318369,0.85606847,2.083291935e-06,2.415172972e-11,0.07758687847,0.09983330757,2.822701961e-05,0.1432259429,0.06749363548,0.0009704557808,119.9999983,5.184668119,2.083291935e-06,2.415172972e-11,0.002913980394
0.2000707735,0.124050185,7.715306725,0.002193792861,0.007971081943,119.9999943,0.003728457955,0.02252788264,1.052392661,4.722034782e-06,6.745458179e-11,0.1174084073,0.1828943204,9.519694683e-05,0.2632426686,0.124050185,0.002193792861,119.9999943,7.715306725,4.722034782e-06,6.745458179e-11,0.007971081943
0.2000850067,0.2120524912,10.93361762,0.00450331039,0.01931173128,119.9999833,0.005376356919,0.02705845329,1.263140717,9.721054857e-06,1.670905034e-10,0.1693795825,0.3115490417,0.0002776650427,0.4499893623,0.2120524912,0.00450331039,119.9999833,10.93361762,9.721054857e-06,1.670905034e-10,0.01931173128
0.200100567,0.345982811,15.00981674,0.008690127875,0.04325965973,119.9999557,0.007520851615,0.03201144797,1.493195667,1.881802948e-05,3.833984619e-10,0.2370613119,0.506373771,0.0007376586397,0.7341983279,0.345982811,0.008690127875,119.9999557,15.00981674,1.881802948e-05,3.833984619e-10,0.04325965973
0.2001103914,0.4533811998,17.84116663,0.01249832808,0.06738373516,119.9999241,0.009047070483,0.03513866924,1.638263486,2.711838301e-05,6.072153638e-10,0.2852608994,0.6619496035,0.001265060626,0.9621047875,0.4533811998,0.01249832808,119.9999241,17.84116663,2.711838301e-05,6.072153638e-10,0.06738373516
0.2001172976,0.5399673256,19.81196762,0.01582576145,0.08912372506,119.9998924,0.01013959673,0.03733697246,1.740154705,3.438626343e-05,8.188659014e-10,0.3197885165,0.7870041455,0.001792699942,1.145846253,0.5399673256,0.01582576145,119.9998924,19.81196762,3.438626343e-05,8.188659014e-10,0.08912372506
0.2001324686,0.7611868723,23.95652812,0.02533464953,0.1519324869,119.9997867,0.01253693304,0.04216604854,1.963735163,5.521868754e-05,1.489558219e-09,0.3956331942,1.105045994,0.003554573989,1.615288711,0.7611868723,0.02533464953,119.9997867,23.95652812,5.521868754e-05,1.489558219e-09,0.1519324869
0.2001491695,1.051524408,28.24006829,0.03986744211,0.2474348499,119.9995941,0.01517183208,0.0474821241,2.209471205,8.720002167e-05,2.664498387e-09,0.4791199786,1.519480475,0.006765163548,2.231404097,1.051524408,0.03986744211,119.9995941,28.24006829,8.720002167e-05,2.664498387e-09,0.2474348499
0.2001710088,1.500089999,33.43048426,0.0664490267,0.4179179471,119.999177,0.01861076473,0.05443377078,2.530193056,0.0001460358749,5.173503038e-09,0.5882780506,2.153787109,0.01371617112,3.183289845,1.500089999,0.0664490267,119.999177,33.43048426,0.0001460358749,5.173503038e-09,0.4179179471
