time,mixingUnit.c,filter.x[3],filter.x[2],filter.x[1],invMixingUnit.Tˍt,invMixingUnit.T,mixingUnit.T
0,0.49184,0.49184,0.4935733263,0.4975218571,-0.007384703283,311.585,311.585
1e-06,0.49184,0.49184,0.4935733264,0.4975218517,-0.007384688857,311.585,311.585
2.676904268e-05,0.4918400011,0.491840001,0.4935733285,0.4975217113,-0.007384317119,311.5849998,311.5850006
0.0002844594695,0.4918400114,0.4918400103,0.4935733498,0.4975203077,-0.00738059977,311.5849979,311.585006
0.002861363738,0.4918401142,0.4918401039,0.4935735625,0.4975062714,-0.007343429056,311.5849789,311.5850599
0.02863040642,0.4918411416,0.4918410397,0.4935756465,0.49736595,-0.006971999661,311.5847945,311.5855994
0.2863208333,0.4918512603,0.4918504245,0.4935922759,0.495966894,-0.003285602268,311.5834739,311.5910152
1.06920166,0.4918802264,0.4918788802,0.4935965193,0.4917624905,0.007598174386,311.5851933,311.6085782
2.433327177,0.4919232734,0.4919255571,0.4934430222,0.4845992662,0.02539749737,311.6078689,311.6480244
3.967264794,0.4919565828,0.4919677327,0.4930385663,0.4767850458,0.04360211137,311.6610362,311.711556
5.908737504,0.4919665365,0.4919947222,0.4921983359,0.4672479839,0.06388196199,311.7658711,311.8240596
8.248115713,0.4919138686,0.491971128,0.4907383466,0.4562597398,0.08433013022,311.9400618,312.0044153
11.24899101,0.4917122727,0.4918220835,0.4882235569,0.4429301498,0.1046411676,312.2251789,312.2956368
14.95398346,0.4912070954,0.491408798,0.4842542503,0.4275876583,0.121766969,312.6470657,312.7237444
18.65897592,0.4903719828,0.490698617,0.4794796583,0.4133906818,0.1318269864,313.1187485,313.2006629
22.68811787,0.4890495068,0.4895517115,0.4735391716,0.3991520989,0.1367743846,313.6616386,313.74838
27.09273553,0.4870810966,0.4878231808,0.4663367619,0.3849015539,0.1371843717,314.2665359,314.3577517
32.27975015,0.4840483372,0.4851351195,0.4571438884,0.3697213258,0.1334113331,314.9698481,315.065509
38.55038018,0.4793682362,0.4809538142,0.445338847,0.3534410383,0.1254929179,315.782894,315.882998
44.82101022,0.4736439555,0.4758044268,0.4331117161,0.3391644181,0.1160030834,316.5404791,316.6441818
51.21471273,0.4668395088,0.4696461198,0.420502664,0.3264152269,0.1060010829,317.250146,317.3567058
57.89897688,0.4588244872,0.4623492107,0.4074166954,0.3147917407,0.09591237141,317.9246352,318.0333344
64.98193938,0.4495071029,0.4538144172,0.3938753679,0.3041275221,0.0860049045,318.5683585,318.6784103
72.62031538,0.4387334093,0.4438797976,0.3798397064,0.2942686209,0.07637076941,319.187798,319.2983175
81.00128853,0.4263240703,0.4323514588,0.3652842935,0.2851198748,0.06704090771,319.787887,319.897865
90.3992634,0.4120243041,0.4189528335,0.3501503764,0.276600895,0.05798199966,320.3742809,320.4825686
101.2522761,0.3954482665,0.4032638089,0.3343254531,0.2686386151,0.04910230818,320.9539738,321.0592689
114.4518968,0.3757962672,0.3844316091,0.3174664431,0.2611032094,0.04016574058,321.5411171,321.6419069
134.5246047,0.3481307078,0.3574512802,0.2965337087,0.2529815907,0.0295604343,322.2357116,322.3292955
154.5973126,0.3240747453,0.3334798966,0.2805429656,0.2476474506,0.02159346561,322.7453915,322.8327204
179.2016287,0.2999719014,0.3088827666,0.2663279081,0.243537058,0.01440958541,323.1833113,323.2652594
212.5750839,0.2760603635,0.28373157,0.2539185253,0.2404708244,0.007920203278,323.5471336,323.625665
245.948539,0.2602829423,0.2665449576,0.2466844888,0.2389466114,0.004049965302,323.7409743,323.8191525
280.3765378,0.2500785377,0.2550235275,0.2424632426,0.2381725711,0.001850128389,323.838467,323.9178543
317.6307008,0.2435830841,0.2473967996,0.240004065,0.2377757315,0.0006891846574,323.8829,323.9641354
359.1644205,0.2396803152,0.2425996931,0.238636716,0.2375806722,0.0001649893046,323.8987831,323.9819347
406.637187,0.2375390583,0.2398150249,0.2379345284,0.2374920481,-1.314940901e-05,323.9013706,323.9861555
461.6716376,0.2365137402,0.2383809697,0.2376151195,0.237456437,-3.977216419e-05,323.8995191,323.9854752
500,0.236214346,0.23792701,0.2375243829,0.2374473654,-3.121896436e-05,323.8981382,323.984574
