time,C2.i,R1.i,R2.i,R3.i,R4.i,R5.i,R6.i,R7.i,C6.i,R8.i,R9.i,C7.v,C3.v,C5.v,C8.v,C9.v,R10.i,R11.i
0,0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,0,0,-0,0,-0,-0,-0
1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4810071424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7859163432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9056584543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9579341467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9844683417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.995713511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9991534504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9999569082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000020889,-0.02282477346,-1,9.411055577e-11,-1.440118251e-05,-1.440118251e-05,1.627325e-06,-8.461541886e-12,9.411055577e-11,0.240734812,-8.711061652e-07,1.627325e-06,8.461541886e-12,-9.411055577e-11,1.440118251e-05,-1.627325e-06,-8.711061652e-07,-8.461541886e-12,-8.711061652e-07
1.000052686,-0.02282412668,-1,6.688878069e-10,-3.874766874e-05,-3.874766874e-05,4.378454895e-06,-6.014053693e-11,6.688878069e-10,0.2407279904,-2.343760811e-06,4.378454895e-06,6.014053693e-11,-6.688878069e-10,3.874766874e-05,-4.378454895e-06,-2.343760811e-06,-6.014053693e-11,-2.343760811e-06
1.000370657,-0.02281766248,-1,3.537659461e-08,-0.0002821798095,-0.0002821798095,3.188546761e-05,-3.180955654e-09,3.537659461e-08,0.2406598119,-1.706636533e-05,3.188546761e-05,3.180955654e-09,-3.537659461e-08,0.0002821798095,-3.188546761e-05,-1.706636533e-05,-3.180955654e-09,-1.706636533e-05
1.003550375,-0.02275337378,-1,3.275880989e-06,-0.002713229705,-0.002713229705,0.0003065285485,-2.947446856e-07,3.275880989e-06,0.2399817535,-0.0001638995526,0.0003065285485,2.947446856e-07,-3.275880989e-06,0.002713229705,-0.0003065285485,-0.0001638995526,-2.947446856e-07,-0.0001638995526
1.035347546,-0.02214549095,-1,0.0003224513536,-0.02669723177,-0.02669723177,0.003011819948,-2.920149615e-05,0.0003224513536,0.2335703621,-0.001594267812,0.003011819948,2.920149615e-05,-0.0003224513536,0.02669723177,-0.003011819948,-0.001594267812,-2.920149615e-05,-0.001594267812
1.138883012,-0.02059067733,-1,0.004846332728,-0.1007130338,-0.1007130338,0.01137750058,-0.0004490787642,0.004846332728,0.2171716116,-0.005836195267,0.01137750058,0.0004490787642,-0.004846332728,0.1007130338,-0.01137750058,-0.005836195267,-0.0004490787642,-0.005836195267
1.293494085,-0.01937980811,-1,0.02075111134,-0.1998526426,-0.1998526426,0.02302920335,-0.002000462642,0.02075111134,0.2044004717,-0.01132991372,0.02302920335,0.002000462642,-0.02075111134,0.1998526426,-0.02302920335,-0.01132991372,-0.002000462642,-0.01132991372
1.488059554,-0.01948651172,-1,0.05424082256,-0.3059403017,-0.3059403017,0.03726022387,-0.005547062694,0.05424082256,0.2055258837,-0.01759527879,0.03726022387,0.005547062694,-0.05424082256,0.3059403017,-0.03726022387,-0.01759527879,-0.005547062694,-0.01759527879
1.739469181,-0.02175212664,-1,0.1151271872,-0.4140779156,-0.4140779156,0.05674693495,-0.01290268306,0.1151271872,0.2294215155,-0.02597569567,0.05674693495,0.01290268306,-0.1151271872,0.4140779156,-0.05674693495,-0.02597569567,-0.01290268306,-0.02597569567
2.040455169,-0.02661563419,-1,0.2057688277,-0.5046820731,-0.5046820731,0.08417093368,-0.02628222897,0.2057688277,0.2807173401,-0.03821391276,0.08417093368,0.02628222897,-0.2057688277,0.5046820731,-0.08417093368,-0.03821391276,-0.02628222897,-0.03821391276
2.397193682,-0.03381074347,-1,0.3247793702,-0.5651862931,-0.5651862931,0.1249500118,-0.04967142087,0.3247793702,0.3566047649,-0.05771163167,0.1249500118,0.04967142087,-0.3247793702,0.5651862931,-0.1249500118,-0.05771163167,-0.04967142087,-0.05771163167
2.811784808,-0.04187673575,-1,0.4600373496,-0.585471983,-0.585471983,0.1846133039,-0.08895455498,0.4600373496,0.4416774662,-0.08853105612,0.1846133039,0.08895455498,-0.4600373496,0.585471983,-0.1846133039,-0.08853105612,-0.08895455498,-0.08853105612
3.294013454,-0.04812024313,-1,0.5903785742,-0.5635706069,-0.5635706069,0.2675667332,-0.1530265698,0.5903785742,0.5075282654,-0.1354807716,0.2675667332,0.1530265698,-0.5903785742,0.5635706069,-0.2675667332,-0.1354807716,-0.1530265698,-0.1354807716
3.855998718,-0.04857624037,-1,0.6841465869,-0.5083401943,-0.5083401943,0.3720017841,-0.2521563701,0.6841465869,0.5123377069,-0.2030064911,0.3720017841,0.2521563701,-0.6841465869,0.5083401943,-0.3720017841,-0.2030064911,-0.2521563701,-0.2030064911
4.509017241,-0.03917189699,-1,0.7068124965,-0.4434775748,-0.4434775748,0.4826565415,-0.3906504279,0.7068124965,0.4131493035,-0.2926917125,0.4826565415,0.3906504279,-0.7068124965,0.4434775748,-0.4826565415,-0.2926917125,-0.3906504279,-0.2926917125
5.195617416,-0.0209530883,-1,0.6513281728,-0.4050716713,-0.4050716713,0.5621425329,-0.5384796672,0.6513281728,0.2209939907,-0.3898197749,0.5621425329,0.5384796672,-0.6513281728,0.4050716713,-0.5621425329,-0.3898197749,-0.5384796672,-0.3898197749
5.897912975,-0.0001335379495,-1,0.5554752506,-0.4067446137,-0.4067446137,0.5898598588,-0.6568577481,0.5554752506,0.001408436023,-0.4792445228,0.5898598588,0.6568577481,-0.5554752506,0.4067446137,-0.5898598588,-0.4792445228,-0.6568577481,-0.4792445228
6.600208535,0.01572728785,-1,0.4687152852,-0.4387538713,-0.4387538713,0.5673340494,-0.7117872857,0.4687152852,-0.1658770322,-0.5460412927,0.5673340494,0.7117872857,-0.4687152852,0.4387538713,-0.5673340494,-0.5460412927,-0.7117872857,-0.5460412927
7.351026813,0.02197632142,-1,0.422897192,-0.4827257386,-0.4827257386,0.5107666904,-0.6881464577,0.422897192,-0.2317861167,-0.5826554402,0.5107666904,0.6881464577,-0.422897192,0.4827257386,-0.5107666904,-0.5826554402,-0.6881464577,-0.5826554402
8.244800634,0.01467590458,-1,0.4413288732,-0.5172740809,-0.5172740809,0.4448337862,-0.5752224958,0.4413288732,-0.1547880042,-0.5775748435,0.4448337862,0.5752224958,-0.4413288732,0.5172740809,-0.4448337862,-0.5775748435,-0.5752224958,-0.5775748435
9.138574455,-0.001054388822,-1,0.5043596721,-0.5180422077,-0.5180422077,0.4209830001,-0.4400382001,0.5043596721,0.01112072789,-0.5348905729,0.4209830001,0.4400382001,-0.5043596721,0.5180422077,-0.4209830001,-0.5348905729,-0.4400382001,-0.5348905729
10.03234828,-0.01395656307,-1,0.5569685787,-0.4957698555,-0.4957698555,0.4486315291,-0.3593932839,0.5569685787,0.1472010486,-0.4834474095,0.4486315291,0.3593932839,-0.5569685787,0.4957698555,-0.4486315291,-0.4834474095,-0.3593932839,-0.4834474095
10.94070917,-0.01634868809,-1,0.5625591158,-0.4740307076,-0.4740307076,0.5043426069,-0.3711887071,0.5625591158,0.1724309931,-0.4509451123,0.5043426069,0.3711887071,-0.5625591158,0.4740307076,-0.5043426069,-0.4509451123,-0.3711887071,-0.4509451123
11.98860883,-0.006184470712,-1,0.5138542721,-0.4735625587,-0.4735625587,0.5524056706,-0.4718525667,0.5138542721,0.06522813455,-0.4549985364,0.5524056706,0.4718525667,-0.5138542721,0.4735625587,-0.5524056706,-0.4549985364,-0.4718525667,-0.4549985364
12.83159252,0.005059931311,-1,0.465884014,-0.4922318496,-0.4922318496,0.5538300972,-0.5586659477,0.465884014,-0.05336752258,-0.4825756557,0.5538300972,0.5586659477,-0.465884014,0.4922318496,-0.5538300972,-0.4825756557,-0.5586659477,-0.4825756557
13.67457621,0.01197420866,-1,0.4417823407,-0.5149586524,-0.5149586524,0.5248066608,-0.6005491355,0.4417823407,-0.1262929894,-0.5134552238,0.5248066608,0.6005491355,-0.4417823407,0.5149586524,-0.5248066608,-0.5134552238,-0.6005491355,-0.5134552238
14.63709898,0.01063443747,-1,0.4573326797,-0.5283434606,-0.5283434606,0.4805695517,-0.575163577,0.4573326797,-0.1121623095,-0.5322124882,0.4805695517,0.575163577,-0.4573326797,0.5283434606,-0.4805695517,-0.5322124882,-0.575163577,-0.5322124882
15.59962174,0.001983232323,-1,0.5017885461,-0.520270803,-0.520270803,0.4563048339,-0.502377551,0.5017885461,-0.02091731869,-0.525194041,0.4563048339,0.502377551,-0.5017885461,0.520270803,-0.4563048339,-0.525194041,-0.502377551,-0.525194041
16.5621445,-0.006809565058,-1,0.5397163572,-0.4986943812,-0.4986943812,0.4662214515,-0.4399820804,0.5397163572,0.07182105737,-0.5020621116,0.4662214515,0.4399820804,-0.5397163572,0.4986943812,-0.4662214515,-0.5020621116,-0.4399820804,-0.5020621116
17.52466727,-0.009545516705,-1,0.5449930172,-0.4804637519,-0.4804637519,0.4983973731,-0.429442755,0.5449930172,0.1006773703,-0.4816264413,0.4983973731,0.429442755,-0.5449930172,0.4804637519,-0.4983973731,-0.4816264413,-0.429442755,-0.4816264413
18.72501552,-0.003429372854,-1,0.5090302868,-0.4801043634,-0.4801043634,0.5309273729,-0.4838956651,0.5090302868,0.03616988492,-0.4794291606,0.5309273729,0.4838956651,-0.5090302868,0.4801043634,-0.5309273729,-0.4794291606,-0.4838956651,-0.4794291606
19.60322835,0.003217295891,-1,0.4777648723,-0.4939109414,-0.4939109414,0.5310128625,-0.5323328833,0.4777648723,-0.03393309129,-0.4928449544,0.5310128625,0.5323328833,-0.4777648723,0.4939109414,-0.5310128625,-0.4928449544,-0.5323328833,-0.4928449544
20.50856331,0.007107205514,-1,0.4636118494,-0.5098953719,-0.5098953719,0.5119775262,-0.554886628,0.4636118494,-0.07496029638,-0.5090237545,0.5119775262,0.554886628,-0.4636118494,0.5098953719,-0.5119775262,-0.5090237545,-0.554886628,-0.5090237545
21.53972755,0.005501338361,-1,0.4770195929,-0.5176885158,-0.5176885158,0.4853336966,-0.5352778467,0.4770195929,-0.05802307999,-0.5173160371,0.4853336966,0.5352778467,-0.4770195929,0.5176885158,-0.4853336966,-0.5173160371,-0.5352778467,-0.5173160371
22.5708918,-0.0001967331351,-1,0.5063865145,-0.5104408164,-0.5104408164,0.4744371509,-0.4908553965,0.5063865145,0.00207496098,-0.5104813079,0.4744371509,0.4908553965,-0.5063865145,0.5104408164,-0.4744371509,-0.5104813079,-0.4908553965,-0.5104813079
23.60205604,-0.00484505731,-1,0.5261231672,-0.496165644,-0.496165644,0.4854206693,-0.4607022063,0.5261231672,0.05110122835,-0.4963816029,0.4854206693,0.4607022063,-0.5261231672,0.496165644,-0.4854206693,-0.4963816029,-0.4607022063,-0.4963816029
24.63322028,-0.00493886438,-1,0.5222018516,-0.487167472,-0.487167472,0.5061782498,-0.466396356,0.5222018516,0.05209061944,-0.4873631809,0.5061782498,0.466396356,-0.5222018516,0.487167472,-0.5061782498,-0.4873631809,-0.466396356,-0.4873631809
25.7841231,-0.0005796130003,-1,0.4987801048,-0.4906326516,-0.4906326516,0.5191773158,-0.5017797,0.4987801048,0.006113227231,-0.4907137371,0.5191773158,0.5017797,-0.4987801048,0.4906326516,-0.5191773158,-0.4907137371,-0.5017797,-0.4907137371
26.69897925,0.00299012327,-1,0.4827866643,-0.499946134,-0.499946134,0.514551584,-0.5260285116,0.4827866643,-0.03153708248,-0.4999480334,0.514551584,0.5260285116,-0.4827866643,0.499946134,-0.514551584,-0.4999480334,-0.5260285116,-0.4999480334
27.68333748,0.004113755003,-1,0.4804188442,-0.5083532146,-0.5083532146,0.5002140149,-0.5296508412,0.4804188442,-0.04338812121,-0.50831341,0.5002140149,0.5296508412,-0.4804188442,0.5083532146,-0.5002140149,-0.50831341,-0.5296508412,-0.50831341
28.83506901,0.001536803852,-1,0.4954328674,-0.5087932533,-0.5087932533,0.4867408568,-0.5069061546,0.4954328674,-0.01620879992,-0.508753161,0.4867408568,0.5069061546,-0.4954328674,0.5087932533,-0.4867408568,-0.508753161,-0.5069061546,-0.508753161
29.68559971,-0.001260187298,-1,0.5087795736,-0.5032081428,-0.5032081428,0.4863846992,-0.4866683791,0.5087795736,0.01329130179,-0.5031833607,0.4863846992,0.4866683791,-0.5087795736,0.5032081428,-0.4863846992,-0.5031833607,-0.4866683791,-0.5031833607
30.58932024,-0.003030887842,-1,0.5155528637,-0.4962195852,-0.4962195852,0.4942878991,-0.4763983965,0.5155528637,0.03196702986,-0.4962114971,0.4942878991,0.4763983965,-0.5155528637,0.4962195852,-0.4942878991,-0.4962114971,-0.4763983965,-0.4962114971
31.60162398,-0.002487495363,-1,0.5106237137,-0.4924802587,-0.4924802587,0.5057100545,-0.4838862934,0.5106237137,0.02623582353,-0.4924839534,0.5057100545,0.4838862934,-0.5106237137,0.4924802587,-0.5057100545,-0.4924839534,-0.4838862934,-0.4924839534
32.61392773,-0.0001281500612,-1,0.4983456679,-0.4950675367,-0.4950675367,0.5109976605,-0.5025262413,0.4983456679,0.001351609511,-0.4950752358,0.5109976605,0.5025262413,-0.4983456679,0.4950675367,-0.5109976605,-0.4950752358,-0.5025262413,-0.4950752358
33.62623147,0.001963032505,-1,0.4892391615,-0.5010209298,-0.5010209298,0.5070631457,-0.5163478068,0.4892391615,-0.0207042695,-0.50102791,0.5070631457,0.5163478068,-0.4892391615,0.5010209298,-0.5070631457,-0.50102791,-0.5163478068,-0.50102791
34.63853522,0.002230091967,-1,0.4897681746,-0.5052691833,-0.5052691833,0.4983431339,-0.5155375833,0.4897681746,-0.02352096819,-0.5052735583,0.4983431339,0.5155375833,-0.4897681746,0.5052691833,-0.4983431339,-0.5052735583,-0.5155375833,-0.5052735583
35.91322025,0.0002437309082,-1,0.5005442086,-0.5040010298,-0.5040010298,0.4917462572,-0.4991677608,0.5005442086,-0.002570650459,-0.5040016878,0.4917462572,0.4991677608,-0.5005442086,0.5040010298,-0.4917462572,-0.5040016878,-0.4991677608,-0.5040016878
36.81455036,-0.00127388048,-1,0.5073389291,-0.5000690319,-0.5000690319,0.4936887155,-0.4888487652,0.5073389291,0.01343572494,-0.5000675488,0.4936887155,0.4888487652,-0.5073389291,0.5000690319,-0.4936887155,-0.5000675488,-0.4888487652,-0.5000675488
37.85952514,-0.001754572624,-1,0.5082671823,-0.496303232,-0.496303232,0.5002445967,-0.4874417156,0.5082671823,0.01850562555,-0.4963004839,0.5002445967,0.4874417156,-0.5082671823,0.496303232,-0.5002445967,-0.4963004839,-0.4874417156,-0.4963004839
39.08241451,-0.0004859304485,-1,0.5010733081,-0.4964724891,-0.4964724891,0.5059699043,-0.498371146,0.5010733081,0.005125149451,-0.4964703698,0.5059699043,0.498371146,-0.5010733081,0.4964724891,-0.5059699043,-0.4964703698,-0.498371146,-0.4964703698
39.92437535,0.0006801643511,-1,0.4956223459,-0.4990192368,-0.4990192368,0.5055960654,-0.5066512367,0.4956223459,-0.007173750815,-0.499018501,0.5055960654,0.5066512367,-0.4956223459,0.4990192368,-0.5055960654,-0.499018501,-0.5066512367,-0.499018501
40.8971305,0.001347969411,-1,0.493292614,-0.5021077623,-0.5021077623,0.5015394072,-0.5101893863,0.493292614,-0.01421714714,-0.5021086597,0.5015394072,0.5101893863,-0.493292614,0.5021077623,-0.5015394072,-0.5021086597,-0.5101893863,-0.5021086597
41.98948492,0.000849780985,-1,0.496675738,-0.5031895361,-0.5031895361,0.4965838181,-0.5050494585,0.496675738,-0.008962711768,-0.5031912259,0.4965838181,0.5050494585,-0.496675738,0.5031895361,-0.4965838181,-0.5031912259,-0.5050494585,-0.5031912259
43.08183934,-0.0003073407455,-1,0.5023981141,-0.5013071136,-0.5013071136,0.4954344703,-0.4963567239,0.5023981141,0.003241548782,-0.5013081562,0.4954344703,0.4963567239,-0.5023981141,0.5013071136,-0.4954344703,-0.5013081562,-0.4963567239,-0.5013081562
44.17419377,-0.001003732676,-1,0.505075453,-0.4985966914,-0.4985966914,0.4984616159,-0.492290012,0.505075453,0.01058645325,-0.4985964268,0.4984616159,0.492290012,-0.505075453,0.4985966914,-0.4984616159,-0.4985964268,-0.492290012,-0.4985964268
45.38065076,-0.0006303182542,-1,0.5024484641,-0.4975985004,-0.4975985004,0.5026178357,-0.4962808468,0.5024484641,0.006648019824,-0.4975974115,0.5026178357,0.4962808468,-0.5024484641,0.4975985004,-0.5026178357,-0.4975974115,-0.4962808468,-0.4975974115
46.58710775,0.0003273349391,-1,0.4977661094,-0.4992668992,-0.4992668992,0.503308803,-0.5033935338,0.4977661094,-0.003452429229,-0.4992662456,0.503308803,0.5033935338,-0.4977661094,0.4992668992,-0.503308803,-0.4992662456,-0.5033935338,-0.4992662456
47.79356474,0.0007719754596,-1,0.496247473,-0.5013901969,-0.5013901969,0.5004502957,-0.5057001815,0.496247473,-0.008142090325,-0.5013905327,0.5004502957,0.5057001815,-0.496247473,0.5013901969,-0.5004502957,-0.5013905327,-0.5057001815,-0.5013905327
49.09282656,0.0002806049916,-1,0.49917736,-0.5016193257,-0.5016193257,0.4975375367,-0.5012494432,0.49917736,-0.002959564529,-0.5016200886,0.4975375367,0.5012494432,-0.49917736,0.5016193257,-0.4975375367,-0.5016200886,-0.5012494432,-0.5016200886
50.14566458,-0.0003395928545,-1,0.5020827122,-0.5002773403,-0.5002773403,0.4977064621,-0.4968361945,0.5020827122,0.003581714497,-0.5002776993,0.4977064621,0.4968361945,-0.5020827122,0.5002773403,-0.4977064621,-0.5002776993,-0.4968361945,-0.5002776993
51.25749765,-0.0005792011537,-1,0.5027755908,-0.4988748864,-0.4988748864,0.4998556228,-0.4957838564,0.5027755908,0.006108883451,-0.4988745891,0.4998556228,0.4957838564,-0.5027755908,0.4988748864,-0.4998556228,-0.4988745891,-0.4957838564,-0.4988745891
52.71507999,-9.50962331e-05,-1,0.5000379045,-0.4989555071,-0.4989555071,0.502003082,-0.4999425673,0.5000379045,0.001002987996,-0.4989549787,0.502003082,0.4999425673,-0.5000379045,0.4989555071,-0.502003082,-0.4989549787,-0.4999425673,-0.4989549787
53.71466493,0.0003197995101,-1,0.4981707464,-0.5000105794,-0.5000105794,0.5015192155,-0.5027787507,0.4981707464,-0.003372952423,-0.5000104067,0.5015192155,0.5027787507,-0.4981707464,0.5000105794,-0.5015192155,-0.5000104067,-0.5027787507,-0.5000104067
54.92484753,0.0004079097059,-1,0.4981407934,-0.5009889765,-0.5009889765,0.4996382134,-0.5028241094,0.4981407934,-0.004302258095,-0.5009892989,0.4996382134,0.5028241094,-0.4981407934,0.5009889765,-0.4996382134,-0.5009892989,-0.5028241094,-0.5009892989
56.30115926,-3.772084953e-06,-1,0.5003352144,-0.5006452886,-0.5006452886,0.4984606055,-0.4994906913,0.5003352144,3.978449835e-05,-0.5006456475,0.4984606055,0.4994906913,-0.5003352144,0.5006452886,-0.4984606055,-0.5006456475,-0.4994906913,-0.5006456475
57.35791159,-0.0002921408655,-1,0.5015651798,-0.499772486,-0.499772486,0.4991257328,-0.4976224229,0.5015651798,0.003081234364,-0.4997725195,0.4991257328,0.4976224229,-0.5015651798,0.499772486,-0.4991257328,-0.4997725195,-0.4976224229,-0.4997725195
58.62807134,-0.0002579739107,-1,0.5010936298,-0.4992054181,-0.4992054181,0.5006274943,-0.4983388235,0.5010936298,0.002720872608,-0.4992051191,0.5006274943,0.4983388235,-0.5010936298,0.4992054181,-0.5006274943,-0.4992051191,-0.4983388235,-0.4992051191
59.89823109,6.059630566e-05,-1,0.4994786989,-0.49964252,-0.49964252,0.5011353,-0.5007919455,0.4994786989,-0.00063911435,-0.4996422893,0.5011353,0.5007919455,-0.4994786989,0.49964252,-0.5011353,-0.4996422893,-0.5007919455,-0.4996422893
60,8.566142203e-05,-1,0.499365695,-0.499705842,-0.499705842,0.5011070536,-0.5009635964,0.499365695,-0.0009034782477,-0.4997056328,0.5011070536,0.5009635964,-0.499365695,0.499705842,-0.5011070536,-0.4997056328,-0.5009635964,-0.4997056328
