time,mass2.port.T,mass1.T,mass2.T
0,273.15,373.15,273.15
0.0810927478,278.27417,368.02583,278.27417
0.2884454043,289.1136479,357.1863521,289.1136479
0.5683437885,299.7149845,346.5850155,299.7149845
0.9160937106,308.4100019,337.8899981,308.4100019
1,309.9701427,336.3298573,309.9701427
