time,criticalDamping.x[1],firstOrder2.y,firstOrder1.y
0,1,1,1
0.0001,1,1,1
0.1693839769,1,1,1
0.197055398,1,1,1
0.1994052878,1,1,1
0.2022363794,1.012942953,1.012942953,1.012942953
0.2034598437,1.025716791,1.025716791,1.025716791
0.206237073,1.058726993,1.058726993,1.058726993
0.2090143023,1.093194314,1.093194314,1.093194314
0.2130661233,1.143673854,1.143673854,1.143673854
0.2184998726,1.210841728,1.210841728,1.210841728
0.2273096992,1.317526175,1.317526175,1.317526175
0.2399792296,1.463810808,1.463810808,1.463810808
0.2544880033,1.616714836,1.616714836,1.616714836
0.2715143308,1.769742308,1.769742308,1.769742308
0.290585621,1.899194327,1.899194327,1.899194327
0.3116466176,1.982221171,1.982221171,1.982221171
0.3344722606,1.994901622,1.994901622,1.994901622
0.3589228239,1.918410445,1.918410445,1.918410445
0.3850280625,1.742126926,1.742126926,1.742126926
0.4128630668,1.467595375,1.467595375,1.467595375
0.4428165493,1.110022161,1.110022161,1.110022161
0.4764480709,0.6927572657,0.6927572657,0.6927572657
0.5159703857,0.276540228,0.276540228,0.276540228
0.5463751659,0.07141215037,0.07141215037,0.07141215037
0.5680798769,0.00591293592,0.00591293592,0.00591293592
0.5826142677,0.003062043772,0.003062043772,0.003062043772
0.5971486585,0.03337540771,0.03337540771,0.03337540771
0.6124013723,0.09973368289,0.09973368289,0.09973368289
0.6288810731,0.2083863777,0.2083863777,0.2083863777
0.6467917875,0.3646457294,0.3646457294,0.3646457294
0.6665781559,0.5741557779,0.5741557779,0.5741557779
0.6888849164,0.8410356636,0.8410356636,0.8410356636
0.715183065,1.169935442,1.169935442,1.169935442
0.7725655734,1.778097686,1.778097686,1.778097686
0.8018638024,1.951919687,1.951919687,1.951919687
0.8376213397,1.990211478,1.990211478,1.990211478
0.8733788769,1.831913629,1.831913629,1.831913629
0.9095114219,1.504389925,1.504389925,1.504389925
0.9467854008,1.060344616,1.060344616,1.060344616
0.9876235711,0.5626078605,0.5626078605,0.5626078605
1,0.428623573,0.428623573,0.428623573
