time,armatureInverter.iMot,armatureInverter.gain.u,armatureInverter.idealDcDc.pin_nBat.i,dcpm.friction.phi,dcpm.inertiaRotor.w,dcpm.flange.tau,armatureInverter.idealDcDc.powerMot.currentSensor.i,currentController.integrator.y,armatureInverter.vMotFilter.y,armatureInverter.idealDcDc.deadTime.y,armatureInverter.iDCFilter.y,armatureInverter.vDCFilter.y,armatureInverter.iMotFilter.y,loadInertia.w,dcpm.la.i,armatureInverter.idealDcDc.powerController.y,loadInertia.phi
0.2000038488,1.513065744e-06,120,-8.947564937e-06,3.094810615e-15,3.213917661e-09,-0.0003752886587,0.001179004093,0.01282934018,0.001766312196,0.9166974183,8.6070769e-09,120,1.513065744e-06,3.213917661e-09,0.001179004093,8.947564937e-06,3.094810615e-15
0.200005641,4.753089395e-06,120,-2.806317795e-05,1.426040342e-14,1.010061328e-08,-0.0008042486664,0.002526621702,0.01880329783,0.003783040583,1.338804045,3.962324985e-08,120,4.753089395e-06,1.010061328e-08,0.002526621702,2.806317795e-05,1.426040342e-14
0.2000079285,1.315953709e-05,120,-7.743292713e-05,5.554909871e-14,2.798086606e-08,-0.001583945672,0.004976112088,0.02642824283,0.007445086839,1.873225617,1.538870391e-07,120,1.315953709e-05,2.798086606e-08,0.004976112088,7.743292713e-05,5.554909871e-14
0.2000107817,3.297514197e-05,120,-0.000193062971,1.895289926e-13,7.016454503e-08,-0.002918037628,0.009167285574,0.03593887843,0.01370311452,2.533053898,5.225798207e-07,120,3.297514197e-05,7.016454503e-08,0.009167285574,0.000193062971,1.895289926e-13
0.2000142714,7.61454364e-05,119.9999999,-0.0004429004738,5.802207663e-13,1.621642001e-07,-0.005089181394,0.01598813488,0.04757129513,0.02387179181,3.330003847,1.589677712e-06,119.9999999,7.61454364e-05,1.621642001e-07,0.01598813488,0.0004429004738,5.802207663e-13
0.2000184723,0.0001642643449,119.9999997,-0.0009476787686,1.623173904e-12,3.501969471e-07,-0.008479125819,0.02663795938,0.06157430895,0.0397187568,4.274854386,4.411651588e-06,119.9999997,0.0001642643449,3.501969471e-07,0.02663795938,0.0009476787686,1.623173904e-12
0.2000234703,0.0003348464488,119.9999993,-0.001912853513,4.213434922e-12,7.147599064e-07,-0.01359851033,0.04272098016,0.0782341689,0.06359594556,5.378670329,1.134062926e-05,119.9999993,0.0003348464488,7.147599064e-07,0.04272098016,0.001912853513,4.213434922e-12
0.2000293758,0.0006517630634,119.9999984,-0.003679887669,1.02919642e-11,1.393315736e-06,-0.02113848838,0.0664085198,0.09791910024,0.09866772978,6.655044525,2.738031524e-05,119.9999984,0.0006517630634,1.393315736e-06,0.0664085198,0.003679887669,1.02919642e-11
0.2000363438,0.001223723031,119.9999962,-0.006814193522,2.398189768e-11,2.620628728e-06,-0.0320633229,0.1007298997,0.1211456639,0.1493204663,8.123144896,6.292511558e-05,119.9999962,0.001223723031,2.620628728e-06,0.1007298997,0.006814193522,2.398189768e-11
0.2000445997,0.002238623855,119.9999916,-0.0122632293,5.40355978e-11,4.80406174e-06,-0.0477701855,0.1500744638,0.1486646542,0.2218657253,9.810912044,0.0001394781618,119.9999916,0.002238623855,4.80406174e-06,0.1500744638,0.0122632293,5.40355978e-11
0.2000544705,0.004029247221,119.9999819,-0.02164676947,1.193048616e-10,8.668335892e-06,-0.07035353122,0.2210221368,0.1815663894,0.3256908719,11.75769833,0.0003019918677,119.9999819,0.004029247221,8.668335892e-06,0.2210221368,0.02164676947,1.193048616e-10
0.2000664265,0.007201757198,119.9999612,-0.03779591276,2.614295644e-10,1.554056841e-05,-0.103037525,0.3237019316,0.2214174715,0.4751105137,14.01603146,0.0006463276898,119.9999612,0.007201757198,1.554056841e-05,0.3237019316,0.03779591276,2.614295644e-10
0.2000811431,0.01289517548,119.9999171,-0.06577372499,5.755433679e-10,2.793064419e-05,-0.1509044605,0.4740803445,0.2704679565,0.6924228728,16.65291483,0.001382462233,119.9999171,0.01289517548,2.793064419e-05,0.4740803445,0.06577372499,5.755433679e-10
0.2000995995,0.02332398637,119.9998209,-0.1148442527,1.288211015e-09,5.075768614e-05,-0.2221513636,0.6979090918,0.3319785129,1.013044661,19.74989386,0.002985345408,119.9998209,0.02332398637,5.075768614e-05,0.6979090918,0.1148442527,1.288211015e-09
