time,mass2.s,mass1.s,mass2.v,mass1.v,springDamper2.s_rel,springDamper1.v_rel,elastoGap2.s_rel,elastoGap1.v_rel
0,2,2,0,0,0,0,0,0
0.0003517944185,2,1.999997526,0,-0.01406434799,2.474315221e-06,-0.01406434799,0,0
0.00848985328,2,1.99857078,0,-0.3352254043,0.001429219729,-0.3352254043,0,0
0.04025938665,2,1.968933599,0,-1.508745866,0.03106640119,-1.508745866,0,0
0.09498161847,2,1.837963153,0,-3.207534519,0.1620368467,-3.207534519,0,0
0.159520726,2,1.581004663,0,-4.653267068,0.4189953373,-4.653267068,0,0
0.2385779157,2,1.169765371,0,-5.604119855,0.8302346291,-5.604119855,0,0
0.328100247,2,0.6566699039,0,-5.701143406,1.343330096,-5.701143406,1.110223025e-16,0
0.4287836471,2,0.1184386806,0,-4.852395994,1.881561319,-4.852395994,-5.551115123e-17,0
0.5403037522,2,-0.3356377731,0,-3.213785479,2.335637773,-3.213785479,-5.551115123e-17,0
0.6629817782,2,-0.6054612751,0,-1.199014331,2.605461275,-1.199014331,-1.110223025e-16,0
0.7893424635,2,-0.6416326196,0,0.5315388165,2.64163262,0.5315388165,1.110223025e-16,0
0.9241775873,2,-0.4867717356,0,1.621490786,2.486771736,1.621490786,-1.665334537e-16,0
1.060460782,2,-0.2394859626,0,1.877198357,2.239485963,1.877198357,1.110223025e-16,0
1.200922408,2,0.001803097308,0,1.473709668,1.998196903,1.473709668,-1.10805462e-16,0
1.34756485,2,0.1640905336,0,0.7161936998,1.835909466,0.7161936998,5.551115123e-17,0
1.497383043,2,0.2134728389,0,-0.02551416333,1.786527161,-0.02551416333,-2.775557562e-17,0
1.648235387,2,0.1701166919,0,-0.4918203562,1.829883308,-0.4918203562,2.775557562e-17,0
1.799895023,2,0.08208994873,0,-0.6148942927,1.917910051,-0.6148942927,-4.163336342e-17,0
1.951554659,2,-0.002957197176,0,-0.4742756629,2.002957197,-0.4742756629,5.377642776e-17,0
2.108508549,2,-0.05698529164,0,-0.2070319289,2.056985292,-0.2070319289,2.081668171e-17,0
2.266614887,2,-0.06918834967,0,0.03939212122,2.06918835,0.03939212122,8.326672685e-17,0
2.425461994,2,-0.0502310661,0,0.1780519404,2.050231066,0.1780519404,-1.665334537e-16,0
2.5843091,2,-0.01912644972,0,0.1956188966,2.01912645,0.1956188966,1.387778781e-16,0
2.743156207,2,0.007548868676,0,0.1312346086,1.992451131,0.1312346086,8.67361738e-18,0
2.908438894,2,0.02145774725,0,0.03724677349,1.978542253,0.03724677349,-5.551115123e-17,0
3.073721581,2,0.02109712329,0,-0.03532747946,1.978902877,-0.03532747946,-7.285838599e-17,0
3.241211359,2,0.01205047746,0,-0.06509299165,1.987949523,-0.06509299165,1.006139616e-16,0
3.408701137,2,0.001505344926,0,-0.05570695684,1.998494655,-0.05570695684,1.010476425e-16,0
3.576190915,2,-0.005508371941,0,-0.02658310045,2.005508372,-0.02658310045,-1.196959198e-16,0
3.750094337,2,-0.007416473083,0,0.003126646324,2.007416473,0.003126646324,-4.250072516e-17,0
3.928676744,2,-0.005134577203,0,0.01957001561,2.005134577,0.01957001561,5.377642776e-17,0
4.107259152,2,-0.00139499537,0,0.0200300117,2.001394995,0.0200300117,1.385610376e-16,0
4.285841559,2,0.00144670132,0,0.01092064201,1.998553299,0.01092064201,-6.570265165e-17,0
4.470658149,2,0.002434371603,0,0.0001667954216,1.997565628,0.0001667954216,6.505213035e-18,0
4.668176272,2,0.001717030162,0,-0.00630269933,1.99828297,-0.00630269933,-3.686287386e-17,0
4.865694396,2,0.0003732347231,0,-0.006403008409,1.999626765,-0.006403008409,-9.519295074e-17,0
5,2,-0.0003503104271,0,-0.00419620061,2.00035031,-0.00419620061,3.258027528e-17,0
