time,elastoGap1.flange_b.s,mass2.v,mass1.v,mass1.s,elastoGap2.s_rel,elastoGap1.v_rel,springDamper1.v_rel,springDamper2.s_rel
0,2,0,0,2,0,0,0,0
0.0003517944185,2,0,-0.01406434799,1.999997526,0,0,-0.01406434799,2.474315221e-06
0.006370710183,2,0,-0.2523745444,1.999193482,0,0,-0.2523745444,0.0008065178644
0.03428511115,2,0,-1.298133989,1.977320514,0,0,-1.298133989,0.02267948617
0.08664468764,2,0,-2.976250406,1.863747053,0,0,-2.976250406,0.1362529472
0.150408945,2,0,-4.486277707,1.622652657,0,0,-4.486277707,0.3773473427
0.2278184003,2,0,-5.525605938,1.229654427,0,0,-5.525605938,0.7703455735
0.3163763774,2,0,-5.740567013,0.7237544762,0,0,-5.740567013,1.276245524
0.4158868942,2,0,-5.004404964,0.1820103409,0,0,-5.004404964,1.817989659
0.5261749817,2,0,-3.443153957,-0.2886063969,0,0,-3.443153957,2.288606397
0.64865228,2,0,-1.426330714,-0.5866565774,0,0,-1.426330714,2.586656577
0.7742028554,2,0,0.3563729162,-0.6483665516,0,0,0.3563729162,2.648366552
0.9084034487,2,0,1.538776458,-0.5117124676,0,0,1.538776458,2.511712468
1.044540659,2,0,1.88608239,-0.2694539966,0,0,1.88608239,2.269453997
1.184621837,2,0,1.544125646,-0.02279932808,0,0,1.544125646,2.022799328
1.330220107,2,0,0.8105876985,0.150850192,0,0,0.8105876985,1.849149808
1.480613287,2,0,0.04660406879,0.2133009962,0,0,0.04660406879,1.786699004
1.631006467,2,0,-0.4562985884,0.1782909027,0,0,-0.4562985884,1.821709097
1.783196624,2,0,-0.6166224719,0.09237678395,0,0,-0.6166224719,1.907623216
1.935386782,2,0,-0.4975456934,0.004900847061,0,0,-0.4975456934,1.995099153
2.091733435,2,0,-0.2367048138,-0.05326376959,0,0,-0.2367048138,2.05326377
2.250834062,2,0,0.01885709439,-0.06964943059,0,0,0.01885709439,2.069649431
2.409934689,2,0,0.1701442275,-0.05293590405,0,0,0.1701442275,2.052935904
2.569035316,2,0,0.1983466517,-0.02213613368,0,0,0.1983466517,2.022136134
2.728135942,2,0,0.1392962411,0.005516836552,0,0,0.1392962411,1.994483163
2.892661722,2,0,0.0458843484,0.02080222619,0,0,0.0458843484,1.979197774
3.057187501,2,0,-0.02987837246,0.02163680099,0,0,-0.02987837246,1.978363199
3.22475884,2,0,-0.06414337729,0.01311415306,0,0,-0.06414337729,1.986885847
3.392330178,2,0,-0.05785224166,0.002435152467,0,0,-0.05785224166,1.997564848
3.559901517,2,0,-0.02967909342,-0.005050136372,0,0,-0.02967909342,2.005050136
3.733925705,2,0,0.0008183460792,-0.007448530565,0,0,0.0008183460792,2.007448531
3.911833808,2,0,0.01875448556,-0.005457536077,0,0,0.01875448556,2.005457536
4.089741911,2,0,0.02054585936,-0.001750525778,0,0,0.02054585936,2.001750526
4.267650015,2,0,0.01203611731,0.001237869402,0,0,0.01203611731,1.998762131
4.450817777,2,0,0.00117033707,0.002421197229,0,0,0.00117033707,1.997578803
4.645533652,2,0,-0.005908716532,0.001855447422,0,0,-0.005908716532,1.998144553
4.840249528,2,0,-0.006670386487,0.0005396952123,0,0,-0.006670386487,1.999460305
5,2,0,-0.004196198736,-0.0003503106806,0,0,-0.004196198736,2.000350311
