time,elastoGap1.v_rel_ref,elastoGap1.v_rel_sim,elastoGap1.v_rel_relerr,elastoGap2.s_rel_ref,elastoGap2.s_rel_sim,elastoGap2.s_rel_relerr
0,0,0,0,0,0,0
0.005,-0.0747163386,0,0.0218013,0.0001870281809,0,5.56335e-05
0.01,-0.148855792,0,0.0434342,0.000746201831,0,0.000221966
0.015,-0.2224042054,0,0.0648947,0.001674601015,0,0.000498128
0.02,-0.2953476773,0,0.0861787,0.002969235697,0,0.000883231
0.025,-0.3676725607,0,0.107282,0.004627047135,0,0.00137636
0.03,-0.4393654642,0,0.128201,0.006644908645,0,0.0019766
0.035,-0.5104132539,0,0.148932,0.009019627344,0,0.00268298
0.04,-0.5808030551,0,0.169471,0.01174794534,0,0.00349455
0.045,-0.6505222529,0,0.189814,0.01482654101,0,0.00441031
0.05,-0.7195584938,0,0.209958,0.01825203036,0,0.00542926
0.055,-0.7878996866,0,0.229899,0.02202096827,0,0.00655037
0.06,-0.8555340036,0,0.249634,0.02612984976,0,0.0077726
0.065,-0.9224498816,0,0.269159,0.03057511149,0,0.00909489
0.07,-0.9886360225,0,0.288471,0.03535313272,0,0.0105162
0.075,-1.054081395,0,0.307568,0.0404602372,0,0.0120353
0.08,-1.118775233,0,0.326444,0.04589269413,0,0.0136513
0.085,-1.182707041,0,0.345099,0.05164671944,0,0.0153629
0.09,-1.24586659,0,0.363528,0.05771847738,0,0.017169
0.095,-1.308243919,0,0.381729,0.06410408165,0,0.0190684
0.1,-1.369829337,0,0.399699,0.0707995968,0,0.0210601
0.105,-1.430613423,0,0.417435,0.07780103959,0,0.0231427
0.11,-1.490587026,0,0.434934,0.08510438035,0,0.0253152
0.115,-1.549741264,0,0.452195,0.09270554433,0,0.0275762
0.12,-1.608067525,0,0.469214,0.1006004131,0,0.0299247
0.125,-1.665557469,0,0.485989,0.108784826,0,0.0323592
0.13,-1.722203025,0,0.502517,0.1172545811,0,0.0348786
0.135,-1.777996395,0,0.518797,0.1260054371,0,0.0374817
0.14,-1.832930049,0,0.534826,0.1350331135,0,0.040167
0.145,-1.886996731,0,0.550602,0.1443332937,0,0.0429335
0.15,-1.940189455,0,0.566123,0.1539016252,0,0.0457797
0.155,-1.992501507,0,0.581387,0.1637337208,0,0.0487043
0.16,-2.043926431,0,0.596392,0.1738251614,0,0.0517061
0.165,-2.094458044,0,0.611136,0.184171496,0,0.0547838
0.17,-2.144090443,0,0.625618,0.194768243,0,0.0579359
0.175,-2.192817988,0,0.639837,0.2056108922,0,0.0611611
0.18,-2.240635304,0,0.653789,0.2166949059,0,0.0644582
0.185,-2.287537271,0,0.667474,0.2280157193,0,0.0678257
0.19,-2.333519056,0,0.680891,0.2395687441,0,0.0712623
0.195,-2.378576085,0,0.694038,0.2513493677,0,0.0747665
0.2,-2.422704053,0,0.706914,0.2633529557,0,0.0783371
0.205,-2.465898893,0,0.719518,0.2755748519,0,0.0819727
0.21,-2.508156824,0,0.731848,0.2880103814,0,0.0856717
0.215,-2.549474328,0,0.743904,0.3006548508,0,0.089433
0.22,-2.589848146,0,0.755685,0.3135035502,0,0.093255
0.225,-2.629275268,0,0.767189,0.3265517531,0,0.0971363
0.23,-2.667752937,0,0.778417,0.3397947184,0,0.101076
0.235,-2.705278675,0,0.789366,0.3532276931,0,0.105071
0.24,-2.741850251,0,0.800037,0.3668459122,0,0.109122
0.245,-2.77746569,0,0.810429,0.3806446003,0,0.113227
0.25,-2.812123245,0,0.820542,0.3946189704,0,0.117384
0.255,-2.845821455,0,0.830375,0.4087642303,0,0.121591
0.26,-2.878559096,0,0.839927,0.4230755804,0,0.125848
0.265,-2.910335197,0,0.849199,0.4375482159,0,0.130153
0.27,-2.941149021,0,0.85819,0.4521773261,0,0.134505
0.275,-2.971000077,0,0.8669,0.4669580978,0,0.138902
0.28,-2.999888132,0,0.875329,0.4818857173,0,0.143342
0.285,-3.02781319,0,0.883478,0.4969553701,0,0.147825
0.29,-3.054775495,0,0.891345,0.5121622419,0,0.152348
0.295,-3.080775507,0,0.898931,0.5275015176,0,0.156911
0.3,-3.105813951,0,0.906237,0.542968389,0,0.161512
0.305,-3.12989178,0,0.913263,0.558558051,0,0.166149
0.31,-3.153010177,0,0.920008,0.574265704,0,0.170821
0.315,-3.175170544,0,0.926475,0.5900865524,0,0.175528
0.32,-3.196374518,0,0.932662,0.60601581,0,0.180266
0.325,-3.216623972,0,0.93857,0.6220487006,0,0.185035
0.33,-3.235920995,0,0.944201,0.6381804573,0,0.189834
0.335,-3.254267899,0,0.949554,0.6544063233,0,0.19466
0.34,-3.271667201,0,0.954631,0.6707215519,0,0.199513
0.345,-3.288121657,0,0.959432,0.6871214137,0,0.204392
0.35,-3.303634231,0,0.963959,0.7036011924,0,0.209294
0.355,-3.318208099,0,0.968211,0.7201561873,0,0.214218
0.36,-3.331846635,0,0.972191,0.7367817097,0,0.219164
0.365,-3.344553434,0,0.975898,0.7534730935,0,0.224129
