time,dcse.flange.phi,dcse.airGapDC.pin_ep.i,loadInertia.a,loadInertia.w,dcse.airGapDC.pin_ep.iˍt,dcse.la.i,loadInertia.phi
0,0,0,0,0,-0,0,0
1e-06,8.961159136e-26,1.110524524e-05,2.617069015e-12,5.234525432e-19,22.20852855,1.110524524e-05,8.961159136e-26
1.872860155e-05,3.821129293e-18,0.003883099817,3.199749481e-07,1.20010386e-12,413.9844781,0.003883099817,3.821129293e-18
8.01896845e-05,2.285739251e-14,0.07041869248,0.0001052288405,1.696069875e-09,1743.856579,0.07041869248,2.285739251e-14
0.0001757631581,2.462799921e-12,0.3326347507,0.002347978466,8.340635054e-08,3726.195452,0.3326347507,2.462799921e-12
0.000289149783,4.742089376e-11,0.8823525568,0.01652126009,9.719864305e-07,5946.816083,0.8823525568,4.742089376e-11
0.0004350906795,5.305421396e-10,1.946793549,0.08042640735,7.182644241e-06,8603.415294,1.946793549,5.305421396e-10
0.0006039050098,3.635740965e-09,3.639714389,0.2811211257,3.520733214e-05,11406.01177,3.639714389,3.635740965e-09
0.000795393878,1.808605107e-08,6.101819027,0.7900917326,0.000131879155,14251.93788,6.101819027,1.808605107e-08
0.001007596939,7.085472312e-08,9.426364025,1.885590084,0.0004040783411,17015.25556,9.426364025,7.085472312e-08
0.001243908827,2.363271059e-07,13.76635376,4.021580087,0.001080319458,19638.52886,13.76635376,2.363271059e-07
0.001505482117,6.952657995e-07,19.22632929,7.844253514,0.002595157823,22020.32366,19.22632929,6.952657995e-07
0.001794634297,1.85416996e-06,25.90279858,14.23810658,0.005728594153,24059.0262,25.90279858,1.85416996e-06
0.002112293405,4.547065937e-06,33.81301802,24.26200684,0.01175654305,25632.36879,33.81301802,4.547065937e-06
0.002459088718,1.035911648e-05,42.89403183,39.04384299,0.02261650449,26616.33023,42.89403183,1.035911648e-05
0.002833976007,2.203391952e-05,52.94824393,59.4924531,0.04094600691,26892.03108,52.94824393,2.203391952e-05
0.003234628076,4.389272717e-05,63.6441071,85.95576891,0.06993850472,26366.09466,63.6441071,4.389272717e-05
0.003657486334,8.207769958e-05,74.52969486,117.8737509,0.112917244,24986.67588,74.52969486,8.207769958e-05
0.004097959679,0.0001443922103,85.07202184,153.5789036,0.1726503808,22755.43458,85.07202184,0.0001443922103
0.004551073842,0.0002396585663,94.72308736,190.4009754,0.250630063,19729.79687,94.72308736,0.0002396585663
0.005012272459,0.0003767648423,102.9876458,225.0748026,0.346603943,16013.07664,102.9876458,0.0003767648423
0.005477303167,0.0005633984527,109.4593512,254.2500917,0.4583328348,11744.06159,109.4593512,0.0005633984527
0.005942333875,0.0008048630758,113.84965,275.0534325,0.581770934,7083.505571,113.84965,0.0008048630758
0.006407364584,0.001105622938,116.0073284,285.5763279,0.7125513685,2164.103048,116.0073284,0.001105622938
0.006872395292,0.00146793455,115.8426921,284.764297,0.8456123851,-2882.530017,115.8426921,0.00146793455
0.007337426001,0.001891620648,113.3266562,272.5261952,0.975623364,-7927.66804,113.3266562,0.001891620648
0.007832003926,0.002406585889,108.1048098,247.9865311,1.104794053,-13153.09958,108.1048098,0.002406585889
0.008335722075,0.002993165215,100.1969201,213.0286486,1.221264583,-18184.49985,100.1969201,0.002993165215
0.00886683837,0.003669835512,89.22951839,168.9398741,1.322931647,-23023.2015,89.22951839,0.003669835512
0.009425935351,0.004433322029,75.08523333,119.6184869,1.403604925,-27447.14785,75.08523333,0.004433322029
0.01000948166,0.005269922338,57.93137758,71.19675396,1.458972623,-31183.29577,57.93137758,0.005269922338
0.01059302797,0.006131032658,38.89108562,32.07503155,1.488515135,-33894.23675,38.89108562,0.006131032658
0.01117657428,0.00700347555,18.59123595,7.312708818,1.499212667,-35487.86604,18.59123595,0.00700347555
0.01167699848,0.007754187016,0.6873328541,-0.01188574762,1.500476017,-35921.48767,0.6873328541,0.007754187016
0.01217742268,0.008505180776,-17.21449534,6.266566353,1.501477283,-35479.15075,-17.21449534,0.008505180776
0.01267784689,0.009258015429,-34.67700539,25.49557346,1.508915236,-34168.76932,-34.67700539,0.009258015429
0.01323123987,0.01009852712,-52.96093707,59.49816333,1.531894034,-31744.42638,-52.96093707,0.01009852712
0.01378463286,0.01095750042,-69.63454818,102.8741638,1.57650301,-28362.94451,-69.63454818,0.01095750042
