time,mass2.T,mass1.T
0,273.15,373.15
0.0810927478,278.27417,368.02583
0.2884453676,289.1136462,357.1863538
0.5683437546,299.7149834,346.5850166
0.9160936005,308.4099997,337.8900003
1,309.9701427,336.3298573
