time,heatCapacitor2.T_ref,heatCapacitor2.T_sim,heatCapacitor2.T_relerr,pipe2.T_ref,pipe2.T_sim,pipe2.T_relerr,pipe3.T_ref,pipe3.T_sim,pipe3.T_relerr
0.021,295.0579615,295.0573851,1.80143e-06,293.3350277,293.342611,2.44088e-05,293.1599197,293.1562864,1.18823e-05
0.0215,295.0992862,295.0987293,1.74047e-06,293.3432249,293.3512665,2.58838e-05,293.1605838,293.1567138,1.26564e-05
0.022,295.1404661,295.1399108,1.73534e-06,293.3515416,293.3600847,2.74979e-05,293.1612809,293.1571586,1.34815e-05
0.0225,295.1814798,295.1809312,1.71453e-06,293.3600041,293.3690639,2.91615e-05,293.1620052,293.1576211,1.43376e-05
0.023,295.2223276,295.2217922,1.67303e-06,293.3686122,293.3782026,3.08692e-05,293.1627567,293.1581015,1.5224e-05
0.0235,295.2630092,295.2624953,1.60586e-06,293.377366,293.3874991,3.2616e-05,293.1635353,293.1586,1.614e-05
0.024,295.3035247,295.3030422,1.50809e-06,293.3862656,293.396952,3.43968e-05,293.1643411,293.1591169,1.7085e-05
0.0245,295.3438742,295.3434343,1.37482e-06,293.3953108,293.4065595,3.62066e-05,293.1651741,293.1596523,1.80581e-05
0.025,295.3840608,295.3836732,1.21118e-06,293.4044979,293.4163202,3.8053e-05,293.166035,293.1602065,1.90613e-05
0.0255,295.4241082,295.4237605,1.08658e-06,293.4137975,293.4262325,4.00251e-05,293.1669296,293.1607796,2.01127e-05
0.026,295.4640007,295.4636977,9.4701e-07,293.4232291,293.4362949,4.20555e-05,293.1678541,293.1613718,2.11993e-05
0.0265,295.5037396,295.5034862,7.91888e-07,293.4327911,293.4465059,4.41447e-05,293.1688087,293.1619834,2.23214e-05
0.027,295.5433263,295.5431277,6.20682e-07,293.4424818,293.4568641,4.6293e-05,293.1697939,293.1626144,2.34795e-05
0.0275,295.5827619,295.5826234,4.32906e-07,293.4522996,293.4673679,4.8501e-05,293.1708099,293.1632651,2.46741e-05
0.028,295.6220479,295.621975,2.28122e-07,293.462243,293.4780159,5.07692e-05,293.1718571,293.1639357,2.59057e-05
