time,R1.i,R10.i,R11.i,R2.i,R3.i,R4.i,R5.i,R6.i,R7.i,R8.i,R9.i,C7.v,C3.v,C2.v,C1.v,C4.v,C2.vˍt
0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,0,0,0,0,0,0
1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4795454094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7819838072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900243193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9514870186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9773414945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.992052979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9998746814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000004564,-1,-3.487067949e-11,-1.768357879e-06,3.878355852e-10,-2.923482551e-05,-2.923482551e-05,3.303513766e-06,-3.487067949e-11,3.878355852e-10,-1.768357879e-06,3.303513766e-06,3.487067949e-11,-3.878355852e-10,-3.303513766e-06,-2.923482551e-05,1.768357879e-06,-0.08652094618
1.0000628,-1,-2.184003996e-10,-4.465336734e-06,2.429044297e-09,-7.382341291e-05,-7.382341291e-05,8.341961794e-06,-2.184003996e-10,2.429044297e-09,-4.465336734e-06,8.341961794e-06,2.184003996e-10,-2.429044297e-09,-8.341961794e-06,-7.382341291e-05,4.465336734e-06,-0.08651645636
1.000645153,-1,-1.078810443e-08,-3.142190777e-05,1.199711009e-07,-0.0005195995326,-0.0005195995326,5.871207058e-05,-1.078810443e-08,1.199711009e-07,-3.142190777e-05,5.871207058e-05,1.078810443e-08,-1.199711009e-07,-5.871207058e-05,-0.0005195995326,3.142190777e-05,-0.08647160311
1.00646869,-1,-9.896389127e-07,-0.0002996740656,1.099262088e-05,-0.004966389261,-0.004966389261,0.0005609856872,-9.896389127e-07,1.099262088e-05,-0.0002996740656,0.0005609856872,9.896389127e-07,-1.099262088e-05,-0.0005609856872,-0.004966389261,0.0002996740656,-0.08602755975
1.064704053,-1,-9.783488278e-05,-0.002858885548,0.001073605748,-0.04834121875,-0.04834121875,0.005450526783,-9.783488278e-05,0.001073605748,-0.002858885548,0.005450526783,9.783488278e-05,-0.001073605748,-0.005450526783,-0.04834121875,0.002858885548,-0.08202828803
1.189609173,-1,-0.0008362847705,-0.007728211767,0.008914813012,-0.1347495642,-0.1347495642,0.01528566133,-0.0008362847705,0.008914813012,-0.007728211767,0.01528566133,0.0008362847705,-0.008914813012,-0.01528566133,-0.1347495642,0.007728211767,-0.07601654461
1.35724319,-1,-0.002964948935,-0.01342183127,0.03020078214,-0.2368778666,-0.2368778666,0.02769308724,-0.002964948935,0.03020078214,-0.01342183127,0.02769308724,0.002964948935,-0.03020078214,-0.02769308724,-0.2368778666,0.01342183127,-0.07289550879
1.574423048,-1,-0.007710485839,-0.02037063077,0.07319978758,-0.3466615354,-0.3466615354,0.04372349387,-0.007710485839,0.07319978758,-0.02037063077,0.04372349387,0.007710485839,-0.07319978758,-0.04372349387,-0.3466615354,0.02037063077,-0.07591931435
1.843949806,-1,-0.01695056372,-0.02987049992,0.1448910259,-0.4500806712,-0.4500806712,0.06564956215,-0.01695056372,0.1448910259,-0.02987049992,0.06564956215,0.01695056372,-0.1448910259,-0.06564956215,-0.4500806712,0.02987049992,-0.08806871422
2.165807504,-1,-0.03350384165,-0.04437585411,0.2469039685,-0.5312570699,-0.5312570699,0.09739514413,-0.03350384165,0.2469039685,-0.04437585411,0.09739514413,0.03350384165,-0.2469039685,-0.09739514413,-0.5312570699,0.04437585411,-0.1101409749
2.54284301,-1,-0.06189574888,-0.06750960624,0.3736436652,-0.5776297275,-0.5776297275,0.1444503677,-0.06189574888,0.3736436652,-0.06750960624,0.1444503677,0.06189574888,-0.3736436652,-0.1444503677,-0.5776297275,0.06750960624,-0.1394846733
2.98102511,-1,-0.1091345927,-0.1037008166,0.5101337993,-0.5821240861,-0.5821240861,0.2123764235,-0.1091345927,0.5101337993,-0.1037008166,0.2123764235,0.1091345927,-0.5101337993,-0.2123764235,-0.5821240861,0.1037008166,-0.1689805852
3.490083589,-1,-0.1848154082,-0.1576629145,0.6309203071,-0.5462795982,-0.5462795982,0.3037968294,-0.1848154082,0.6309203071,-0.1576629145,0.3037968294,0.1848154082,-0.6309203071,-0.3037968294,-0.5462795982,0.1576629145,-0.1864868146
4.08443487,-1,-0.2986367979,-0.2334228074,0.7022469934,-0.4839461626,-0.4839461626,0.4132400231,-0.2986367979,0.7022469934,-0.2334228074,0.4132400231,0.2986367979,-0.7022469934,-0.4132400231,-0.4839461626,0.2334228074,-0.1760171844
4.759366361,-1,-0.4460030091,-0.3284032033,0.6940384541,-0.4249569253,-0.4249569253,0.5170973634,-0.4460030091,0.6940384541,-0.3284032033,0.5170973634,0.4460030091,-0.6940384541,-0.5170973634,-0.4249569253,0.3284032033,-0.1259559333
5.456978319,-1,-0.5883097288,-0.4249901693,0.6175245542,-0.4010889789,-0.4010889789,0.5790015749,-0.5883097288,0.6175245542,-0.4249901693,0.5790015749,0.5883097288,-0.6175245542,-0.5790015749,-0.4010889789,0.4249901693,-0.04949275724
6.176438132,-1,-0.6873981027,-0.5090578957,0.5176321089,-0.4168935206,-0.4168935206,0.5860965745,-0.6873981027,0.5176321089,-0.5090578957,0.5860965745,0.6873981027,-0.5176321089,-0.5860965745,-0.4168935206,0.5090578957,0.02688776
6.895897945,-1,-0.7123571454,-0.5650707436,0.4437139754,-0.456286431,-0.456286431,0.5473287962,-0.7123571454,0.4437139754,-0.5650707436,0.5473287962,0.7123571454,-0.4437139754,-0.5473287962,-0.456286431,0.5650707436,0.07450436816
7.732261006,-1,-0.6480330196,-0.5865102082,0.4221119876,-0.5012304456,-0.5012304456,0.4796837741,-0.6480330196,0.4221119876,-0.5865102082,0.4796837741,0.6480330196,-0.4221119876,-0.4796837741,-0.5012304456,0.5865102082,0.07792047468
8.58921187,-1,-0.5211232611,-0.5641677276,0.4633559741,-0.5214907909,-0.5214907909,0.4292762647,-0.5211232611,0.4633559741,-0.5641677276,0.4292762647,0.5211232611,-0.4633559741,-0.4292762647,-0.5214907909,0.5641677276,0.0340935611
9.446162734,-1,-0.4030935381,-0.5165826391,0.5261796589,-0.5118521911,-0.5118521911,0.4253497905,-0.4030935381,0.5261796589,-0.5165826391,0.4253497905,0.4030935381,-0.5261796589,-0.4253497905,-0.5118521911,0.5165826391,-0.02402004459
10.3031136,-1,-0.3528675817,-0.4706645483,0.5643833543,-0.4880831559,-0.4880831559,0.4640788499,-0.3528675817,0.5643833543,-0.4706645483,0.4640788499,0.3528675817,-0.5643833543,-0.4640788499,-0.4880831559,0.4706645483,-0.06050422125
11.26800975,-1,-0.3961013507,-0.4474108776,0.5519885196,-0.4705200684,-0.4705200684,0.5235150537,-0.3961013507,0.5519885196,-0.4474108776,0.5235150537,0.3961013507,-0.5519885196,-0.5235150537,-0.4705200684,0.4474108776,-0.05431723534
12.2329059,-1,-0.499348244,-0.4615404436,0.4990065542,-0.4776908601,-0.4776908601,0.5565885231,-0.499348244,0.4990065542,-0.4615404436,0.5565885231,0.499348244,-0.4990065542,-0.5565885231,-0.4776908601,0.4615404436,-0.01073361863
13.19780204,-1,-0.5841416748,-0.4966853448,0.4512756157,-0.5025049621,-0.5025049621,0.5440208817,-0.5841416748,0.4512756157,-0.4966853448,0.5440208817,0.5841416748,-0.4512756157,-0.5440208817,-0.5025049621,0.4966853448,0.03370196754
14.16269819,-1,-0.5966228948,-0.5260974239,0.4442715496,-0.5242826245,-0.5242826245,0.5017231335,-0.5966228948,0.4442715496,-0.5260974239,0.5017231335,0.5966228948,-0.4442715496,-0.5017231335,-0.5242826245,0.5260974239,0.04748807996
15.3272751,-1,-0.5244748627,-0.5295233226,0.4882770828,-0.5245426797,-0.5245426797,0.4598088158,-0.5244748627,0.4882770828,-0.5295233226,0.4598088158,0.5244748627,-0.4882770828,-0.4598088158,-0.5245426797,0.5295233226,0.0181524712
16.22729266,-1,-0.4571464159,-0.5107888911,0.5293723573,-0.5067156295,-0.5067156295,0.4591587086,-0.4571464159,0.5293723573,-0.5107888911,0.4591587086,0.4571464159,-0.5293723573,-0.4591587086,-0.5067156295,0.5107888911,-0.01594087518
17.14769901,-1,-0.426439078,-0.4881744753,0.5474263177,-0.486171956,-0.486171956,0.484721111,-0.426439078,0.5474263177,-0.4881744753,0.484721111,0.426439078,-0.5474263177,-0.484721111,-0.486171956,0.4881744753,-0.03562191282
18.19287561,-1,-0.4538434381,-0.4767897756,0.5286594856,-0.4768378311,-0.4768378311,0.5201372031,-0.4538434381,0.5286594856,-0.4767897756,0.5201372031,0.4538434381,-0.5286594856,-0.5201372031,-0.4768378311,0.4767897756,-0.02692168352
19.23805222,-1,-0.513990923,-0.4863424184,0.4895511824,-0.4873339465,-0.4873339465,0.5336896866,-0.513990923,0.4895511824,-0.4863424184,0.5336896866,0.513990923,-0.4895511824,-0.5336896866,-0.4873339465,0.4863424184,0.002223304938
20.28322882,-1,-0.5528680691,-0.5054153415,0.4647827534,-0.5063719518,-0.5063719518,0.5178480771,-0.5528680691,0.4647827534,-0.5054153415,0.5178480771,0.5528680691,-0.4647827534,-0.5178480771,-0.5063719518,0.5054153415,0.02496765247
21.34489338,-1,-0.5420212383,-0.5169581324,0.4725166845,-0.5174271741,-0.5174271741,0.489684243,-0.5420212383,0.4725166845,-0.5169581324,0.489684243,0.5420212383,-0.4725166845,-0.489684243,-0.5174271741,0.5169581324,0.02370367849
22.46886724,-1,-0.4952091725,-0.5116817543,0.5035218106,-0.5116721233,-0.5116721233,0.4744774941,-0.4952091725,0.5035218106,-0.5116817543,0.4744774941,0.4952091725,-0.5035218106,-0.4744774941,-0.5116721233,0.5116817543,0.001535971396
23.5928411,-1,-0.4608217649,-0.4965013035,0.5260459654,-0.4962858919,-0.4962858919,0.4852526647,-0.4608217649,0.5260459654,-0.4965013035,0.4852526647,0.4608217649,-0.5260459654,-0.4852526647,-0.4962858919,0.4965013035,-0.0182763161
24.71681497,-1,-0.4683173573,-0.4871204094,0.5209246604,-0.4869314857,-0.4869314857,0.5077124498,-0.4683173573,0.5209246604,-0.4871204094,0.5077124498,0.4683173573,-0.5209246604,-0.5077124498,-0.4869314857,0.4871204094,-0.01795905856
25.91053699,-1,-0.5059054606,-0.4918092998,0.4960563158,-0.4917409672,-0.4917409672,0.5193182859,-0.5059054606,0.4960563158,-0.4918092998,0.5193182859,0.5059054606,-0.4960563158,-0.5193182859,-0.4917409672,0.4918092998,-4.6630287e-05
26.90216327,-1,-0.5289427727,-0.5020588018,0.4808685153,-0.5020694025,-0.5020694025,0.5120414053,-0.5289427727,0.4808685153,-0.5020588018,0.5120414053,0.5289427727,-0.4808685153,-0.5120414053,-0.5020694025,0.5020588018,0.01328125003
27.99187708,-1,-0.5256473988,-0.5095495839,0.4830648316,-0.509593507,-0.509593507,0.4955799778,-0.5256473988,0.4830648316,-0.5095495839,0.4955799778,0.5256473988,-0.4830648316,-0.4955799778,-0.509593507,0.5095495839,0.01424592441
29.18213277,-1,-0.4980568683,-0.5068795957,0.5012695114,-0.506914097,-0.506914097,0.4854892266,-0.4980568683,0.5012695114,-0.5068795957,0.4854892266,0.4980568683,-0.5012695114,-0.4854892266,-0.506914097,0.5068795957,0.001369731816
30.14669659,-1,-0.4794390472,-0.4994520835,0.5135467775,-0.4994678608,-0.4994678608,0.489653827,-0.4794390472,0.5135467775,-0.4994520835,0.489653827,0.4794390472,-0.5135467775,-0.489653827,-0.4994678608,0.4994520835,-0.00912377897
31.21071722,-1,-0.4788898844,-0.4931702411,0.5139141381,-0.493170072,-0.493170072,0.5016006182,-0.4788898844,0.5139141381,-0.4931702411,0.5016006182,0.4788898844,-0.5139141381,-0.5016006182,-0.493170072,0.4931702411,-0.01138294626
32.52768471,-1,-0.5009088674,-0.4946554374,0.4994111101,-0.4946478462,-0.4946478462,0.5109188239,-0.5009088674,0.4994111101,-0.4946554374,0.5109188239,0.5009088674,-0.4994111101,-0.5109188239,-0.4946478462,0.4946554374,-0.001324455466
33.46413125,-1,-0.5150073451,-0.5000634798,0.4901226557,-0.5000562003,-0.5000562003,0.5081989074,-0.5150073451,0.4901226557,-0.5000634798,0.5081989074,0.5150073451,-0.4901226557,-0.5081989074,-0.5000562003,0.5000634798,0.006548102783
34.56844715,-1,-0.5160715181,-0.5051179127,0.4894168534,-0.5051133341,-0.5051133341,0.4989423121,-0.5160715181,0.4894168534,-0.5051179127,0.4989423121,0.5160715181,-0.4894168534,-0.4989423121,-0.5051133341,0.5051179127,0.008635910109
35.93178986,-1,-0.4989034871,-0.5039342299,0.5007182068,-0.5039336227,-0.5039336227,0.4917311582,-0.4989034871,0.5007182068,-0.5039342299,0.4917311582,0.4989034871,-0.5007182068,-0.4917311582,-0.5039336227,0.5039342299,0.0007872800068
36.88556273,-1,-0.48835031,-0.4997433974,0.5076672143,-0.4997450145,-0.4997450145,0.4940437189,-0.48835031,0.5076672143,-0.4997433974,0.4940437189,0.48835031,-0.5076672143,-0.4940437189,-0.4997450145,0.4997433974,-0.005149899352
38.03459202,-1,-0.4883979606,-0.4959876716,0.5076379294,-0.4959904679,-0.4959904679,0.5013836068,-0.4883979606,0.5076379294,-0.4959876716,0.5013836068,0.4883979606,-0.5076379294,-0.5013836068,-0.4959904679,0.4959876716,-0.006335592355
39.3391493,-1,-0.5011708505,-0.4971185266,0.4992302645,-0.4971202728,-0.4971202728,0.5062590985,-0.5011708505,0.4992302645,-0.4971185266,0.5062590985,0.5011708505,-0.4992302645,-0.5062590985,-0.4971202728,0.4971185266,-0.0004159365566
40.34359997,-1,-0.5091809477,-0.5004738968,0.4939568082,-0.500473876,-0.500473876,0.504163799,-0.5091809477,0.4939568082,-0.5004738968,0.504163799,0.5091809477,-0.4939568082,-0.504163799,-0.500473876,0.5004738968,0.004146161413
41.51689868,-1,-0.508213131,-0.5031311913,0.4945932559,-0.5031296604,-0.5031296604,0.4984534799,-0.508213131,0.4945932559,-0.5031311913,0.4984534799,0.508213131,-0.4945932559,-0.4984534799,-0.5031296604,0.5031311913,0.004578346109
42.7822684,-1,-0.4985754041,-0.502027669,0.5009375306,-0.5020263342,-0.5020263342,0.4952626603,-0.4985754041,0.5009375306,-0.502027669,0.4952626603,0.4985754041,-0.5009375306,-0.4952626603,-0.5020263342,0.502027669,3.119525782e-05
43.83279433,-1,-0.4927418559,-0.4993590655,0.5047779259,-0.4993589255,-0.4993589255,0.4972269612,-0.4927418559,0.5047779259,-0.4993590655,0.4972269612,0.4927418559,-0.5047779259,-0.4972269612,-0.4993589255,0.4993590655,-0.00336345549
45.0438121,-1,-0.4944750973,-0.4975692767,0.5036371637,-0.4975702615,-0.4975702615,0.5016722143,-0.4944750973,0.5036371637,-0.4975692767,0.5016722143,0.4944750973,-0.5036371637,-0.5016722143,-0.4975702615,0.4975692767,-0.003184000292
46.27314255,-1,-0.5017496261,-0.4986702163,0.4988483326,-0.4986710833,-0.4986710833,0.5035586451,-0.5017496261,0.4988483326,-0.4986702163,0.5035586451,0.5017496261,-0.4988483326,-0.5035586451,-0.4986710833,0.4986702163,0.0003342898934
47.50247301,-1,-0.5058089074,-0.5009874215,0.4961759345,-0.5009873093,-0.5009873093,0.501295472,-0.5058089074,0.4961759345,-0.5009874215,0.501295472,0.5058089074,-0.4961759345,-0.501295472,-0.5009873093,0.5009874215,0.002844234728
48.84783222,-1,-0.5023948618,-0.5017769151,0.49842332,-0.5017761474,-0.5017761474,0.4978667389,-0.5023948618,0.49842332,-0.5017769151,0.4978667389,0.5023948618,-0.49842332,-0.4978667389,-0.5017761474,0.5017769151,0.00161237217
50.19319142,-1,-0.4966983799,-0.5002058727,0.5021734418,-0.5002055417,-0.5002055417,0.4977699734,-0.4966983799,0.5021734418,-0.5002058727,0.4977699734,0.4966983799,-0.5021734418,-0.4977699734,-0.5002055417,0.5002058727,-0.001370320379
51.53855063,-1,-0.4962370195,-0.4986950994,0.5024772899,-0.498695519,-0.498695519,0.5004561901,-0.4962370195,0.5024772899,-0.4986950994,0.5004561901,0.4962370195,-0.5024772899,-0.5004561901,-0.498695519,0.4986950994,-0.002056061665
53.20212005,-1,-0.5015513124,-0.4994312755,0.4989788234,-0.4994316645,-0.4994316645,0.5019668954,-0.5015513124,0.4989788234,-0.4994312755,0.5019668954,0.5015513124,-0.4989788234,-0.5019668954,-0.4994316645,0.4994312755,0.0004923330869
54.41027132,-1,-0.5033067744,-0.5006944887,0.4978230835,-0.5006943469,-0.5006943469,0.5004796834,-0.5033067744,0.4978230835,-0.5006944887,0.5004796834,0.5033067744,-0.4978230835,-0.5004796834,-0.5006943469,0.5006944887,0.001661615776
56.05483476,-1,-0.5001392407,-0.5008105004,0.4999082586,-0.5008100988,-0.5008100988,0.4984989072,-0.5001392407,0.4999082586,-0.5008105004,0.4984989072,0.5001392407,-0.4999082586,-0.4984989072,-0.5008100988,0.5008105004,0.0003207856889
57.28665413,-1,-0.4976829054,-0.4998294084,0.5015253586,-0.4998293498,-0.4998293498,0.4990484655,-0.4976829054,0.5015253586,-0.4998294084,0.4990484655,0.4976829054,-0.5015253586,-0.4990484655,-0.4998293498,0.4998294084,-0.00106284811
58.76532547,-1,-0.4985766614,-0.499207778,0.5009370612,-0.4992080905,-0.4992080905,0.5007540838,-0.4985766614,0.5009370612,-0.499207778,0.5007540838,0.4985766614,-0.5009370612,-0.5007540838,-0.4992080905,0.499207778,-0.0008735802803
60,-1,-0.5009626388,-0.4997055753,0.4993663254,-0.4997057845,-0.4997057845,0.501106635,-0.5009626388,0.4993663254,-0.4997055753,0.501106635,0.5009626388,-0.4993663254,-0.501106635,-0.4997057845,0.4997055753,0.0003242837988
