time,m4.v,m4.s,m3.v,m3.s,m2.v,m2.s,m1.v,m1.s,sd2.s_rel,sd1.s_rel,sd2.v_rel,sd1.v_rel
0.8629540778,0,12.5,0,4.5,3.477449686,3.25332342,-4.814229679,0.7470409052,4,1.006282515,0,8.291679365
0.8897570929,0,12.5,0,4.5,2.789673997,3.339349821,-8.408313858,0.5562120346,4,1.283137787,0,11.19798786
0.9181045726,0,12.5,0,4.5,1.175970958,3.397240442,-5.2092753,0.3473143697,4,1.549926073,0,6.385246257
0.9433980557,0,12.5,0,4.5,-0.5588894523,3.40494551,1.38826644,0.2963448994,4,1.60860061,0,-1.947155893
0.9686915388,0,12.5,0,4.5,-1.961692378,3.37183564,6.829872362,0.4075154825,4,1.464320157,0,-8.79156474
0.9939850219,0,12.5,0,4.5,-2.6653022,3.311734507,7.468508651,0.6003370689,4,1.211397438,0,-10.13381085
1.021480648,0,12.5,0,4.5,-2.714706048,3.236523742,2.421234178,0.7469155312,4,0.9896082104,0,-5.135940226
1.048976274,0,12.5,0,4.5,-2.530357808,3.164596,-4.563366811,0.7152621515,4,0.9493338484,0,2.033009003
1.0764719,0,12.5,0,4.5,-2.644887711,3.094492756,-8.030830663,0.5291865443,4,1.065306212,0,5.385942952
1.105308773,0,12.5,0,4.5,-3.197443103,3.010975358,-5.157086104,0.3238788584,4,1.1870965,0,1.959643
1.134145646,0,12.5,0,4.5,-3.729110849,2.910218335,1.695830564,0.2711696142,4,1.139048721,0,-5.424941413
1.162982519,0,12.5,0,4.5,-3.590203749,2.802489773,6.609617831,0.402369737,4,0.9001200356,0,-10.19982158
1.191819392,0,12.5,0,4.5,-2.52372039,2.71230035,5.534817198,0.5929310622,4,0.6193692882,0,-8.058537587
1.218890642,0,12.5,0,4.5,-1.007853916,2.664044417,0.064199965,0.6742011224,4,0.4898432947,0,-1.072053881
1.245961892,0,12.5,0,4.5,0.397144233,2.656681934,-5.34685296,0.5970080988,4,0.5596738355,0,5.743997193
