time,inertia4.w,inertia4.phi,inertia3.w,inertia3.phi,inertia2.w,inertia2.phi,inertia1.w,inertia1.phi
0,100,0,100,0,100,0,100,0
9.99900005e-05,99.9900005,0.009998500133,99.990002,0.009998500183,99.9900015,0.009998500167,99.990001,0.00999850015
0.001453913406,99.85450281,0.1452855961,99.85481974,0.1452857498,99.8547143,0.1452856986,99.85460866,0.1452856474
0.01265988531,98.72589475,1.257940754,98.74983837,1.258041895,98.74199139,1.258008607,98.73401147,1.257974897
0.0410195175,95.81027946,4.01663447,96.05967834,4.020053824,95.98103967,4.018960333,95.89804825,4.017821709
0.08527925188,91.07367887,8.153237207,92.14218349,8.183732879,91.82558239,8.174417608,91.47207481,8.164297648
0.1407115221,84.76891958,13.02900285,87.66458298,13.16522095,86.87398878,13.12601122,85.92884779,13.08116559
0.2096863428,76.1989152,18.58561162,82.66605658,19.0361104,81.08385314,18.91614686,79.03136572,18.77021616
0.2865243438,65.34159787,24.03412122,77.72880464,25.19442727,75.08687993,24.91312007,71.34756562,24.5476244
0.3669926973,51.57758146,28.7599935,73.15327971,31.26132119,69.28147044,30.71852956,63.30073027,29.96508774
0.4237833067,39.04582592,31.34967096,70.23540639,35.33176251,65.45657065,34.54342935,57.62166933,33.39871612
0.4528425082,30.71526085,32.36808845,68.8305846,37.35219837,63.58182619,36.41817381,54.71574918,35.03093396
0.4713729159,23.93420094,32.87702478,67.96373516,38.6195917,62.41447815,37.58552185,52.86270841,36.0276703
0.4831206068,18.38245627,33.12701199,67.42539934,39.41483817,61.68554219,38.31445781,51.68793932,36.64178465
0.4898491812,14.26021999,33.23741495,67.12088744,39.86748897,61.27187968,38.72812032,51.01508188,36.9873071
0.493886317,11.0732756,33.28882202,66.93949737,40.13809863,61.02501542,38.97498458,50.6113683,37.19244699
0.4963533706,8.560405421,33.3131729,66.82913352,40.30310575,60.87464899,39.12535101,50.36466294,37.31700364
0.4978258904,6.620620865,33.32441089,66.76343348,40.40146458,60.78507583,39.21492417,50.21741096,37.39105818
0.4987018829,5.12973611,33.32958512,66.7244102,40.45993175,60.73185188,39.26814812,50.12981171,37.43500989
0.499228658,3.972348568,33.33199541,66.70096563,40.49507434,60.69986827,39.30013173,50.0771342,37.46140315
0.4995452003,3.073960553,33.33311668,66.68688558,40.51618579,60.68065724,39.31934276,50.04547997,37.47724968
0.4997345549,2.379591491,33.33363579,66.67846578,40.52881245,60.66916817,39.33083183,50.02654451,37.48672422
0.499847959,1.842432795,33.33387648,66.67342419,40.53637378,60.66228842,39.33771158,50.0152041,37.4923968
