time,const.y.im,const.y.re,logFrequencySweep.y,transferFunction.y.re,transferFunction.y.im
0,0,1,0.01,-2.000398079,0.002000798238
0.002004008016,0,1,0.0101862899,-2.000413052,0.002038101676
0.004008016032,0,1,0.0103760502,-2.000428588,0.002076101781
0.006012024048,0,1,0.01056934554,-2.000444708,0.002114811631
0.008016032064,0,1,0.01076624177,-2.000461436,0.002154244552
0.01002004008,0,1,0.01096680598,-2.000478792,0.002194414127
0.0120240481,0,1,0.01117110651,-2.000496801,0.002235334194
0.01402805611,0,1,0.01137921294,-2.000515488,0.002277018859
0.01603206413,0,1,0.01159119619,-2.000534878,0.002319482497
0.01803607214,0,1,0.01180712847,-2.000554998,0.002362739758
0.02004008016,0,1,0.01202708335,-2.000575875,0.002406805571
0.02204408818,0,1,0.01225113577,-2.000597537,0.002451695155
0.02404809619,0,1,0.01247936205,-2.000620014,0.002497424019
0.02605210421,0,1,0.01271183997,-2.000643338,0.002544007971
0.02805611222,0,1,0.01294864871,-2.000667538,0.002591463122
0.03006012024,0,1,0.01318986896,-2.00069265,0.002639805896
0.03206412826,0,1,0.0134355829,-2.000718706,0.002689053032
0.03406813627,0,1,0.01368587425,-2.000745743,0.002739221593
0.03607214429,0,1,0.01394082826,-2.000773798,0.002790328973
0.0380761523,0,1,0.01420053182,-2.000802908,0.002842392901
0.04008016032,0,1,0.01446507339,-2.000833114,0.002895431453
0.04208416834,0,1,0.0147345431,-2.000864457,0.002949463053
0.04408817635,0,1,0.01500903276,-2.000896979,0.003004506486
0.04609218437,0,1,0.01528863588,-2.000930725,0.003060580903
0.04809619238,0,1,0.01557344773,-2.000965742,0.003117705828
0.0501002004,0,1,0.01586356534,-2.001002077,0.003175901167
0.05210420842,0,1,0.01615908754,-2.00103978,0.003235187216
0.05410821643,0,1,0.01646011502,-2.001078902,0.00329558467
0.05611222445,0,1,0.01676675035,-2.001119496,0.003357114631
0.05811623246,0,1,0.01707909797,-2.001161619,0.003419798616
0.06012024048,0,1,0.01739726432,-2.001205328,0.003483658568
0.0621242485,0,1,0.01772135779,-2.001250683,0.003548716862
