time,cActuator.x_ref,cActuator.x_sim,cActuator.x_relerr,pmActuator.x_ref,pmActuator.x_sim,pmActuator.x_relerr
0.00052,-0.003998852023,-0.003998852022,3.00268e-10,-0.003998392524,-0.003998392522,5.66945e-10
0.00053,-0.003998786171,-0.00399878617,2.98863e-10,-0.003998300863,-0.00399830086,5.73752e-10
0.00054,-0.00399871791,-0.003998717909,3.01061e-10,-0.003998205891,-0.003998205889,5.78069e-10
0.00055,-0.003998647203,-0.003998647201,3.04012e-10,-0.003998107559,-0.003998107556,5.75365e-10
0.00056,-0.00399857401,-0.003998574008,3.08258e-10,-0.003998005816,-0.003998005813,5.70307e-10
0.00057,-0.003998498293,-0.003998498292,3.10806e-10,-0.003997900611,-0.003997900609,5.62084e-10
0.00058,-0.003998420015,-0.003998420014,3.11003e-10,-0.003997791897,-0.003997791894,5.52632e-10
0.00059,-0.003998339137,-0.003998339136,3.09032e-10,-0.003997679622,-0.00399767962,5.44383e-10
0.0006,-0.003998255623,-0.003998255621,3.05495e-10,-0.003997563739,-0.003997563736,5.39542e-10
0.00061,-0.003998169434,-0.003998169432,3.02009e-10,-0.003997444198,-0.003997444196,5.4031e-10
0.00062,-0.003998080533,-0.003998080532,2.99528e-10,-0.003997320952,-0.00399732095,5.47211e-10
0.00063,-0.003997988884,-0.003997988883,2.98406e-10,-0.003997193954,-0.003997193951,5.58869e-10
0.00064,-0.00399789445,-0.003997894449,2.98644e-10,-0.003997063155,-0.003997063152,5.71928e-10
0.00065,-0.003997797195,-0.003997797194,2.99384e-10,-0.003996928508,-0.003996928506,5.80361e-10
0.00066,-0.003997697082,-0.00399769708,2.95285e-10,-0.003996789968,-0.003996789966,5.79652e-10
0.00067,-0.003997594074,-0.003997594073,2.90789e-10,-0.003996647488,-0.003996647486,5.81862e-10
0.00068,-0.003997488137,-0.003997488136,2.92365e-10,-0.003996501022,-0.00399650102,5.81187e-10
0.00069,-0.003997379235,-0.003997379234,2.95899e-10,-0.003996350525,-0.003996350522,5.75679e-10
0.0007,-0.003997267333,-0.003997267331,2.98733e-10,-0.003996195951,-0.003996195948,5.65297e-10
0.00071,-0.003997152394,-0.003997152393,2.99538e-10,-0.003996037255,-0.003996037253,5.51467e-10
0.00072,-0.003997034384,-0.003997034383,2.98381e-10,-0.003995874395,-0.003995874392,5.36702e-10
0.00073,-0.003996913269,-0.003996913268,2.95265e-10,-0.003995707324,-0.003995707322,5.23625e-10
0.00074,-0.003996789014,-0.003996789013,2.90915e-10,-0.003995536,-0.003995535998,5.1488e-10
0.00075,-0.003996661584,-0.003996661583,2.86228e-10,-0.00399536038,-0.003995360378,5.12519e-10
0.00076,-0.003996530946,-0.003996530945,2.82029e-10,-0.00399518042,-0.003995180417,5.17521e-10
0.00077,-0.003996397065,-0.003996397064,2.80708e-10,-0.003994996077,-0.003994996075,5.31769e-10
0.00078,-0.003996259908,-0.003996259907,2.81703e-10,-0.00399480731,-0.003994807308,5.51997e-10
0.00079,-0.003996119441,-0.00399611944,2.84549e-10,-0.003994614077,-0.003994614075,5.73605e-10
0.0008,-0.003995975631,-0.00399597563,2.87755e-10,-0.003994416336,-0.003994416333,5.89027e-10
0.00081,-0.003995828445,-0.003995828444,2.85467e-10,-0.003994214045,-0.003994214042,5.89409e-10
0.00082,-0.003995677849,-0.003995677848,2.7787e-10,-0.003994007164,-0.003994007162,5.93262e-10
0.00083,-0.003995523812,-0.003995523811,2.80112e-10,-0.003993795653,-0.00399379565,5.98488e-10
0.00084,-0.0039953663,-0.003995366299,2.86432e-10,-0.00399357947,-0.003993579468,5.9998e-10
0.00085,-0.003995205282,-0.003995205281,2.92956e-10,-0.003993358577,-0.003993358574,5.95404e-10
0.00086,-0.003995040725,-0.003995040724,2.97186e-10,-0.003993132933,-0.003993132931,5.84365e-10
0.00087,-0.003994872597,-0.003994872596,2.98324e-10,-0.0039929025,-0.003992902498,5.68656e-10
0.00088,-0.003994700867,-0.003994700865,2.96459e-10,-0.003992667238,-0.003992667236,5.51051e-10
0.00089,-0.003994525502,-0.003994525501,2.91791e-10,-0.003992427109,-0.003992427107,5.34119e-10
0.0009,-0.003994346473,-0.003994346471,2.85296e-10,-0.003992182075,-0.003992182073,5.20939e-10
0.00091,-0.003994163746,-0.003994163745,2.78179e-10,-0.003991932098,-0.003991932096,5.14221e-10
0.00092,-0.003993977293,-0.003993977292,2.71867e-10,-0.00399167714,-0.003991677138,5.16134e-10
0.00093,-0.003993787081,-0.00399378708,2.67988e-10,-0.003991417164,-0.003991417162,5.281e-10
0.00094,-0.00399359308,-0.003993593079,2.66922e-10,-0.003991152133,-0.003991152131,5.48793e-10
0.00095,-0.00399339526,-0.003993395259,2.68701e-10,-0.003990882011,-0.003990882008,5.75112e-10
0.00096,-0.003993193591,-0.00399319359,2.72451e-10,-0.00399060676,-0.003990606758,6.01298e-10
0.00097,-0.003992988043,-0.003992988042,2.76221e-10,-0.003990326345,-0.003990326343,6.18564e-10
0.00098,-0.003992778585,-0.003992778584,2.72407e-10,-0.003990040731,-0.003990040729,6.17237e-10
0.00099,-0.003992565189,-0.003992565187,2.61227e-10,-0.003989749882,-0.00398974988,6.17631e-10
0.001,-0.003992347824,-0.003992347823,2.62885e-10,-0.003989453763,-0.00398945376,6.24767e-10
0.00101,-0.003992126461,-0.00399212646,2.70786e-10,-0.003989152338,-0.003989152336,6.31188e-10
0.00102,-0.003991901072,-0.003991901071,2.80018e-10,-0.003988845575,-0.003988845572,6.32169e-10
0.00103,-0.003991671628,-0.003991671626,2.88195e-10,-0.003988533438,-0.003988533435,6.26934e-10
0.00104,-0.003991438099,-0.003991438098,2.93145e-10,-0.003988215893,-0.003988215891,6.14945e-10
0.00105,-0.003991200457,-0.003991200456,2.93895e-10,-0.003987892908,-0.003987892905,5.97338e-10
0.00106,-0.003990958674,-0.003990958673,2.90437e-10,-0.003987564448,-0.003987564446,5.76462e-10
0.00107,-0.003990712722,-0.003990712721,2.83387e-10,-0.003987230481,-0.003987230479,5.55231e-10
0.00108,-0.003990462572,-0.003990462571,2.74436e-10,-0.003986890974,-0.003986890972,5.37784e-10
0.00109,-0.003990208197,-0.003990208196,2.65244e-10,-0.003986545895,-0.003986545893,5.27596e-10
0.0011,-0.00398994957,-0.003989949569,2.57013e-10,-0.003986195212,-0.00398619521,5.26689e-10
0.00111,-0.003989686661,-0.00398968666,2.51019e-10,-0.003985838892,-0.00398583889,5.36427e-10
0.00112,-0.003989419446,-0.003989419445,2.4812e-10,-0.003985476904,-0.003985476902,5.56607e-10
0.00113,-0.003989147895,-0.003989147894,2.48879e-10,-0.003985109218,-0.003985109216,5.85609e-10
0.00114,-0.003988871983,-0.003988871982,2.53385e-10,-0.003984735802,-0.003984735799,6.20012e-10
0.00115,-0.003988591682,-0.003988591681,2.5986e-10,-0.003984356625,-0.003984356622,6.52178e-10
0.00116,-0.003988306966,-0.003988306964,2.65656e-10,-0.003983971656,-0.003983971654,6.7185e-10
0.00117,-0.003988017808,-0.003988017807,2.56318e-10,-0.003983580867,-0.003983580864,6.63816e-10
0.00118,-0.003987724182,-0.003987724181,2.41515e-10,-0.003983184227,-0.003983184224,6.58154e-10
0.00119,-0.003987426062,-0.003987426061,2.43208e-10,-0.003982781706,-0.003982781703,6.67299e-10
0.0012,-0.003987123423,-0.003987123421,2.53576e-10,-0.003982373275,-0.003982373273,6.80547e-10
0.00121,-0.003986816237,-0.003986816236,2.66985e-10,-0.003981958906,-0.003981958903,6.9099e-10
0.00122,-0.00398650448,-0.003986504479,2.79354e-10,-0.003981538568,-0.003981538565,6.94348e-10
0.00123,-0.003986188126,-0.003986188125,2.87945e-10,-0.003981112235,-0.003981112232,6.88551e-10
0.00124,-0.003985867151,-0.003985867149,2.9212e-10,-0.003980679877,-0.003980679874,6.7504e-10
0.00125,-0.003985541528,-0.003985541526,2.91133e-10,-0.003980241467,-0.003980241464,6.5475e-10
0.00126,-0.003985211232,-0.003985211231,2.85295e-10,-0.003979796976,-0.003979796974,6.30154e-10
0.00127,-0.00398487624,-0.003984876239,2.75545e-10,-0.003979346378,-0.003979346376,6.04445e-10
0.00128,-0.003984536526,-0.003984536525,2.63198e-10,-0.003978889646,-0.003978889643,5.81024e-10
0.00129,-0.003984192066,-0.003984192065,2.50407e-10,-0.003978426752,-0.003978426749,5.64321e-10
0.0013,-0.003983842836,-0.003983842835,2.3893e-10,-0.003977957669,-0.003977957667,5.57474e-10
0.00131,-0.003983488811,-0.00398348881,2.30086e-10,-0.003977482372,-0.00397748237,5.622e-10
0.00132,-0.003983129967,-0.003983129966,2.25013e-10,-0.003977000834,-0.003977000832,5.79251e-10
0.00133,-0.003982766281,-0.00398276628,2.2428e-10,-0.003976513029,-0.003976513027,6.07632e-10
0.00134,-0.003982397729,-0.003982397728,2.28075e-10,-0.003976018932,-0.003976018929,6.44943e-10
0.00135,-0.003982024287,-0.003982024286,2.35829e-10,-0.003975518517,-0.003975518514,6.86633e-10
0.00136,-0.003981645932,-0.003981645931,2.45163e-10,-0.003975011759,-0.003975011756,7.23972e-10
0.00137,-0.003981262641,-0.00398126264,2.52707e-10,-0.003974498633,-0.00397449863,7.45564e-10
0.00138,-0.00398087439,-0.003980874389,2.37067e-10,-0.003973979115,-0.003973979112,7.27471e-10
0.00139,-0.003980481158,-0.003980481157,2.17944e-10,-0.003973453179,-0.003973453176,7.13142e-10
0.0014,-0.00398008292,-0.003980082919,2.18954e-10,-0.003972920803,-0.0039729208,7.23087e-10
0.00141,-0.003979679655,-0.003979679654,2.31438e-10,-0.003972381961,-0.003972381958,7.43799e-10
0.00142,-0.003979271339,-0.003979271338,2.48904e-10,-0.00397183663,-0.003971836627,7.65773e-10
0.00143,-0.003978857952,-0.00397885795,2.66451e-10,-0.003971284787,-0.003971284784,7.82369e-10
0.00144,-0.003978439469,-0.003978439468,2.80585e-10,-0.003970726408,-0.003970726405,7.8942e-10
0.00145,-0.00397801587,-0.003978015869,2.89991e-10,-0.003970161471,-0.003970161468,7.86776e-10
0.00146,-0.003977587133,-0.003977587132,2.93231e-10,-0.003969589952,-0.003969589949,7.73688e-10
0.00147,-0.003977153235,-0.003977153234,2.90178e-10,-0.00396901183,-0.003969011827,7.51657e-10
0.00148,-0.003976714156,-0.003976714155,2.81417e-10,-0.003968427081,-0.003968427078,7.23234e-10
0.00149,-0.003976269873,-0.003976269872,2.68057e-10,-0.003967835684,-0.003967835681,6.91624e-10
0.0015,-0.003975820366,-0.003975820365,2.52608e-10,-0.003967237616,-0.003967237614,6.62505e-10
0.00151,-0.003975365614,-0.003975365613,2.36955e-10,-0.003966632857,-0.003966632855,6.39842e-10
0.00152,-0.003974905594,-0.003974905594,2.22878e-10,-0.003966021385,-0.003966021382,6.26965e-10
0.00153,-0.003974440288,-0.003974440287,2.12258e-10,-0.003965403178,-0.003965403175,6.26995e-10
0.00154,-0.003973969673,-0.003973969672,2.06674e-10,-0.003964778215,-0.003964778213,6.42004e-10
0.00155,-0.003973493729,-0.003973493728,2.07223e-10,-0.003964146477,-0.003964146474,6.72657e-10
0.00156,-0.003973012436,-0.003973012435,2.14345e-10,-0.003963507941,-0.003963507938,7.17844e-10
0.00157,-0.003972525774,-0.003972525773,2.27647e-10,-0.003962862589,-0.003962862586,7.74318e-10
0.00158,-0.003972033722,-0.003972033721,2.45725e-10,-0.003962210399,-0.003962210396,8.36329e-10
0.00159,-0.00397153626,-0.003971536259,2.65987e-10,-0.003961551352,-0.003961551349,8.9526e-10
0.0016,-0.003971033369,-0.003971033368,2.84586e-10,-0.003960885429,-0.003960885425,9.39525e-10
0.00161,-0.003970525028,-0.003970525027,2.7543e-10,-0.003960212609,-0.003960212605,9.33852e-10
0.00162,-0.003970011219,-0.003970011218,2.60121e-10,-0.003959532874,-0.00395953287,9.27645e-10
0.00163,-0.003969491921,-0.00396949192,2.69401e-10,-0.003958846204,-0.0039588462,9.57888e-10
0.00164,-0.003968967116,-0.003968967114,2.93816e-10,-0.00395815258,-0.003958152576,1.00839e-09
0.00165,-0.003968436783,-0.003968436782,3.25609e-10,-0.003957451984,-0.00395745198,1.06612e-09
0.00166,-0.003967900905,-0.003967900903,3.58532e-10,-0.003956744398,-0.003956744394,1.12089e-09
0.00167,-0.003967359461,-0.00396735946,3.87676e-10,-0.003956029803,-0.003956029798,1.16494e-09
0.00168,-0.003966812434,-0.003966812432,4.09295e-10,-0.003955308181,-0.003955308176,1.19259e-09
0.00169,-0.003966259805,-0.003966259803,4.20627e-10,-0.003954579514,-0.00395457951,1.19991e-09
0.0017,-0.003965701554,-0.003965701552,4.32439e-10,-0.003953843785,-0.00395384378,1.21105e-09
0.00171,-0.003965137664,-0.003965137663,4.38805e-10,-0.003953100977,-0.003953100972,1.21474e-09
0.00172,-0.003964568117,-0.003964568115,4.38967e-10,-0.003952351071,-0.003952351066,1.21026e-09
0.00173,-0.003963992894,-0.003963992892,4.34068e-10,-0.00395159405,-0.003951594045,1.20055e-09
0.00174,-0.003963411977,-0.003963411975,4.25551e-10,-0.003950829899,-0.003950829894,1.18889e-09
0.00175,-0.003962825348,-0.003962825346,4.14993e-10,-0.0039500586,-0.003950058595,1.17854e-09
0.00176,-0.00396223299,-0.003962232988,4.03943e-10,-0.003949280137,-0.003949280132,1.17239e-09
0.00177,-0.003961634885,-0.003961634883,3.93753e-10,-0.003948494493,-0.003948494489,1.17264e-09
0.00178,-0.003961031015,-0.003961031013,3.85412e-10,-0.003947701653,-0.003947701648,1.18045e-09
0.00179,-0.003960421363,-0.003960421361,3.83909e-10,-0.0039469016,-0.003946901595,1.20557e-09
0.0018,-0.003959805912,-0.00395980591,3.93165e-10,-0.003946094319,-0.003946094314,1.25522e-09
0.00181,-0.003959184644,-0.003959184642,4.08804e-10,-0.003945279794,-0.003945279788,1.31815e-09
0.00182,-0.003958557543,-0.003958557541,4.29818e-10,-0.003944458009,-0.003944458004,1.3904e-09
0.00183,-0.003957924592,-0.00395792459,4.54135e-10,-0.003943628951,-0.003943628945,1.46553e-09
0.00184,-0.003957285773,-0.003957285771,4.78447e-10,-0.003942792602,-0.003942792596,1.53429e-09
0.00185,-0.003956641071,-0.003956641069,4.98059e-10,-0.00394194895,-0.003941948943,1.58432e-09
0.00186,-0.003955990468,-0.003955990466,4.8422e-10,-0.003941097978,-0.003941097972,1.56904e-09
0.00187,-0.003955333949,-0.003955333947,4.52756e-10,-0.003940239673,-0.003940239667,1.52978e-09
0.00188,-0.003954671497,-0.003954671495,4.46646e-10,-0.00393937402,-0.003939374014,1.5317e-09
0.00189,-0.003954003095,-0.003954003093,4.66805e-10,-0.003938501006,-0.003938500999,1.58121e-09
0.0019,-0.003953328728,-0.003953328726,4.97701e-10,-0.003937620615,-0.003937620608,1.64686e-09
0.00191,-0.003952648381,-0.003952648379,5.32898e-10,-0.003936732835,-0.003936732828,1.71726e-09
0.00192,-0.003951962036,-0.003951962034,5.6735e-10,-0.003935837651,-0.003935837644,1.78361e-09
0.00193,-0.003951269679,-0.003951269676,5.97254e-10,-0.003934935051,-0.003934935043,1.83949e-09
0.00194,-0.003950571293,-0.00395057129,6.19893e-10,-0.003934025021,-0.003934025013,1.88043e-09
0.00195,-0.003949866863,-0.003949866861,6.3348e-10,-0.003933107547,-0.003933107539,1.90369e-09
0.00196,-0.003949156375,-0.003949156372,6.37008e-10,-0.003932182617,-0.00393218261,1.90787e-09
0.00197,-0.003948439812,-0.00394843981,6.30093e-10,-0.003931250219,-0.003931250211,1.89265e-09
