time,pmActuator.x,pmActuator.g_mb.Phi,cActuator.x,cActuator.electroTranslationalConverter.n.i,pmActuator.coil.Phi,pmActuator.g_mLeak1.Phi,pmActuator.g_mLeak2.Phi,pmActuator.armature.mass.v,cActuator.armature.mass.v,pmActuator.armature.a,cActuator.armature.a,pmActuator.g_mLeak2.port_p.Phi,cActuator.l.i,pmActuator.g_ma.port_p.Phi,pmActuator.armature.stopper_xMax.v_rel,cActuator.armature.stopper_xMax.v_rel,pmActuator.coil.i
0.002385588519,-0.003885753572,-0.0003849132316,-0.003913108501,-1.058479244,-0.0002002738017,-5.280945263e-06,-5.376169332e-06,0.1256088192,0.09843960835,78.75615577,66.24031395,-5.376169332e-06,1.058479244,-0.0001896166871,-0.1256088192,-0.09843960835,1.187684981
0.002683632093,-0.003844792876,-0.0003837778007,-0.003880782395,-1.103730395,-0.0002021030721,-5.376411453e-06,-5.473356933e-06,0.1493295654,0.1186229774,80.26111827,69.0721602,-5.473356933e-06,1.103730395,-0.0001912533038,-0.1493295654,-0.1186229774,1.209155335
0.002993738789,-0.003794611656,-0.0003823867768,-0.00384063732,-1.138881671,-0.0002039095294,-5.4184113e-06,-5.516114106e-06,0.1743429435,0.14040199,80.92413254,71.2719497,-5.516114106e-06,1.138881671,-0.000192975004,-0.1743429435,-0.14040199,1.218601103
0.003314608675,-0.003734502686,-0.0003807205555,-0.003791887472,-1.164329881,-0.0002057521486,-5.413913065e-06,-5.511534761e-06,0.200315682,0.1635436239,80.85309621,72.86451513,-5.511534761e-06,1.164329881,-0.0001948267008,-0.200315682,-0.1635436239,1.21758945
0.003645481958,-0.003663807881,-0.0003787608948,-0.0037337654,-1.18073143,-0.0002076898786,-5.370258582e-06,-5.467093116e-06,0.2269687087,0.1878381491,80.16403527,73.89093465,-5.467093116e-06,1.18073143,-0.0001968525269,-0.2269687087,-0.1878381491,1.207771553
0.003986247256,-0.003581831552,-0.0003764885101,-0.003665454212,-1.188865947,-0.0002097800796,-5.294396219e-06,-5.389862831e-06,0.2540939697,0.2131187534,78.96802673,74.39999798,-5.389862831e-06,1.188865947,-0.0001990958206,-0.2540939697,-0.2131187534,1.190710102
0.004336697066,-0.003487966284,-0.0003738865639,-0.003586194929,-1.189531481,-0.0002120735425,-5.192665137e-06,-5.286297371e-06,0.2814969229,0.2392124633,77.3670447,74.44164751,-5.286297371e-06,1.189531481,-0.00020159458,-0.2814969229,-0.2392124633,1.167830775
0.004696994646,-0.0033815622,-0.0003709370416,-0.003495181509,-1.183523727,-0.0002146174733,-5.070589744e-06,-5.162020759e-06,0.3090334434,0.2659773758,75.45022118,74.06567843,-5.162020759e-06,1.183523727,-0.0002043848628,-0.3090334434,-0.2659773758,1.14037601
0.005067320902,-0.003261993752,-0.000367622603,-0.003391619531,-1.171606273,-0.0002174538487,-4.9329341e-06,-5.021882959e-06,0.3365799517,0.2932778142,73.29441686,73.31987644,-5.021882959e-06,1.171606273,-0.0002074990317,-0.3365799517,-0.2932778142,1.109417245
0.005447962571,-0.003128623419,-0.000363925576,-0.003274698372,-1.154500634,-0.0002206206612,-4.783711982e-06,-4.869970122e-06,0.3640379667,0.3209913558,70.96424829,72.24939449,-4.869970122e-06,1.154500634,-0.0002109669791,-0.3640379667,-0.3209913558,1.07585718
0.005839200429,-0.00298082916,-0.0003598287176,-0.003143617964,-1.13288488,-0.0002241517204,-4.62628765e-06,-4.709707173e-06,0.3913234388,0.3490007627,68.51364023,70.89666671,-4.709707173e-06,1.13288488,-0.0002148157255,-0.3913234388,-0.3490007627,1.040452436
0.006241323637,-0.002817997665,-0.0003553150269,-0.002997586324,-1.107392663,-0.0002280772837,-4.463442265e-06,-4.543925419e-06,0.4183659114,0.3771952275,65.98689922,69.3013473,-4.543925419e-06,1.107392663,-0.000219069916,-0.4183659114,-0.3771952275,1.003828496
0.006654598785,-0.002639535656,-0.0003503680582,-0.002835832969,-1.078615116,-0.0002324242309,-4.297457787e-06,-4.374947971e-06,0.445104685,0.405468394,63.42009153,67.50042983,-4.374947971e-06,1.078615116,-0.0002237518251,-0.445104685,-0.405468394,0.9664985752
0.007079282294,-0.00244486596,-0.0003449718122,-0.002657608682,-1.047100673,-0.0002372165681,-4.130180429e-06,-4.204654329e-06,0.4714882175,0.4337195222,60.84211527,65.52823567,-4.204654329e-06,1.047100673,-0.0002288817334,-0.4714882175,-0.4337195222,0.9288778849
0.007515625429,-0.00223342544,-0.0003391106788,-0.002462186479,-1.0133551,-0.0002424758569,-3.963082768e-06,-4.034543623e-06,0.4974730548,0.4618540367,58.27575308,63.41641596,-4.034543623e-06,1.0133551,-0.0002344782305,-0.4974730548,-0.4618540367,0.8912976084
0.00796389389,-0.002004654708,-0.0003327691518,-0.002248854401,-0.9778405141,-0.000248221817,-3.797315816e-06,-3.865787622e-06,0.5230236514,0.4897848645,55.73856317,61.19389024,-3.865787622e-06,0.9778405141,-0.0002405587136,-0.5230236514,-0.4897848645,0.8540166087
0.008424385176,-0.001757986319,-0.0003259315015,-0.002016906027,-0.9409748466,-0.0002544729453,-3.633757889e-06,-3.699280479e-06,0.5481119395,0.517433318,53.24371067,58.88681298,-3.699280479e-06,0.9409748466,-0.0002471399069,-0.5481119395,-0.517433318,0.8172324189
0.008897448053,-0.001492829496,-0.0003185813517,-0.001765626888,-0.903131725,-0.0002612471958,-3.473058382e-06,-3.535683297e-06,0.5727169245,0.5447297833,50.8007081,56.51856602,-3.535683297e-06,0.903131725,-0.0002542384541,-0.5727169245,-0.5447297833,0.7810910877
0.009383498026,-0.001208554886,-0.0003107012565,-0.001494280065,-0.8646413936,-0.0002685626332,-3.315678359e-06,-3.375465455e-06,0.5968239947,0.5716138465,48.4160937,54.10981625,-3.375465455e-06,0.8646413936,-0.0002618714894,-0.5968239947,-0.5716138465,0.7456963089
0.009883030404,-0.0009044791842,-0.000302272275,-0.001202091013,-0.8257925511,-0.0002764380597,-3.161926925e-06,-3.218941632e-06,0.6204241021,0.5980340268,46.09403206,51.67863062,-3.218941632e-06,0.8257925511,-0.0002700571912,-0.6204241021,-0.5980340268,0.7111176
0.01039662978,-0.0005798509649,-0.0002932735774,-0.0008882330378,-0.7868350759,-0.0002848935802,-3.011993509e-06,-3.066304672e-06,0.6435128101,0.6239471294,43.83684055,49.24064668,-3.066304672e-06,0.7868350759,-0.000278815282,-0.6435128101,-0.6239471294,0.6773975636
0.01092497661,-0.0002338379346,-0.0002836820926,-0.000551813854,-0.7479833937,-0.0002939510997,-2.86597581e-06,-2.917654035e-06,0.6660892935,0.6493173454,41.64543945,46.80928335,-2.917654035e-06,0.7479833937,-0.0002881674698,-0.6660892935,-0.6493173454,0.6445581722
0.01146885234,0.0001344848714,-0.0002734721807,-0.0001918629252,-0.7094201713,-0.0003036347678,-2.723903219e-06,-2.773019644e-06,0.6881553861,0.6741152485,39.51972481,44.39597201,-2.773019644e-06,0.7094201713,-0.0002981378449,-0.6881553861,-0.6741152485,0.6126060361
0.0120291427,0.0005261453378,-0.0002626153485,0.0001926796854,-0.6713001877,-0.0003139713576,-2.585756317e-06,-2.632381727e-06,0.7097146677,0.6983167209,37.458875,42.01039884,-2.632381727e-06,0.6713001877,-0.0003087532195,-0.7097146677,-0.6983167209,0.5815367876
0.0126068412,0.0009422842781,-0.0002510799728,0.000602974128,-0.6337540776,-0.000324990616,-2.451482411e-06,-2.495686643e-06,0.7307716801,0.7219019497,35.46159226,39.66073905,-2.495686643e-06,0.6337540776,-0.0003200434469,-0.7307716801,-0.7219019497,0.5513385762
0.01320305233,0.001384164725,-0.0002388310423,0.001040290716,-0.5968918966,-0.0003367255785,-2.321007945e-06,-2.362859509e-06,0.7513312347,0.7448544844,33.52629311,37.35387998,-2.362859509e-06,0.5968918966,-0.000332041711,-0.7513312347,-0.7448544844,0.521994859
0.01381899542,0.001853181228,-0.0002258299,0.001506019678,-0.5608063761,-0.0003492128705,-2.194248121e-06,-2.233813998e-06,0.7713978328,0.7671604073,31.6512541,35.09562483,-2.233813998e-06,0.5608063761,-0.0003447848083,-0.7713978328,-0.7671604073,0.4934865651
0.01445600985,0.002350869734,-0.0002120339695,0.002001681279,-0.5255758072,-0.0003624930143,-2.071114178e-06,-2.108459749e-06,0.7909752027,0.7888076387,29.83472028,32.8908731,-2.108459749e-06,0.5255758072,-0.0003583134404,-0.7909752027,-0.7888076387,0.4657937322
0.01511556039,0.002878917279,-0.0001973964861,0.002528935538,-0.4912666146,-0.0003766107245,-1.951519048e-06,-1.986708124e-06,0.8100658975,0.8097853312,28.07498811,30.74378169,-1.986708124e-06,0.4912666146,-0.0003726724973,-0.8100658975,-0.8097853312,0.4388967786
0.01579924454,0.003439172881,-0.0001818661951,0.00308959291,-0.4579355323,-0.0003916152307,-1.835381437e-06,-1.868476363e-06,0.8286709935,0.830083405,26.37046398,28.65790105,-1.868476363e-06,0.4579355323,-0.0003879113729,-0.8286709935,-0.830083405,0.4127774214
0.01646902875,0.004,-0.0001663200616,0.003651852458,-0.4273826482,-0.0004066572168,-1.728749999e-06,-1.759922185e-06,0.8458049116,0.8486306216,24.80921996,26.74588185,-1.759922185e-06,0.4273826482,-0.0004031685446,-0.8458049116,-0.8486306216,0.3887960031
0.01646902875,0.004,-0.0001663200616,0.003651852458,-0.4273826482,-0.0004066572168,-1.728749999e-06,-1.759922185e-06,0.8458049116,0.8486306216,24.80921996,26.74588185,-1.759922185e-06,0.4273826482,-0.0004031685446,-0.8458049116,-0.8486306216,0.3887960031
0.01647701987,0.004006758942,-0.0001661327037,0.003658634826,-0.4270302368,-0.0004068386405,-1.727520373e-06,-1.758670387e-06,0.8456105343,0.8488442632,-122.5742285,26.72382773,-1.758670387e-06,0.4270302368,-0.0004033524497,-0.8456105343,-0.8488442632,0.3885194601
0.01648079857,0.004009953005,-0.0001660441642,0.003661842545,-0.4268636925,-0.0004069244445,-1.726946036e-06,-1.758085693e-06,0.844842696,0.8489452248,-294.7729869,26.71340528,-1.758085693e-06,0.4268636925,-0.0004034394128,-0.844842696,-0.8489452248,0.3883902915
0.01648790291,0.004015943883,-0.000165878097,0.003667874409,-0.4265507423,-0.0004070857911,-1.725907491e-06,-1.757028422e-06,0.8411065039,0.8491349362,-795.2561662,26.69382065,-1.757028422e-06,0.4265507423,-0.0004036028552,-0.8411065039,-0.8491349362,0.3881567226
0.01649297463,0.004020197509,-0.0001657601865,0.003672181328,-0.4263274652,-0.000407200995,-1.725230502e-06,-1.756339226e-06,0.8358636278,0.8492702844,-1291.175667,26.67984782,-1.756339226e-06,0.4263274652,-0.0004037194253,-0.8358636278,-0.8492702844,0.3880044678
0.01650159608,0.004027343266,-0.000165562106,0.003679504264,-0.4259481739,-0.0004073968635,-1.72431091e-06,-1.755403052e-06,0.8202296536,0.8495002011,-2387.043114,26.65611153,-1.755403052e-06,0.4259481739,-0.0004039171496,-0.8202296536,-0.8495002011,0.3877976515
