time,feedbackA.i1_2,firstOrder2B.y,firstOrder2A.c.v,firstOrder2A.r2.i,firstOrder2A.c.n.v,feedbackA.i1,firstOrder1B.y,firstOrder1A.c.v,firstOrder1A.r2.i,firstOrder1A.c.n.v,addA.i1,addA.i1_2,addA.i2,PIB.x,PIA.c.v,PIA.c.n.i,PIA.i2,addB.y,addA.opAmp.v_out
0.1152371232,0.005,3.40029109,3.398523432,0.003398523432,-0.0002265531253,-0.001601263066,6.62244547,6.621082412,0.006621082412,-0.0004413760691,0.006620199749,-4.412878115e-07,0.00661909062,13.24489094,-6.621750453,0.0066001616,0.009920728465,6.62244547,-6.619317173
0.1184515452,0.005,4.431404342,4.429147876,0.004429147876,-0.0002952568413,-0.0005707760209,7.60006319,7.598692915,0.007598692915,-0.000506545758,0.007597679925,-5.064444691e-07,0.007596371779,15.20012638,-7.599494859,0.005569712417,0.01038315228,7.60006319,-7.596667036
0.1219440369,0.005,5.50692388,5.504211374,0.005504211374,-0.0003669229634,0.0005041441549,8.477559879,8.47631247,0.00847631247,-0.000565049828,0.008475182483,-5.649368407e-07,0.008473685687,16.95511976,-8.477244616,0.004494841211,0.01072338524,8.477559879,-8.47405261
0.1257123334,0.005,6.569045093,6.565962682,0.006565962682,-0.0004377016654,0.001565753915,9.222178566,9.221199179,0.009221199179,-0.0006147056316,0.009219969891,-6.14582715e-07,0.009218303024,18.44435713,-9.222251791,0.003433287939,0.01093755184,9.222178566,-9.218740726
0.1297628024,0.005,7.56336706,7.560049297,0.007560049297,-0.0005039696885,0.002559708003,9.813580782,9.813014786,0.009813014786,-0.0006541573752,0.009811706602,-6.540265699e-07,0.009809894579,19.62716156,-9.814173147,0.00243939378,0.01103248034,9.813580782,-9.810398549
0.134108086,0.005,8.44329006,8.439908039,0.008439908039,-0.0005626230277,0.003439449445,10.24384304,10.24381965,0.01024381965,-0.0006828757849,0.01024245403,-6.827392371e-07,0.01024052593,20.48768609,-10.24506541,0.001559711579,0.01102350338,10.24384304,-10.24108856
0.138772714,0.005,9.174723205,9.171466712,0.009171466712,-0.0006113903548,0.004170910591,10.51746503,10.51808209,0.01051808209,-0.0007011587288,0.01051667991,-7.010185251e-07,0.01051466649,21.03493007,-10.51939492,0.0008283052856,0.01093211755,10.51746503,-10.51527788
0.1437960302,0.005,9.737804115,9.734860502,0.009734860502,-0.000648947437,0.004734229272,10.64949807,10.65080957,0.01065080957,-0.0007100066374,0.0106493897,-7.098646645e-07,0.01064732102,21.29899614,-10.65216882,0.0002650340805,0.01078325692,10.64949807,-10.64796997
0.1492409347,0.005,10.12739428,10.12492661,0.01012492661,-0.0006749501108,0.005124243379,10.66320398,10.66521194,0.01066521194,-0.0007109667312,0.01066379014,-7.108245663e-07,0.01066169354,21.32640797,-10.66659816,-0.0001249419914,0.01060270931,10.66320398,-10.66236849
0.1552029058,0.005,10.35176412,10.34989046,0.01034989046,-0.0006899467008,0.005349177234,10.5873426,10.58999333,0.01058999333,-0.000705952492,0.01058858157,-7.058113298e-07,0.01058648,21.1746852,-10.59138955,-0.0003498483422,0.01041506504,10.5873426,-10.58716995
0.1617865639,0.005,10.43091713,10.42968838,0.01042968838,-0.0006952662074,0.005428964515,10.45470368,10.45788623,0.01045788623,-0.0006971459387,0.01045649207,-6.970065374e-07,0.0104544028,20.90940736,-10.45927896,-0.0004296188381,0.01024308948,10.45470368,-10.45509806
0.1688799812,0.005,10.39998851,10.39935485,0.01039935485,-0.0006932441072,0.005398635034,10.30487514,10.30842173,0.01030842173,-0.0006871823033,0.0103070475,-6.870448943e-07,0.01030498017,20.60975028,-10.30980248,-0.0003992824263,0.01010880012,10.30487514,-10.30567341
0.1762216178,0.005,10.31078478,10.3106082,0.0103106082,-0.0006873280582,0.005309900215,10.17348501,10.17721439,0.01017721439,-0.0006784357304,0.01017585766,-6.783000703e-07,0.01017381373,20.34697001,-10.17858047,-0.0003105477322,0.01002196,10.17348501,-10.17450106
0.1838876453,0.005,10.20568554,10.20580706,0.01020580706,-0.0006803417814,0.005205113048,10.0746688,10.07843655,0.01007843655,-0.0006718509802,0.01007709299,-6.717166369e-07,0.01007506921,20.1493376,-10.07978906,-0.0002057644571,0.009975569902,10.0746688,-10.07574955
0.1919310106,0.005,10.11184774,10.11211571,0.01011211571,-0.0006740961074,0.005111434182,10.01165799,10.01536643,0.01001536643,-0.0006676465854,0.01001403127,-6.675130828e-07,0.01001202215,20.02331599,-10.01670848,-0.0001120907535,0.009959331462,10.01165799,-10.01269624
0.2004940596,0.005,10.04235747,10.04265054,0.01004265054,-0.0006694654048,0.005041978274,9.979802014,9.983400873,0.009983400873,-0.0006655156905,0.009982069974,-6.653826139e-07,0.009980069744,19.95960403,-9.984736166,-4.263965948e-05,0.009962086637,9.979802014,-9.980739209
0.2097709685,0.005,10.00054006,10.00077754,0.01000077754,-0.0006666740579,0.005000110861,9.9710406,9.974520413,0.009974520413,-0.0006649236993,0.009973190699,-6.647907412e-07,0.009971194443,19.9420812,-9.975852322,-7.758397872e-07,0.009974134492,9.9710406,-9.971861117
0.2201135647,0.005,9.983048061,9.983192284,0.009983192284,-0.0006655017855,0.004982527947,9.976295776,9.979677024,0.009979677024,-0.0006652674504,0.009978346622,-6.651344236e-07,0.009976350852,19.95259155,-9.981008104,1.680497188e-05,0.009988079406,9.976295776,-9.977016353
0.2320125013,0.005,9.9828405,9.982893767,0.009982893767,-0.0006654818857,0.00498222947,9.987084074,9.99040557,0.00999040557,-0.0006659826392,0.009989073738,-6.658494693e-07,0.009987076558,19.97416815,-9.991737346,1.710270406e-05,0.009998956074,9.987084074,-9.987742039
0.2445858953,0.005,9.989878634,9.98987776,0.00998987776,-0.0006659474541,0.004989212531,9.995759728,9.999064055,0.009999064055,-0.000666559833,0.009997731069,-6.664265477e-07,0.009995732268,19.99151946,-10.00039687,1.011976359e-05,0.01000412321,9.995759728,-9.996398216
0.2580167852,0.005,9.996473286,9.996454116,0.009996454116,-0.0006663858487,0.004995788011,10.00017354,10.00348439,0.01000348439,-0.0006668545021,0.01000215081,-6.667211579e-07,0.01000015098,20.00034709,-10.00481794,3.544646843e-06,0.01000525635,10.00017354,-10.00081737
