time,vOut.v_ref,vOut.v_sim,vOut.v_relerr
0.0695,-9.703110097,-15,0.52976
0.07,-9.753982051,-15,0.524672
0.0705,-9.80016174,-15,0.520053
0.071,-9.841603592,-15,0.515908
0.0715,-9.878266707,-15,0.512242
0.072,-9.910114905,-15,0.509056
0.0725,-9.937116754,-15,0.506356
0.073,-9.959245607,-15,0.504143
0.0735,-9.976479626,-15,0.502419
0.074,-9.988801802,-15,0.501187
0.0745,-9.996199975,-15,0.500447
0.075,-9.998666844,-15,0.5002
0.0755,-9.996199975,-15,0.500447
0.076,-9.988801802,-15,0.501187
0.0765,-9.976479626,-15,0.502419
0.077,-9.959245607,-15,0.504143
0.0775,-9.937116754,-15,0.506356
0.078,-9.910114905,-15,0.509056
0.0785,-9.878266707,-15,0.512242
0.079,-9.841603592,-15,0.515908
0.0795,-9.80016174,-15,0.520053
0.08,-9.753982051,-15,0.524672
0.0805,-9.703110097,-15,0.52976
0.081,-9.647596083,-15,0.535312
0.0815,-9.587494796,-15,0.541323
0.082,-9.522865547,-15,0.547786
0.0825,-9.453772118,-15,0.554697
0.083,-9.380282696,-15,0.562047
0.0835,-9.302469806,-15,0.569829
0.084,-9.220410239,-15,0.578036
0.0845,-9.13418498,-15,0.58666
0.085,-9.043879121,-15,0.595692
0.0855,-8.949581784,-15,0.605122
0.086,-8.851386029,-15,0.614943
0.0865,-8.749388763,-15,0.625144
0.087,-8.643690645,-15,0.635716
0.0875,-8.534395986,-15,0.646647
0.088,-8.421612648,-15,0.657926
0.0885,-8.305451933,-15,0.669544
0.089,-8.186028478,-15,0.681488
0.0895,-8.06346014,-15,0.693746
0.09,-7.937867879,-15,0.706307
0.0905,-7.809375639,-15,0.719158
0.091,-7.678110227,-15,0.732287
0.0915,-7.544201185,-15,0.745679
0.092,-7.407780666,-15,0.759323
0.0925,-7.268983301,-15,0.773205
0.093,-7.127946065,-15,0.78731
0.0935,-6.984808145,-15,0.801626
0.094,-6.839710802,-15,0.816138
0.0945,-6.692797228,-15,0.830831
0.095,-6.54421241,-15,0.845692
0.0955,-6.394102983,-15,0.860704
0.096,-6.242617087,-15,0.875855
0.0965,-6.08990422,-15,0.891128
0.097,-5.936115091,-15,0.906509
0.0975,-5.781401472,-15,0.921983
0.098,-5.625916046,-15,0.937533
0.0985,-5.469812258,-15,0.953146
0.099,-5.313244165,-15,0.968805
0.0995,-5.15636628,-15,0.984495
0.1,-4.999333422,-15,1.0002
0.1005,-4.842300565,-15,1.01591
0.101,-4.685422679,-15,1.0316
0.1015,-4.528854586,-15,1.04725
0.102,-4.372750799,-15,1.06287
0.1025,-4.217265373,-15,1.07842
0.103,-4.062551754,-15,1.09389
0.1035,-3.908762625,-15,1.10927
0.104,-3.756049758,-15,1.12454
0.1045,-3.604563861,-15,1.1397
0.105,-3.454454434,-15,1.15471
0.1055,-3.305869616,-15,1.16957
0.106,-3.158956042,-15,1.18426
0.1065,-3.013858699,-15,1.19877
0.107,-2.870720779,-15,1.21309
0.1075,-2.729683543,-15,1.2272
0.108,-2.590886178,-15,1.24108
0.1085,-2.454465659,-15,1.25472
