time,mass2.v,mass2.s,mass1.v,mass1.s,damper1.s_rel,damper1.v_rel
0.3790976866,0.01846395189,-0.5008283858,0.03963526198,-0.5018430211,1.000828386,-0.01846395189
0.3860214695,0.06755498355,-0.5005184618,0.1515470935,-0.5011558319,1.000518462,-0.06755498355
0.3936908995,0.08553755213,-0.4999009777,0.1958668396,-0.4997553151,0.9999009777,-0.08553755213
0.401935553,0.0516707032,-0.4993006551,0.1211570987,-0.498366597,0.9993006551,-0.0516707032
0.4101802066,-0.01601910121,-0.4991441279,-0.03617658537,-0.4979902004,0.9991441279,0.01601910121
0.4184248601,-0.07419140887,-0.4995380911,-0.1762386888,-0.4989149772,0.9995380911,0.07419140887
0.4266695137,-0.08513361494,-0.5002347038,-0.2063984979,-0.5005874374,1.000234704,0.08513361494
0.4361064358,-0.03163789755,-0.5008311452,-0.0791782656,-0.5020496998,1.000831145,0.03163789755
0.443500771,0.03260264769,-0.5008277959,0.07972798747,-0.5020510829,1.000827796,-0.03260264769
0.4508951062,0.08032387251,-0.5003904435,0.2016416188,-0.5009632705,1.000390443,-0.08032387251
0.4587933949,0.08498468403,-0.4997014537,0.2172804501,-0.4992174499,0.9997014537,-0.08498468403
0.4678008346,0.02992594016,-0.4991454053,0.07883103133,-0.4977811634,0.9991454053,-0.02992594016
0.4748475643,-0.03253892003,-0.4991547259,-0.08382998173,-0.4977965146,0.9991547259,0.03253892003
0.4818942939,-0.07990398787,-0.4995679426,-0.210828805,-0.4988776217,0.9995679426,0.07990398787
0.4894990608,-0.08825694745,-0.5002400167,-0.2368035036,-0.5006662827,1.000240017,0.08825694745
0.498082673,-0.04002368748,-0.5008273577,-0.1099260793,-0.5022565482,1.000827358,0.04002368748
0.5051592911,0.02329102414,-0.500889412,0.06260012571,-0.5024344111,1.000889412,-0.02329102414
0.5122359093,0.07577930492,-0.5005236705,0.2095201539,-0.5014317889,1.000523671,-0.07577930492
0.5196087607,0.09178215985,-0.499876445,0.2577710119,-0.4996274724,0.999876445,-0.09178215985
0.5278608608,0.05364659572,-0.4992396804,0.1535482925,-0.49782447,0.9992396804,-0.05364659572
0.5361129609,-0.01934116431,-0.4990891801,-0.05436628914,-0.4973854911,0.9990891801,0.01934116431
0.5429847047,-0.0729284558,-0.4994191376,-0.211196436,-0.4983332236,0.9994191376,0.0729284558
0.5505771953,-0.09329470149,-0.5000822521,-0.2743905142,-0.5002694817,1.000082252,0.09329470149
0.5586995703,-0.05860501481,-0.5007355878,-0.1753534268,-0.5022056866,1.000735588,0.05860501481
0.5668219454,0.01294411415,-0.5009322087,0.03773624782,-0.5028019983,1.000932209,-0.01294411415
0.5749443204,0.07675788603,-0.5005467027,0.233111217,-0.5016413159,1.000546703,-0.07675788603
0.5830666954,0.09285801101,-0.4998173761,0.2864156466,-0.4994082407,0.9998173761,-0.09285801101
0.5921924194,0.04268943957,-0.4991518641,0.1343467764,-0.4973389506,0.9991518641,-0.04268943957
0.5997447331,-0.02700221329,-0.4990894523,-0.08408774534,-0.4971358646,0.9990894523,0.02700221329
0.6072970467,-0.08226096487,-0.4995226979,-0.2617660709,-0.4985047392,0.9995226979,0.08226096487
0.6150807927,-0.09240327383,-0.5002389715,-0.2981775714,-0.5008005162,1.000238972,0.09240327383
0.6239409605,-0.04020715285,-0.5008683225,-0.1322253465,-0.5028465312,1.000868323,0.04020715285
0.6311623026,0.02718446633,-0.5009176393,0.0885430125,-0.503014741,1.000917639,-0.02718446633
0.6383836447,0.08120279843,-0.500508457,0.2696912121,-0.5016645786,1.000508457,-0.08120279843
0.6459333176,0.09424421973,-0.4998128467,0.3170833962,-0.4993387235,0.9998128467,-0.09424421973
0.6544207442,0.04848320943,-0.4991678554,0.1657771624,-0.4971539252,0.9991678554,-0.04848320943
0.6619307732,-0.02128725728,-0.4990605137,-0.07211391935,-0.496781059,0.9990605137,0.02128725728
0.6694408022,-0.07978984013,-0.4994588539,-0.2762093627,-0.4981511196,0.9994588539,0.07978984013
0.6770343881,-0.09534829979,-0.5001576929,-0.3342049676,-0.5005860907,1.000157693,0.09534829979
0.6856148256,-0.05062986435,-0.5008255455,-0.180190632,-0.5029422234,1.000825545,0.05062986435
0.6931781681,0.0197762306,-0.5009482397,0.06980819327,-0.5033844691,1.00094824,-0.0197762306
0.7007415106,0.07955898603,-0.5005536903,0.2868249529,-0.5019707517,1.00055369,-0.07955898603
0.7083314413,0.09601658058,-0.4998534746,0.3502958295,-0.4994306026,0.9998534746,-0.09601658058
0.7169101528,0.05189711638,-0.4991769387,0.1920775034,-0.4969471127,0.9991769387,-0.05189711638
0.7244920542,-0.01886594748,-0.499045255,-0.06933851729,-0.4964544362,0.999045255,0.01886594748
0.7320739556,-0.07943160767,-0.4994367515,-0.2978846849,-0.4979141309,0.9994367515,0.07943160767
0.739655857,-0.0965647481,-0.5001378299,-0.3662672347,-0.5005589687,1.00013783,0.0965647481
0.7482201159,-0.05300669971,-0.5008206271,-0.2038000267,-0.5031640709,1.000820627,0.05300669971
0.7558158056,0.01802999155,-0.5009603262,0.06891559013,-0.503706222,1.000960326,-0.01802999155
0.7634114953,0.07927363458,-0.5005720001,0.3088880135,-0.5022013952,1.000572,-0.07927363458
0.7710071851,0.09701012501,-0.4998683653,0.3821258052,-0.499444059,0.9998683653,-0.09701012501
0.7795668312,0.05378238096,-0.4991804255,0.2145935965,-0.4967189996,0.9991804255,-0.05378238096
0.7871720581,-0.01749180167,-0.4990352937,-0.06946521945,-0.4961351466,0.9990352937,0.01749180167
0.794777285,-0.07922896122,-0.4994218383,-0.3204046088,-0.4976902696,0.9994218383,0.07922896122
0.8023825118,-0.09736974206,-0.5001277096,-0.397885379,-0.5005604335,1.00012771,0.09736974206
0.8109391361,-0.05432026733,-0.5008194579,-0.2247021285,-0.5034023391,1.000819458,0.05432026733
0.8185500547,0.01715372368,-0.5009682029,0.07070678983,-0.5040221484,1.000968203,-0.01715372368
0.8261609733,0.07924895002,-0.5005826026,0.3322670124,-0.502413331,1.000582603,-0.07924895002
0.8337718918,0.09766602553,-0.4998748805,0.4135888284,-0.4994305329,0.9998748805,-0.09766602553
