time,cosFM.phi,sinFM.phi,cosAM.phi,sinAM.phi,sine.phi
0.0077,4.954995164,4.954995164,4.838052687,4.838052687,4.838052687
0.0078,5.02088176,5.02088176,4.90088454,4.90088454,4.90088454
0.0079,5.086807645,5.086807645,4.963716393,4.963716393,4.963716393
0.008,5.152772814,5.152772814,5.026548246,5.026548246,5.026548246
0.0081,5.218777262,5.218777262,5.089380099,5.089380099,5.089380099
0.0082,5.284820984,5.284820984,5.152211952,5.152211952,5.152211952
0.0083,5.350903975,5.350903975,5.215043805,5.215043805,5.215043805
0.0084,5.41702623,5.41702623,5.277875658,5.277875658,5.277875658
0.0085,5.483187744,5.483187744,5.340707511,5.340707511,5.340707511
0.0086,5.549388511,5.549388511,5.403539364,5.403539364,5.403539364
0.0087,5.615628526,5.615628526,5.466371217,5.466371217,5.466371217
0.0088,5.681907784,5.681907784,5.52920307,5.52920307,5.52920307
0.0089,5.74822628,5.74822628,5.592034923,5.592034923,5.592034923
0.009,5.814584007,5.814584007,5.654866776,5.654866776,5.654866776
0.0091,5.88098096,5.88098096,5.71769863,5.71769863,5.71769863
0.0092,5.947417134,5.947417134,5.780530483,5.780530483,5.780530483
0.0093,6.013892523,6.013892523,5.843362336,5.843362336,5.843362336
0.0094,6.080407121,6.080407121,5.906194189,5.906194189,5.906194189
0.0095,6.146960922,6.146960922,5.969026042,5.969026042,5.969026042
0.0096,6.213553921,6.213553921,6.031857895,6.031857895,6.031857895
0.0097,6.280186111,6.280186111,6.094689748,6.094689748,6.094689748
0.0098,6.346857486,6.346857486,6.157521601,6.157521601,6.157521601
0.0099,6.413568042,6.413568042,6.220353454,6.220353454,6.220353454
0.01,6.48031777,6.48031777,6.283185307,6.283185307,6.283185307
0.0101,6.547106666,6.547106666,6.34601716,6.34601716,6.34601716
0.0102,6.613934722,6.613934722,6.408849013,6.408849013,6.408849013
0.0103,6.680801933,6.680801933,6.471680866,6.471680866,6.471680866
0.0104,6.747708292,6.747708292,6.534512719,6.534512719,6.534512719
0.0105,6.814653793,6.814653793,6.597344573,6.597344573,6.597344573
0.0106,6.881638429,6.881638429,6.660176426,6.660176426,6.660176426
0.0107,6.948662194,6.948662194,6.723008279,6.723008279,6.723008279
