time,mass3.v,mass3.s,mass2.v,mass2.s,mass1.v,mass1.s
0,0,0,0,0,0,0
0.0001,0.0001,5e-09,0.0001,5e-09,0.0001,5e-09
0.002422903519,0.002422903519,2.935230732e-06,0.002422903519,2.935230732e-06,0.002422903519,2.935230732e-06
0.02565193871,0.02565193871,0.0003290109798,0.02565193871,0.0003290109798,0.02565193871,0.0003290109798
0.2579422906,0.2579422906,0.03326711265,0.2579422906,0.03326711265,0.2579422906,0.03326711265
1,1,0.5,1,0.5,1,0.5
