time,inertia3.w,inertia3.phi,damper.phi_rel,damper.w_rel,damper.w_relˍt
0.7364363308,0.2920830868,0.177855856,-0.1747800351,-0.2708535402,7.876019971
0.751008186,0.07494843279,0.1804921703,-0.1778309387,-0.1442619849,9.347518606
0.7655800413,-0.07595023566,0.1803758567,-0.1789250888,-0.006152168478,9.226557755
0.7802189374,-0.1455981793,0.1786754777,-0.1781012869,0.1118377753,6.420050279
0.7948578336,-0.1769898461,0.1762958116,-0.1759436412,0.1705010665,1.357213157
0.8094967297,-0.1950983803,0.1735463533,-0.1734990001,0.1505214101,-3.921619819
0.8241356258,-0.1638081135,0.1708217036,-0.1718605901,0.06487031146,-7.378065717
0.838774522,-0.03280818506,0.1692490351,-0.1717605974,-0.05396090932,-8.523817266
0.8536444159,0.187168951,0.1703349591,-0.1735032599,-0.1796720044,-8.233194765
0.8685143097,0.3986992336,0.1747738662,-0.1770545009,-0.2954934012,-7.224345699
0.8833842036,0.5043339247,0.1816513538,-0.1821826556,-0.3889739502,-5.082347041
0.8982540975,0.4897629953,0.1891625331,-0.1883991711,-0.4372370771,-1.092926696
0.9131239914,0.4159133134,0.1959252492,-0.1948323976,-0.414913722,4.161575197
0.9279938853,0.3342335398,0.2015059083,-0.2003606727,-0.3175605798,8.595290897
0.9431294548,0.2292165385,0.2058272638,-0.2040872601,-0.1706913188,10.24830784
0.9582650242,0.06331157431,0.2081252179,-0.2055260079,-0.02299678907,8.860721321
0.9718345888,-0.1207825527,0.2077392595,-0.205097084,0.08031411654,6.269578296
0.9854041533,-0.26758821,0.2050158932,-0.2035160217,0.1463951515,3.475182185
0.9989864126,-0.3082743132,0.2009628984,-0.2012936653,0.1743462747,0.5934933875
1,-0.3062560739,0.2006514007,-0.2011166846,0.1748313132,0.3630657464
