time,dcee.airGapDC.ie,dcse.inertiaRotor.w,dcse.friction.phi,dcpm.inertiaRotor.w,dcpm.friction.phi,dcee.inertiaRotor.w,dcee.friction.phi,dcse.airGapDC.psi_e,dcse.flange.tau,dcpm.brush.n.i,dcpm.flange.tau,dcee.brush.n.i,dcee.flange.tau,loadInertia1.w,loadInertia3.w,loadInertia2.w,dcpm.ia,loadInertia3.phi,dcee.ia,loadInertia2.phi,loadInertia1.phi,dcse.ia,dcpm.tauElectrical,dcee.tauElectrical,dcse.tauElectrical
1.329127788,1,155.7021935,198.7929566,150.4701104,198.8341795,150.4701104,198.8341795,0.04756328833,-55.35584324,-84.15505076,-53.33915713,-84.15505076,-53.33915713,150.4701104,155.7021935,150.4701104,84.15505076,198.7929566,84.15505076,198.8341795,198.8341795,95.12657665,53.57476926,53.57476926,57.60814073
1.648882735,1,160.8549997,249.385304,150.9723647,247.0280407,150.9723647,247.0280407,0.04612398428,-51.60339019,-77.76015046,-49.26803715,-77.76015046,-49.26803715,150.9723647,160.8549997,150.9723647,77.76015046,249.385304,77.76015046,247.0280407,247.0280407,92.24796856,49.50364929,49.50364929,54.17435449
2.074830993,1,168.6954697,319.53292,151.6414219,311.4769485,151.6414219,311.4769485,0.04409370369,-46.55964514,-69.24144987,-43.84486392,-69.24144987,-43.84486392,151.6414219,168.6954697,151.6414219,69.24144987,319.53292,69.24144987,311.4769485,311.4769485,88.18740738,44.08047605,44.08047605,49.51003951
2.647919025,1,180.9963,419.6343471,152.5415985,398.6387728,152.5415985,398.6387728,0.04124531739,-39.81638756,-57.78004521,-36.5483071,-57.78004521,-36.5483071,152.5415985,180.9963,152.5415985,57.78004521,419.6343471,57.78004521,398.6387728,398.6387728,82.49063478,36.78391923,36.78391923,43.32009638
3.221007057,1,195.6167907,527.4286766,153.4417752,486.3164775,153.4417752,486.3164775,0.03830430698,-33.18928534,-46.31864056,-29.25175028,-46.31864056,-29.25175028,153.4417752,195.6167907,153.4417752,46.31864056,527.4286766,46.31864056,486.3164775,486.3164775,76.60861395,29.48736241,29.48736241,37.36244879
3.838713474,1,214.587575,653.9307459,154.412036,581.3981148,154.412036,581.3981148,0.0350604334,-26.22683967,-33.96489593,-21.38711218,-33.96489593,-21.38711218,154.412036,214.587575,154.412036,33.96489593,653.9307459,33.96489593,581.3981148,581.3981148,70.1208668,21.62272431,21.62272431,31.30218652
4.469656383,1,238.2911324,796.543846,155.403088,679.1359425,155.403088,679.1359425,0.03170556499,-19.35833817,-21.34642967,-13.35394707,-21.34642967,-13.35394707,155.403088,238.2911324,155.403088,21.34642967,796.543846,21.34642967,679.1359425,679.1359425,63.41112998,13.5895592,13.5895592,25.59829901
4.985138225,1,261.682861,925.2352036,156.2127799,759.4521034,156.2127799,759.4521034,0.02896998341,-13.96341579,-11.03711302,-6.790832245,-11.03711302,-6.790832245,156.2127799,261.682861,156.2127799,11.03711302,925.2352036,11.03711302,759.4521034,759.4521034,57.93996683,7.026444376,7.026444376,21.37157885
5.268950367,1,274.8939766,1001.429524,156.6585771,803.8504483,156.6585771,803.8504483,0.02762332332,-12.89831088,-5.361046485,-3.177336062,-5.361046485,-3.177336062,156.6585771,274.8939766,156.6585771,5.361046485,1001.429524,5.361046485,803.8504483,803.8504483,55.24664664,3.412948193,3.412948193,19.43085754
5.473014258,1,283.392188,1058.405392,156.9791099,835.8515117,156.9791099,835.8515117,0.02682215339,-12.34304055,-1.279895426,-0.5791946034,-1.279895426,-0.5791946034,156.9791099,283.392188,156.9791099,1.279895426,1058.405392,1.279895426,835.8515117,835.8515117,53.64430679,0.8148067345,0.8148067345,18.32008136
