time,inertia3b.w,inertia3b.phi,inertia3a.w,inertia3a.phi,inertia2b.phi,inertia2a.phi,inertia2a.w,inertia2b.w,inverseInertia.inertia.phi,inverseInertia.inertia.w,directInertia.inertia.flange_b.tau,directInertia.inertia.phi,directInertia.inertia.w
0.2421632122,0.4811258096,0.05648728693,0.4811063103,0.05655371487,0.05645968362,0.05660892149,0.4756551568,0.4838513863,0.05650942958,0.4811193098,-0.6554725001,0.05650942958,0.4811193098
0.2600683939,0.4845567811,0.0651429181,0.4719668991,0.06512022247,0.06513536751,0.06513532365,0.4747547842,0.4831628386,0.06513535289,0.4803601538,0.8412391569,0.06513535289,0.4803601538
0.2779735756,0.471609018,0.07373727596,0.4594059864,0.07344305646,0.07368897726,0.07353965386,0.4620773392,0.4702733416,0.07363920279,0.4675413408,2.295541264,0.07363920279,0.4675413408
0.2965405399,0.4417788648,0.08222550165,0.4430691213,0.08185785972,0.08220164606,0.08190557091,0.437182226,0.4447223124,0.08210295434,0.4422089503,3.680471409,0.08210295434,0.4422089503
0.3151075042,0.4096251921,0.09013787829,0.3986912912,0.08970204557,0.09013486144,0.08970807927,0.4016635185,0.4081390785,0.08999260072,0.4059805585,4.865951613,0.08999260072,0.4059805585
0.3336744684,0.3630762192,0.09734107688,0.3563058608,0.09668751392,0.09730134298,0.09676698172,0.3574460236,0.3625061378,0.09712322256,0.360819433,5.787739032,0.09712322256,0.360819433
0.3522414327,0.3073045195,0.1035600628,0.3129097185,0.1029329738,0.1035553606,0.1029423781,0.30692595,0.3102964037,0.1033510331,0.3091729192,6.395880703,0.1033510331,0.3091729192
0.37283981,0.2502525108,0.1093049134,0.2425622366,0.1086619062,0.1093109823,0.1086497684,0.2468314118,0.2481179232,0.1090905777,0.247689086,6.664210512,0.1090905777,0.247689086
0.3887402715,0.1996925968,0.1128914345,0.1997545734,0.1121569405,0.1128693957,0.112201018,0.1999721724,0.1995837973,0.1126466031,0.1997132557,6.567535584,0.1126466031,0.1997132557
0.4052935879,0.1477845807,0.1157541221,0.1590697599,0.1151415491,0.1157657932,0.1151182069,0.1529560068,0.1508414572,0.1155499311,0.1515463071,6.18941351,0.1155499311,0.1515463071
0.4222810609,0.1061397679,0.1178983198,0.1061709086,0.1173977394,0.1179305391,0.117333301,0.1086771911,0.1048866267,0.1177314597,0.1061501482,5.524159236,0.1177314597,0.1061501482
0.4359208413,0.07432277961,0.1191312962,0.07349392575,0.1186033744,0.1191343344,0.1185972979,0.07738992825,0.07237477836,0.1189553222,0.07404649499,4.806657811,0.1189553222,0.07404649499
0.4497805507,0.04244065791,0.1199350542,0.05445668678,0.1194817738,0.1199372121,0.119477458,0.05051848282,0.04440975989,0.1197839608,0.04644600087,3.933426833,0.1197839608,0.04644600087
0.4597186524,0.02510636324,0.120265216,0.04050708567,0.1199567485,0.1202942675,0.1198986455,0.03476046919,0.02797967148,0.1201623935,0.03023993739,3.232325697,0.1201623935,0.03023993739
0.4727355971,0.01194038079,0.1204965034,0.01816545112,0.1203391561,0.1205448772,0.1202424084,0.0190153243,0.01151544421,0.1204440543,0.01401540424,2.239672454,0.1204440543,0.01401540424
0.4822705172,0.005881812412,0.1205806339,0.006116993783,0.1204486718,0.1206129666,0.1203840063,0.01122717046,0.003326724073,0.1205366465,0.005960206203,1.47304431,0.1205366465,0.005960206203
0.4927204613,-0.0002620539294,0.1206095958,0.00354889256,0.1204892528,0.1206177038,0.1204730369,0.006481040702,-0.001728128,0.1205694815,0.001008261567,0.6089990191,0.1205694815,0.001008261567
0.5031704054,-0.004248784344,0.1205823083,0.009071648254,0.1205517763,0.1205914251,0.1205335428,0.005775714345,-0.00260081739,0.120572131,0.0001913598554,-0.2655330009,0.120572131,0.0001913598554
0.5136203495,-0.001913878184,0.1205432118,0.01439845977,0.1206774019,0.1205779755,0.1206078745,0.009123337181,0.0007236831114,0.1205879418,0.003523567801,-1.135492645,0.1205879418,0.003523567801
0.525076171,0.009306286872,0.1205782357,0.01700900179,0.120858055,0.1206296813,0.1207551639,0.01737976951,0.009120903011,0.1206715088,0.01187385851,-2.066181315,0.1206715088,0.01187385851
0.5345934632,0.02238820563,0.1207279606,0.02250967747,0.1210406724,0.1207645308,0.1209675319,0.02776985014,0.01975811929,0.1208321978,0.02242869624,-2.807675153,0.1208321978,0.02242869624
0.5450216649,0.03710802427,0.121038347,0.03850761526,0.1213490194,0.121047048,0.1213316175,0.04264768861,0.03503798759,0.1211419045,0.0375745546,-3.573710951,0.1211419045,0.0375745546
0.5576698307,0.05669265958,0.1216265445,0.0684144804,0.1220198346,0.1216320324,0.122008859,0.06523180057,0.05828399949,0.1217576412,0.06059993319,-4.419408079,0.1217576412,0.06059993319
0.5676252501,0.0774580021,0.1222892022,0.09095639439,0.1228167203,0.1223174183,0.1227602879,0.08615922364,0.07985658748,0.1224650415,0.0819574662,-5.007673367,0.1224650415,0.0819574662
0.5813264385,0.1147592619,0.1235976874,0.11651377,0.1242401369,0.1236377542,0.1241600033,0.1188480902,0.1135921018,0.1238118372,0.115344098,-5.687611061,0.1238118372,0.115344098
0.5919018332,0.1453278192,0.1249740808,0.1404841434,0.1255915801,0.1249888923,0.1255619571,0.1466066256,0.1422665781,0.1251799139,0.1437132606,-6.098289672,0.1251799139,0.1437132606
0.6053131177,0.1814349239,0.1271677796,0.1834100957,0.1277509372,0.1271545401,0.1277774163,0.1841404145,0.1810697645,0.1273621655,0.1820933145,-6.463694626,0.1273621655,0.1820933145
0.6187244021,0.2191695619,0.1298478821,0.228100678,0.1305190702,0.1298532655,0.1305083034,0.2232894273,0.2215751872,0.1300716114,0.2221466006,-6.64594696,0.1300716114,0.2221466006
0.6331972323,0.2665118794,0.1333566324,0.2647963913,0.1340979104,0.1333807558,0.1340496635,0.2660714833,0.2658743334,0.133603725,0.2659400501,-6.631328102,0.133603725,0.2659400501
0.6476700624,0.3123950361,0.1375548867,0.3019566473,0.1381866409,0.1375452339,0.1382059466,0.3080312741,0.3093577227,0.1377654714,0.3089155732,-6.39796847,0.1377654714,0.3089155732
0.664358027,0.3553975551,0.1431374008,0.3560267626,0.1436727047,0.1431077476,0.1437320113,0.3535900988,0.356615887,0.1433158355,0.355607291,-5.867763734,0.1433158355,0.355607291
0.6810459915,0.3975749767,0.1494154266,0.3967010295,0.1499879129,0.1494194347,0.1499798967,0.3942219483,0.3988145173,0.1496062554,0.397283661,-5.080456133,0.1496062554,0.397283661
0.6990705923,0.4395689673,0.1569809664,0.4245559741,0.157388048,0.1569619693,0.157426042,0.4305266952,0.4365836068,0.1571166602,0.4345646363,-3.981291243,0.1571166602,0.4345646363
0.7170951931,0.463305534,0.1651430456,0.4592830596,0.1653513945,0.1650978364,0.1654418127,0.4571568085,0.4643686596,0.1652124952,0.4619647092,-2.678742047,0.1652124952,0.4619647092
0.7351197939,0.4793953782,0.173640652,0.4754616838,0.1738253757,0.1736334573,0.1738397652,0.4727518995,0.4807502704,0.1737022266,0.4780841468,-1.239349285,0.1737022266,0.4780841468
0.7540277676,0.4875231825,0.1828130495,0.4708903279,0.1827739641,0.1827831219,0.1828338193,0.4763896442,0.4847735243,0.182800021,0.4819788976,0.3372854179,0.182800021,0.4819788976
0.7729357414,0.4732806188,0.1919249067,0.4704615378,0.1916799734,0.1918791829,0.1917714211,0.4668087268,0.4751070243,0.1918432623,0.4723409251,1.894967769,0.1918432623,0.4723409251
0.7918437151,0.4515409445,0.2006701753,0.4460534961,0.2003996719,0.2006667295,0.2004065637,0.4445475115,0.4522939368,0.2005800075,0.449711795,3.346170287,0.2005800075,0.449711795
0.8107516888,0.4198946387,0.2089401999,0.4062998941,0.2084462087,0.2089081864,0.2085102356,0.4108568741,0.4176161488,0.2087755361,0.4153630572,4.609348679,0.2087755361,0.4153630572
0.835543564,0.3545538871,0.2185592139,0.3585012838,0.2179764046,0.2185461678,0.2180024967,0.3526022715,0.3575033932,0.2183649441,0.355869686,5.863845939,0.2183649441,0.355869686
0.8543207702,0.3057056208,0.2247603448,0.2979046741,0.2241579267,0.2247661325,0.2241463514,0.3009932982,0.3041613088,0.2245595388,0.3031053053,6.442834823,0.2245595388,0.3031053053
0.8730979763,0.2474479424,0.2299737083,0.2458251992,0.2292316429,0.2299468673,0.2292853248,0.2460673531,0.2473268654,0.2297263532,0.246907028,6.66476248,0.2297263532,0.246907028
0.8918751825,0.1873779714,0.2340399483,0.1964121275,0.2334100574,0.2340521986,0.2333855569,0.1908685697,0.1901497503,0.2338299847,0.1903893567,6.5173297,0.2338299847,0.1903893567
0.9171853708,0.12035649,0.2379289219,0.1169268158,0.2373304324,0.2379345311,0.2373192139,0.1214148522,0.1181124718,0.2377294254,0.1192132653,5.751652766,0.2377294254,0.1192132653
0.932629231,0.0782871788,0.2394600796,0.08756274705,0.2388944366,0.2394558923,0.2389028112,0.08453360497,0.07980174984,0.2392715319,0.08137903488,4.993574227,0.2392715319,0.08137903488
0.9480730911,0.04529175747,0.2403956723,0.05804666443,0.2400305282,0.2404306502,0.2399605724,0.05353231284,0.04754893326,0.2402739576,0.04954339312,4.048005127,0.2402739576,0.04954339312
0.9622486074,0.0260075865,0.2408930519,0.02787494344,0.2406325585,0.2409323106,0.2405540409,0.03125363211,0.02431824216,0.2408062207,0.02663003881,3.045353342,0.2408062207,0.02663003881
0.9734631886,0.01289308365,0.2411110525,0.0140664414,0.2408556489,0.2411249178,0.2408279184,0.01830708032,0.01077276419,0.241025918,0.0132842029,2.182167785,0.241025918,0.0132842029
0.9851938258,0.0005194982125,0.2411863088,0.01144693523,0.2409972748,0.2411918694,0.2409861537,0.009495835416,0.001495048121,0.2411232975,0.004161977219,1.233254784,0.2411232975,0.004161977219
0.9933172367,-0.004502865057,0.2411672852,0.01155520324,0.2410913358,0.2411885567,0.2410487929,0.006331538963,-0.001891032917,0.2411419688,0.0008498243764,0.5591960538,0.2411419688,0.0008498243764
1,-0.005159009782,0.2411331644,0.01031805683,0.2411652581,0.2411719911,0.2410876047,0.005560622088,-0.002780292412,0.2411438623,1.242156021e-08,3.265724798e-15,0.2411438623,1.242156021e-08
