time,capacitor2.v,inductor2.i,cosineCurrent.phi,capacitor1.v,inductor1.i,sineCurrent.phi
0.0059,-3.986719897,1.782267176,0.02187176805,0.1384507513,0.01554457456,0.02187176805
0.006,-4.468438144,1.750145045,0.02261946711,0.1423990081,0.01637678026,0.02261946711
0.0061,-4.929092322,1.715165922,0.02337973253,0.1462911076,0.01723097397,0.02337973253
0.0062,-5.366930881,1.677476842,0.02415256432,0.1501212473,0.01810671485,0.02415256432
0.0063,-5.780273207,1.637238296,0.02493796248,0.1538838279,0.01900351813,0.02493796248
0.0064,-6.167596079,1.594610946,0.02573592702,0.1575737499,0.01992089585,0.02573592702
0.0065,-6.527453591,1.54977093,0.02654645792,0.1611861338,0.02085830955,0.02654645792
0.0066,-6.858499504,1.502905118,0.0273695552,0.1647163992,0.02181518505,0.0273695552
0.0067,-7.159516693,1.454205404,0.02820521884,0.1681603669,0.02279093004,0.02820521884
0.0068,-7.429417144,1.403868704,0.02905344886,0.1715142597,0.0237849341,0.02905344886
0.0069,-7.667241955,1.352096958,0.02991424525,0.1747747017,0.02479656868,0.02991424525
0.007,-7.872161341,1.299097128,0.03078760801,0.1779387188,0.02582518714,0.03078760801
0.0071,-8.043474623,1.245081202,0.03167353713,0.1810037383,0.0268701247,0.03167353713
0.0072,-8.180610241,1.19026619,0.03257203263,0.1839675893,0.02793069846,0.03257203263
0.0073,-8.283135087,1.134876772,0.0334830945,0.1868285273,0.029006199,0.0334830945
0.0074,-8.350736599,1.079122176,0.03440672274,0.1895852162,0.0300959638,0.03440672274
0.0075,-8.383264994,1.023225665,0.03534291735,0.1922368128,0.03119928321,0.03534291735
0.0076,-8.380712385,0.9674120612,0.03629167833,0.1947829215,0.03231544034,0.03629167833
0.0077,-8.343203741,0.9119023408,0.03725300569,0.197223574,0.03344372835,0.03725300569
0.0078,-8.270996886,0.8569136361,0.03822689941,0.1995592298,0.03458345038,0.03822689941
0.0079,-8.1644825,0.8026592341,0.0392133595,0.2017907758,0.03573391961,0.0392133595
0.008,-8.024184117,0.7493485767,0.04021238597,0.2039195264,0.03689445923,0.04021238597
0.0081,-7.850758126,0.6971872607,0.0412239788,0.2059472238,0.03806440246,0.0412239788
0.0082,-7.644993773,0.6463770382,0.04224813801,0.2078760374,0.03924309251,0.04224813801
