time,Ideal.v_ref,Ideal.v_sim,Ideal.v_relerr
0,0,0,0
0.0002,0,0.01256636731,0.00125664
0.0004,0,0.02513271477,0.00251327
0.0006,0,0.03769902255,0.0037699
0.0008,0,0.05026527079,0.00502653
0.001,0,0.06283143966,0.00628314
0.0012,0,0.0753975093,0.00753975
0.0014,0,0.08796345989,0.00879635
0.0016,0,0.1005292716,0.0100529
0.0018,0,0.1130949245,0.0113095
0.002,0,0.1256603988,0.012566
0.0022,0,0.1382256747,0.0138226
0.0024,0,0.1507907324,0.0150791
0.0026,0,0.1633555519,0.0163356
0.0028,0,0.1759201134,0.017592
0.003,0,0.1884843972,0.0188484
0.0032,0,0.2010483833,0.0201048
0.0034,0,0.2136120519,0.0213612
0.0036,0,0.2261753832,0.0226175
0.0038,0,0.2387383573,0.0238738
0.004,0,0.2513009544,0.0251301
0.0042,0,0.2638631547,0.0263863
0.0044,0,0.2764249383,0.0276425
0.0046,0,0.2889862855,0.0288986
0.0048,0,0.3015471762,0.0301547
0.005,0,0.3141075908,0.0314108
0.0052,0,0.3266675093,0.0326668
0.0054,0,0.339226912,0.0339227
0.0056,0,0.3517857791,0.0351786
0.0058,0,0.3643440906,0.0364344
0.006,0,0.3769018267,0.0376902
0.0062,0,0.3894589677,0.0389459
0.0064,0,0.4020154936,0.0402015
0.0066,0,0.4145713848,0.0414571
0.0068,0,0.4271266212,0.0427127
0.007,0,0.4396811832,0.0439681
0.0072,0,0.4522350508,0.0452235
0.0074,0,0.4647882043,0.0464788
0.0076,0,0.4773406239,0.0477341
0.0078,0,0.4898922896,0.0489892
0.008,0,0.5024431818,0.0502443
0.0082,0,0.5149932805,0.0514993
0.0084,0,0.527542566,0.0527543
0.0086,0,0.5400910184,0.0540091
0.0088,0,0.552638618,0.0552639
0.009,0,0.5651853448,0.0565185
0.0092,0,0.5777311792,0.0577731
0.0094,0,0.5902761012,0.0590276
0.0096,0,0.6028200911,0.060282
0.0098,0,0.6153631291,0.0615363
0.01,0,0.6279051953,0.0627905
0.0102,0,0.64044627,0.0640446
0.0104,0,0.6529863333,0.0652986
0.0106,0,0.6655253655,0.0665525
0.0108,0,0.6780633467,0.0678063
0.011,0,0.6906002571,0.06906
0.0112,0,0.7031360771,0.0703136
0.0114,0,0.7156707866,0.0715671
0.0116,0,0.728204366,0.0728204
0.0118,0,0.7407367955,0.0740737
0.012,0,0.7532680553,0.0753268
0.0122,0,0.7657981255,0.0765798
0.0124,0,0.7783269865,0.0778327
0.0126,0,0.7908546183,0.0790855
0.0128,0,0.8033810013,0.0803381
0.013,0,0.8159061157,0.0815906
0.0132,0,0.8284299416,0.082843
