time,HeatCapacitor1.T,Capacitor1.v,R.i,HeatingDiode1.T_heatPort,HeatingDiode1.aux
2.340845868,293.8285525,0.5967556055,0.5967556055,293.8286962,-0.9232603782
2.374024793,293.8285633,0.5773280284,0.5773280284,293.8285643,-0.9232800532
2.408640574,293.8285634,0.5576857657,0.5576857657,293.8285634,-0.9232801952
2.46993522,293.8285634,0.5245291349,0.5245291349,293.8285634,-0.9232801927
2.608404396,293.8285634,0.45670227,0.45670227,293.8285634,-0.9232801827
2.854273173,293.8285635,0.3571524349,0.3571524349,293.8285636,-0.9232801639
2.925232325,293.8285636,0.332687446,0.332687446,293.8285636,-0.9232801621
2.981990724,293.8285636,0.3143305007,0.3143305007,293.8285636,-0.9232801622
3.029791295,293.8285636,0.2996587577,0.2996587577,293.8285636,-0.9232801632
3.067464197,293.8285636,0.2885798387,0.2885798387,293.8285642,-0.9232800772
3.092698206,293.8285785,0.2814518193,0.2814518193,293.8289836,-0.9232174992
3.108206724,293.8291649,0.2788992782,0.2788992782,293.8422018,-0.9212454671
3.115628611,293.8312787,0.2825382603,0.2825382603,293.8815797,-0.9153717206
3.123050498,293.836848,0.2945138184,0.2945138184,293.9341713,-0.9075293977
3.137032966,293.8546104,0.3327224898,0.3327224898,294.0042564,-0.8970828653
3.151563856,293.8780312,0.381968858,0.381968858,294.0461273,-0.8908441826
3.172117947,293.9123332,0.4527544275,0.4527544275,294.0737213,-0.8867336896
3.192672039,293.9432625,0.5154612549,0.5154612549,294.0812127,-0.8856178877
3.216519798,293.9721187,0.5722270414,0.5722270414,294.0754707,-0.8864731226
3.242001982,293.9934696,0.6108034546,0.6108034546,294.0576387,-0.8891293156
3.263440988,294.0038157,0.6246994006,0.6246994006,294.0374998,-0.8921295129
3.284879994,294.0087624,0.6248961123,0.6248961123,294.0228061,-0.894318778
3.301348256,294.0103109,0.6191707361,0.6191707361,294.0158703,-0.8953522432
3.322892398,294.0109132,0.6078584459,0.6078584459,294.0119132,-0.8959418861
3.348326934,294.0110024,0.5929173893,0.5929173893,294.0110575,-0.8960693978
3.379564412,294.0110063,0.5747010502,0.5747010502,294.0110066,-0.8960769741
3.417607267,294.0110063,0.5532486143,0.5532486143,294.0110063,-0.8960770235
3.484406329,294.0110063,0.5174993996,0.5174993996,294.0110063,-0.8960770205
3.658694235,294.0110064,0.4347278983,0.4347278983,294.0110064,-0.8960770063
3.92209507,294.0110065,0.3340595284,0.3340595284,294.0110065,-0.8960769898
3.993016486,294.0110065,0.3111881471,0.3111881471,294.0110065,-0.89607699
4.048712312,294.0110065,0.2943300633,0.2943300633,294.0110065,-0.8960769915
4.072455427,294.0110066,0.2874246582,0.2874246582,294.011009,-0.8960766271
4.09803199,294.0110617,0.2803730502,0.2803730502,294.0124879,-0.8958562529
4.10912718,294.0117435,0.2793024048,0.2793024048,294.027573,-0.8936085196
4.11695167,294.0144717,0.284397368,0.284397368,294.0748056,-0.8865722133
4.124776161,294.0211506,0.2988869427,0.2988869427,294.1286868,-0.8785481595
4.139569819,294.0412241,0.3420473698,0.3420473698,294.1973819,-0.8683223061
4.155726011,294.0679176,0.398135015,0.398135015,294.2372261,-0.8623933466
4.175137957,294.1000057,0.4644001945,0.4644001945,294.2581515,-0.8592802184
4.195619991,294.1299694,0.5251795213,0.5251795213,294.2630851,-0.8585462923
4.218981967,294.1571116,0.5783984828,0.5783984828,294.255822,-0.8596267556
4.244229976,294.1771391,0.6140294345,0.6140294345,294.237075,-0.8624158196
4.264244473,294.1862264,0.6255946492,0.6255946492,294.2186458,-0.8651579692
4.278284492,294.18979,0.6265671706,0.6265671706,294.2087571,-0.8666294799
4.295018462,294.191985,0.622389972,0.622389972,294.200176,-0.8679064895
4.312172102,294.1928372,0.6143833087,0.6143833087,294.1953704,-0.8686216731
4.333621398,294.1930822,0.6021654374,0.6021654374,294.1934141,-0.8689128241
4.376056371,294.1931097,0.5772572447,0.5772572447,294.1931106,-0.8689579964
4.404244525,294.1931098,0.5612129539,0.5612129539,294.1931098,-0.8689581155
4.469258394,294.1931098,0.5258870844,0.5258870844,294.1931098,-0.8689581129
4.5881294,294.1931098,0.4669468402,0.4669468402,294.1931098,-0.8689581041
4.823048968,294.1931099,0.3691841681,0.3691841681,294.19311,-0.868958084
5,294.19311,0.3093101133,0.3093101133,294.19311,-0.8689580809
