time,C3.vˍt,C1.i,L2.i,L1.i,C5.v,C4.v,C2.v,C5.i,R1.i,R2.i
16.35499803,0.02001212653,-0.02579702173,0.4498759743,0.5337729266,0.5074688844,-0.04601226456,0.04219493767,-0.01898381696,0.4963484425,0.5074688844
17.14366906,0.03559257295,-0.01948386664,0.4264529495,0.5474233893,0.4882563714,-0.003679237042,0.00166738986,-0.01488373672,0.5137554758,0.4882563714
17.9323401,0.03191305229,-0.00427763324,0.4419050117,0.5365513623,0.4775697679,0.03487060342,-0.03524272441,-0.004167535465,0.5228023531,0.4775697679
18.72101113,0.01311586611,0.01140672115,0.4836573312,0.5091851805,0.4793893948,0.05148779446,-0.05081611081,0.007081918778,0.5199389215,0.4793893948
19.51431151,-0.009911733429,0.01986247994,0.5282452291,0.4803839208,0.4911930173,0.04080466955,-0.03974665405,0.01336500556,0.5077489672,0.4911930173
20.30761189,-0.02524187558,0.01764674033,0.5532098568,0.464575527,0.5058280318,0.0114087075,-0.0104604342,0.01220575754,0.4932236949,0.5058280318
21.10431577,-0.0262441253,0.007019018268,0.5486808134,0.4680340525,0.5157058828,-0.01999083784,0.02058137104,0.005121301638,0.483703584,0.5157058828
21.90101966,-0.01411049798,-0.005789085834,0.520507149,0.4868247052,0.5164616975,-0.03749446195,0.03769937051,-0.003605360218,0.4833333939,0.5164616975
22.70961168,0.003774525287,-0.0142587682,0.4851886719,0.5101113122,0.5087305172,-0.03398011635,0.03390163279,-0.009472534091,0.4913479664,0.5087305172
23.52554504,0.01757658653,-0.01441898353,0.461782037,0.5254246858,0.4973902079,-0.01334541264,0.01313451469,-0.009714352943,0.50282069,0.4973902079
24.3414784,0.02053151902,-0.007131500444,0.4611882516,0.5256771167,0.4888404449,0.01157954024,-0.01179440383,-0.004868540713,0.5113744187,0.4888404449
25.15741176,0.0124827474,0.002906560012,0.4808087195,0.5126429168,0.4871752078,0.02732634077,-0.0274733116,0.001894014161,0.5129717631,0.4871752078
25.99882751,-0.001431195856,0.01030162488,0.5086923099,0.4942170232,0.4926284236,0.02663079337,-0.02669047952,0.006908485482,0.5074312625,0.4926284236
26.84024326,-0.01274436655,0.01109814234,0.5281747104,0.4813738182,0.5014279689,0.01142057331,-0.01141356173,0.007474932831,0.4985650195,0.5014279689
27.68165901,-0.01559945895,0.00572400844,0.5296688879,0.4804069131,0.5083055561,-0.008066191617,0.008105963521,0.003863397458,0.491654672,0.5083055561
28.52307477,-0.009537403878,-0.002073643843,0.5147033225,0.490288895,0.509735517,-0.02058779766,0.0206313354,-0.001399014655,0.4902209452,0.509735517
29.38736367,0.001242310132,-0.007801434813,0.4930941802,0.504542254,0.5054760459,-0.02000053761,0.02003120249,-0.005270887422,0.4944932893,0.5054760459
30.25212334,0.009865584322,-0.008272242634,0.4783438989,0.5142690581,0.4986275748,-0.0079729221,0.007986754951,-0.005590652613,0.5013585924,0.4986275748
31.11688301,0.01165179283,-0.003918827574,0.4780409762,0.5144730639,0.4934830187,0.007036850399,-0.007035982062,-0.002646393767,0.5065161129,0.4934830187
31.98164268,0.006489273004,0.002104494558,0.4904253666,0.5063167202,0.4927787584,0.01598352044,-0.01598949377,0.001429004747,0.5072272149,0.4927787584
32.87589008,-0.001987137813,0.006175121541,0.5071601889,0.4952929471,0.4964959528,0.01430290252,-0.01431073153,0.004183167678,0.5035118762,0.4964959528
33.77013748,-0.008074612546,0.005902548871,0.5172002052,0.4886771581,0.5018443507,0.004100787923,-0.004107464104,0.003996924235,0.4981623255,0.5018443507
34.66438489,-0.008378391591,0.002055495056,0.5153261927,0.4899072758,0.50532547,-0.007200641602,0.00719634215,0.001390318954,0.4946788294,0.50532547
35.55863229,-0.003512797414,-0.002516669286,0.5043322292,0.4971440523,0.505066903,-0.01253271363,0.01253105687,-0.001706954686,0.4949347538,0.505066903
36.48562375,0.003032584749,-0.004939779286,0.4918515431,0.5053615043,0.501593088,-0.009211054349,0.009211841931,-0.003347991893,0.4984061244,0.501593088
37.41261521,0.006661406112,-0.003790156992,0.486476343,0.5089019261,0.497575814,-0.0003495975129,0.0003520012691,-0.002568359826,0.5024217823,0.497575814
38.33960666,0.005421234501,-0.0003298233323,0.4907005235,0.5061224931,0.4957158614,0.007472922617,-0.007470158356,-0.0002231802115,0.5042813743,0.4957158614
39.26659812,0.0008183566466,0.002850889175,0.5003929382,0.4997423696,0.4969192098,0.009296967094,-0.009295109167,0.001932357495,0.5030789323,0.4969192098
40.23145536,-0.003791841837,0.00369053575,0.5086477008,0.4943079106,0.5000929002,0.004517307511,-0.004517129483,0.002501363848,0.4999069218,0.5000929002
41.1963126,-0.005057571948,0.001816283918,0.509610548,0.4936734926,0.5027303283,-0.002722095829,0.002720836547,0.001231154702,0.4972709309,0.5027303283
42.16116984,-0.002587233479,-0.00105410435,0.5036882278,0.4975717987,0.5030608621,-0.006977363752,0.006975688413,-0.0007142178518,0.4969408132,0.5030608621
43.15717694,0.001446501369,-0.002778253226,0.4958526578,0.5027299511,0.5011145346,-0.005582314876,0.005581354908,-0.001882871403,0.4988864253,0.5011145346
44.15318404,0.003789961237,-0.002176426688,0.4922933696,0.505073238,0.4986383293,-0.0002564443247,0.0002566854478,-0.001475187853,0.5013614296,0.4986383293
45.14919113,0.002961777841,-5.085411558e-05,0.4949990663,0.5032922453,0.4975514162,0.004445860418,-0.004444831128,-3.471784526e-05,0.5024475545,0.4975514162
46.14519823,6.146274912e-05,0.001787654582,0.5010037107,0.4993393814,0.4984483274,0.005129132894,-0.005128195054,0.00121137246,0.5015507348,0.4984483274
47.18633175,-0.002509526405,0.001986072784,0.5054402933,0.4964186386,0.500444376,0.001704299822,-0.00170414495,0.001346043728,0.4995554691,0.500444376
48.22746527,-0.002656837834,0.0005586355409,0.5048036522,0.4968376219,0.5017659904,-0.002543477736,0.00254288027,0.000378782366,0.4982346071,0.5017659904
49.26859878,-0.000647993629,-0.001090037298,0.5004123424,0.4997284356,0.5014596356,-0.004073427392,0.004072692003,-0.0007385732994,0.4985410998,0.5014596356
50.36818985,0.001648410565,-0.001585050362,0.4962528487,0.5024667579,0.4999434256,-0.001909240197,0.001909015844,-0.001074203113,0.5000567987,0.4999434256
51.46778091,0.002105092991,-0.0005976938179,0.4960979298,0.5025688494,0.4987308624,0.001578630955,-0.001578238922,-0.0004051893746,0.5012687456,0.4987308624
52.56737198,0.0006266371115,0.0007522047745,0.4994143309,0.5003856529,0.4988417929,0.003089035899,-0.003088483878,0.0005096537957,0.5011576551,0.4988417929
53.72430535,-0.001223596789,0.001201115078,0.5027966663,0.4981589515,0.5000214033,0.001486324885,-0.001486156678,0.0008139999735,0.4999784285,0.5000214033
54.88123872,-0.00157046562,0.0004138913276,0.5028912445,0.4980965999,0.5009736754,-0.001267845219,0.001267535,0.0002805912422,0.4990266348,0.5009736754
56.0381721,-0.0003431515275,-0.0006342321092,0.5001830648,0.4998794082,0.5008207782,-0.002317604753,0.002317200681,-0.0004297393001,0.4991796259,0.5008207782
57.26017065,0.001046252016,-0.0008704681967,0.4977056087,0.501510411,0.4998503362,-0.0008300441123,0.0008299763266,-0.0005899323275,0.5001497316,0.4998503362
58.4821692,0.001073658702,-0.0001428960471,0.4981101041,0.5012441944,0.4992168203,0.001261173984,-0.001260895242,-9.691729799e-05,0.5007829009,0.4992168203
59.70416774,-3.911500862e-05,0.0006017817376,0.5004382248,0.4997115642,0.4995279803,0.001633937921,-0.001633671424,0.0004077826795,0.5004717532,0.4995279803
60,-0.0003249956804,0.0006766167659,0.5009642196,0.4993652847,0.4997056504,0.001401714003,-0.001401504753,0.0004585158535,0.5002941403,0.4997056504
