time,openTank2.H_ref,openTank2.H_sim,openTank2.H_relerr
0.0381,47.02118041,300.3734306,1.64232
0.0384,47.15016653,300.4070279,1.64171
0.0387,47.27899799,300.4404654,1.64109
0.039,47.40767499,300.4737553,1.64047
0.0393,47.5361977,300.506718,1.63985
0.0396,47.66456633,300.5393367,1.63923
0.0399,47.79278107,300.5717803,1.63861
0.0402,47.9208421,300.6040451,1.63799
0.0405,48.04874961,300.6361278,1.63737
0.0408,48.1765038,300.6680253,1.63674
0.0411,48.30410485,300.699735,1.63612
0.0414,48.43155297,300.7312545,1.6355
0.0417,48.55884832,300.7625819,1.63488
0.042,48.68599112,300.7937157,1.63426
0.0423,48.81298154,300.8246544,1.63363
0.0426,48.93981978,300.8553973,1.63301
0.0429,49.06650582,300.8859437,1.63239
0.0432,49.1930392,300.9162935,1.63176
0.0435,49.31942082,300.9464468,1.63114
0.0438,49.44565088,300.9764041,1.63052
0.0441,49.57172956,301.0061664,1.62989
0.0444,49.69765705,301.0357347,1.62927
0.0447,49.82343352,301.0651107,1.62864
0.045,49.94905917,301.0942962,1.62802
0.0453,50.07453418,301.1232936,1.62739
0.0456,50.19985873,301.1521054,1.62677
0.0459,50.32503301,301.1807347,1.62614
0.0462,50.4500572,301.2091847,1.62551
0.0465,50.57493149,301.2374591,1.62489
0.0468,50.69965607,301.265562,1.62426
0.0471,50.8242311,301.2934977,1.62364
0.0474,50.94865679,301.321271,1.62301
0.0477,51.07293332,301.348887,1.62238
0.048,51.19706086,301.376351,1.62176
0.0483,51.32103962,301.4036689,1.62113
0.0486,51.44486976,301.4308469,1.6205
0.0489,51.56855147,301.4578914,1.61988
0.0492,51.69208495,301.4848092,1.61925
0.0495,51.81547036,301.5116076,1.61862
0.0498,51.93870718,301.5382942,1.618
0.0501,52.06179608,301.5648767,1.61737
0.0504,52.18473736,301.5913636,1.61675
0.0507,52.30753119,301.6175384,1.61612
0.051,52.43017777,301.6434648,1.61549
0.0513,52.55267726,301.669269,1.61487
0.0516,52.67502985,301.6949485,1.61424
0.0519,52.79723573,301.7205011,1.61361
0.0522,52.91929505,301.7459246,1.61299
0.0525,53.04120802,301.7712172,1.61236
0.0528,53.16297481,301.7963772,1.61173
0.0531,53.28459559,301.8214031,1.61111
0.0534,53.40607055,301.8462936,1.61048
0.0537,53.52739986,301.8710475,1.60986
0.054,53.64858372,301.8956639,1.60923
0.0543,53.76962229,301.9201421,1.6086
0.0546,53.89051575,301.9444814,1.60798
0.0549,54.0112643,301.9686815,1.60735
0.0552,54.13186809,301.9927423,1.60673
0.0555,54.25232733,302.0166636,1.6061
0.0558,54.37264218,302.0404457,1.60548
0.0561,54.49281282,302.064089,1.60485
0.0564,54.61283905,302.087594,1.60422
0.0567,54.73272095,302.1109615,1.6036
0.057,54.85245906,302.1341923,1.60297
0.0573,54.97205358,302.1572876,1.60235
0.0576,55.09150467,302.1802488,1.60172
0.0579,55.2108125,302.2030773,1.6011
0.0582,55.32997727,302.2257748,1.60047
0.0585,55.44899913,302.2483432,1.59985
0.0588,55.56787826,302.2707845,1.59922
0.0591,55.68661484,302.2931009,1.5986
0.0594,55.80520905,302.315295,1.59797
0.0597,55.92366106,302.3373694,1.59735
0.06,56.04197104,302.3593268,1.59672
0.0603,56.16013917,302.3811702,1.5961
0.0606,56.27816563,302.4029029,1.59547
0.0609,56.39605058,302.4245282,1.59485
0.0612,56.51379421,302.4460497,1.59422
0.0615,56.63139669,302.467471,1.5936
0.0618,56.7488582,302.4887963,1.59298
0.0621,56.86617891,302.5100295,1.59236
0.0624,56.98335899,302.531175,1.59173
0.0627,57.10039862,302.5522373,1.59111
0.063,57.21729791,302.5732211,1.59049
0.0633,57.33405657,302.5941312,1.58987
0.0636,57.45067521,302.6149728,1.58925
0.0639,57.567154,302.635751,1.58863
0.0642,57.6834931,302.6563558,1.58801
0.0645,57.79969268,302.6766838,1.58738
0.0648,57.91575292,302.6969283,1.58676
0.0651,58.03167398,302.7170879,1.58614
0.0654,58.14745602,302.7371611,1.58552
0.0657,58.26309921,302.7571465,1.5849
0.066,58.37860373,302.7770429,1.58428
0.0663,58.49396973,302.7968492,1.58366
0.0666,58.60919739,302.8165642,1.58304
0.0669,58.72428686,302.836187,1.58242
0.0672,58.83923833,302.8557168,1.58181
0.0675,58.95405194,302.8751527,1.58119
0.0678,59.06872787,302.8944941,1.58057
0.0681,59.18326629,302.9137404,1.57995
0.0684,59.29766735,302.9328911,1.57933
0.0687,59.41193123,302.9519457,1.57872
0.069,59.52605808,302.9709041,1.5781
0.0693,59.64004809,302.9897659,1.57748
0.0696,59.75390139,303.008531,1.57687
0.0699,59.86761817,303.0271996,1.57625
0.0702,59.98119859,303.0457715,1.57564
0.0705,60.09464281,303.064247,1.57502
0.0708,60.20795099,303.0826263,1.5744
0.0711,60.32112331,303.1009099,1.57379
0.0714,60.43415991,303.1190981,1.57317
0.0717,60.54706097,303.1371915,1.57256
0.072,60.65982665,303.1551907,1.57195
0.0723,60.7724571,303.1730965,1.57133
0.0726,60.8849525,303.1909098,1.57072
0.0729,60.99731301,303.2086313,1.5701
