time,convection1.solid.T,pump.flowPort_a.h,pump.flowPort_b.h,pipe1.flowPort_b.h,pipe3.flowPort_b.h,prescribedHeatFlow2.port.T,pump.h,pipe1.heatPort.T,pipe2.T_q,pipe1.V_flow,pipe3.T,heatCapacitor1.T,pipe1.T,heatCapacitor2.T,pipe2.T
0,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,0.5158494966,293.15,293.15,293.15,293.15,293.15
1e-06,293.15005,293.15,293.15,293.15,293.15,293.1501,293.15,293.15,293.15,0.5158494994,293.15,293.15005,293.15,293.1501,293.15
2.404803805e-05,293.1512023,293.15,293.15,293.1500002,293.15,293.1524045,293.15,293.1500001,293.1500003,0.5158494994,293.15,293.1512023,293.1500001,293.1524045,293.1500003
0.0002545284186,293.1627103,293.15,293.15,293.150024,293.15,293.1754205,293.15,293.1500162,293.1500323,0.5158494994,293.15,293.1627103,293.1500162,293.1754205,293.1500323
0.002559332224,293.2763566,293.15,293.15,293.1523794,293.1500203,293.4027132,293.15,293.1516029,293.1532067,0.5158494994,293.1500203,293.2763566,293.1516029,293.4027132,293.1532067
0.01903746137,294.0216308,293.15,293.15,293.2653202,293.1572463,294.8932759,293.15,293.2276024,293.3055076,0.5158494994,293.1572463,294.0216308,293.2276024,294.8932759,293.3055076
0.04905590879,295.1537043,293.15,293.15,293.7619298,293.2468859,297.1578872,293.15,293.5610233,293.9759904,0.5158494994,293.2468859,295.1537043,293.5610233,297.1578872,293.9759904
0.08760836654,296.3428682,293.15,293.15,294.6568266,293.559702,299.5392025,293.15,294.1599462,295.1862396,0.5158494994,293.559702,296.3428682,294.1599462,299.5392025,295.1862396
0.1396379483,297.6788296,293.15,293.15,295.9722041,294.2943909,302.2223368,293.15,295.0367548,296.9689005,0.5158494994,294.2943909,297.6788296,295.0367548,302.2223368,296.9689005
0.208382053,299.1582699,293.15,293.15,297.6180364,295.5913508,305.2107102,293.15,296.1282897,299.2053219,0.5158494994,295.5913508,299.1582699,296.1282897,305.2107102,299.2053219
0.3032572654,300.8337443,293.15,293.15,299.5691309,297.5432796,308.6260937,293.15,297.4137824,301.8655975,0.5158494994,297.5432796,300.8337443,297.4137824,308.6260937,301.8655975
0.4332042254,302.6125287,293.15,293.15,301.6772226,299.9795496,312.3001336,293.15,298.7904446,304.7530079,0.5158494994,299.9795496,302.6125287,298.7904446,312.3001336,304.7530079
0.6015346651,304.2627243,293.15,293.15,303.6581336,302.4309569,315.7692104,293.15,300.0689393,307.4823248,0.5158494994,302.4309569,304.2627243,300.0689393,315.7692104,307.4823248
0.8349245566,305.726213,293.15,293.15,305.442951,304.6945483,318.9190807,293.15,301.2028522,309.9606638,0.5158494994,304.6945483,305.726213,301.2028522,318.9190807,309.9606638
1,306.3833356,293.15,293.15,306.2577243,305.7338458,320.3685035,293.15,301.7119922,311.101081,0.5158494994,305.7338458,306.3833356,301.7119922,320.3685035,311.101081
