time,eddyCurrentForce.s,mass.v,eddyCurrentForce.TheatPort,heatCapacitor.T,mass.s,eddyCurrentForce.lossPower
0,0,20,293.15,293.15,0,0
0.0007069180519,0.01413836104,20,293.15,293.15,0.01413836104,0
0.01096285218,0.2192570435,20,293.15,293.15,0.2192570435,0
0.08515101423,1.703020285,20,293.15,293.15,1.703020285,0
0.1242862383,2.485499318,19.96147527,293.9199665,293.9199665,2.485499318,94.46859345
0.1439137617,2.875785084,19.77194502,297.6853299,297.6853299,2.875785084,310.3144556
0.1815792663,3.601125896,18.47354703,322.5185277,322.5185277,3.601125896,1087.877174
0.1991669839,3.915317188,17.15625423,345.985995,345.985995,3.915317188,1588.021224
0.2079583786,4.062476193,16.31825389,360.0107946,360.0107946,4.062476193,1579.408542
0.213217865,4.146957064,15.80579172,368.2419736,368.2419736,4.146957064,1549.554923
0.2434914285,4.579948499,12.79400968,411.3103174,411.3103174,4.579948499,1267.961628
0.2612851335,4.792098849,11.0646672,431.9402219,431.9402219,4.792098849,1047.749913
0.2897329881,5.070086991,8.540091176,456.6866831,456.6866831,5.070086991,699.4342921
0.3181808427,5.281991704,6.432808406,472.4624212,472.4624212,5.281991704,425.3134209
0.3512693086,5.461935082,4.539593546,482.8486004,482.8486004,5.461935082,221.3751219
0.3878552294,5.59903773,3.048164038,488.5067164,488.5067164,5.59903773,102.1911549
0.4312486442,5.704109604,1.885120237,491.3754513,491.3754513,5.704109604,39.55032064
0.4773078645,5.772013523,1.127468979,492.5166994,492.5166994,5.772013523,14.21389602
0.5283458676,5.81585353,0.6367922279,492.9495531,492.9495531,5.81585353,4.542223564
0.5819335323,5.841509613,0.3493161644,493.0913015,493.0913015,5.841509613,1.367609194
0.6387651966,5.856192171,0.1847390396,493.1352513,493.1352513,5.856192171,0.3825780173
0.6977675843,5.864166407,0.09534592729,493.1477713,493.1477713,5.864166407,0.1019129003
0.7589685137,5.868388822,0.04801018825,493.1511646,493.1511646,5.868388822,0.02584030925
0.8220866516,5.870560811,0.02366072572,493.1520372,493.1520372,5.870560811,0.006276081288
0.8873221026,5.871655624,0.01138710962,493.1522524,493.1522524,5.871655624,0.001453649899
0.9551313849,5.872196424,0.005324361173,493.152303,493.152303,5.872196424,0.0003178102682
1,5.872384162,0.003219686453,493.152312,493.152312,5.872384162,0.0001162144378
