time,accelerate.v,accelerate.s
0,0,0
0.0001,0.0001,5e-09
0.002370488548,0.002370488548,2.809607979e-06
0.02507537403,0.02507537403,0.0003143871914
0.2521242289,0.2521242289,0.03178331339
1,1,0.5
