time,L2.i,L3.i,L1.i,L1.ICP.di,L2.ICP.di,C2.vinternal,C1.vinternal,L2.iinternal,L3.iinternal,L1.iinternal
0.002189544861,0.00217678984,0.07275555621,0.1595093588,139.8212241,0.5548801773,-0.02774619834,-1.42043074,0.00217678984,0.07275555621,0.1595093588
0.002263458855,0.002161450711,0.07722481046,0.1699882993,143.7108803,-0.8942574098,-0.03051627296,-1.474408236,0.002161450711,0.07722481046,0.1699882993
0.00233737285,0.002063749739,0.0817779548,0.1807521236,147.5303395,-1.5817681,-0.03345296744,-1.520138821,0.002063749739,0.0817779548,0.1807521236
0.002422668999,0.001940633322,0.08713532957,0.1935208576,151.851515,-1.088638604,-0.0370529869,-1.55918715,0.001940633322,0.08713532957,0.1935208576
0.002507965148,0.001904418083,0.09260139062,0.2066539729,156.0722594,0.3122382467,-0.04088365886,-1.588047412,0.001904418083,0.09260139062,0.2066539729
0.002593261297,0.001990510171,0.09817045123,0.2201423416,160.1790619,1.600243961,-0.04494950509,-1.616726443,0.001990510171,0.09817045123,0.2201423416
0.002678557447,0.00214915751,0.1038320344,0.2339757067,164.1602027,1.92086762,-0.04925469948,-1.653677929,0.00214915751,0.1038320344,0.2339757067
0.002783153026,0.00230529328,0.110881907,0.2513938778,168.8650302,0.8581488793,-0.05486604031,-1.711713833,0.00230529328,0.110881907,0.2513938778
0.002862241547,0.002325446583,0.1162789672,0.2648855718,172.2970795,-0.3298894997,-0.05935506311,-1.758228565,0.002325446583,0.1162789672,0.2648855718
0.002941330069,0.002264909414,0.1217264348,0.2786446211,175.6266297,-1.081676534,-0.06405833807,-1.79940853,0.002264909414,0.1217264348,0.2786446211
0.003024366133,0.002172583374,0.1274962911,0.2933693788,179.0140855,-0.9855106783,-0.06922901685,-1.832715996,0.002172583374,0.1274962911,0.2933693788
0.003121899084,0.002121799373,0.1343348725,0.3110173454,182.8457362,0.0442147349,-0.07560952188,-1.861108735,0.002121799373,0.1343348725,0.3110173454
0.003192925931,0.002155621893,0.139351845,0.324100133,185.5284614,0.8725147762,-0.08046644392,-1.879816858,0.002155621893,0.139351845,0.324100133
0.003273287406,0.002248704592,0.145058031,0.3391275836,188.4467631,1.32837642,-0.08617690445,-1.904518315,0.002248704592,0.145058031,0.3391275836
0.003359156344,0.002354814895,0.1511796649,0.3554381564,191.4233214,1.011572697,-0.09253240412,-1.937458189,0.002354814895,0.1511796649,0.3554381564
0.003446489969,0.002406428372,0.1574195946,0.3722825998,194.3012138,0.1252241407,-0.09926595981,-1.975097624,0.002406428372,0.1574195946,0.3722825998
0.003533823594,0.00237913756,0.163663523,0.3893719604,197.03291,-0.6813434071,-0.1062718114,-2.010507824,0.00237913756,0.163663523,0.3893719604
0.003621157219,0.002305859217,0.1699044192,0.4066936459,199.6218556,-0.8719418304,-0.1135499586,-2.038343061,0.002305859217,0.1699044192,0.4066936459
