time,springPlateB.s,springPlateA.s,spool.s,springPlateB.v,springPlateA.v,spool.v,outerContactB.s_rel,innerContactB.s_rel,innerContactA.s_rel,outerContactB.v_rel,friction.v_rel,outerContactA.v_rel
0.0007759276345,-0.06750997337,-0.09306071095,0.01473458707,4.01287705,0.04725508478,-0.01377445845,0.001509973369,0.0009945604433,0.000954701976,-4.01287705,-0.01377445845,0.04725508478
0.000776723165,-0.0675067805,-0.09306067332,0.01473457615,4.014060078,0.04733969953,-0.01367690615,0.001506780499,0.000991356651,0.0009547505238,-4.014060078,-0.01367690615,0.04733969953
0.0007784121014,-0.0675,-0.09306059321,0.0147345533,4.014864895,0.04752581758,-0.01336198742,0.0015,0.0009845532985,0.0009548534872,-4.014864895,-0.01336198742,0.04752581758
0.0007784121014,-0.0675,-0.09306059321,0.0147345533,4.014864895,0.04752581758,-0.01336198742,0.0015,0.0009845532985,0.0009548534872,-4.014864895,-0.01336198742,0.04752581758
0.0007831086143,-0.06748117203,-0.09306036865,0.01473449392,3.996054108,0.04813053737,-0.01174881129,0.00148117203,0.0009656659478,0.0009551374307,-3.996054108,-0.01174881129,0.04813053737
0.0007853916893,-0.06747207223,-0.09306025836,0.01473446837,3.974081732,0.04849439808,-0.01059407819,0.00147207223,0.0009565405981,0.0009552732707,-3.974081732,-0.01059407819,0.04849439808
0.0008010018644,-0.06741242909,-0.0930594714,0.01473439607,3.604973275,0.05299977123,0.002798732815,0.001412429094,0.0008968251649,0.0009561325334,-3.604973275,0.002798732815,0.05299977123
0.0008166120396,-0.0673613513,-0.09305857953,0.01473459191,2.88579003,0.06208390931,0.02313831704,0.001361351305,0.0008459432109,0.0009568285625,-2.88579003,0.02313831704,0.06208390931
0.0008361046801,-0.0673170053,-0.09305720684,0.01473532799,1.606658923,0.07979430515,0.05262667098,0.001317005304,0.000802333295,0.0009574651722,-1.606658923,0.05262667098,0.07979430515
0.0008435478575,-0.06730712555,-0.09305658295,0.01473576134,1.043236559,0.08793827234,0.06373736126,0.001307125546,0.0007928868869,0.0009576557139,-1.043236559,0.06373736126,0.08793827234
0.0008469548559,-0.06730402226,-0.09305627674,0.01473598678,0.7795550043,0.09182081224,0.06845494225,0.001304022257,0.0007900090324,0.0009577364805,-0.7795550043,0.06845494225,0.09182081224
0.0008486627165,-0.06730279783,-0.09305611826,0.01473610532,0.6560187046,0.093776841,0.07030535502,0.001302797832,0.0007889031558,0.0009577764211,-0.6560187046,0.07030535502,0.093776841
0.0008566701485,-0.06729950597,-0.09305533169,0.01473668954,0.1961342452,0.1025094842,0.07452769613,0.001299505969,0.0007861955135,0.0009579787686,-0.1961342452,0.07452769613,0.1025094842
0.0008632626862,-0.06729912921,-0.09305463511,0.01473718081,-0.0674218795,0.1086093052,0.07404974473,0.001299129215,0.0007863100237,0.000958184083,0.0674218795,0.07404974473,0.1086093052
0.0008713935327,-0.06730065384,-0.09305372752,0.01473777018,-0.2920398264,0.1142746576,0.07050992663,0.001300653844,0.0007884240279,0.0009585022998,0.2920398264,0.07050992663,0.1142746576
0.0008807368693,-0.06730421063,-0.09305263981,0.014738401,-0.4556411084,0.1180772505,0.06426384914,0.001304210633,0.0007926116349,0.0009589591844,0.4556411084,0.06426384914,0.1180772505
