time,controlBus.integerSignal,controlBus.booleanSignal,controlBus.realSignal1,controlBus.subControlBus.myBooleanSignal,controlBus.subControlBus.myRealSignal
0,2,0,0,0,0
0.004008016032,2,0,0.02518044572,0,0.004008016032
0.008016032064,2,0,0.05034492313,0,0.008016032064
0.0120240481,2,0,0.07547747403,0,0.0120240481
0.01603206413,2,0,0.1005621605,0,0.01603206413
0.02004008016,2,0,0.1255830749,0,0.02004008016
0.02404809619,2,0,0.1505243501,0,0.02404809619
0.02805611222,2,0,0.1753701695,0,0.02805611222
0.03206412826,2,0,0.200104777,0,0.03206412826
0.03607214429,2,0,0.224712487,0,0.03607214429
0.04008016032,2,0,0.2491776943,0,0.04008016032
0.04408817635,2,0,0.2734848842,0,0.04408817635
0.04809619238,2,0,0.2976186422,0,0.04809619238
0.05210420842,2,0,0.3215636638,0,0.05210420842
0.05611222445,2,0,0.345304764,0,0.05611222445
0.06012024048,2,0,0.3688268874,0,0.06012024048
0.06412825651,2,0,0.3921151172,0,0.06412825651
0.06813627255,2,0,0.4151546851,0,0.06813627255
0.07214428858,2,0,0.4379309804,0,0.07214428858
0.07615230461,2,0,0.4604295594,0,0.07615230461
0.08016032064,2,0,0.4826361545,0,0.08016032064
0.08416833667,2,0,0.5045366834,0,0.08416833667
0.08817635271,2,0,0.5261172575,0,0.08817635271
0.09218436874,2,0,0.5473641916,0,0.09218436874
0.09619238477,2,0,0.5682640117,0,0.09619238477
0.1002004008,2,0,0.5888034642,0,0.1002004008
0.1042084168,2,0,0.6089695237,0,0.1042084168
0.1082164329,2,0,0.628749402,0,0.1082164329
0.1122244489,2,0,0.6481305554,0,0.1122244489
0.1162324649,2,0,0.6671006933,0,0.1162324649
0.120240481,2,0,0.6856477858,0,0.120240481
0.124248497,2,0,0.703760071,0,0.124248497
0.128256513,2,0,0.721426063,0,0.128256513
0.1322645291,2,0,0.7386345587,0,0.1322645291
0.1362725451,2,0,0.7553746454,0,0.1362725451
0.1402805611,2,0,0.7716357072,0,0.1402805611
0.1442885772,2,0,0.787407432,0,0.1442885772
0.1482965932,2,0,0.8026798182,0,0.1482965932
0.1523046092,2,0,0.8174431806,0,0.1523046092
0.1563126253,2,0,0.8316881571,0,0.1563126253
0.1603206413,2,0,0.845405714,0,0.1603206413
0.1643286573,2,0,0.8585871523,0,0.1643286573
0.1683366733,2,0,0.871224113,0,0.1683366733
0.1723446894,2,0,0.8833085822,0,0.1723446894
0.1763527054,2,0,0.8948328965,0,0.1763527054
0.1803607214,2,0,0.9057897477,0,0.1803607214
0.1843687375,2,0,0.9161721875,0,0.1843687375
0.1883767535,2,0,0.9259736317,0,0.1883767535
0.1923847695,2,0,0.9351878648,0,0.1923847695
0.1963927856,2,0,0.9438090435,0,0.1963927856
0.2004008016,2,0,0.9518317005,0,0.2004008016
0.2044088176,2,0,0.9592507484,0,0.2044088176
0.2084168337,2,0,0.9660614823,0,0.2084168337
0.2124248497,2,0,0.972259583,0,0.2124248497
0.2164328657,2,0,0.9778411201,0,0.2164328657
0.2204408818,2,0,0.982802554,0,0.2204408818
0.2244488978,2,0,0.9871407384,0,0.2244488978
0.2284569138,2,0,0.9908529221,0,0.2284569138
0.2324649299,2,0,0.9939367511,0,0.2324649299
0.2364729459,2,0,0.9963902698,0,0.2364729459
0.2404809619,2,0,0.9982119222,0,0.2404809619
0.244488978,2,0,0.9994005532,0,0.244488978
0.248496994,2,0,0.9999554089,0,0.248496994
0.25250501,2,0,0.9998761375,0,0.25250501
0.2565130261,2,0,0.9991627893,0,0.2565130261
0.2605210421,2,0,0.9978158166,0,0.2605210421
0.2645290581,2,0,0.9958360737,0,0.2645290581
0.2685370741,2,0,0.9932248159,0,0.2685370741
0.2725450902,2,0,0.9899836993,0,0.2725450902
0.2765531062,2,0,0.9861147791,0,0.2765531062
0.2805611222,2,0,0.981620509,0,0.2805611222
0.2845691383,2,0,0.976503739,0,0.2845691383
0.2885771543,2,0,0.9707677138,0,0.2885771543
0.2925851703,2,0,0.9644160711,0,0.2925851703
0.2965931864,2,0,0.9574528387,0,0.2965931864
0.3006012024,2,0,0.9498824324,0,0.3006012024
0.3046092184,2,0,0.9417096531,0,0.3046092184
0.3086172345,2,0,0.9329396835,0,0.3086172345
0.3126252505,2,0,0.9235780853,0,0.3126252505
0.3166332665,2,0,0.913630795,0,0.3166332665
0.3206412826,2,0,0.9031041208,0,0.3206412826
0.3246492986,2,0,0.8920047382,0,0.3246492986
0.3286573146,2,0,0.8803396861,0,0.3286573146
0.3326653307,2,0,0.8681163618,0,0.3326653307
0.3366733467,2,0,0.8553425169,0,0.3366733467
0.3406813627,2,0,0.8420262518,0,0.3406813627
0.3446893788,2,0,0.8281760113,0,0.3446893788
0.3486973948,2,0,0.8138005786,0,0.3486973948
0.3527054108,2,0,0.7989090698,0,0.3527054108
0.3567134269,2,0,0.7835109285,0,0.3567134269
0.3607214429,2,0,0.7676159195,0,0.3607214429
0.3647294589,2,0,0.7512341228,0,0.3647294589
0.3687374749,2,0,0.7343759269,0,0.3687374749
0.372745491,2,0,0.7170520225,0,0.372745491
0.376753507,2,0,0.6992733958,0,0.376753507
0.380761523,2,0,0.6810513211,0,0.380761523
0.3847695391,2,0,0.662397354,0,0.3847695391
0.3887775551,2,0,0.643323324,0,0.3887775551
0.3927855711,2,0,0.6238413271,0,0.3927855711
0.3967935872,2,0,0.6039637179,0,0.3967935872
0.4008016032,2,0,0.5837031018,0,0.4008016032
0.4048096192,2,0,0.5630723273,0,0.4048096192
0.4088176353,2,0,0.5420844774,0,0.4088176353
0.4128256513,2,0,0.5207528617,0,0.4128256513
0.4168336673,2,0,0.4990910078,0,0.4168336673
0.4208416834,2,0,0.4771126526,0,0.4208416834
0.4248496994,2,0,0.4548317339,0,0.4248496994
0.4288577154,2,0,0.4322623812,0,0.4288577154
0.4328657315,2,0,0.409418907,0,0.4328657315
0.4368737475,2,0,0.3863157975,0,0.4368737475
0.4408817635,2,0,0.3629677039,0,0.4408817635
0.4448897796,2,0,0.3393894323,0,0.4448897796
0.4488977956,2,0,0.315595935,0,0.4488977956
0.4529058116,2,0,0.2916023009,0,0.4529058116
0.4569138277,2,0,0.2674237456,0,0.4569138277
0.4609218437,2,0,0.2430756022,0,0.4609218437
0.4649298597,2,0,0.218573311,0,0.4649298597
0.4689378758,2,0,0.1939324104,0,0.4689378758
0.4729458918,2,0,0.1691685265,0,0.4729458918
0.4769539078,2,0,0.1442973634,0,0.4769539078
0.4809619238,2,0,0.1193346934,0,0.4809619238
0.4849699399,2,0,0.09429634672,0,0.4849699399
0.4889779559,2,0,0.06919820146,0,0.4889779559
0.4929859719,2,0,0.04405617379,0,0.4929859719
0.496993988,2,0,0.01888620765,0,0.496993988
0.501002004,3,1,-0.00629573527,1,0.501002004
0.50501002,3,1,-0.03147368572,1,0.50501002
0.5090180361,3,1,-0.05663167696,1,0.5090180361
0.5130260521,3,1,-0.08175375492,1,0.5130260521
0.5170340681,3,1,-0.1068239883,1,0.5170340681
0.5210420842,3,1,-0.1318264787,1,0.5210420842
0.5250501002,3,1,-0.1567453706,1,0.5250501002
0.5290581162,3,1,-0.1815648615,1,0.5290581162
0.5330661323,3,1,-0.2062692122,1,0.5330661323
0.5370741483,3,1,-0.2308427561,1,0.5370741483
0.5410821643,3,1,-0.2552699098,1,0.5410821643
0.5450901804,3,1,-0.2795351828,1,0.5450901804
0.5490981964,3,1,-0.303623187,1,0.5490981964
0.5531062124,3,1,-0.3275186469,1,0.5531062124
0.5571142285,3,1,-0.3512064091,1,0.5571142285
0.5611222445,3,1,-0.3746714519,1,0.5611222445
0.5651302605,3,1,-0.3978988947,1,0.5651302605
0.5691382766,3,1,-0.4208740078,1,0.5691382766
0.5731462926,3,1,-0.4435822215,1,0.5731462926
0.5771543086,3,1,-0.466009135,1,0.5771543086
0.5811623246,3,1,-0.4881405264,1,0.5811623246
0.5851703407,3,1,-0.5099623608,1,0.5851703407
0.5891783567,3,1,-0.5314607998,1,0.5891783567
0.5931863727,3,1,-0.5526222101,1,0.5931863727
0.5971943888,3,1,-0.5734331721,1,0.5971943888
0.6012024048,3,1,-0.5938804883,1,0.6012024048
0.6052104208,3,1,-0.613951192,1,0.6052104208
0.6092184369,3,1,-0.6336325553,1,0.6092184369
0.6132264529,3,1,-0.652912097,1,0.6132264529
0.6172344689,3,1,-0.6717775911,1,0.6172344689
0.621242485,3,1,-0.6902170737,1,0.621242485
0.625250501,3,1,-0.7082188515,1,0.625250501
0.629258517,3,1,-0.7257715085,1,0.629258517
0.6332665331,3,1,-0.7428639136,1,0.6332665331
0.6372745491,3,1,-0.7594852275,1,0.6372745491
0.6412825651,3,1,-0.7756249098,1,0.6412825651
0.6452905812,3,1,-0.7912727253,1,0.6452905812
0.6492985972,3,1,-0.806418751,1,0.6492985972
0.6533066132,3,1,-0.821053382,1,0.6533066132
0.6573146293,3,1,-0.8351673374,1,0.6573146293
0.6613226453,3,1,-0.8487516671,1,0.6613226453
0.6653306613,3,1,-0.8617977563,1,0.6653306613
0.6693386774,3,1,-0.8742973318,1,0.6693386774
0.6733466934,3,1,-0.8862424669,1,0.6733466934
0.6773547094,3,1,-0.8976255866,1,0.6773547094
0.6813627255,3,1,-0.9084394722,1,0.6813627255
0.6853707415,3,1,-0.918677266,1,0.6853707415
0.6893787575,3,1,-0.9283324757,1,0.6893787575
0.6933867735,3,1,-0.9373989784,1,0.6933867735
0.6973947896,3,1,-0.9458710244,1,0.6973947896
0.7014028056,3,1,-0.9537432412,1,0.7014028056
0.7054108216,3,1,-0.9610106366,1,0.7054108216
0.7094188377,3,1,-0.967668602,1,0.7094188377
0.7134268537,3,1,-0.9737129151,1,0.7134268537
0.7174348697,3,1,-0.9791397429,1,0.7174348697
0.7214428858,3,1,-0.983945644,1,0.7214428858
0.7254509018,3,1,-0.9881275706,1,0.7254509018
0.7294589178,3,1,-0.9916828708,1,0.7294589178
0.7334669339,3,1,-0.99460929,1,0.7334669339
0.7374749499,3,1,-0.9969049724,1,0.7374749499
0.7414829659,3,1,-0.9985684621,1,0.7414829659
0.745490982,3,1,-0.9995987042,1,0.745490982
0.749498998,3,1,-0.9999950454,1,0.749498998
0.753507014,3,1,-0.9997572344,1,0.753507014
0.7575150301,3,1,-0.9988854219,1,0.7575150301
0.7615230461,3,1,-0.9973801609,1,0.7615230461
0.7655310621,3,1,-0.9952424059,1,0.7655310621
0.7695390782,3,1,-0.9924735125,1,0.7695390782
0.7735470942,3,1,-0.9890752368,1,0.7735470942
0.7775551102,3,1,-0.9850497336,1,0.7775551102
0.7815631263,3,1,-0.9803995558,1,0.7815631263
0.7855711423,3,1,-0.9751276524,1,0.7855711423
0.7895791583,3,1,-0.9692373666,1,0.7895791583
0.7935871743,3,1,-0.9627324336,1,0.7935871743
0.7975951904,3,1,-0.9556169787,1,0.7975951904
0.8016032064,3,1,-0.9478955141,1,0.8016032064
0.8056112224,3,1,-0.9395729365,1,0.8056112224
0.8096192385,3,1,-0.9306545237,1,0.8096192385
0.8136272545,3,1,-0.9211459312,1,0.8136272545
0.8176352705,3,1,-0.9110531891,1,0.8176352705
0.8216432866,3,1,-0.9003826978,1,0.8216432866
0.8256513026,3,1,-0.8891412239,1,0.8256513026
0.8296593186,3,1,-0.8773358963,1,0.8296593186
0.8336673347,3,1,-0.8649742014,1,0.8336673347
