time,controlBus.integerSignal_ref,controlBus.integerSignal_sim,controlBus.integerSignal_relerr,controlBus.booleanSignal_ref,controlBus.booleanSignal_sim,controlBus.booleanSignal_relerr,controlBus.subControlBus.myBooleanSignal_ref,controlBus.subControlBus.myBooleanSignal_sim,controlBus.subControlBus.myBooleanSignal_relerr
0.0232,2,2,0,0,0,0,0,0,0
0.0236,2,2,0,0,0,0,0,0,0
0.024,2,2,0,0,0,0,0,0,0
0.0244,2,2,0,0,0,0,0,0,0
0.0248,2,2,0,0,0,0,0,0,0
0.0252,2,2,0,0,0,0,0,0,0
0.0256,2,2,0,0,0,0,0,0,0
0.026,2,2,0,0,0,0,0,0,0
0.0264,2,2,0,0,0,0,0,0,0
0.0268,2,2,0,0,0,0,0,0,0
0.0272,2,2,0,0,0,0,0,0,0
0.0276,2,2,0,0,0,0,0,0,0
0.028,2,2,0,0,0,0,0,0,0
0.0284,2,2,0,0,0,0,0,0,0
0.0288,2,2,0,0,0,0,0,0,0
0.0292,2,2,0,0,0,0,0,0,0
0.0296,2,2,0,0,0,0,0,0,0
0.03,2,2,0,0,0,0,0,0,0
0.0304,2,2,0,0,0,0,0,0,0
0.0308,2,2,0,0,0,0,0,0,0
0.0312,2,2,0,0,0,0,0,0,0
0.0316,2,2,0,0,0,0,0,0,0
0.032,2,2,0,0,0,0,0,0,0
0.0324,2,2,0,0,0,0,0,0,0
0.0328,2,2,0,0,0,0,0,0,0
0.0332,2,2,0,0,0,0,0,0,0
0.0336,2,2,0,0,0,0,0,0,0
0.034,2,2,0,0,0,0,0,0,0
0.0344,2,2,0,0,0,0,0,0,0
0.0348,2,2,0,0,0,0,0,0,0
0.0352,2,2,0,0,0,0,0,0,0
0.0356,2,2,0,0,0,0,0,0,0
0.036,2,2,0,0,0,0,0,0,0
0.0364,2,2,0,0,0,0,0,0,0
0.0368,2,2,0,0,0,0,0,0,0
0.0372,2,2,0,0,0,0,0,0,0
0.0376,2,2,0,0,0,0,0,0,0
0.038,2,2,0,0,0,0,0,0,0
0.0384,2,2,0,0,0,0,0,0,0
0.0388,2,2,0,0,0,0,0,0,0
0.0392,2,2,0,0,0,0,0,0,0
0.0396,2,2,0,0,0,0,0,0,0
0.04,2,2,0,0,0,0,0,0,0
0.0404,2,2,0,0,0,0,0,0,0
0.0408,2,2,0,0,0,0,0,0,0
0.0412,2,2,0,0,0,0,0,0,0
0.0416,2,2,0,0,0,0,0,0,0
0.042,2,2,0,0,0,0,0,0,0
0.0424,2,2,0,0,0,0,0,0,0
0.0428,2,2,0,0,0,0,0,0,0
0.0432,2,2,0,0,0,0,0,0,0
0.0436,2,2,0,0,0,0,0,0,0
0.044,2,2,0,0,0,0,0,0,0
0.0444,2,2,0,0,0,0,0,0,0
0.0448,2,2,0,0,0,0,0,0,0
0.0452,2,2,0,0,0,0,0,0,0
0.0456,2,2,0,0,0,0,0,0,0
0.046,2,2,0,0,0,0,0,0,0
0.0464,2,2,0,0,0,0,0,0,0
0.0468,2,2,0,0,0,0,0,0,0
0.0472,2,2,0,0,0,0,0,0,0
0.0476,2,2,0,0,0,0,0,0,0
0.048,2,2,0,0,0,0,0,0,0
0.0484,2,2,0,0,0,0,0,0,0
0.0488,2,2,0,0,0,0,0,0,0
0.0492,2,2,0,0,0,0,0,0,0
0.0496,2,2,0,0,0,0,0,0,0
0.05,2,2,0,0,0,0,0,0,0
0.0504,2,2,0,0,0,0,0,0,0
0.0508,2,2,0,0,0,0,0,0,0
0.0512,2,2,0,0,0,0,0,0,0
0.0516,2,2,0,0,0,0,0,0,0
0.052,2,2,0,0,0,0,0,0,0
0.0524,2,2,0,0,0,0,0,0,0
0.0528,2,2,0,0,0,0,0,0,0
0.0532,2,2,0,0,0,0,0,0,0
0.0536,2,2,0,0,0,0,0,0,0
0.054,2,2,0,0,0,0,0,0,0
0.0544,2,2,0,0,0,0,0,0,0
0.0548,2,2,0,0,0,0,0,0,0
0.0552,2,2,0,0,0,0,0,0,0
0.0556,2,2,0,0,0,0,0,0,0
0.056,2,2,0,0,0,0,0,0,0
0.0564,2,2,0,0,0,0,0,0,0
0.0568,2,2,0,0,0,0,0,0,0
0.0572,2,2,0,0,0,0,0,0,0
0.0576,2,2,0,0,0,0,0,0,0
0.058,2,2,0,0,0,0,0,0,0
0.0584,2,2,0,0,0,0,0,0,0
0.0588,2,2,0,0,0,0,0,0,0
0.0592,2,2,0,0,0,0,0,0,0
0.0596,2,2,0,0,0,0,0,0,0
0.06,2,2,0,0,0,0,0,0,0
0.0604,2,2,0,0,0,0,0,0,0
0.0608,2,2,0,0,0,0,0,0,0
0.0612,2,2,0,0,0,0,0,0,0
0.0616,2,2,0,0,0,0,0,0,0
0.062,2,2,0,0,0,0,0,0,0
0.0624,2,2,0,0,0,0,0,0,0
0.0628,2,2,0,0,0,0,0,0,0
0.0632,2,2,0,0,0,0,0,0,0
0.0636,2,2,0,0,0,0,0,0,0
0.064,2,2,0,0,0,0,0,0,0
0.0644,2,2,0,0,0,0,0,0,0
0.0648,2,2,0,0,0,0,0,0,0
0.0652,2,2,0,0,0,0,0,0,0
0.0656,2,2,0,0,0,0,0,0,0
0.066,2,2,0,0,0,0,0,0,0
0.0664,2,2,0,0,0,0,0,0,0
0.0668,2,2,0,0,0,0,0,0,0
0.0672,2,2,0,0,0,0,0,0,0
0.0676,2,2,0,0,0,0,0,0,0
0.068,2,2,0,0,0,0,0,0,0
0.0684,2,2,0,0,0,0,0,0,0
0.0688,2,2,0,0,0,0,0,0,0
0.0692,2,2,0,0,0,0,0,0,0
0.0696,2,2,0,0,0,0,0,0,0
0.07,2,2,0,0,0,0,0,0,0
0.0704,2,2,0,0,0,0,0,0,0
0.0708,2,2,0,0,0,0,0,0,0
0.0712,2,2,0,0,0,0,0,0,0
0.0716,2,2,0,0,0,0,0,0,0
0.072,2,2,0,0,0,0,0,0,0
0.0724,2,2,0,0,0,0,0,0,0
0.0728,2,2,0,0,0,0,0,0,0
0.0732,2,2,0,0,0,0,0,0,0
0.0736,2,2,0,0,0,0,0,0,0
0.074,2,2,0,0,0,0,0,0,0
0.0744,2,2,0,0,0,0,0,0,0
0.0748,2,2,0,0,0,0,0,0,0
0.0752,2,2,0,0,0,0,0,0,0
0.0756,2,2,0,0,0,0,0,0,0
0.076,2,2,0,0,0,0,0,0,0
0.0764,2,2,0,0,0,0,0,0,0
0.0768,2,2,0,0,0,0,0,0,0
0.0772,2,2,0,0,0,0,0,0,0
0.0776,2,2,0,0,0,0,0,0,0
0.078,2,2,0,0,0,0,0,0,0
0.0784,2,2,0,0,0,0,0,0,0
0.0788,2,2,0,0,0,0,0,0,0
0.0792,2,2,0,0,0,0,0,0,0
0.0796,2,2,0,0,0,0,0,0,0
0.08,2,2,0,0,0,0,0,0,0
0.0804,2,2,0,0,0,0,0,0,0
0.0808,2,2,0,0,0,0,0,0,0
0.0812,2,2,0,0,0,0,0,0,0
0.0816,2,2,0,0,0,0,0,0,0
0.082,2,2,0,0,0,0,0,0,0
0.0824,2,2,0,0,0,0,0,0,0
0.0828,2,2,0,0,0,0,0,0,0
0.0832,2,2,0,0,0,0,0,0,0
0.0836,2,2,0,0,0,0,0,0,0
0.084,2,2,0,0,0,0,0,0,0
0.0844,2,2,0,0,0,0,0,0,0
0.0848,2,2,0,0,0,0,0,0,0
0.0852,2,2,0,0,0,0,0,0,0
0.0856,2,2,0,0,0,0,0,0,0
0.086,2,2,0,0,0,0,0,0,0
0.0864,2,2,0,0,0,0,0,0,0
0.0868,2,2,0,0,0,0,0,0,0
0.0872,2,2,0,0,0,0,0,0,0
0.0876,2,2,0,0,0,0,0,0,0
0.088,2,2,0,0,0,0,0,0,0
0.0884,2,2,0,0,0,0,0,0,0
0.0888,2,2,0,0,0,0,0,0,0
0.0892,2,2,0,0,0,0,0,0,0
0.0896,2,2,0,0,0,0,0,0,0
0.09,2,2,0,0,0,0,0,0,0
0.0904,2,2,0,0,0,0,0,0,0
0.0908,2,2,0,0,0,0,0,0,0
0.0912,2,2,0,0,0,0,0,0,0
0.0916,2,2,0,0,0,0,0,0,0
0.092,2,2,0,0,0,0,0,0,0
0.0924,2,2,0,0,0,0,0,0,0
0.0928,2,2,0,0,0,0,0,0,0
0.0932,2,2,0,0,0,0,0,0,0
0.0936,2,2,0,0,0,0,0,0,0
0.094,2,2,0,0,0,0,0,0,0
0.0944,2,2,0,0,0,0,0,0,0
0.0948,2,2,0,0,0,0,0,0,0
0.0952,2,2,0,0,0,0,0,0,0
0.0956,2,2,0,0,0,0,0,0,0
0.096,2,2,0,0,0,0,0,0,0
0.0964,2,2,0,0,0,0,0,0,0
0.0968,2,2,0,0,0,0,0,0,0
0.0972,2,2,0,0,0,0,0,0,0
0.0976,2,2,0,0,0,0,0,0,0
0.098,2,2,0,0,0,0,0,0,0
0.0984,2,2,0,0,0,0,0,0,0
0.0988,2,2,0,0,0,0,0,0,0
0.0992,2,2,0,0,0,0,0,0,0
0.0996,2,2,0,0,0,0,0,0,0
0.1,2,2,0,0,0,0,0,0,0
0.1004,2,2,0,0,0,0,0,0,0
0.1008,2,2,0,0,0,0,0,0,0
0.1012,2,2,0,0,0,0,0,0,0
0.1016,2,2,0,0,0,0,0,0,0
0.102,2,2,0,0,0,0,0,0,0
0.1024,2,2,0,0,0,0,0,0,0
0.1028,2,2,0,0,0,0,0,0,0
0.1032,2,2,0,0,0,0,0,0,0
0.1036,2,2,0,0,0,0,0,0,0
0.104,2,2,0,0,0,0,0,0,0
0.1044,2,2,0,0,0,0,0,0,0
0.1048,2,2,0,0,0,0,0,0,0
0.1052,2,2,0,0,0,0,0,0,0
0.1056,2,2,0,0,0,0,0,0,0
0.106,2,2,0,0,0,0,0,0,0
0.1064,2,2,0,0,0,0,0,0,0
0.1068,2,2,0,0,0,0,0,0,0
0.1072,2,2,0,0,0,0,0,0,0
0.1076,2,2,0,0,0,0,0,0,0
0.108,2,2,0,0,0,0,0,0,0
0.1084,2,2,0,0,0,0,0,0,0
0.1088,2,2,0,0,0,0,0,0,0
0.1092,2,2,0,0,0,0,0,0,0
0.1096,2,2,0,0,0,0,0,0,0
0.11,2,2,0,0,0,0,0,0,0
0.1104,2,2,0,0,0,0,0,0,0
0.1108,2,2,0,0,0,0,0,0,0
0.1112,2,2,0,0,0,0,0,0,0
0.1116,2,2,0,0,0,0,0,0,0
0.112,2,2,0,0,0,0,0,0,0
0.1124,2,2,0,0,0,0,0,0,0
0.1128,2,2,0,0,0,0,0,0,0
0.1132,2,2,0,0,0,0,0,0,0
0.1136,2,2,0,0,0,0,0,0,0
0.114,2,2,0,0,0,0,0,0,0
0.1144,2,2,0,0,0,0,0,0,0
0.1148,2,2,0,0,0,0,0,0,0
0.1152,2,2,0,0,0,0,0,0,0
0.1156,2,2,0,0,0,0,0,0,0
0.116,2,2,0,0,0,0,0,0,0
0.1164,2,2,0,0,0,0,0,0,0
0.1168,2,2,0,0,0,0,0,0,0
0.1172,2,2,0,0,0,0,0,0,0
0.1176,2,2,0,0,0,0,0,0,0
0.118,2,2,0,0,0,0,0,0,0
0.1184,2,2,0,0,0,0,0,0,0
0.1188,2,2,0,0,0,0,0,0,0
0.1192,2,2,0,0,0,0,0,0,0
0.1196,2,2,0,0,0,0,0,0,0
0.12,2,2,0,0,0,0,0,0,0
0.1204,2,2,0,0,0,0,0,0,0
0.1208,2,2,0,0,0,0,0,0,0
0.1212,2,2,0,0,0,0,0,0,0
0.1216,2,2,0,0,0,0,0,0,0
0.122,2,2,0,0,0,0,0,0,0
0.1224,2,2,0,0,0,0,0,0,0
0.1228,2,2,0,0,0,0,0,0,0
0.1232,2,2,0,0,0,0,0,0,0
0.1236,2,2,0,0,0,0,0,0,0
0.124,2,2,0,0,0,0,0,0,0
0.1244,2,2,0,0,0,0,0,0,0
0.1248,2,2,0,0,0,0,0,0,0
0.1252,2,2,0,0,0,0,0,0,0
0.1256,2,2,0,0,0,0,0,0,0
0.126,2,2,0,0,0,0,0,0,0
0.1264,2,2,0,0,0,0,0,0,0
0.1268,2,2,0,0,0,0,0,0,0
0.1272,2,2,0,0,0,0,0,0,0
0.1276,2,2,0,0,0,0,0,0,0
0.128,2,2,0,0,0,0,0,0,0
0.1284,2,2,0,0,0,0,0,0,0
0.1288,2,2,0,0,0,0,0,0,0
0.1292,2,2,0,0,0,0,0,0,0
0.1296,2,2,0,0,0,0,0,0,0
0.13,2,2,0,0,0,0,0,0,0
0.1304,2,2,0,0,0,0,0,0,0
0.1308,2,2,0,0,0,0,0,0,0
0.1312,2,2,0,0,0,0,0,0,0
0.1316,2,2,0,0,0,0,0,0,0
0.132,2,2,0,0,0,0,0,0,0
0.1324,2,2,0,0,0,0,0,0,0
0.1328,2,2,0,0,0,0,0,0,0
0.1332,2,2,0,0,0,0,0,0,0
0.1336,2,2,0,0,0,0,0,0,0
0.134,2,2,0,0,0,0,0,0,0
0.1344,2,2,0,0,0,0,0,0,0
0.1348,2,2,0,0,0,0,0,0,0
0.1352,2,2,0,0,0,0,0,0,0
0.1356,2,2,0,0,0,0,0,0,0
0.136,2,2,0,0,0,0,0,0,0
0.1364,2,2,0,0,0,0,0,0,0
0.1368,2,2,0,0,0,0,0,0,0
0.1372,2,2,0,0,0,0,0,0,0
0.1376,2,2,0,0,0,0,0,0,0
0.138,2,2,0,0,0,0,0,0,0
0.1384,2,2,0,0,0,0,0,0,0
0.1388,2,2,0,0,0,0,0,0,0
0.1392,2,2,0,0,0,0,0,0,0
0.1396,2,2,0,0,0,0,0,0,0
0.14,2,2,0,0,0,0,0,0,0
0.1404,2,2,0,0,0,0,0,0,0
0.1408,2,2,0,0,0,0,0,0,0
0.1412,2,2,0,0,0,0,0,0,0
0.1416,2,2,0,0,0,0,0,0,0
0.142,2,2,0,0,0,0,0,0,0
0.1424,2,2,0,0,0,0,0,0,0
0.1428,2,2,0,0,0,0,0,0,0
0.1432,2,2,0,0,0,0,0,0,0
0.1436,2,2,0,0,0,0,0,0,0
0.144,2,2,0,0,0,0,0,0,0
0.1444,2,2,0,0,0,0,0,0,0
0.1448,2,2,0,0,0,0,0,0,0
0.1452,2,2,0,0,0,0,0,0,0
0.1456,2,2,0,0,0,0,0,0,0
0.146,2,2,0,0,0,0,0,0,0
0.1464,2,2,0,0,0,0,0,0,0
0.1468,2,2,0,0,0,0,0,0,0
0.1472,2,2,0,0,0,0,0,0,0
0.1476,2,2,0,0,0,0,0,0,0
0.148,2,2,0,0,0,0,0,0,0
0.1484,2,2,0,0,0,0,0,0,0
0.1488,2,2,0,0,0,0,0,0,0
0.1492,2,2,0,0,0,0,0,0,0
0.1496,2,2,0,0,0,0,0,0,0
0.15,2,2,0,0,0,0,0,0,0
0.1504,2,2,0,0,0,0,0,0,0
0.1508,2,2,0,0,0,0,0,0,0
0.1512,2,2,0,0,0,0,0,0,0
0.1516,2,2,0,0,0,0,0,0,0
0.152,2,2,0,0,0,0,0,0,0
0.1524,2,2,0,0,0,0,0,0,0
0.1528,2,2,0,0,0,0,0,0,0
0.1532,2,2,0,0,0,0,0,0,0
0.1536,2,2,0,0,0,0,0,0,0
0.154,2,2,0,0,0,0,0,0,0
0.1544,2,2,0,0,0,0,0,0,0
0.1548,2,2,0,0,0,0,0,0,0
0.1552,2,2,0,0,0,0,0,0,0
0.1556,2,2,0,0,0,0,0,0,0
0.156,2,2,0,0,0,0,0,0,0
0.1564,2,2,0,0,0,0,0,0,0
0.1568,2,2,0,0,0,0,0,0,0
0.1572,2,2,0,0,0,0,0,0,0
0.1576,2,2,0,0,0,0,0,0,0
0.158,2,2,0,0,0,0,0,0,0
0.1584,2,2,0,0,0,0,0,0,0
0.1588,2,2,0,0,0,0,0,0,0
0.1592,2,2,0,0,0,0,0,0,0
0.1596,2,2,0,0,0,0,0,0,0
0.16,2,2,0,0,0,0,0,0,0
0.1604,2,2,0,0,0,0,0,0,0
0.1608,2,2,0,0,0,0,0,0,0
0.1612,2,2,0,0,0,0,0,0,0
0.1616,2,2,0,0,0,0,0,0,0
0.162,2,2,0,0,0,0,0,0,0
0.1624,2,2,0,0,0,0,0,0,0
0.1628,2,2,0,0,0,0,0,0,0
0.1632,2,2,0,0,0,0,0,0,0
0.1636,2,2,0,0,0,0,0,0,0
0.164,2,2,0,0,0,0,0,0,0
0.1644,2,2,0,0,0,0,0,0,0
0.1648,2,2,0,0,0,0,0,0,0
0.1652,2,2,0,0,0,0,0,0,0
0.1656,2,2,0,0,0,0,0,0,0
0.166,2,2,0,0,0,0,0,0,0
0.1664,2,2,0,0,0,0,0,0,0
0.1668,2,2,0,0,0,0,0,0,0
0.1672,2,2,0,0,0,0,0,0,0
0.1676,2,2,0,0,0,0,0,0,0
0.168,2,2,0,0,0,0,0,0,0
0.1684,2,2,0,0,0,0,0,0,0
0.1688,2,2,0,0,0,0,0,0,0
0.1692,2,2,0,0,0,0,0,0,0
0.1696,2,2,0,0,0,0,0,0,0
0.17,2,2,0,0,0,0,0,0,0
0.1704,2,2,0,0,0,0,0,0,0
0.1708,2,2,0,0,0,0,0,0,0
0.1712,2,2,0,0,0,0,0,0,0
0.1716,2,2,0,0,0,0,0,0,0
0.172,2,2,0,0,0,0,0,0,0
0.1724,2,2,0,0,0,0,0,0,0
0.1728,2,2,0,0,0,0,0,0,0
0.1732,2,2,0,0,0,0,0,0,0
0.1736,2,2,0,0,0,0,0,0,0
0.174,2,2,0,0,0,0,0,0,0
0.1744,2,2,0,0,0,0,0,0,0
0.1748,2,2,0,0,0,0,0,0,0
0.1752,2,2,0,0,0,0,0,0,0
0.1756,2,2,0,0,0,0,0,0,0
0.176,2,2,0,0,0,0,0,0,0
0.1764,2,2,0,0,0,0,0,0,0
0.1768,2,2,0,0,0,0,0,0,0
0.1772,2,2,0,0,0,0,0,0,0
0.1776,2,2,0,0,0,0,0,0,0
0.178,2,2,0,0,0,0,0,0,0
0.1784,2,2,0,0,0,0,0,0,0
0.1788,2,2,0,0,0,0,0,0,0
0.1792,2,2,0,0,0,0,0,0,0
0.1796,2,2,0,0,0,0,0,0,0
0.18,2,2,0,0,0,0,0,0,0
0.1804,2,2,0,0,0,0,0,0,0
0.1808,2,2,0,0,0,0,0,0,0
0.1812,2,2,0,0,0,0,0,0,0
0.1816,2,2,0,0,0,0,0,0,0
0.182,2,2,0,0,0,0,0,0,0
0.1824,2,2,0,0,0,0,0,0,0
0.1828,2,2,0,0,0,0,0,0,0
0.1832,2,2,0,0,0,0,0,0,0
0.1836,2,2,0,0,0,0,0,0,0
0.184,2,2,0,0,0,0,0,0,0
0.1844,2,2,0,0,0,0,0,0,0
0.1848,2,2,0,0,0,0,0,0,0
0.1852,2,2,0,0,0,0,0,0,0
0.1856,2,2,0,0,0,0,0,0,0
0.186,2,2,0,0,0,0,0,0,0
0.1864,2,2,0,0,0,0,0,0,0
0.1868,2,2,0,0,0,0,0,0,0
0.1872,2,2,0,0,0,0,0,0,0
0.1876,2,2,0,0,0,0,0,0,0
0.188,2,2,0,0,0,0,0,0,0
0.1884,2,2,0,0,0,0,0,0,0
0.1888,2,2,0,0,0,0,0,0,0
0.1892,2,2,0,0,0,0,0,0,0
0.1896,2,2,0,0,0,0,0,0,0
0.19,2,2,0,0,0,0,0,0,0
0.1904,2,2,0,0,0,0,0,0,0
0.1908,2,2,0,0,0,0,0,0,0
0.1912,2,2,0,0,0,0,0,0,0
0.1916,2,2,0,0,0,0,0,0,0
0.192,2,2,0,0,0,0,0,0,0
0.1924,2,2,0,0,0,0,0,0,0
0.1928,2,2,0,0,0,0,0,0,0
0.1932,2,2,0,0,0,0,0,0,0
0.1936,2,2,0,0,0,0,0,0,0
0.194,2,2,0,0,0,0,0,0,0
0.1944,2,2,0,0,0,0,0,0,0
0.1948,2,2,0,0,0,0,0,0,0
0.1952,2,2,0,0,0,0,0,0,0
0.1956,2,2,0,0,0,0,0,0,0
0.196,2,2,0,0,0,0,0,0,0
0.1964,2,2,0,0,0,0,0,0,0
0.1968,2,2,0,0,0,0,0,0,0
0.1972,2,2,0,0,0,0,0,0,0
0.1976,2,2,0,0,0,0,0,0,0
0.198,2,2,0,0,0,0,0,0,0
0.1984,2,2,0,0,0,0,0,0,0
0.1988,2,2,0,0,0,0,0,0,0
0.1992,2,2,0,0,0,0,0,0,0
0.1996,2,2,0,0,0,0,0,0,0
0.2,2,2,0,0,0,0,0,0,0
0.2004,2,2,0,0,0,0,0,0,0
0.2008,2,2,0,0,0,0,0,0,0
0.2012,2,2,0,0,0,0,0,0,0
0.2016,2,2,0,0,0,0,0,0,0
0.202,2,2,0,0,0,0,0,0,0
0.2024,2,2,0,0,0,0,0,0,0
0.2028,2,2,0,0,0,0,0,0,0
0.2032,2,2,0,0,0,0,0,0,0
0.2036,2,2,0,0,0,0,0,0,0
0.204,2,2,0,0,0,0,0,0,0
0.2044,2,2,0,0,0,0,0,0,0
0.2048,2,2,0,0,0,0,0,0,0
0.2052,2,2,0,0,0,0,0,0,0
0.2056,2,2,0,0,0,0,0,0,0
0.206,2,2,0,0,0,0,0,0,0
0.2064,2,2,0,0,0,0,0,0,0
0.2068,2,2,0,0,0,0,0,0,0
0.2072,2,2,0,0,0,0,0,0,0
0.2076,2,2,0,0,0,0,0,0,0
0.208,2,2,0,0,0,0,0,0,0
0.2084,2,2,0,0,0,0,0,0,0
0.2088,2,2,0,0,0,0,0,0,0
0.2092,2,2,0,0,0,0,0,0,0
0.2096,2,2,0,0,0,0,0,0,0
0.21,2,2,0,0,0,0,0,0,0
0.2104,2,2,0,0,0,0,0,0,0
0.2108,2,2,0,0,0,0,0,0,0
0.2112,2,2,0,0,0,0,0,0,0
0.2116,2,2,0,0,0,0,0,0,0
0.212,2,2,0,0,0,0,0,0,0
0.2124,2,2,0,0,0,0,0,0,0
0.2128,2,2,0,0,0,0,0,0,0
0.2132,2,2,0,0,0,0,0,0,0
0.2136,2,2,0,0,0,0,0,0,0
0.214,2,2,0,0,0,0,0,0,0
0.2144,2,2,0,0,0,0,0,0,0
0.2148,2,2,0,0,0,0,0,0,0
0.2152,2,2,0,0,0,0,0,0,0
0.2156,2,2,0,0,0,0,0,0,0
0.216,2,2,0,0,0,0,0,0,0
0.2164,2,2,0,0,0,0,0,0,0
0.2168,2,2,0,0,0,0,0,0,0
0.2172,2,2,0,0,0,0,0,0,0
0.2176,2,2,0,0,0,0,0,0,0
0.218,2,2,0,0,0,0,0,0,0
0.2184,2,2,0,0,0,0,0,0,0
0.2188,2,2,0,0,0,0,0,0,0
0.2192,2,2,0,0,0,0,0,0,0
0.2196,2,2,0,0,0,0,0,0,0
0.22,2,2,0,0,0,0,0,0,0
0.2204,2,2,0,0,0,0,0,0,0
0.2208,2,2,0,0,0,0,0,0,0
0.2212,2,2,0,0,0,0,0,0,0
0.2216,2,2,0,0,0,0,0,0,0
0.222,2,2,0,0,0,0,0,0,0
0.2224,2,2,0,0,0,0,0,0,0
0.2228,2,2,0,0,0,0,0,0,0
0.2232,2,2,0,0,0,0,0,0,0
0.2236,2,2,0,0,0,0,0,0,0
0.224,2,2,0,0,0,0,0,0,0
0.2244,2,2,0,0,0,0,0,0,0
0.2248,2,2,0,0,0,0,0,0,0
0.2252,2,2,0,0,0,0,0,0,0
0.2256,2,2,0,0,0,0,0,0,0
0.226,2,2,0,0,0,0,0,0,0
0.2264,2,2,0,0,0,0,0,0,0
0.2268,2,2,0,0,0,0,0,0,0
0.2272,2,2,0,0,0,0,0,0,0
0.2276,2,2,0,0,0,0,0,0,0
0.228,2,2,0,0,0,0,0,0,0
0.2284,2,2,0,0,0,0,0,0,0
0.2288,2,2,0,0,0,0,0,0,0
0.2292,2,2,0,0,0,0,0,0,0
0.2296,2,2,0,0,0,0,0,0,0
0.23,2,2,0,0,0,0,0,0,0
0.2304,2,2,0,0,0,0,0,0,0
0.2308,2,2,0,0,0,0,0,0,0
0.2312,2,2,0,0,0,0,0,0,0
0.2316,2,2,0,0,0,0,0,0,0
0.232,2,2,0,0,0,0,0,0,0
0.2324,2,2,0,0,0,0,0,0,0
0.2328,2,2,0,0,0,0,0,0,0
0.2332,2,2,0,0,0,0,0,0,0
0.2336,2,2,0,0,0,0,0,0,0
0.234,2,2,0,0,0,0,0,0,0
0.2344,2,2,0,0,0,0,0,0,0
0.2348,2,2,0,0,0,0,0,0,0
0.2352,2,2,0,0,0,0,0,0,0
0.2356,2,2,0,0,0,0,0,0,0
0.236,2,2,0,0,0,0,0,0,0
0.2364,2,2,0,0,0,0,0,0,0
0.2368,2,2,0,0,0,0,0,0,0
0.2372,2,2,0,0,0,0,0,0,0
0.2376,2,2,0,0,0,0,0,0,0
0.238,2,2,0,0,0,0,0,0,0
0.2384,2,2,0,0,0,0,0,0,0
0.2388,2,2,0,0,0,0,0,0,0
0.2392,2,2,0,0,0,0,0,0,0
0.2396,2,2,0,0,0,0,0,0,0
