time,H_NMOS.LossPower,H_PMOS.D.i,H_NMOS.ugst,HeatCapacitor1.T,Capacitor1.v
0,0,0,-0.6133753536,293.15,0
1e-06,6.690526553e-31,4.999999975e-11,-0.6133523575,293.1500068,2.499999983e-12
0.0001425878756,2.583506666e-22,7.129388699e-09,-0.6100963937,293.1509767,5.082820738e-08
0.001558466632,3.686897174e-18,7.79227244e-08,-0.5775373538,293.1606672,6.071982521e-06
0.002972111182,8.184176937e-16,2.531563357e-06,-0.545032571,293.1703289,8.897402975e-05
0.003611086572,1.656234886e-14,7.935102684e-06,-0.530341854,293.174692,0.0004069686572
0.00795151505,5.936747897e-11,0.0001261348668,-0.4305982942,293.2043307,0.0243653991
0.009448354439,2.356991278e-10,0.0001998083365,-0.396228286,293.2146,0.04854885439
0.01005675931,3.813107628e-10,0.0002309838407,-0.3822635071,293.2187907,0.06175252477
0.01033637561,4.650639707e-10,0.0002298807387,-0.3758465582,293.2207184,0.06819559889
0.01313253854,1.714630146e-09,0.0002190027995,-0.3117207705,293.239955,0.1309438867
0.02162183619,9.203443222e-09,0.0001876995791,-0.1176850896,293.2979213,0.3033717763
0.03487618755,1.456622052e-06,0.0001440803461,0.1822378025,293.3871657,0.5217306969
0.04334581993,7.168510896e-06,0.0001195784341,0.3711346872,293.4434318,0.6275876055
0.06646123495,4.680949241e-05,6.581401945e-05,0.8709660317,293.5942005,0.7602119485
0.07933315516,6.777973668e-05,4.378810014e-05,1.136408918,293.6764968,0.730037855
0.0940455034,7.160220041e-05,2.493183796e-05,1.425701091,293.769167,0.6248054749
0.1097252872,5.377205309e-05,1.144428384e-05,1.714800778,293.8663246,0.4697640368
0.1272571009,2.731770346e-05,3.163451083e-06,2.011211355,293.9730457,0.2986077819
0.1447889146,1.016363826e-05,5.049822222e-07,2.275843348,294.0778309,0.1679107601
0.1623207284,3.018449738e-06,4.913644623e-07,2.505494618,294.1807669,0.08635537324
0.1798525421,7.667622061e-07,4.958253503e-07,2.697384509,294.2819067,0.04174649671
0.1973843558,1.764210293e-07,4.980555475e-07,2.849190743,294.3812865,0.01944452539
0.2149161695,3.95608193e-08,4.990971195e-07,2.959077668,294.4789388,0.009028804563
0.2324479832,9.622657325e-09,4.995596635e-07,3.025718034,294.5748938,0.004403364631
0.249979797,2.930973028e-09,4.997578242e-07,3.048308848,294.6691812,0.002421757706
0.2685418077,1.215604468e-09,4.998433655e-07,3.023928663,294.7672238,0.001566345352
0.2890899243,7.195907833e-10,4.998777302e-07,2.939437386,294.8736554,0.001222698277
0.3134402522,5.69334352e-10,4.998877879e-07,2.763061632,294.9969821,0.001122121229
0.3500186292,5.474240447e-10,4.998806784e-07,2.351984913,295.1766868,0.00119321575
0.3591944183,5.94338353e-10,7.328105358e-07,2.223423284,295.2207446,0.001278839844
0.3683702074,1.334007767e-09,2.092623926e-06,2.085461449,295.2644034,0.001978602855
0.3804766145,8.834426421e-09,6.101458783e-06,1.889834697,295.3214121,0.005351493836
0.3904997522,3.812819744e-08,1.167518475e-05,1.716901751,295.3681154,0.01167787448
0.4012790479,1.3972135e-07,2.030469561e-05,1.520669666,295.41786,0.02380889299
0.4120583436,4.020040337e-07,3.199609915e-05,1.31469264,295.4671251,0.04363141786
0.4228738167,9.536709181e-07,4.711316886e-05,1.099181663,295.5160956,0.07415021916
