time,feedback.opAmp.v_in,feedback.r1.p.i,feedback.r4.p.i,vOut.v
0,0.0003332888948,-0.002499666711,0.0025,-4.999333422
0.002004008016,0.0002914334506,-0.001871793192,0.0025,-4.371501759
0.004008016032,0.0002502407365,-0.001253861288,0.0025,-3.753611047
0.006012024048,0.0002103629891,-0.0006556552,0.0025,-3.155444837
0.008016032064,0.0001724316243,-8.664679565e-05,0.0025,-2.586474364
0.01002004008,0.000137047239,0.000444154368,0.0025,-2.055708585
0.0120240481,0.0001047701021,0.000928343699,0.0025,-1.571551531
0.01402805611,7.611128277e-05,0.001358254647,0.0025,-1.141669242
0.01603206413,5.152455873e-05,0.001727080095,0.0025,-0.7728683809
0.01803607214,3.139923086e-05,0.002028980138,0.0025,-0.4709884629
0.02004008016,1.605395929e-05,0.002259174557,0.0025,-0.2408093894
0.02204408818,5.731717771e-06,0.002414018502,0.0025,-0.08597576656
0.02404809619,5.959464601e-07,0.002491060207,0.0025,-0.008939196902
0.02605210421,7.279640626e-07,0.002489079811,0.0025,-0.01091946094
0.02805611222,6.12568024e-06,0.002408108671,0.0025,-0.09188520359
0.03006012024,1.670362871e-05,0.002249428866,0.0025,-0.2505544306
0.03206412826,3.22943205e-05,0.002015552898,0.0025,-0.4844148075
0.03406813627,5.265089593e-05,0.00171018391,0.0025,-0.789763439
0.03607214429,7.745103336e-05,0.001338157049,0.0025,-1.1617655
0.0380761523,0.0001063020527,0.0009053629074,0.0025,-1.594530791
0.04008016032,0.0001387471331,0.0004186542562,0.0025,-2.081206997
0.04208416834,0.0001742725461,-0.0001142624643,0.0025,-2.614088192
0.04408817635,0.0002123157899,-0.0006849491649,0.0025,-3.184736849
0.04609218437,0.000252274496,-0.001284369715,0.0025,-3.78411744
0.04809619238,0.0002935159667,-0.001903033017,0.0025,-4.402739501
0.0501002004,0.0003353871935,-0.002531143289,0.0025,-5.030807902
0.05210420842,0.0003772251962,-0.003158755168,0.0025,-5.658377943
0.05410821643,0.0004183675209,-0.003775931182,0.0025,-6.275512814
0.05611222445,0.0004581627289,-0.004372899097,0.0025,-6.872440934
0.05811623246,0.0004959807114,-0.004940206651,0.0025,-7.43971067
0.06012024048,0.0005312226664,-0.005468871219,0.0025,-7.968339996
0.0621242485,0.0005633305805,-0.005950522038,0.0025,-8.449958707
0.06412825651,0.0005917960638,-0.006377532753,0.0025,-8.876940957
0.06613226453,0.0006161683999,-0.006743142167,0.0025,-9.242525999
0.06813627255,0.0006360616825,-0.007041561299,0.0025,-9.540925238
0.07014028056,0.0006511609256,-0.007268065045,0.0025,-9.767413884
0.07214428858,0.000661227051,-0.007419066993,0.0025,-9.918405766
0.07414829659,0.0006661006739,-0.00749217621,0.0025,-9.991510109
0.07615230461,0.0006657046264,-0.0074862351,0.0025,-9.985569395
0.07815631263,0.0006600451793,-0.007401337734,0.0025,-9.900677689
0.08016032064,0.0006492119431,-0.007238828359,0.0025,-9.738179147
0.08216432866,0.0006333764491,-0.007001280112,0.0025,-9.500646736
0.08416833667,0.0006127894329,-0.006692454283,0.0025,-9.191841494
0.08617234469,0.0005877768651,-0.006317240754,0.0025,-8.816652977
0.08817635271,0.0005587347893,-0.005881580574,0.0025,-8.381021839
0.09018036072,0.0005261230514,-0.005392371894,0.0025,-7.891845771
