time,inductor4a.n.i,conductor4.currentToVoltage2.f,conductor4.conductor.p.v,directInductor3.currentToVoltage.y,directCapacitor1.capacitor.v,capacitor2b.v,capacitor2a.v,currentToVoltage2a.f,directInductor3.inductor.v,directCapacitor1.capacitor.i,inductor4b.i,inductor4a.i,directInductor3.inductor.i
0.378439536,-20.95432609,27.59235596,-0.6638029868,25.37967934,25.37967934,27.59235596,20.95432609,-0.6638029868,-0.3330220179,-0.3330220179,27.59235596,20.95432609,25.37967934
0.4116546197,-10.61724218,16.79405296,-0.6176810783,14.73511604,14.73511604,16.79405296,10.61724218,-0.6176810783,-0.2985930205,-0.2985930205,16.79405296,10.61724218,14.73511604
0.4448697035,-3.011698825,7.666717864,-0.4655019038,6.115044851,6.115044851,7.666717864,3.011698825,-0.4655019038,-0.2128949127,-0.2128949127,7.666717864,3.011698825,6.115044851
0.4780847872,0.5564146361,1.77753515,-0.2333949786,0.9995518882,0.9995518882,1.77753515,-0.5564146361,-0.2333949786,-0.09064225723,-0.09064225723,1.77753515,-0.5564146361,0.9995518882
0.5112998709,-0.5255551088,0.1376910807,0.03878640281,0.26697909,0.26697909,0.1376910807,0.5255551088,0.03878640281,0.0471738829,0.0471738829,0.1376910807,0.5255551088,0.26697909
0.5445149547,-6.071831359,3.028750664,0.3043080694,4.043110896,4.043110896,3.028750664,6.071831359,0.3043080694,0.1768901585,0.1768901585,3.028750664,6.071831359,4.043110896
0.5799579943,-15.82765985,10.53729603,0.5290363819,12.30075064,12.30075064,10.53729603,15.82765985,0.5290363819,0.2813483224,0.2813483224,10.53729603,15.82765985,12.30075064
0.615401034,-27.67085856,21.16544274,0.6505415824,23.33391468,23.33391468,21.16544274,27.67085856,0.6505415824,0.3309112408,0.3309112408,21.16544274,27.67085856,23.33391468
0.6508440737,-39.29064473,32.83948036,0.6451164376,34.98986848,34.98986848,32.83948036,39.29064473,0.6451164376,0.3159084507,0.3159084507,32.83948036,39.29064473,34.98986848
0.6862871134,-48.41982513,43.28163039,0.5138194735,44.99436197,44.99436197,43.28163039,48.41982513,0.5138194735,0.2392672198,0.2392672198,43.28163039,48.41982513,44.99436197
0.7217668998,-53.27956712,50.45965753,0.2819909594,51.39962739,51.39962739,50.45965753,53.27956712,0.2819909594,0.1157970674,0.1157970674,50.45965753,53.27956712,51.39962739
0.7578393958,-52.85692276,52.95610482,-0.009918206381,52.92304413,52.92304413,52.95610482,52.85692276,-0.009918206381,-0.03278449659,-0.03278449659,52.95610482,52.85692276,52.92304413
0.7969561919,-46.41767799,49.64047193,-0.322279394,48.56620729,48.56620729,49.64047193,46.41767799,-0.322279394,-0.1854727606,-0.1854727606,49.64047193,46.41767799,48.56620729
0.836072988,-35.26801529,40.85126693,-0.5583251637,38.99018305,38.99018305,40.85126693,35.26801529,-0.5583251637,-0.2942408608,-0.2942408608,40.85126693,35.26801529,38.99018305
0.8751897841,-22.04819245,28.66978131,-0.6621588856,26.46258502,26.46258502,28.66978131,22.04819245,-0.6621588856,-0.3333323854,-0.3333323854,28.66978131,22.04819245,26.46258502
0.9143065802,-9.88867875,15.98060494,-0.609192619,13.94996288,13.94996288,15.98060494,9.88867875,-0.609192619,-0.2934904163,-0.2934904163,15.98060494,9.88867875,13.94996288
0.9534233763,-1.668861072,5.78854944,-0.4119688368,4.415319984,4.415319984,5.78854944,1.668861072,-0.4119688368,-0.1841495778,-0.1841495778,5.78854944,1.668861072,4.415319984
0.9925401724,0.6647982668,0.5071053178,-0.1171903585,0.1164707896,0.1164707896,0.5071053178,-0.6647982668,-0.1171903585,-0.03120190666,-0.03120190666,0.5071053178,-0.6647982668,0.1164707896
1,0.3697448882,0.1848800428,-0.0554624931,5.065830474e-06,5.065830545e-06,0.1848800428,-0.3697448882,-0.0554624931,-1.632862399e-16,-1.632862399e-16,0.1848800428,-0.3697448882,5.065830474e-06
