time,dcse.inertiaRotor.w,dcse.friction.phi,dcse.airGapDC.psi_e,dcse.flange.tau,dcse.airGapDC.iaˍt,loadInertia.w,loadInertia.phi,dcse.la.i
0.01756126353,2.421149696,0.01830708138,-0.0547126765,-38.12269051,9810.278259,2.421149696,0.01830708138,-109.425353
0.0180903876,2.548113021,0.0196224625,-0.05137408391,-33.61404551,15368.18357,2.548113021,0.0196224625,-102.7481678
0.01863349498,2.65905446,0.02103749019,-0.04647573215,-27.51221567,20618.78826,2.65905446,0.02103749019,-92.9514643
0.01920933723,2.750681553,0.02259641857,-0.0398155046,-20.19538601,25517.60889,2.750681553,0.02259641857,-79.6310092
0.01981961788,2.816937245,0.02429691446,-0.03135120637,-12.52623171,29789.56663,2.816937245,0.02429691446,-62.70241274
0.02042989852,2.854023848,0.02602870013,-0.02174689169,-6.033389009,32967.76875,2.854023848,0.02602870013,-43.49378338
0.02104017916,2.868718032,0.02777584783,-0.0113543326,-1.653486656,34940.86448,2.868718032,0.02777584783,-22.70866519
0.02165045981,2.871020509,0.02952761304,-0.0005529537232,-0.01592821332,35639.32812,2.871020509,0.02952761304,-1.105907446
0.02226074045,2.872705994,0.03127997809,0.01026323485,-1.353203894,35037.35236,2.872705994,0.03127997809,20.52646971
0.0228710211,2.885619838,0.03303622205,0.02069919018,-5.467436096,33154.13369,2.885619838,0.03303622205,41.39838035
0.0234893227,2.920592628,0.03482985803,0.03049310659,-11.85141324,30005.98584,2.920592628,0.03482985803,60.98621319
0.02410762431,2.984881683,0.03665390895,0.03913488566,-19.51317377,25723.44199,2.984881683,0.03665390895,78.26977133
0.02472592591,3.081423915,0.03852765346,0.04629728858,-27.30497704,20465.38807,3.081423915,0.03852765346,92.59457715
0.02534422752,3.208321154,0.04047069571,0.0517085002,-34.05851403,14430.46276,3.208321154,0.04047069571,103.4170004
0.02596252912,3.359121933,0.04250002537,0.05516333276,-38.76106898,7849.618011,3.359121933,0.04250002537,110.3266655
0.0265146214,3.505851661,0.04439475579,0.05648715797,-40.64445954,1718.431377,3.505851661,0.04439475579,112.9743159
0.02700967358,3.639795158,0.0461635411,0.05622603284,-40.27111353,-3822.879615,3.639795158,0.0461635411,112.4520657
0.02750472575,3.7692994,0.04799779785,0.05460293811,-37.98213556,-9263.65925,3.7692994,0.04799779785,109.2058762
0.02802412642,3.893855283,0.0499885549,0.05148163834,-33.76755557,-14718.80973,3.893855283,0.0499885549,102.9632767
0.02855702044,4.003729156,0.05209375773,0.04685900025,-27.98076207,-19896.63772,4.003729156,0.05209375773,93.71800049
0.02912262835,4.095935875,0.05438563018,0.04052615229,-20.93578418,-24770.02301,4.095935875,0.05438563018,81.05230458
0.02972426344,4.16442176,0.05687201149,0.03240128927,-13.39234136,-29086.70598,4.16442176,0.05687201149,64.80257854
0.03032801274,4.20438579,0.05939967701,0.02309661612,-6.817950194,-32374.33789,4.20438579,0.05939967701,46.19323224
0.03093176204,4.221486631,0.06194417807,0.01297203923,-2.168546698,-34503.19913,4.221486631,0.06194417807,25.94407847
0.03153551134,4.224901747,0.06449434866,0.002389454866,-0.09875643839,-35399.9368,4.224901747,0.06449434866,4.778909731
0.03213926065,4.225729313,0.06704521769,-0.008273309292,-0.8975741583,-35032.61984,4.225729313,0.06704521769,-16.54661858
0.03274300995,4.23541636,0.06959870235,-0.01863521111,-4.447784592,-33412.05139,4.23541636,0.06959870235,-37.27042222
0.03335955139,4.265011543,0.07221787885,-0.02852045021,-10.38329471,-30520.31061,4.265011543,0.07221787885,-57.04090042
0.03397609283,4.322339425,0.07486354321,-0.03733429372,-17.77432122,-26482.16791,4.322339425,0.07486354321,-74.66858745
0.03459263427,4.411165407,0.07755418758,-0.04474511604,-25.5202633,-21446.03676,4.411165407,0.07755418758,-89.49023208
0.03520917572,4.530560621,0.08030918997,-0.05047337776,-32.46653426,-15600.49875,4.530560621,0.08030918997,-100.9467555
0.03582571716,4.675037019,0.08314592501,-0.05430302032,-37.57742747,-9167.484502,4.675037019,0.08314592501,-108.6060406
0.0364422586,4.835366992,0.08607717277,-0.05609039544,-40.09193838,-2393.163266,4.835366992,0.08607717277,-112.1807909
0.03695293863,4.971934632,0.08858139344,-0.05597533977,-39.92972409,3291.249112,4.971934632,0.08858139344,-111.9506795
