time,source.i_ref,source.i_sim,source.i_relerr,load.i_ref,load.i_sim,load.i_relerr,lightningImpulseCurrent.v_ref,lightningImpulseCurrent.v_sim,lightningImpulseCurrent.v_relerr
3.9999999e-05,-15.139168,-15.13923249,5.68364e-09,0,-4.845313756e-13,7.76262e-17,-0,-9.693522803e-27,7.63323e-33
4.0999999e-05,-15.508218,-15.50829974,7.2046e-09,0,-8.197761801e-13,1.31335e-16,-0,-9.693522803e-27,7.63323e-33
4.2e-05,-15.844317,-15.84433458,1.54927e-09,0,-7.251655653e-13,1.16178e-16,-0,-8.077935669e-27,6.36102e-33
4.3e-05,-16.187969,-16.18790425,5.70707e-09,0,-7.015112908e-14,1.12388e-17,-0,3.231174268e-27,2.54441e-33
4.4e-05,-16.571436,-16.57134833,7.72655e-09,0,1.148136124e-13,1.83942e-17,-0,-2.908056841e-26,2.28997e-32
4.5000001e-05,-16.987841,-16.98781739,2.08096e-09,0,-1.185243802e-13,1.89887e-17,-0,9.693522803e-27,7.63323e-33
4.6000001e-05,-17.398697,-17.39876328,5.84173e-09,0,-2.323051309e-13,3.72173e-17,-0,0,0
4.7000001e-05,-17.771715,-17.77180754,8.15592e-09,0,-5.801209644e-13,9.29405e-17,-0,0,0
4.8000002e-05,-18.111801,-18.11182872,2.44283e-09,0,-6.737937571e-13,1.07948e-16,-0,-4.846761402e-27,3.81661e-33
4.8999998e-05,-18.45553,-18.45546431,5.78929e-09,0,-2.806079362e-13,4.49559e-17,-0,-6.462348536e-27,5.08882e-33
4.9999999e-05,-18.835197,-18.83510129,8.43581e-09,0,-4.063305515e-13,6.50978e-17,-0,-9.693522803e-27,7.63323e-33
5.0999999e-05,-19.24774,-19.24770522,3.06526e-09,0,-2.966887183e-13,4.75322e-17,-0,-2.584939414e-26,2.03553e-32
5.1999999e-05,-19.658405,-19.65846793,5.54645e-09,0,-2.996569892e-13,4.80077e-17,-0,-3.658335506e-23,2.88078e-29
5.3e-05,-20.034929,-20.03502965,8.87104e-09,0,-4.38994567e-13,7.03308e-17,-0,-1.322809787e-20,1.04165e-26
5.4e-05,-20.378637,-20.37867624,3.45842e-09,0,-6.208824497e-13,9.94709e-17,-0,-2.335495171e-18,1.8391e-24
5.5e-05,-20.722527,-20.72246529,5.43864e-09,0,-6.314738947e-13,1.01168e-16,-0,-1.97238909e-17,1.55317e-23
5.6000001e-05,-21.098804,-21.09870129,9.05256e-09,0,-6.542404845e-13,1.04815e-16,-0,-1.380778307e-13,1.0873e-19
5.7000001e-05,-21.507786,-21.50774241,3.84217e-09,0,-1.147062335e-12,1.8377e-16,-0,-4.346874881e-12,3.42297e-18
5.8000001e-05,-21.918163,-21.91822301,5.28906e-09,0,-2.569547402e-13,4.11664e-17,-0,-1.414908703e-11,1.11418e-17
5.9000002e-05,-22.297821,-22.29792675,9.32083e-09,0,-2.458198414e-13,3.93825e-17,-0,-2.065672668e-11,1.62663e-17
5.9999998e-05,-22.644892,-22.64493984,4.21674e-09,0,-3.878878923e-13,6.21431e-17,-0,-1.607931713e-11,1.26618e-17
6.0999999e-05,-22.989048,-22.98898986,5.12451e-09,0,2.005189974e-13,3.21249e-17,-0,-3.174604994e-12,2.49986e-18
6.1999999e-05,-23.362276,-23.36216614,9.68266e-09,0,-4.441734214e-14,7.11605e-18,-0,-3.315641542e-12,2.61092e-18
6.2999999e-05,-23.767916,-23.76785759,5.14821e-09,0,-4.650527589e-13,7.45056e-17,-0,-2.439609321e-11,1.92109e-17
6.4e-05,-24.177879,-24.17793784,5.1857e-09,-0,-7.187290588e-14,1.15147e-17,-0,-6.133456946e-11,4.82983e-17
6.5e-05,-24.560286,-24.56047094,1.63005e-08,-0,2.553161141e-13,4.09039e-17,-0,-9.186812832e-11,7.23421e-17
6.6000001e-05,-24.910515,-24.91066712,1.34072e-08,-0,9.014531585e-14,1.44421e-17,-0,-1.038104655e-10,8.17462e-17
6.7000001e-05,-25.255159,-25.25509604,5.54942e-09,-0,-5.531173287e-13,8.86143e-17,-0,-7.686920479e-11,6.05311e-17
6.8000001e-05,-25.62578,-25.62550273,2.44373e-08,-0,-7.173489061e-13,1.14926e-16,-0,-2.684394807e-11,2.11384e-17
6.9000002e-05,-26.028254,-26.02800813,2.16705e-08,-0,-1.047959412e-13,1.67892e-17,-0,1.604815302e-11,1.26372e-17
7.0000002e-05,-26.437502,-26.43756164,5.25655e-09,-0,4.080238291e-13,6.5369e-17,-0,3.073778844e-11,2.42047e-17
7.1000002e-05,-26.822279,-26.82264427,3.21936e-08,0,2.697525665e-13,4.32168e-17,-0,2.077351341e-11,1.63582e-17
7.2000003e-05,-27.175533,-27.17587333,2.99958e-08,0,3.320148382e-13,5.31917e-17,-0,5.07885784e-12,3.99938e-18
7.3000003e-05,-27.520851,-27.52080845,3.75064e-09,0,3.599715415e-13,5.76706e-17,-0,2.508518206e-12,1.97535e-18
7.4000003e-05,-27.889151,-27.88870929,3.89308e-08,0,9.203421461e-13,1.47447e-16,-0,1.856808997e-11,1.46216e-17
7.5000004e-05,-28.288591,-28.28815808,3.81562e-08,0,1.524865369e-12,2.44297e-16,-0,4.615418237e-11,3.63444e-17
