time,coupling.idealGear.flange_b.phi,dcdcInverter2.idealDcDc.signalCurrent.i,dcdcInverter1.idealDcDc.signalCurrent.i,dcdcInverter2.iDCFilter.y,dcdcInverter2.vMotFilter.y,dcdcInverter2.idealDcDc.deadTime.y,dcdcInverter2.iMotFilter.y,dcdcInverter2.vDCFilter.y,dcdcInverter1.iDCFilter.y,dcdcInverter1.vMotFilter.y,dcdcInverter1.idealDcDc.deadTime.y,dcdcInverter1.iMotFilter.y,dcdcInverter1.vDCFilter.y,dcpm2.la.i,dcpm2.inertiaRotor.w,dcpm2.inertiaRotor.flange_b.tau,dcpm1.la.i,coupling.tau,coupling.w,multiSensor.i,multiSensor.v
0.0001879736695,-6.830294602e-09,0.163059358,0,0.003994039853,0.7576584247,15.66807544,0.03283323146,99.99998003,0,0,0,-5.42467294e-08,99.99998003,-1.0408523,-0.0001426995039,0.3313144987,-2.895193326e-06,-0.3313144987,0.0001426995039,0.163059358,99.9991847
0.0002197106774,-1.259324192e-08,0.2477566401,0,0.007139583722,1.009237479,17.77954013,0.05142902127,99.9999643,0,0,0,-1.168026811e-07,99.9999643,-1.393644478,-0.0002244298956,0.4436125139,-5.336806579e-06,-0.4436125139,0.0002244298956,0.2477566401,99.99876122
0.000256262693,-2.298275753e-08,0.3714994434,0,0.01257799218,1.333828744,20.05094955,0.07982540267,99.99993711,0,0,0,-2.483745687e-07,99.99993711,-1.852931465,-0.0003499868235,0.5898095032,-9.737267934e-06,-0.5898095032,0.0003499868235,0.3714994434,99.9981425
0.0002991302951,-4.198093703e-08,0.5534256663,0,0.02205423131,1.757295333,22.51164624,0.1237468037,99.99988973,0,0,0,-5.289210901e-07,99.99988973,-2.458538523,-0.0005455617961,0.7825827774,-1.778110707e-05,-0.7825827774,0.0005455617961,0.5534256663,99.99723287
0.0003510895058,-7.813370965e-08,0.8276414748,0,0.03908725152,2.325083702,25.22477917,0.1940186562,99.99980456,0,0,0,-1.153587085e-06,99.99980456,-3.28116109,-0.0008611409671,1.044436543,-3.308177381e-05,-1.044436543,0.0008611409671,0.8276414748,99.99586179
0.0004177119572,-1.527596115e-07,1.263747206,0,0.07185135642,3.127369757,28.31547026,0.3142624547,99.99964074,0,0,0,-2.67767691e-06,99.99964074,-4.463071628,-0.00140697766,1.4206604,-6.464831487e-05,-1.4206604,0.00140697766,1.263747206,99.99368126
0.000493489291,-2.8953016e-07,1.869218432,0,0.127145256,4.122338835,31.36494613,0.4960397807,99.99936427,0,0,0,-5.980509847e-06,99.99936427,-5.959298745,-0.00224293242,1.896942687,-0.0001224648486,-1.896942687,0.00224293242,1.869218432,99.99065391
0.0005769774927,-5.252233724e-07,2.659232349,0,0.2142173807,5.296766577,34.23065256,0.7561063412,99.99892891,0,0,0,-1.264684693e-05,99.99892891,-7.767834383,-0.003456624426,2.472649152,-0.0002220267106,-2.472649152,0.003456624426,2.659232349,99.98670384
0.000668398784,-9.163319564e-07,3.653866701,0,0.3453885479,6.650691191,36.86572222,1.11704648,99.99827306,0,0,0,-2.547295034e-05,99.99827306,-9.909786742,-0.005168825062,3.15450631,-0.0003871069577,-3.15450631,0.005168825062,3.653866701,99.98173067
0.0007669102144,-1.535885438e-06,4.853357806,0,0.5329828125,8.16165498,39.21450068,1.598759716,99.99733509,0,0,0,-4.879803109e-05,99.99733509,-12.37375822,-0.007495338183,3.938895958,-0.0006483798775,-3.938895958,0.007495338183,4.853357806,99.97573321
0.0008723434585,-2.482883439e-06,6.255922807,0,0.7907012612,9.811215114,41.2650162,2.223557048,99.99604649,0,0,0,-8.933810314e-05,99.99604649,-15.15594644,-0.01057234776,4.824620971,-0.001047358433,-4.824620971,0.01057234776,6.255922807,99.96872039
0.0009850940454,-3.893171335e-06,7.861279619,0,1.134262464,11.58597672,43.02846859,3.01786448,99.99432869,0,0,0,-0.0001574102857,99.99432869,-18.26310824,-0.01456761725,5.813850222,-0.001640910648,-5.813850222,0.01456761725,7.861279619,99.9606936
0.001105889184,-5.953236617e-06,9.67063158,0,1.581707695,13.47486708,44.52471331,4.012880433,99.99209146,0,0,0,-0.0002687279428,99.99209146,-21.70953485,-0.01968802057,6.911157558,-0.002506965692,-6.911157558,0.01968802057,9.67063158,99.95164684
0.00123572641,-8.92029299e-06,11.68738283,0,2.153899075,15.46802479,45.77689691,5.245691025,99.9892305,0,0,0,-0.0004471443642,99.9892305,-25.51660593,-0.02619101472,8.123382485,-0.003752804962,-8.123382485,0.02619101472,11.68738283,99.94156309
0.001375866682,-1.315134738e-05,13.91796131,0,2.875158636,17.55603727,46.80914264,6.760675069,99.98562421,0,0,0,-0.0007288701983,99.98562421,-29.71307619,-0.03440004974,9.459725211,-0.005527032402,-9.459725211,0.03440004974,13.91796131,99.93041019
0.001527853121,-1.914543438e-05,16.37266771,0,3.774041186,19.72924374,47.64552737,8.61118391,99.98112979,0,0,0,-0.001169000279,99.98112979,-34.33570264,-0.04472492716,10.93195183,-0.008036918796,-10.93195183,0.04472492716,16.37266771,99.91813666
0.001693564522,-2.76063855e-05,19.06686336,0,4.884371763,21.97726276,48.30972038,10.86176617,99.97557814,0,0,0,-0.001851770153,99.97557814,-39.43067483,-0.05769020286,12.55485777,-0.01157410588,-12.55485777,0.05769020286,19.06686336,99.90466568
0.00187527781,-3.953605939e-05,22.02214914,0,6.246469775,24.28832908,48.82476586,13.59076512,99.96876765,0,0,0,-0.00290676771,99.96876765,-45.055132,-0.07397313756,14.34676281,-0.01655265194,-14.34676281,0.07397313756,22.02214914,99.88988925
0.002075775591,-5.637690759e-05,25.26811889,0,7.908844659,26.64886373,49.21300088,16.89385487,99.96045578,0,0,0,-0.00453506423,99.96045578,-51.27985665,-0.09445816504,16.33038695,-0.02356700958,-16.33038695,0.09445816504,25.26811889,99.87365941
0.002298479946,-8.023162206e-05,28.84432727,0,9.93032292,29.04287314,49.49587793,20.88840435,99.95034839,0,0,0,-0.007051808729,99.95034839,-58.1924971,-0.1203131989,18.53390446,-0.03348098385,-18.53390446,0.1203131989,28.84432727,99.85577836
0.002547628572,-0.0001142072041,32.80262522,0,12.38274487,31.45126287,49.69371341,25.71892189,99.93808628,0,0,0,-0.01095670983,99.93808628,-65.90166116,-0.1530983526,20.99229113,-0.04756643953,-20.99229113,0.1530983526,32.80262522,99.83598687
0.002828500187,-0.000162961384,37.20981319,0,15.3542696,33.85102611,49.82535103,31.56362236,99.92322865,0,0,0,-0.01705228295,99.92322865,-74.54185455,-0.1949214212,23.74896595,-0.06772240934,-23.74896595,0.1949214212,37.20981319,99.81395093
0.003147718664,-0.0002335868326,42.1508416,0,18.95347578,36.21449076,49.90776485,38.64244146,99.90523262,0,0,0,-0.026645525,99.90523262,-84.27979279,-0.2486644617,26.8579124,-0.09682750642,-26.8579124,0.2486644617,42.1508416,99.78924579
0.003513733473,-0.0003370907451,47.73369579,0,23.31520105,38.50913487,49.95564116,47.22830202,99.88342399,0,0,0,-0.04190104001,99.88342399,-95.32441382,-0.3183320637,30.3870521,-0.1393258142,-30.3870521,0.3183320637,47.73369579,99.76133152
0.003937487041,-0.0004909207943,54.09551184,0,28.60801592,40.69752292,49.98099303,57.66139855,99.85695992,0,0,0,-0.06647215856,99.85695992,-107.9397217,-0.4095846273,34.42264896,-0.2022194046,-34.42264896,0.4095846273,54.09551184,99.72952244
0.004433011797,-0.0007232072951,61.40532723,0,35.03902156,42.73640079,49.99294484,70.35796798,99.82480489,0,0,0,-0.1066230085,99.82480489,-122.4511641,-0.5304794665,39.07186409,-0.296717118,-39.07186409,0.5304794665,61.40532723,99.69297336
0.00501443564,-0.001077446406,69.81245047,0,42.80594427,44.567758,49.99779458,85.71446139,99.78597028,0,0,0,-0.172746692,99.78597028,-139.143947,-0.6914465571,44.43094445,-0.4399816355,-44.43094445,0.6914465571,69.81245047,99.65093775
0.005683199187,-0.001608635181,79.26191246,0,51.90480893,46.11137406,49.99942109,103.7247829,99.74047596,0,0,0,-0.2794090908,99.74047596,-157.8976874,-0.9015085168,50.46835976,-0.6533408506,-50.46835976,0.9015085168,79.26191246,99.60369044
0.006434035769,-0.002383635749,89.59407791,0,62.19302841,47.32841718,49.99987104,124.1029389,99.68903486,0,0,0,-0.4457913827,99.68903486,-178.3861775,-1.168215784,57.08836341,-0.9622056082,-57.08836341,1.168215784,89.59407791,99.55202961
0.007273381411,-0.003502270771,100.8005134,0,73.64907808,48.24405034,49.99997593,146.7985262,99.63175461,0,0,0,-0.7007433387,99.63175461,-200.5853118,-1.50373617,64.29523184,-1.404116232,-64.29523184,1.50373617,100.8005134,99.49599743
0.008209164531,-0.005101792473,112.8699737,0,86.23908725,48.90020726,49.9999963,171.7343525,99.56880456,0,0,0,-1.085004954,99.56880456,-224.4662542,-1.922534072,72.09593301,-2.029799335,-72.09593301,1.922534072,112.8699737,99.43565013
0.009253339783,-0.007376230994,125.8133395,0,99.94911174,49.34751357,49.99999954,198.8713051,99.50025444,0,0,0,-1.656956124,99.50025444,-250.0440243,-2.443017515,80.51767733,-2.909719255,-80.51767733,2.443017515,125.8133395,99.3709333
0.01042074517,-0.01059833643,139.6361247,0,114.7620968,49.63602399,49.99999996,228.1633085,99.42618952,0,0,0,-2.499464005,99.42618952,-277.322656,-3.087851106,89.59263932,-4.140921507,-89.59263932,3.087851106,139.6361247,99.30181938
0.01173141213,-0.01516029501,154.3497455,0,130.6736663,49.81099854,50,259.5889151,99.34663167,0,0,0,-3.731882424,99.34663167,-306.3173246,-3.886070644,99.36911486,-5.859956589,-99.36911486,3.886070644,154.3497455,99.22825127
0.0132108543,-0.02162968816,169.9498567,0,147.6718441,49.90979958,50,293.1114232,99.26164078,0,0,0,-5.526466494,99.26164078,-337.0116217,-4.874453794,109.9032326,-8.259566567,-109.9032326,4.874453794,169.9498567,99.15025072
0.01488910231,-0.03082232354,186.3766071,0,165.6954988,49.96102537,50,328.597384,99.17152251,0,0,0,-8.129006486,99.17152251,-369.279778,-6.097749122,121.2405062,-11.60850567,-121.2405062,6.097749122,186.3766071,99.06811696
0.01679081891,-0.04382910835,203.3988327,0,184.50699,49.98493981,50,365.5675232,99.07746505,0,0,0,-11.86421649,99.07746505,-402.6607273,-7.600573381,133.3436197,-16.25060867,-133.3436197,7.600573381,203.3988327,98.98300584
0.01891777465,-0.06189552634,220.494611,0,203.5547599,49.99480041,50,402.930985,98.9822262,0,0,0,-17.09367539,98.9822262,-436.1275859,-9.40791438,146.0015439,-22.54979192,-146.0015439,9.40791438,220.494611,98.89752695
0.02125913221,-0.08637789724,237.0322465,0,222.1645368,49.99838731,50,439.3655607,98.88917732,0,0,0,-24.19125724,98.88917732,-468.4461958,-11.52492944,158.9358467,-30.86549241,-158.9358467,11.52492944,237.0322465,98.81483877
0.02381775895,-0.1189543918,252.4992647,0,239.7912817,49.9995513,50,473.8116466,98.80104359,0,0,0,-33.59141746,98.80104359,-498.6230522,-13.95669337,171.9624419,-41.6128919,-171.9624419,13.95669337,252.4992647,98.73750368
0.02660780399,-0.1617113977,266.4434061,0,255.9543626,49.9998888,50,505.3426594,98.72022819,0,0,0,-45.79775397,98.72022819,-525.7876929,-16.70631564,184.9563466,-55.26980676,-184.9563466,16.70631564,266.4434061,98.66778297
0.02965369579,-0.2172560824,278.4321353,0,270.1923149,49.99997575,50,533.0746117,98.64903843,0,0,0,-61.39110489,98.64903843,-549.1118935,-19.77223218,197.8277466,-72.38230205,-197.8277466,19.77223218,278.4321353,98.60783932
0.03299416922,-0.2889482449,288.0359865,0,282.0446348,49.99999544,50,556.1288105,98.58977683,0,0,0,-81.05800747,98.58977683,-567.7755472,-23.14809358,210.5196361,-93.59139511,-210.5196361,23.14809358,288.0359865,98.55982007
0.0366924906,-0.3813882571,294.8083905,0,291.0313247,49.99999928,50,573.590125,98.54484338,0,0,0,-105.6632121,98.54484338,-580.9256089,-26.82517229,223.0170733,-119.7031902,-223.0170733,26.82517229,294.8083905,98.52595805
0.04085900961,-0.5015109558,298.2355014,0,296.6023112,49.99999991,50,584.40652,98.51698844,0,0,0,-136.4233159,98.51698844,-587.5765684,-30.79813017,235.3689576,-151.8568196,-235.3689576,30.79813017,298.2355014,98.50882249
0.04568658973,-0.6606493957,297.6121373,0,298.0033617,49.99999999,50,587.1260177,98.50998319,0,0,0,-175.1820263,98.50998319,-586.3669649,-35.06040684,247.6916748,-191.7793812,-247.6916748,35.06040684,297.6121373,98.51193931
0.05110656829,-0.8624079306,292.3959907,0,294.496621,50,50,580.3201153,98.52751689,0,0,0,-221.2557288,98.52751689,-576.2424137,-39.28031106,259.3577441,-238.5539699,-259.3577441,39.28031106,292.3959907,98.53802005
0.05672957361,-1.093883664,283.4896049,0,286.7829051,50,50,565.3404606,98.56608547,0,0,0,-270.1296069,98.56608547,-558.942538,-42.91948886,269.4274163,-287.4886539,-269.4274163,42.91948886,283.4896049,98.58255198
0.06281360356,-1.364693982,271.553588,0,275.5510316,50,50,543.5077259,98.62224484,0,0,0,-322.142988,98.62224484,-535.7329996,-45.94316677,278.3938539,-338.8670866,-278.3938539,45.94316677,271.553588,98.64223206
0.06956003836,-1.682839973,257.4044648,0,261.5915397,50,50,516.3382834,98.6920423,0,0,0,-376.3475549,98.6920423,-508.183182,-48.18023331,286.4258134,-391.6500492,-286.4258134,48.18023331,257.4044648,98.71297768
0.07743959997,-2.068240572,241.8421731,0,245.6557429,50,50,485.2752224,98.77172129,0,0,0,-432.1760818,98.77172129,-477.835546,-49.40878886,293.7834984,-445.1125343,-293.7834984,49.40878886,241.8421731,98.79078913
