time,add.opAmp.v_in,add.r1.i,add.r.i,vOut.v
0,-0.00033326668,-3.3326668e-07,-0.004999333467,4.9990002
1e-06,-0.0003332876198,-1.912835461e-08,-0.004999647584,4.999314296
3.900995907e-05,-0.0003340835385,1.192124427e-05,-0.005011587161,5.011253077
0.0004191095497,-0.0003420417204,0.0001313098896,-0.005130967848,5.130625806
0.004220105456,-0.0004206028224,0.001309883541,-0.006309462938,6.309042336
0.04223006452,-0.0004895808961,0.002344692603,-0.007344203022,7.343713441
0.09354485348,-0.0002017730202,-0.001973001151,-0.003026797076,3.026595303
0.1751619063,-1.724428229e-08,-0.004999741301,-2.586814786e-07,0.0002586642343
0.2198148365,-0.0006490025587,0.004736336385,-0.009735687383,9.73503838
0.2820067376,-3.177807016e-05,-0.004523265392,-0.0004767028304,0.4766710523
0.3206913993,-0.0006543955559,0.00481724213,-0.009816587735,9.815933339
0.3787988758,-9.448631798e-06,-0.004858251626,-0.0001417389256,0.141729477
0.4639313312,-7.73992348e-05,-0.00383885668,-0.001161065921,1.160988522
0.495674755,-0.0002438078051,-0.001342395309,-0.003657360884,3.657117076
0.5526142231,-0.0002787712895,-0.0008178731142,-0.004181848114,4.181569343
0.6079438182,-0.0004927872121,0.002392793756,-0.007392300969,7.391808181
0.6657138351,-5.513642057e-05,-0.004172843419,-0.0008271014449,0.8270463085
0.7092841949,-0.0005168357345,0.002753569689,-0.007753052853,7.752536017
0.7582782725,-0.0001676328282,-0.002485172312,-0.002514660056,2.514492423
0.7945395259,-0.000221155698,-0.001682222219,-0.003317556626,3.31733547
0.8749973713,-4.545821905e-12,-0.004999999932,-6.819187439e-11,6.818732857e-08
0.9193754778,-0.0006459380548,0.004690362697,-0.009689716759,9.689070821
1,-0.00033326668,-3.3326668e-07,-0.004999333467,4.9990002
