time,vOut.v_ref,vOut.v_sim,vOut.v_relerr
0.061,1.812517548,1.894730502,0.00822294
0.0615,1.693102053,1.781669045,0.00885847
0.062,1.576949081,1.671588469,0.00946583
0.0625,1.464173259,1.564569637,0.0100416
0.063,1.354885886,1.46069154,0.0105827
0.0635,1.249194813,1.360031297,0.0110859
0.064,1.147204345,1.262664161,0.0115483
0.0645,1.049015135,1.168663512,0.0119672
0.065,0.9547240833,1.078100859,0.0123401
0.0655,0.8644242438,0.9910458431,0.0126647
0.066,0.7782047315,0.9075662337,0.0129387
0.0665,0.6961506348,0.8277279303,0.0131604
0.067,0.6183429301,0.7515949623,0.0133279
0.0675,0.5448584074,0.6792294888,0.0134398
0.068,0.4757695837,0.6106917985,0.0134949
0.0685,0.4111446426,0.5460403102,0.0134923
0.069,0.3510473611,0.4853315722,0.0134311
0.0695,0.2955370478,0.4286202627,0.013311
0.07,0.2446684848,0.3759591896,0.0131317
0.0705,0.1984918732,0.3273992907,0.0128933
0.071,0.1570527838,0.2829896333,0.0125962
0.0715,0.1203921119,0.2427774148,0.012241
0.072,0.08854603716,0.2068079622,0.0118286
0.0725,0.06154598783,0.1751247322,0.0113601
0.073,0.03941860971,0.1477693115,0.0108372
0.0735,0.02218573983,0.1247814163,0.0102616
0.074,0.009864384989,0.1061988928,0.00963538
0.0745,0.002466704827,0.09205771682,0.00896089
0.075,0,0.08239199405,0.00824085
0.0755,0.00246670484,0.07723395989,0.00747822
0.076,0.009864384989,0.07661397954,0.00667629
0.0765,0.02218573983,0.08056054795,0.00583865
0.077,0.03941860971,0.08910028986,0.00496916
0.0775,0.06154598783,0.1022579598,0.00407201
0.078,0.08854603716,0.120056442,0.00315167
0.0785,0.1203921119,0.1425167505,0.00221291
0.079,0.1570527838,0.1696580292,0.00126078
0.0795,0.1984918732,0.2014975516,0.000300628
0.08,0.2446684848,0.2380507211,0.000661909
0.0805,0.2955370478,0.2793310708,0.00162092
0.081,0.3510473611,0.3253502637,0.00257022
0.0815,0.4111446427,0.3761180924,0.00350336
0.082,0.4757695838,0.4316424793,0.00441359
0.0825,0.5448584074,0.4919294767,0.00529395
0.083,0.6183429312,0.5569832666,0.00613719
0.0835,0.6961506348,0.6268061607,0.00693583
0.084,0.7782047315,0.7013986006,0.00768215
0.0845,0.8644242438,0.7807591575,0.00836818
0.085,0.9547240833,0.8648845325,0.00898575
0.0855,1.049015135,0.9537695566,0.00952646
0.086,1.147204345,1.04740719,0.00998171
0.0865,1.249194813,1.145788524,0.0103427
0.087,1.354885886,1.248902778,0.0106004
0.0875,1.464173259,1.356737301,0.0107457
0.088,1.576949081,1.469277575,0.0107693
0.0885,1.693102053,1.586507208,0.0106616
0.089,1.812517548,1.708407939,0.010413
0.0895,1.935077716,1.834959638,0.0100138
0.09,2.060661606,1.966140303,0.00945402
0.0905,2.189145282,2.101926063,0.00872367
0.091,2.320401945,2.242291176,0.00781264
0.0915,2.454302061,2.387208031,0.00671074
0.092,2.59071361,2.536647144,0.00540773
0.0925,2.729501601,2.690577165,0.00389322
0.093,2.870529436,2.848964869,0.00215689
0.0935,3.013657815,3.011775165,0.000188303
0.094,3.158745487,3.172268641,0.00135259
0.0945,3.305649269,3.332353323,0.00267094
0.095,3.454224183,3.492383858,0.00381673
0.0955,3.604323605,3.652246203,0.00479322
0.096,3.755799556,3.811828156,0.00560398
0.0965,3.908502093,3.971019358,0.00625298
0.097,4.062280971,4.129711291,0.00674438
0.0975,4.216984278,4.287797282,0.00708272
0.098,4.37245934,4.445172499,0.00727277
0.0985,4.528552723,4.601733953,0.00731959
0.099,4.68511038,4.757380496,0.00722846
0.0995,4.841977809,4.912012825,0.0070049
0.1,4.9990002,5.065533477,0.00665466
0.1005,5.156022591,5.217846834,0.00618366
0.101,5.31289002,5.368859117,0.00559803
0.1015,5.469447816,5.518478393,0.00490404
0.102,5.62554106,5.666614569,0.00410817
0.1025,5.781016122,5.813179396,0.00321697
0.103,5.935719429,5.958086467,0.00223715
0.1035,6.089498307,6.101251218,0.00117553
0.104,6.242200983,6.242590925,3.90021e-05
0.1045,6.393676795,6.38202471,0.00116544
0.105,6.543776217,6.519473535,0.00243075
0.1055,6.692351131,6.654860206,0.00374984
0.106,6.839254912,6.788109369,0.00511558
0.1065,6.984342585,6.919147516,0.00652081
0.107,7.127470964,7.047902979,0.00795839
0.1075,7.268498799,7.174305933,0.00942117
0.108,7.407286913,7.298288396,0.010902
0.1085,7.543698339,7.419784228,0.0123939
0.109,7.677598455,7.538729131,0.0138897
0.1095,7.808855118,7.65506065,0.0153825
0.11,7.937338735,7.768718173,0.0168654
0.1105,8.062922684,7.87964293,0.0183316
0.111,8.185482852,7.987777993,0.0197744
0.1115,8.304898347,8.093068277,0.0211872
0.112,8.421051319,8.19546054,0.0225636
0.1125,8.53382714,8.294903381,0.0238972
0.113,8.643114514,8.391347242,0.0251818
0.1135,8.748805587,8.484744408,0.0264114
0.114,8.850796055,8.575049007,0.0275802
0.1145,8.948985265,8.662217008,0.0286826
0.115,9.043276317,8.746206224,0.029713
0.1155,9.133576156,8.826976308,0.0306661
0.116,9.219795668,8.904488759,0.031537
0.1165,9.301849765,8.978706915,0.0323207
0.117,9.379657469,9.049595958,0.0330128
0.1175,9.453141993,9.117122914,0.0336086
0.118,9.522230742,9.181256649,0.0341042
0.1185,9.586855757,9.241967873,0.0344957
0.119,9.646953039,9.299229137,0.0347793
0.1195,9.702463352,9.353014836,0.0349518
0.12,9.753331915,9.403301207,0.0350101
0.1205,9.799508527,9.450066329,0.0349512
0.121,9.840947616,9.493290124,0.0347727
0.1215,9.877608288,9.532954356,0.0344723
0.122,9.909454363,9.569042632,0.034048
0.1225,9.936454412,9.6015404,0.0334981
0.123,9.95858179,9.630434954,0.0328212
0.1235,9.97581466,9.655715426,0.0320163
0.124,9.988136015,9.677372794,0.0310825
0.1245,9.995533695,9.695399876,0.0300194
0.125,9.9980004,9.709791335,0.0288267
0.1255,9.995533695,9.720543673,0.0275045
0.126,9.988136181,9.727655238,0.0260533
0.1265,9.97581466,9.731126219,0.0244737
0.127,9.95858179,9.730958646,0.0227669
0.1275,9.936454412,9.727156395,0.020934
0.128,9.909454363,9.71972518,0.0189767
0.1285,9.877608288,9.708672562,0.016897
0.129,9.840947616,9.69400794,0.0146969
0.1295,9.799508527,9.67574256,0.0123791
0.13,9.753331915,9.653889507,0.00994623
0.1305,9.702463352,9.62846371,0.00740144
0.131,9.646953039,9.59948194,0.00474806
0.1315,9.586855757,9.566962811,0.00198969
0.132,9.522230816,9.530926779,0.00086977
0.1325,9.453141993,9.491396143,0.00382618
0.133,9.379657469,9.448395043,0.00687513
0.1335,9.301849765,9.401949462,0.010012
0.134,9.219795668,9.352087228,0.0132318
0.1345,9.133576156,9.298838009,0.0165295
0.135,9.043276317,9.242233314,0.0198997
0.1355,8.948985265,9.182306499,0.0233368
0.136,8.850796055,9.119092758,0.026835
0.1365,8.748805587,9.05262913,0.0303884
0.137,8.643114514,8.982954496,0.0339908
0.1375,8.53382714,8.910109579,0.0376358
0.138,8.421051319,8.834136945,0.0413168
0.1385,8.304898347,8.755081002,0.0450273
0.139,8.185482852,8.672988,0.0487603
0.1395,8.062922684,8.587906033,0.0525088
0.14,7.937338794,8.499885036,0.0562659
0.1405,7.808855118,8.408976788,0.0600242
0.141,7.677598527,8.315234909,0.0637764
0.1415,7.543698339,8.218714862,0.0675152
0.142,7.407286913,8.119473953,0.0712329
0.1425,7.268498799,8.017571329,0.0749222
0.143,7.127470964,7.913067981,0.0785754
0.1435,6.984342585,7.806026742,0.0821848
0.144,6.839254912,7.696512287,0.0857429
0.1445,6.692351131,7.584591133,0.0892418
0.145,6.543776217,7.470331643,0.0926741
0.1455,6.393676795,7.353804017,0.0960319
0.146,6.242200996,7.235080302,0.0993078
0.1465,6.089498307,7.114234384,0.102494
0.147,5.935719429,6.991341995,0.105583
0.1475,5.781016122,6.866480706,0.108568
0.148,5.625541056,6.739729934,0.111441
0.1485,5.469447677,6.611170935,0.114195
0.149,5.31289002,6.48088681,0.116823
0.1495,5.156022591,6.348962501,0.119318
0.15,4.9990002,6.215484792,0.121673
0.1505,4.841977809,6.080542313,0.123881
0.151,4.68511038,5.944225532,0.125937
0.1515,4.528552723,5.806626762,0.127833
0.152,4.37245934,5.667840157,0.129564
0.1525,4.216984278,5.527961716,0.131124
0.153,4.06228104,5.387089277,0.132507
0.1535,3.908502093,5.245322524,0.133709
0.154,3.755799404,5.10276298,0.134723
0.1545,3.604323605,4.959514014,0.135546
0.155,3.454224183,4.815680835,0.136173
0.1555,3.305649269,4.671370494,0.136599
0.156,3.158745487,4.526691887,0.136822
0.1565,3.013657815,4.38175575,0.136837
0.157,2.870529436,4.236674664,0.136642
0.1575,2.729501601,4.09156305,0.136233
0.158,2.590713487,3.946537173,0.135609
0.1585,2.454302056,3.801715139,0.134768
0.159,2.320401945,3.657216899,0.133708
0.1595,2.189145282,3.513164244,0.132428
0.16,2.060661606,3.369680808,0.130928
0.1605,1.935077716,3.226892068,0.129207
0.161,1.812517548,3.084925343,0.127266
0.1615,1.693102053,2.943909796,0.125106
0.162,1.576949081,2.803976431,0.122727
0.1625,1.464173259,2.665258094,0.120133
0.163,1.354885886,2.527889474,0.117324
0.1635,1.249194813,2.392007103,0.114304
0.164,1.147204345,2.257749356,0.111077
0.1645,1.049015135,2.125256448,0.107646
0.165,0.9547240833,1.99467044,0.104015
0.1655,0.8644242438,1.866135231,0.100191
0.166,0.7782047315,1.739796567,0.0961784
0.1665,0.6961506348,1.615802034,0.0919835
0.167,0.6183429301,1.494301061,0.0876133
0.1675,0.5448584074,1.375444919,0.0830753
0.168,0.4757695837,1.259386722,0.0783774
0.1685,0.4111446427,1.146281426,0.0735284
0.169,0.3510473611,1.036285831,0.0685376
0.1695,0.2955370478,0.9295585771,0.0634148
0.17,0.2446684848,0.8262601485,0.0581708
0.1705,0.1984918732,0.7265528714,0.0528167
0.171,0.1570527838,0.6306009144,0.0473643
0.1715,0.1203921119,0.5385702888,0.0418262
0.172,0.08854603716,0.4506288481,0.0362155
0.1725,0.06154598783,0.3669462885,0.0305461
0.173,0.03941860971,0.2876941484,0.0248325
0.1735,0.02218573983,0.213045809,0.0190898
0.174,0.009864384976,0.1431764937,0.0133339
0.1745,0.002466704827,0.07826326849,0.00758117
0.175,0,0.01848504184,0.00184887
0.1755,0.002466704827,0.000976599366,0.00014904
0.176,0.009864384989,0.00700947227,0.000285548
0.1765,0.02218573983,0.01886898709,0.000331742
0.177,0.03941860971,0.03643753337,0.000298167
0.1775,0.06154598783,0.05959740113,0.000194898
0.178,0.08854603716,0.08823078095,3.15319e-05
0.1785,0.1203921119,0.1222197639,0.000182802
0.179,0.1570527838,0.1614463416,0.000439444
0.1795,0.1984918732,0.2057924062,0.000730199
0.18,0.2446684848,0.2551397502,0.00104734
0.1805,0.2955370478,0.309370067,0.00138358
0.181,0.3510473611,0.3683649501,0.00173211
0.1815,0.4111446426,0.4320058937,0.00208654
0.182,0.4757695838,0.5001742926,0.00244096
0.1825,0.5448584074,0.5727514421,0.00278986
0.183,0.6183429312,0.6496185378,0.00312819
0.1835,0.6961506349,0.730656676,0.00345129
0.184,0.7782047315,0.8157468536,0.00375496
0.1845,0.8644242438,0.9047699679,0.00403538
0.185,0.9547240833,0.9976068166,0.00428913
0.1855,1.049015135,1.094138098,0.0045132
0.186,1.147204345,1.194244412,0.00470495
0.1865,1.249194813,1.297806256,0.00486212
