time,positionSmoothed.y,limit_v.y,limit_a.y
0,0,0,0
0.0001,0,0,0
0.03401704373,0,0,0
0.07593119113,0,0,0
0.0931380405,0,0,0
0.0986768708,0,0,0
0.09982260048,0,0,0
0.0998989905,0,0,0
0.09996388174,0,0,0
0.09997540336,0,0,0
0.09998321795,0,0,0
0.0999923368,0,0,0
0.0999980216,0,0,0
0.09999917524,0,0,0
0.09999979392,0,0,0
0.1000000185,-6.351879334e-15,1.320259463e-07,1.022008084e-06
0.1000001169,1.908575795e-13,3.287043589e-07,2.988792211e-06
0.1000011003,1.280061162e-11,2.295488485e-06,2.265663348e-05
0.1000109342,1.202664097e-09,2.196332975e-05,0.0002193350461
0.1001092734,1.194778935e-07,0.0002186417424,0.002186119173
0.1010926655,1.193988964e-05,0.002185425869,0.02185396044
0.1109265861,0.001193909952,0.02185326713,0.2185323731
0.1377903478,0.01428112851,0.07558079064,0.7558076081
0.1598764433,0.03585192361,0.1197529815,1.197529517
0.1757473734,0.05737669514,0.1514948418,1.51494812
0.190715528,0.08229312921,0.1814311509,1.81431121
0.1977100861,0.09547267297,0.1954202672,1.954202374
0.1990694221,0.09814756845,0.1981389391,1.981389093
0.1997249857,0.09945079263,0.1994500663,1.994500365
0.1999180889,0.09983630266,0.1998362727,1.998242134
0.2000044131,0.1000088494,0.2000089211,1.999258545
0.2002480411,0.1004960378,0.2004961771,1.999935208
0.2004916691,0.1009832878,0.2009834331,1.999994338
0.2009072953,0.1018145398,0.2018146856,1.999999924
0.2015613979,0.1031227449,0.2031228907,2.000000001
0.2030905044,0.106180958,0.2061811038,2
0.2084302241,0.1168603973,0.2168605431,2
0.2349114155,0.1698227802,0.269822926,2
0.4430186009,0.5860371509,0.6860372967,2
0.5102593964,0.720518742,0.8205188878,2
0.585956014,0.8719119772,0.971912123,2
0.5938170063,0.8876339618,0.9876341076,2
0.5977511677,0.8955022846,0.9955024304,2
0.5994034771,0.8988069034,0.9988070492,2
0.5997883026,0.8995765543,0.9995767001,2
0.5999441108,0.8998881511,0.9998503779,1.99905711
0.6000185451,0.9000368942,0.9999289225,1.997568424
0.6003037788,0.9006058544,0.9999959186,1.99186375
0.6005925404,0.9011801942,0.9999997739,1.986088519
0.6011486515,0.9022815876,1.000000001,1.974966297
0.6021522779,0.9042536432,1,1.954893769
0.6055531937,0.9107864101,1,1.886875452
0.6223009107,0.9395824059,1,1.551921112
0.6642364974,0.9870771939,1,0.7132093797
0.6977134708,0.9997462079,1,0.04366991098
0.6989717443,0.999785324,1,0.01850444046
0.6992692702,0.9997899444,1,0.01255392264
0.6994823514,0.9997921653,1,0.008292299077
0.699661738,0.9997933311,1,0.004704567367
0.699743623,0.9997936492,1,0.003066867008
0.6997902472,0.9997937705,1,0.002134383657
0.6998189164,0.9997938238,1,0.001605168901
0.699831442,0.9997938427,1,0.001416194891
0.6998973434,0.9997939111,1,0.0007326842491
0.6999514618,0.9997939417,1,0.0004264654653
0.7000310446,0.9997939651,1,0.0001924244279
0.7001173576,0.9997939762,1,8.117236027e-05
0.7002272443,0.9997939816,1,2.705066729e-05
0.7003585532,0.9997939836,1,7.276351292e-06
0.7005258828,0.9997939842,1,1.365232946e-06
0.700743221,0.9997939843,1,1.552955457e-07
0.701046034,0.9997939843,1,7.453192332e-09
0.7015091438,0.9997939843,1,4.620267738e-11
0.7023530455,0.9997939843,1,-1.249600419e-12
0.7046615168,0.9997939843,1,1.407792331e-13
0.7140691578,0.9997939843,1,-1.255983826e-14
0.7695971425,0.9997939843,1,2.644517678e-16
1,0.9997939843,1,-1.413540595e-18
