time,Transistor1.b.i,Transistor2.b.i,R1.p.i,R4.p.i,R2.p.i,R3.p.i,Transistor1.rtc.p.i,Transistor1.Tr.B.i,C3.v,C2.v,Transistor2.Tr.vcs,Transistor1.Tr.vbe,Transistor2.Tr.vbe,Transistor2.Tr.vbc,Transistor1.Tr.vcs,Transistor2.rtc.p.i,Transistor2.ct.p.i,Transistor1.Tr.iS,Transistor2.Tr.iS,C4.v,C1.v,Transistor2.ct.v,Transistor1.Tr.C.v,Transistor2.Tr.C.v,Transistor1.ct.v,C5.v
0,-0,0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0
1.408166254e-14,3.275324749e-05,1.149614267e-11,0.01899757665,2.112247894e-06,2.112247892e-06,-3.988827785e-12,4.043579707e-09,2.481435315e-07,-3.988827785e-16,1.488579437e-10,4.35928288e-12,1.83794984e-09,1.501071419e-10,-4.934488897e-12,5.532159145e-10,-1.442922969e-09,-7.874690883e-09,-1.056546268e-07,-9.356996764e-10,-1.486515798e-10,1.639349642e-06,-5.752060164e-13,5.532159145e-10,4.35928288e-12,1.687267492e-09,-1.506823479e-10
2.037172008e-14,5.854154409e-05,2.332753129e-11,0.02188375058,3.055754902e-06,3.055754894e-06,-1.039591038e-11,1.15394858e-08,4.419227683e-07,-1.039591038e-15,3.118598246e-10,1.324647832e-11,4.829830748e-09,3.102777331e-10,-1.441389447e-11,1.465808405e-09,-2.978040105e-09,-1.091632192e-08,-1.859724141e-07,-1.94897233e-09,-3.110504888e-10,2.93159559e-06,-1.167416155e-12,1.465808405e-09,1.324647832e-11,4.518385598e-09,-3.114451493e-10
3.211073256e-14,0.0001127356815,5.505399335e-11,0.02419074014,4.816602159e-06,4.816602118e-06,-3.1711835e-11,3.81513153e-08,8.51810914e-07,-3.1711835e-15,7.76679566e-10,5.145605917e-11,1.520765625e-08,7.582597814e-10,-5.421193002e-11,4.591811096e-09,-7.210818528e-09,-1.603583052e-08,-3.475120261e-07,-4.753759584e-09,-7.72537912e-10,5.651230715e-06,-2.755870851e-12,4.591811096e-09,5.145605917e-11,1.44466406e-08,-7.610156522e-10
4.384974505e-14,0.0001699091731,9.80416367e-11,0.02494282756,6.577447356e-06,6.577447234e-06,-6.493373463e-11,8.164946679e-08,1.288929876e-06,-6.493373463e-15,1.452322472e-09,1.292075687e-10,3.230014952e-08,1.398536791e-09,-1.341161439e-10,9.617269151e-09,-1.310927775e-08,-2.054644744e-08,-5.07634503e-07,-8.67103034e-09,-1.440135343e-09,8.526355358e-06,-4.908575208e-12,9.617269151e-09,1.292075687e-10,3.089670415e-08,-1.403445366e-09
5.901674566e-14,0.0002448881281,1.681155924e-10,0.02526003409,8.852485773e-06,8.852485442e-06,-1.238337179e-10,1.617173454e-07,1.869655212e-06,-1.238337179e-14,2.640579245e-09,3.084921882e-10,6.462522737e-08,2.509424241e-09,-3.169103512e-10,1.881231378e-08,-2.299065407e-08,-2.559455934e-08,-7.022500232e-07,-1.524178752e-08,-2.607557595e-09,1.230651379e-05,-8.41816299e-12,1.881231378e-08,3.084921882e-10,6.210738497e-08,-2.517842404e-09
7.711574729e-14,0.0003345297276,2.699566451e-10,0.02540658164,1.156731759e-05,1.156731681e-05,-2.144612739e-10,2.893998102e-07,2.57449879e-06,-2.144612739e-14,4.528794118e-09,6.703978176e-10,1.184085164e-07,4.25330421e-09,-6.83917096e-10,3.346877514e-08,-3.779596034e-08,-3.060071875e-08,-9.135842496e-07,-2.50953045e-08,-4.449993852e-09,1.684062807e-05,-1.351927838e-11,3.346877514e-08,6.703978176e-10,1.141416929e-07,-4.266823488e-09
1.011424387e-13,0.0004531648652,4.29724084e-10,0.0255355006,1.517128931e-05,1.517128745e-05,-3.625310923e-10,5.06298858e-07,3.523219443e-06,-3.625310923e-14,7.835578004e-09,1.459889472e-09,2.153416819e-07,7.271857669e-09,-1.481411929e-09,5.84654638e-08,-6.19042345e-08,-3.575415335e-08,-1.161272983e-06,-4.115030916e-08,-7.650312922e-09,2.286629156e-05,-2.152245731e-11,5.84654638e-08,1.459889472e-09,2.080483018e-07,-7.293380126e-09
1.344543771e-13,0.0006167420867,6.847460455e-10,0.02570034525,2.016802147e-05,2.016801706e-05,-6.064105644e-10,8.819176945e-07,4.856788141e-06,-6.064105644e-14,1.395071643e-08,3.26647311e-09,3.977066209e-07,1.278611457e-08,-3.300771053e-09,1.021424859e-07,-1.024278235e-07,-4.053145078e-08,-1.451672715e-06,-6.815011085e-08,-1.350925546e-08,3.122199054e-05,-3.429794333e-11,1.021424859e-07,3.26647311e-09,3.848862084e-07,-1.282041252e-08
1.869527128e-13,0.0008723567031,1.130173511e-09,0.02595647482,2.804264601e-05,2.804263439e-05,-1.043603608e-09,1.609953974e-06,6.987657774e-06,-1.043603608e-13,2.725344026e-08,8.150217572e-09,7.974434298e-07,2.461620126e-08,-8.206830608e-09,1.882488376e-07,-1.794057097e-07,-4.371217545e-08,-1.81126139e-06,-1.194580993e-07,-2.609078854e-08,4.439060577e-05,-5.66130359e-11,1.882488376e-07,8.150217572e-09,7.727706155e-07,-2.46728143e-08
2.876928847e-13,0.001355484448,1.988722296e-09,0.02644050909,4.315331586e-05,4.315327704e-05,-1.90738134e-09,3.305668618e-06,1.112187974e-05,-1.90738134e-13,6.55659129e-08,2.597791971e-08,1.9448274e-06,5.810240685e-08,-2.607754656e-08,3.961327747e-07,-3.570671804e-07,-4.00190909e-08,-2.27743179e-06,-2.379113908e-07,-6.168463775e-08,6.966084774e-05,-9.962685293e-11,3.961327747e-07,2.597791971e-08,1.886625366e-06,-5.820203371e-08
5.297939202e-13,0.002477912167,3.235758762e-09,0.02756503664,7.946700142e-05,7.946681205e-05,-3.21523941e-09,7.993604716e-06,2.097946989e-05,-3.21523941e-13,2.275974298e-07,1.230599904e-07,6.695882204e-06,1.968123458e-07,-1.232220998e-07,1.026957901e-06,-8.56008078e-07,-8.742308608e-09,-2.860722327e-06,-5.706429207e-07,-2.086607982e-07,0.0001303945161,-1.62109462e-10,1.026957901e-06,1.230599904e-07,6.498907749e-06,-1.969744552e-07
9.045691991e-13,0.004112797201,1.653212179e-09,0.02920296383,0.0001356793091,0.0001356786347,-1.75196203e-09,1.529214566e-05,3.550736539e-05,-1.75196203e-13,6.745122014e-07,4.392645108e-07,1.93556484e-05,5.747913788e-07,-4.393473466e-07,2.203726767e-06,-1.67811857e-06,5.104223726e-08,-3.396288316e-06,-1.118915922e-06,-6.070763678e-07,0.0002244206342,-8.283580516e-11,2.203726767e-06,4.392645108e-07,1.878077418e-05,-5.748742146e-07
1.490984097e-12,0.006439656614,-9.45245698e-09,0.03153411367,0.0002236311449,0.0002236291261,9.18272762e-09,2.568735588e-05,5.622069139e-05,9.18272762e-13,1.848838034e-06,1.349278413e-06,5.115067588e-05,1.568022988e-06,-1.348804872e-06,4.417573622e-06,-2.976780286e-06,1.364784187e-07,-4.153589823e-06,-1.98497549e-06,-1.646956442e-06,0.0003715659571,4.735411218e-10,4.417573622e-06,1.349278413e-06,4.958312644e-05,-1.567549447e-06
2.565195907e-12,0.01006110329,-5.271230119e-08,0.0351621139,0.0003847306884,0.000384724578,5.219404043e-08,4.15215977e-05,8.844835087e-05,5.219404043e-12,5.480802405e-06,4.334063797e-06,0.0001427893179,4.676939426e-06,-4.331422963e-06,9.632962176e-06,-5.356943109e-06,2.606346599e-07,-5.562796633e-06,-3.572166333e-06,-4.869758108e-06,0.0006411701836,2.640834463e-09,9.632962176e-06,4.334063797e-06,0.0001381150193,-4.674298592e-06
4.193001294e-12,0.01427183737,-1.597090102e-07,0.03938016064,0.0006288201684,0.0006288046124,1.589364811e-07,5.909761194e-05,0.0001258899417,1.589364811e-11,1.455817453e-05,1.210621714e-05,0.0003488561721,1.262695486e-05,-1.20982158e-05,2.046793572e-05,-8.963564287e-06,3.876405005e-07,-7.760607897e-06,-5.977011686e-06,-1.300257357e-05,0.001049829087,8.001344156e-09,2.046793572e-05,1.210621714e-05,0.0003362372186,-1.261895352e-05
6.178329256e-12,0.01787132431,-3.327389448e-07,0.04298537966,0.0009264671902,0.0009264362108,3.317891437e-07,7.281454391e-05,0.0001578514568,3.317891437e-11,3.131776438e-05,2.688364359e-05,0.00068250329,2.771274135e-05,-2.686697347e-05,3.859921877e-05,-1.336186256e-05,4.761658197e-07,-1.051612594e-05,-8.909528785e-06,-2.821982985e-05,0.001548373434,1.667012616e-08,3.859921877e-05,2.688364359e-05,0.0006548072188,-2.769607122e-05
8.749700015e-12,0.02085400628,-5.927397936e-07,0.04597192519,0.001311889188,0.001311833966,5.916849824e-07,8.214201443e-05,0.0001842677724,5.916849824e-11,6.210362659e-05,5.4675699e-05,0.001207693941,5.621838546e-05,-5.464600284e-05,7.031782803e-05,-1.905747425e-05,5.285777108e-07,-1.416666784e-05,-1.270684106e-05,-5.658144642e-05,0.002194205565,2.969615818e-08,7.031782803e-05,5.4675699e-05,0.001151505251,-5.61886893e-05
1.186844706e-11,0.02292380324,-9.289876459e-07,0.04804298897,0.001779226241,0.001779137685,9.278968931e-07,8.56772404e-05,0.000202500839,9.278968931e-11,0.0001129373284,0.0001014854284,0.001935929335,0.0001045688193,-0.0001014388862,0.0001215050524,-2.596372629e-05,5.46481945e-07,-1.866899121e-05,-1.731121602e-05,-0.000104081801,0.00297759722,4.654217198e-08,0.0001215050524,0.0001014854284,0.001831407058,-0.0001045222771
1.56973512e-11,0.02421016077,-1.346241231e-06,0.04932788832,0.002352782366,0.002352649705,1.34515709e-06,8.371152489e-05,0.0002136923691,1.34515709e-10,0.0001952975133,0.0001785874531,0.002913582236,0.0001847908987,-0.0001785200065,0.0002036686658,-3.443959218e-05,5.43132068e-07,-2.425612251e-05,-2.296210711e-05,-0.0001820314123,0.003939366822,6.744657727e-08,0.0002036686658,0.0001785874531,0.002728858784,-0.0001847234521
2.032915417e-11,0.02488827742,-1.842917377e-06,0.05000172546,0.003046320745,0.003046132512,1.841857154e-06,7.692017068e-05,0.0002193974641,1.841857154e-10,0.0003240612882,0.0003007691866,0.004170932841,0.0003127596728,-0.0003006768566,0.0003317533053,-4.468815616e-05,5.31146132e-07,-3.105499635e-05,-2.979511708e-05,-0.0003052380022,0.005102679369,9.233005457e-08,0.0003317533053,0.0003007691866,0.003858265498,-0.0003126673428
2.599803703e-11,0.02518796018,-2.436454499e-06,0.05029396459,0.003894714642,0.003894457075,2.435419167e-06,6.594207232e-05,0.0002216494569,2.435419167e-10,0.0005248478681,0.0004933687135,0.005782224784,0.0005156153492,-0.0004932466472,0.0005314420754,-5.722424663e-05,5.186831092e-07,-3.939780289e-05,-3.815383644e-05,-0.0004990911382,0.00652612951,1.220662669e-07,0.0005314420754,0.0004933687135,0.005266731501,-0.0005154932829
3.301904139e-11,0.02528841151,-3.155618366e-06,0.05038289897,0.004944807762,0.00494446369,3.154603599e-06,5.098471392e-05,0.0002220269474,3.154603599e-10,0.0008392518085,0.0007975706626,0.007861359172,0.0008375058095,-0.0007974125663,0.0008443502799,-7.273911464e-05,5.083860556e-07,-4.973708603e-05,-4.849979966e-05,-0.0008048445741,0.008288432035,1.580963787e-07,0.0008443502799,0.0007975706626,0.007024011459,-0.0008373477131
4.196141694e-11,0.02530231294,-4.054285643e-06,0.05037908549,0.006281218514,0.006280764085,4.05328985e-06,3.136273723e-05,0.0002215004819,4.05328985e-10,0.001344845536,0.001290154493,0.01062713408,0.001360745224,-0.001289951374,0.00134798181,-9.248105938e-05,4.988821452e-07,-6.290067187e-05,-6.166672694e-05,-0.001299402599,0.01053170762,2.031196111e-07,0.00134798181,0.001290154493,0.009266591978,-0.001360542104
5.383460134e-11,0.02528080616,-5.2224957e-06,0.05032910052,0.008053811197,0.008053210381,5.221523931e-06,5.114722846e-06,0.0002204681908,5.221523931e-10,0.002197981992,0.002126034488,0.01449477432,0.002251592453,-0.002125772842,0.002198493464,-0.0001186594256,4.868453333e-07,-8.03619164e-05,-7.913120367e-05,-0.002137900431,0.01350748382,2.616469374e-07,0.002198493464,0.002126034488,0.01224344351,-0.002251330806
7.069968507e-11,0.02523311932,-6.829119918e-06,0.05023137632,0.01056810159,0.0105672934,6.828187596e-06,-3.223894004e-05,0.0002189042874,6.828187596e-10,0.003765935823,0.003669539473,0.02036743224,0.003901592361,-0.003669197335,0.003762711929,-0.0001557737679,4.670796465e-07,-0.0001051289447,-0.0001039034694,-0.00368511685,0.01772783798,3.421388146e-07,0.003762711929,0.003669539473,0.01646618201,-0.003901250222
9.730823101e-11,0.02513413602,-9.210183606e-06,0.05003066375,0.01452648686,0.01452535331,9.209329334e-06,-9.123966304e-05,0.0002163860135,9.209329334e-10,0.00708813364,0.006953363973,0.0305321931,0.007422767732,-0.006952902543,0.007079009673,-0.0002141489255,4.279720757e-07,-0.0001441192881,-0.0001429044416,-0.006974778865,0.0243665936,4.614301132e-07,0.007079009673,0.006953363973,0.0231098868,-0.007422306302
1.382379517e-10,0.02492761445,-1.239868867e-05,0.04961349912,0.02059512024,0.02059349219,1.239799225e-05,-0.0001820908139,0.0002125162106,1.239799225e-09,0.01422005677,0.01402690595,0.04830130592,0.01503251195,-0.01402628477,0.01420184769,-0.0003034620919,3.488774819e-07,-0.0002038919838,-0.0002026991519,-0.01405725215,0.03451579587,6.211742325e-07,0.01420184769,0.01402690595,0.03326941515,-0.01503189078
1.876266579e-10,0.02459191605,-1.524771887e-05,0.048937028,0.02788545507,0.0278832435,1.524727204e-05,-0.0002917487053,0.0002080917286,1.524727204e-09,0.02607551918,0.02581332582,0.07315122651,0.02775403171,-0.02581256191,0.02604634431,-0.0004103583637,2.238263961e-07,-0.00027569302,-0.0002745355998,-0.02585436165,0.04662755451,7.639106705e-07,0.02604634431,0.02581332582,0.04539795871,-0.02775326779
2.471092463e-10,0.02406436426,-1.681295133e-05,0.04787527438,0.03661879433,0.03661590537,1.68128866e-05,-0.0004236260301,0.0002035633979,1.68128866e-09,0.04504815774,0.04470549536,0.107964886,0.04821253547,-0.04470465304,0.04500579514,-0.0005376626674,3.23868545e-08,-0.0003617014824,-0.0003605987494,-0.04475926163,0.0609564111,8.423288553e-07,0.04500579514,0.04470549536,0.05975319289,-0.04821169314
